[28] ADD,0oVAF91nA3,79144.46 
[108] BUY,0oVAF91nA3,FUF,92.26 
[133] SET_SELL_AMOUNT,0oVAF91nA3,ZYF,600.72 
[325] SET_SELL_TRIGGER,0oVAF91nA3,ZYF,136.28 
[520] QUOTE,0oVAF91nA3,SVV 
[739] BUY,0oVAF91nA3,VOU,36.60 
[778] COMMIT_BUY,0oVAF91nA3 
[890] SELL,0oVAF91nA3,QJZ,556.94 
[900] COMMIT_SELL,0oVAF91nA3 
[1089] ADD,0oVAF91nA3,66190.46 
[1111] BUY,0oVAF91nA3,KPU,191.41 
[1262] COMMIT_SELL,0oVAF91nA3 
[1368] ADD,0oVAF91nA3,59985.43 
[1591] BUY,0oVAF91nA3,ZGR,569.60 
[1619] COMMIT_BUY,0oVAF91nA3 
[1660] SET_BUY_TRIGGER,0oVAF91nA3,VEX,96.47 
[1781] DISPLAY_SUMMARY,0oVAF91nA3 
[1865] DISPLAY_SUMMARY,0oVAF91nA3 
[2029] SET_SELL_AMOUNT,0oVAF91nA3,FQP,429.88 
[2136] SET_SELL_TRIGGER,0oVAF91nA3,FQP,8.58 
[2197] SET_BUY_AMOUNT,0oVAF91nA3,QJZ,46.89 
[2204] DISPLAY_SUMMARY,0oVAF91nA3 
[2213] ADD,0oVAF91nA3,70208.63 
[2373] QUOTE,0oVAF91nA3,ZAV 
[2421] QUOTE,0oVAF91nA3,QXE 
[2483] BUY,0oVAF91nA3,XQG,97.78 
[2578] CANCEL_SET_SELL,0oVAF91nA3,CTI 
[2592] SELL,0oVAF91nA3,FQP,745.15 
[2634] COMMIT_SELL,0oVAF91nA3 
[2689] ADD,0oVAF91nA3,76711.43 
[2690] QUOTE,0oVAF91nA3,HPN 
[2705] QUOTE,0oVAF91nA3,YRO 
[3251] CANCEL_BUY,0oVAF91nA3 
[3281] SET_SELL_TRIGGER,0oVAF91nA3,MJU,153.90 
[3329] SET_SELL_AMOUNT,0oVAF91nA3,FQP,558.14 
[3363] SET_SELL_TRIGGER,0oVAF91nA3,FQP,187.66 
[3507] CANCEL_SELL,0oVAF91nA3 
[3645] QUOTE,0oVAF91nA3,ADY 
[3841] SET_BUY_AMOUNT,0oVAF91nA3,QJZ,109.55 
[3868] SET_BUY_TRIGGER,0oVAF91nA3,JGG,22.72 
[3886] SELL,0oVAF91nA3,QJZ,353.60 
[3938] COMMIT_SELL,0oVAF91nA3 
[3990] DISPLAY_SUMMARY,0oVAF91nA3 
[4172] SET_BUY_TRIGGER,0oVAF91nA3,IFQ,183.99 
[4272] SET_BUY_TRIGGER,0oVAF91nA3,IBT,61.67 
[4368] SET_BUY_AMOUNT,0oVAF91nA3,FQP,654.92 
[4498] SET_BUY_TRIGGER,0oVAF91nA3,LUD,139.38 
[4545] SET_BUY_TRIGGER,0oVAF91nA3,NGB,137.14 
[4567] QUOTE,0oVAF91nA3,AQO 
[4871] DISPLAY_SUMMARY,0oVAF91nA3 
[5022] DISPLAY_SUMMARY,0oVAF91nA3 
[5053] SET_BUY_TRIGGER,0oVAF91nA3,JDW,195.26 
[5063] BUY,0oVAF91nA3,ISQ,328.55 
[5163] CANCEL_BUY,0oVAF91nA3 
[5454] QUOTE,0oVAF91nA3,QVA 
[5537] DISPLAY_SUMMARY,0oVAF91nA3 
[5546] SET_BUY_TRIGGER,0oVAF91nA3,SQI,183.94 
[5561] SET_BUY_TRIGGER,0oVAF91nA3,TJL,101.25 
[5737] QUOTE,0oVAF91nA3,OYS 
[5893] DISPLAY_SUMMARY,0oVAF91nA3 
[5916] CANCEL_SELL,0oVAF91nA3 
[6081] SET_SELL_TRIGGER,0oVAF91nA3,PYB,18.11 
[6109] CANCEL_SET_SELL,0oVAF91nA3,AVX 
[6130] QUOTE,0oVAF91nA3,KBI 
[6146] ADD,0oVAF91nA3,52068.07 
[6239] BUY,0oVAF91nA3,MDZ,746.34 
[6278] COMMIT_BUY,0oVAF91nA3 
[6433] QUOTE,0oVAF91nA3,UGG 
[6459] BUY,0oVAF91nA3,VBO,28.76 
[6754] COMMIT_BUY,0oVAF91nA3 
[6852] SELL,0oVAF91nA3,KDA,448.81 
[6970] COMMIT_SELL,0oVAF91nA3 
[6988] SET_BUY_AMOUNT,0oVAF91nA3,FQP,426.59 
[7048] SET_BUY_TRIGGER,0oVAF91nA3,HIW,192.65 
[7266] SET_BUY_TRIGGER,0oVAF91nA3,IQZ,127.02 
[7400] SET_SELL_AMOUNT,0oVAF91nA3,KDA,430.54 
[7462] SET_SELL_TRIGGER,0oVAF91nA3,KDA,104.29 
[7604] SELL,0oVAF91nA3,KDA,644.81 
[7618] CANCEL_SELL,0oVAF91nA3 
[7623] SELL,0oVAF91nA3,FQP,289.97 
[8268] COMMIT_SELL,0oVAF91nA3 
[8346] SET_BUY_TRIGGER,0oVAF91nA3,CDF,25.28 
[8347] DISPLAY_SUMMARY,0oVAF91nA3 
[8380] SELL,0oVAF91nA3,FQP,723.27 
[8493] COMMIT_SELL,0oVAF91nA3 
[8496] SET_SELL_AMOUNT,0oVAF91nA3,KDA,333.59 
[8520] SET_SELL_TRIGGER,0oVAF91nA3,KDA,192.43 
[8555] DISPLAY_SUMMARY,0oVAF91nA3 
[8780] SELL,0oVAF91nA3,KES,732.53 
[8826] DISPLAY_SUMMARY,0oVAF91nA3 
[9019] SET_BUY_AMOUNT,0oVAF91nA3,KES,274.64 
[9161] SET_BUY_TRIGGER,0oVAF91nA3,RXO,167.41 
[9253] SELL,0oVAF91nA3,KDA,62.63 
[9329] COMMIT_SELL,0oVAF91nA3 
[9420] QUOTE,0oVAF91nA3,NUV 
