[357] ADD,1uGQw5a691,49866.02 
[419] QUOTE,1uGQw5a691,VOU 
[611] DISPLAY_SUMMARY,1uGQw5a691 
[642] SET_SELL_TRIGGER,1uGQw5a691,FFN,2.98 
[801] SET_SELL_TRIGGER,1uGQw5a691,KEV,121.49 
[835] SET_BUY_AMOUNT,1uGQw5a691,BZX,676.15 
[862] SET_BUY_TRIGGER,1uGQw5a691,BZX,304.50 
[943] DISPLAY_SUMMARY,1uGQw5a691 
[1005] QUOTE,1uGQw5a691,SAR 
[1007] ADD,1uGQw5a691,65782.79 
[1085] BUY,1uGQw5a691,AJX,598.74 
[1184] CANCEL_SET_BUY,1uGQw5a691,JRJ 
[1204] ADD,1uGQw5a691,41499.80 
[1286] QUOTE,1uGQw5a691,DWU 
[1358] BUY,1uGQw5a691,DLQ,647.90 
[1522] CANCEL_BUY,1uGQw5a691 
[1665] ADD,1uGQw5a691,93846.29 
[1672] QUOTE,1uGQw5a691,NVX 
[1685] ADD,1uGQw5a691,65791.66 
[2077] QUOTE,1uGQw5a691,CZQ 
[2151] SET_BUY_TRIGGER,1uGQw5a691,BZX,182.92 
[2245] SET_BUY_AMOUNT,1uGQw5a691,QAX,493.66 
[2252] SET_BUY_TRIGGER,1uGQw5a691,QAX,140.79 
[2272] BUY,1uGQw5a691,JEO,652.12 
[2297] SET_SELL_TRIGGER,1uGQw5a691,FRB,35.38 
[2310] QUOTE,1uGQw5a691,NZS 
[2370] BUY,1uGQw5a691,IQJ,71.24 
[2404] CANCEL_SET_SELL,1uGQw5a691,PDX 
[2415] QUOTE,1uGQw5a691,VJB 
[2649] BUY,1uGQw5a691,HNO,264.82 
[2815] COMMIT_BUY,1uGQw5a691 
[2905] SELL,1uGQw5a691,QJZ,500.72 
[2935] COMMIT_SELL,1uGQw5a691 
[3050] ADD,1uGQw5a691,68611.91 
[3234] QUOTE,1uGQw5a691,IZU 
[3262] DISPLAY_SUMMARY,1uGQw5a691 
[3299] ADD,1uGQw5a691,91547.20 
[3542] ADD,1uGQw5a691,93680.97 
[3604] QUOTE,1uGQw5a691,HBF 
[3608] DISPLAY_SUMMARY,1uGQw5a691 
