[100] ADD,28VL4WCD6l,58625.14 
[112] QUOTE,28VL4WCD6l,CUQ 
[335] BUY,28VL4WCD6l,BZH,567.95 
[407] COMMIT_BUY,28VL4WCD6l 
[476] BUY,28VL4WCD6l,WJB,153.93 
[625] COMMIT_SELL,28VL4WCD6l 
[676] CANCEL_SET_SELL,28VL4WCD6l,IWL 
[729] QUOTE,28VL4WCD6l,OTD 
[821] QUOTE,28VL4WCD6l,DHA 
[836] CANCEL_SELL,28VL4WCD6l 
[858] SELL,28VL4WCD6l,QJZ,107.02 
[913] COMMIT_SELL,28VL4WCD6l 
[953] BUY,28VL4WCD6l,KDG,290.75 
[1122] COMMIT_BUY,28VL4WCD6l 
[1408] SET_BUY_TRIGGER,28VL4WCD6l,YAZ,162.68 
[1465] ADD,28VL4WCD6l,78193.20 
[1553] CANCEL_SELL,28VL4WCD6l 
[1801] ADD,28VL4WCD6l,75034.48 
[1856] QUOTE,28VL4WCD6l,OIY 
[2170] COMMIT_SELL,28VL4WCD6l 
[2228] SELL,28VL4WCD6l,FQP,455.37 
[2236] CANCEL_BUY,28VL4WCD6l 
[2287] SELL,28VL4WCD6l,QJZ,544.17 
[2481] SET_BUY_TRIGGER,28VL4WCD6l,CAX,9.68 
[2658] DISPLAY_SUMMARY,28VL4WCD6l 
[2714] SET_SELL_AMOUNT,28VL4WCD6l,QJZ,260.17 
[2927] SET_SELL_TRIGGER,28VL4WCD6l,QJZ,156.99 
[3064] BUY,28VL4WCD6l,LPB,394.92 
[3087] COMMIT_BUY,28VL4WCD6l 
[3332] DISPLAY_SUMMARY,28VL4WCD6l 
[3575] SET_BUY_TRIGGER,28VL4WCD6l,DJD,73.68 
[3595] SET_BUY_AMOUNT,28VL4WCD6l,FQP,648.06 
[3617] SET_BUY_TRIGGER,28VL4WCD6l,YEW,66.41 
[3725] DISPLAY_SUMMARY,28VL4WCD6l 
[3790] DISPLAY_SUMMARY,28VL4WCD6l 
[3917] DISPLAY_SUMMARY,28VL4WCD6l 
[3982] ADD,28VL4WCD6l,68455.75 
[4232] CANCEL_SELL,28VL4WCD6l 
[4517] ADD,28VL4WCD6l,92903.36 
[4574] QUOTE,28VL4WCD6l,FTB 
[4606] QUOTE,28VL4WCD6l,IRQ 
[5006] BUY,28VL4WCD6l,IPJ,479.76 
[5070] COMMIT_BUY,28VL4WCD6l 
[5119] BUY,28VL4WCD6l,PJW,234.64 
[5297] COMMIT_BUY,28VL4WCD6l 
[5458] SET_SELL_AMOUNT,28VL4WCD6l,QJZ,267.00 
[5477] SET_SELL_TRIGGER,28VL4WCD6l,QJZ,6.23 
[5545] SET_SELL_TRIGGER,28VL4WCD6l,FLD,171.98 
[5548] ADD,28VL4WCD6l,70374.55 
[5751] COMMIT_BUY,28VL4WCD6l 
[6224] SET_SELL_AMOUNT,28VL4WCD6l,FQP,530.47 
[6487] QUOTE,28VL4WCD6l,ENQ 
[6586] QUOTE,28VL4WCD6l,KAO 
[6599] SET_BUY_AMOUNT,28VL4WCD6l,KDA,98.12 
[6639] CANCEL_SET_BUY,28VL4WCD6l,EOY 
[6759] COMMIT_BUY,28VL4WCD6l 
[6780] SET_SELL_AMOUNT,28VL4WCD6l,QJZ,408.37 
[6781] SET_SELL_TRIGGER,28VL4WCD6l,QJZ,390.22 
[6890] DISPLAY_SUMMARY,28VL4WCD6l 
[7028] SET_SELL_TRIGGER,28VL4WCD6l,CMA,154.47 
[7200] SET_SELL_AMOUNT,28VL4WCD6l,KES,291.02 
[7243] SET_SELL_TRIGGER,28VL4WCD6l,KES,191.37 
[7346] SELL,28VL4WCD6l,FQP,20.36 
[7387] COMMIT_BUY,28VL4WCD6l 
[7489] SET_BUY_AMOUNT,28VL4WCD6l,JVT,48.43 
[7697] SET_BUY_TRIGGER,28VL4WCD6l,URD,46.41 
[7800] SET_SELL_AMOUNT,28VL4WCD6l,JVT,386.56 
[7885] CANCEL_SET_SELL,28VL4WCD6l,JVT 
[8031] SET_SELL_TRIGGER,28VL4WCD6l,KRY,10.61 
[8085] DISPLAY_SUMMARY,28VL4WCD6l 
[8220] SELL,28VL4WCD6l,KES,532.06 
[8223] COMMIT_SELL,28VL4WCD6l 
[8261] ADD,28VL4WCD6l,80384.73 
[8445] BUY,28VL4WCD6l,CJV,335.82 
[8466] COMMIT_BUY,28VL4WCD6l 
[8489] SET_BUY_AMOUNT,28VL4WCD6l,FQP,536.65 
[8499] SET_BUY_TRIGGER,28VL4WCD6l,WKE,70.59 
[8608] CANCEL_SET_BUY,28VL4WCD6l,COE 
[8645] ADD,28VL4WCD6l,71508.28 
[8676] QUOTE,28VL4WCD6l,UTL 
[8683] BUY,28VL4WCD6l,FKZ,232.70 
[8695] DISPLAY_SUMMARY,28VL4WCD6l 
[8731] ADD,28VL4WCD6l,69509.81 
[8739] BUY,28VL4WCD6l,GIK,633.01 
[8906] SET_BUY_TRIGGER,28VL4WCD6l,ZRH,62.79 
[8947] DISPLAY_SUMMARY,28VL4WCD6l 
[9204] SET_BUY_TRIGGER,28VL4WCD6l,YBB,38.91 
[9388] ADD,28VL4WCD6l,74565.45 
[9458] BUY,28VL4WCD6l,WAO,575.95 
[9471] COMMIT_BUY,28VL4WCD6l 
[9507] QUOTE,28VL4WCD6l,NFQ 
[9546] BUY,28VL4WCD6l,AOU,268.70 
[9618] COMMIT_BUY,28VL4WCD6l 
[9750] QUOTE,28VL4WCD6l,XLK 
[9797] ADD,28VL4WCD6l,107260.10 
[10127] QUOTE,28VL4WCD6l,HIW 
[10313] SET_SELL_TRIGGER,28VL4WCD6l,NXU,198.17 
[10337] ADD,28VL4WCD6l,94850.97 
[10520] BUY,28VL4WCD6l,XZO,85.78 
[10638] COMMIT_BUY,28VL4WCD6l 
[10668] SET_BUY_TRIGGER,28VL4WCD6l,QVK,163.36 
[10673] ADD,28VL4WCD6l,58715.82 
[10759] QUOTE,28VL4WCD6l,KTU 
[10864] DISPLAY_SUMMARY,28VL4WCD6l 
[11167] CANCEL_SET_SELL,28VL4WCD6l,NKC 
[11168] SET_BUY_AMOUNT,28VL4WCD6l,KDA,665.24 
[11236] SET_BUY_TRIGGER,28VL4WCD6l,DPG,79.78 
[11377] DISPLAY_SUMMARY,28VL4WCD6l 
[11433] ADD,28VL4WCD6l,93100.76 
[11503] COMMIT_SELL,28VL4WCD6l 
[11660] QUOTE,28VL4WCD6l,HSJ 
[11769] DISPLAY_SUMMARY,28VL4WCD6l 
[11830] SET_SELL_TRIGGER,28VL4WCD6l,ZTI,78.55 
[11895] BUY,28VL4WCD6l,GTN,386.27 
[11980] COMMIT_BUY,28VL4WCD6l 
[12027] SET_SELL_AMOUNT,28VL4WCD6l,JRJ,349.49 
[12506] CANCEL_SET_SELL,28VL4WCD6l,JRJ 
[12560] SET_BUY_TRIGGER,28VL4WCD6l,HPN,158.13 
[12634] ADD,28VL4WCD6l,58709.94 
[12642] SET_BUY_TRIGGER,28VL4WCD6l,XXP,68.57 
[12662] BUY,28VL4WCD6l,GDO,618.05 
[12673] SET_BUY_TRIGGER,28VL4WCD6l,ECL,198.14 
[12726] SELL,28VL4WCD6l,JRJ,535.06 
[12822] COMMIT_SELL,28VL4WCD6l 
[12888] DISPLAY_SUMMARY,28VL4WCD6l 
[12930] SET_BUY_AMOUNT,28VL4WCD6l,FQP,209.28 
[13012] SET_BUY_TRIGGER,28VL4WCD6l,VVO,143.85 
[13385] SET_BUY_TRIGGER,28VL4WCD6l,BSZ,62.94 
[13570] DISPLAY_SUMMARY,28VL4WCD6l 
[13631] ADD,28VL4WCD6l,72660.53 
[13670] QUOTE,28VL4WCD6l,VJB 
[13746] ADD,28VL4WCD6l,84928.92 
[13755] BUY,28VL4WCD6l,CVV,534.07 
[13760] SELL,28VL4WCD6l,GYF,26.73 
[13872] COMMIT_BUY,28VL4WCD6l 
[13898] SET_BUY_TRIGGER,28VL4WCD6l,YGK,36.74 
[14062] SELL,28VL4WCD6l,QAX,729.01 
[14101] CANCEL_SET_BUY,28VL4WCD6l,JNO 
[14266] DISPLAY_SUMMARY,28VL4WCD6l 
[14307] BUY,28VL4WCD6l,TUO,198.62 
[14377] COMMIT_BUY,28VL4WCD6l 
[14567] ADD,28VL4WCD6l,71366.33 
[14673] BUY,28VL4WCD6l,YMG,376.45 
[14743] SET_BUY_AMOUNT,28VL4WCD6l,FQP,232.03 
[14843] SET_BUY_TRIGGER,28VL4WCD6l,SQI,106.84 
[14909] QUOTE,28VL4WCD6l,DTG 
[14949] SELL,28VL4WCD6l,OEY,60.49 
[14963] CANCEL_BUY,28VL4WCD6l 
[14995] ADD,28VL4WCD6l,62782.75 
[15021] SET_BUY_AMOUNT,28VL4WCD6l,GYF,47.66 
[15043] CANCEL_SET_BUY,28VL4WCD6l,GHE 
[15053] SET_SELL_TRIGGER,28VL4WCD6l,EEG,22.97 
[15123] QUOTE,28VL4WCD6l,VJV 
[15142] SET_BUY_TRIGGER,28VL4WCD6l,CBK,16.42 
[15187] ADD,28VL4WCD6l,74646.78 
[15358] QUOTE,28VL4WCD6l,YEW 
[15411] SET_SELL_TRIGGER,28VL4WCD6l,JMG,132.25 
[15483] BUY,28VL4WCD6l,BYM,243.16 
[15634] CANCEL_BUY,28VL4WCD6l 
[15655] DISPLAY_SUMMARY,28VL4WCD6l 
[15693] SELL,28VL4WCD6l,UTV,47.63 
