[21] ADD,2GizxWZj6J,70238.42 
[285] COMMIT_BUY,2GizxWZj6J 
[428] ADD,2GizxWZj6J,62339.45 
[535] BUY,2GizxWZj6J,OSC,486.00 
[602] CANCEL_BUY,2GizxWZj6J 
[693] SET_BUY_AMOUNT,2GizxWZj6J,XXP,65.59 
[722] SET_BUY_TRIGGER,2GizxWZj6J,XXP,49.23 
[723] SET_BUY_TRIGGER,2GizxWZj6J,GRD,115.30 
[899] SET_BUY_TRIGGER,2GizxWZj6J,FVZ,15.38 
[939] ADD,2GizxWZj6J,79118.01 
[1129] BUY,2GizxWZj6J,KDA,233.18 
[1296] COMMIT_BUY,2GizxWZj6J 
[1364] COMMIT_SELL,2GizxWZj6J 
[1512] BUY,2GizxWZj6J,NDJ,669.81 
[1588] CANCEL_SET_BUY,2GizxWZj6J,GJR 
[1651] SELL,2GizxWZj6J,QJZ,676.13 
[1742] COMMIT_SELL,2GizxWZj6J 
[1745] ADD,2GizxWZj6J,73967.86 
[1830] QUOTE,2GizxWZj6J,YUL 
[1839] SET_BUY_AMOUNT,2GizxWZj6J,QJZ,67.45 
[1867] SET_BUY_TRIGGER,2GizxWZj6J,TYV,28.34 
[1907] SET_SELL_AMOUNT,2GizxWZj6J,QJZ,657.48 
[1973] SELL,2GizxWZj6J,QJZ,578.94 
[2028] COMMIT_SELL,2GizxWZj6J 
[2053] ADD,2GizxWZj6J,69493.16 
[2140] CANCEL_SELL,2GizxWZj6J 
[2360] SET_BUY_AMOUNT,2GizxWZj6J,QJZ,589.19 
[2372] SET_BUY_TRIGGER,2GizxWZj6J,OPN,145.91 
[2991] QUOTE,2GizxWZj6J,XOP 
[3057] BUY,2GizxWZj6J,JUN,371.12 
[3116] COMMIT_BUY,2GizxWZj6J 
[3153] SET_SELL_AMOUNT,2GizxWZj6J,FQP,52.72 
[3355] SET_SELL_TRIGGER,2GizxWZj6J,FQP,39.64 
[3414] SELL,2GizxWZj6J,FQP,606.29 
[3430] DISPLAY_SUMMARY,2GizxWZj6J 
[3433] SELL,2GizxWZj6J,FQP,303.59 
[3552] ADD,2GizxWZj6J,89468.15 
[3673] QUOTE,2GizxWZj6J,OOT 
[3745] CANCEL_SELL,2GizxWZj6J 
[3963] DISPLAY_SUMMARY,2GizxWZj6J 
[4046] SET_BUY_AMOUNT,2GizxWZj6J,QJZ,446.81 
[4238] BUY,2GizxWZj6J,JGF,173.58 
[4376] CANCEL_BUY,2GizxWZj6J 
[4398] ADD,2GizxWZj6J,100975.67 
[4408] BUY,2GizxWZj6J,MQX,428.58 
[4467] COMMIT_BUY,2GizxWZj6J 
[4809] ADD,2GizxWZj6J,83960.38 
[4846] BUY,2GizxWZj6J,MIQ,342.48 
[4915] QUOTE,2GizxWZj6J,THH 
[5038] QUOTE,2GizxWZj6J,SAR 
[5128] ADD,2GizxWZj6J,69170.18 
[5205] COMMIT_BUY,2GizxWZj6J 
[5352] SET_SELL_TRIGGER,2GizxWZj6J,GAV,90.91 
[5451] DISPLAY_SUMMARY,2GizxWZj6J 
[5482] ADD,2GizxWZj6J,74476.31 
[5521] BUY,2GizxWZj6J,JHY,300.17 
[5804] COMMIT_BUY,2GizxWZj6J 
