[101] ADD,2xvOQRaMMK,33291.44 
[431] BUY,2xvOQRaMMK,VVO,675.72 
[573] CANCEL_BUY,2xvOQRaMMK 
[681] SET_BUY_AMOUNT,2xvOQRaMMK,XXP,148.13 
[704] DISPLAY_SUMMARY,2xvOQRaMMK 
[1066] SET_BUY_TRIGGER,2xvOQRaMMK,XXP,6.41 
[1117] QUOTE,2xvOQRaMMK,EBS 
[1134] SET_BUY_TRIGGER,2xvOQRaMMK,EOS,87.55 
[1272] ADD,2xvOQRaMMK,72081.77 
[1332] SET_BUY_TRIGGER,2xvOQRaMMK,SBT,148.70 
[1359] SELL,2xvOQRaMMK,SAN,179.78 
[1393] COMMIT_SELL,2xvOQRaMMK 
[1485] CANCEL_SET_BUY,2xvOQRaMMK,ATW 
[1627] QUOTE,2xvOQRaMMK,WJP 
[1825] DISPLAY_SUMMARY,2xvOQRaMMK 
[1949] SELL,2xvOQRaMMK,KYX,371.95 
[1978] QUOTE,2xvOQRaMMK,PFN 
[2009] QUOTE,2xvOQRaMMK,BZH 
[2168] SET_BUY_AMOUNT,2xvOQRaMMK,VQA,52.96 
[2215] SET_BUY_TRIGGER,2xvOQRaMMK,VQA,29.48 
[2442] SET_SELL_TRIGGER,2xvOQRaMMK,MOM,181.58 
[2495] BUY,2xvOQRaMMK,XFA,344.94 
[2523] CANCEL_BUY,2xvOQRaMMK 
[2716] QUOTE,2xvOQRaMMK,QWC 
[2722] QUOTE,2xvOQRaMMK,PVH 
[2817] COMMIT_SELL,2xvOQRaMMK 
[2839] BUY,2xvOQRaMMK,VKB,275.80 
[2853] COMMIT_BUY,2xvOQRaMMK 
[2908] SET_SELL_TRIGGER,2xvOQRaMMK,QID,118.02 
[3063] CANCEL_BUY,2xvOQRaMMK 
[3520] DISPLAY_SUMMARY,2xvOQRaMMK 
[3643] ADD,2xvOQRaMMK,88960.76 
[3691] QUOTE,2xvOQRaMMK,ZOW 
[3812] DISPLAY_SUMMARY,2xvOQRaMMK 
[3999] SET_BUY_TRIGGER,2xvOQRaMMK,NAR,120.72 
[4020] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,625.38 
[4043] SET_BUY_TRIGGER,2xvOQRaMMK,CAX,543.84 
[4424] CANCEL_SELL,2xvOQRaMMK 
[4428] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,408.01 
[4786] SET_BUY_TRIGGER,2xvOQRaMMK,WKL,33.40 
[4965] SET_SELL_TRIGGER,2xvOQRaMMK,NGH,25.81 
[5005] SET_BUY_TRIGGER,2xvOQRaMMK,SKC,158.79 
[5067] SET_BUY_TRIGGER,2xvOQRaMMK,JHY,103.15 
[5083] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,665.25 
[5197] SET_BUY_TRIGGER,2xvOQRaMMK,GGY,625.26 
[5276] CANCEL_SET_BUY,2xvOQRaMMK,NUV 
[5278] SELL,2xvOQRaMMK,QJZ,708.89 
[5343] COMMIT_SELL,2xvOQRaMMK 
[5528] ADD,2xvOQRaMMK,62457.69 
[5551] QUOTE,2xvOQRaMMK,NZS 
[5627] ADD,2xvOQRaMMK,79693.85 
[5679] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,226.31 
[5701] CANCEL_SET_BUY,2xvOQRaMMK,ZFT 
[5726] SELL,2xvOQRaMMK,QJZ,589.92 
[5851] COMMIT_SELL,2xvOQRaMMK 
[5970] SET_SELL_TRIGGER,2xvOQRaMMK,WHR,38.98 
[6006] BUY,2xvOQRaMMK,IZS,512.35 
[6263] SELL,2xvOQRaMMK,QJZ,649.35 
[6334] COMMIT_SELL,2xvOQRaMMK 
[6519] DISPLAY_SUMMARY,2xvOQRaMMK 
[6534] SELL,2xvOQRaMMK,QJZ,604.98 
[6880] SET_SELL_AMOUNT,2xvOQRaMMK,QJZ,60.59 
[7063] SET_SELL_TRIGGER,2xvOQRaMMK,QJZ,42.09 
[7157] SET_SELL_TRIGGER,2xvOQRaMMK,MIU,168.20 
[7318] BUY,2xvOQRaMMK,CXN,158.71 
[7402] DISPLAY_SUMMARY,2xvOQRaMMK 
[7425] BUY,2xvOQRaMMK,ISQ,516.59 
[7563] CANCEL_SET_SELL,2xvOQRaMMK,XXP 
[7588] SELL,2xvOQRaMMK,QJZ,251.66 
[7672] SET_SELL_AMOUNT,2xvOQRaMMK,QJZ,611.96 
[7826] SET_SELL_TRIGGER,2xvOQRaMMK,QJZ,350.66 
[7950] BUY,2xvOQRaMMK,JLO,81.44 
[7961] COMMIT_BUY,2xvOQRaMMK 
[8421] SELL,2xvOQRaMMK,QJZ,742.67 
[8460] CANCEL_SELL,2xvOQRaMMK 
[8818] QUOTE,2xvOQRaMMK,HIN 
[8986] SET_BUY_AMOUNT,2xvOQRaMMK,FQP,111.72 
[8994] SET_BUY_TRIGGER,2xvOQRaMMK,NNW,81.84 
[9196] SET_BUY_TRIGGER,2xvOQRaMMK,KTU,163.43 
[9249] ADD,2xvOQRaMMK,90858.16 
[9479] QUOTE,2xvOQRaMMK,RVU 
[9603] QUOTE,2xvOQRaMMK,TVI 
[9676] BUY,2xvOQRaMMK,SON,68.70 
[9910] CANCEL_SELL,2xvOQRaMMK 
[10200] ADD,2xvOQRaMMK,58685.12 
[10234] BUY,2xvOQRaMMK,PRJ,370.90 
[10373] COMMIT_BUY,2xvOQRaMMK 
[10570] QUOTE,2xvOQRaMMK,WAI 
[10589] QUOTE,2xvOQRaMMK,CBY 
[10602] BUY,2xvOQRaMMK,ULL,500.33 
[10672] COMMIT_BUY,2xvOQRaMMK 
[10839] QUOTE,2xvOQRaMMK,IFC 
[11005] QUOTE,2xvOQRaMMK,BPK 
[11063] QUOTE,2xvOQRaMMK,PYM 
[11304] QUOTE,2xvOQRaMMK,WQE 
[11352] COMMIT_BUY,2xvOQRaMMK 
[11375] SET_SELL_AMOUNT,2xvOQRaMMK,KDA,10.60 
[11587] SET_SELL_TRIGGER,2xvOQRaMMK,KDA,8.14 
[11757] DISPLAY_SUMMARY,2xvOQRaMMK 
[11813] QUOTE,2xvOQRaMMK,NVN 
[11966] DISPLAY_SUMMARY,2xvOQRaMMK 
[11992] CANCEL_SELL,2xvOQRaMMK 
[12046] SELL,2xvOQRaMMK,KDA,390.07 
[12055] COMMIT_SELL,2xvOQRaMMK 
[12074] ADD,2xvOQRaMMK,55497.59 
[12285] QUOTE,2xvOQRaMMK,RNK 
[12407] ADD,2xvOQRaMMK,78652.46 
[12529] BUY,2xvOQRaMMK,KZZ,411.95 
[12607] SET_BUY_TRIGGER,2xvOQRaMMK,GHE,99.33 
[12640] BUY,2xvOQRaMMK,JIO,394.84 
[12641] COMMIT_BUY,2xvOQRaMMK 
[12775] CANCEL_SELL,2xvOQRaMMK 
[12941] ADD,2xvOQRaMMK,93340.55 
[13030] QUOTE,2xvOQRaMMK,XLK 
[13112] DISPLAY_SUMMARY,2xvOQRaMMK 
[13194] SET_SELL_AMOUNT,2xvOQRaMMK,KES,397.39 
[13259] SELL,2xvOQRaMMK,FQP,2.41 
[13284] DISPLAY_SUMMARY,2xvOQRaMMK 
[13359] QUOTE,2xvOQRaMMK,SYE 
[13461] CANCEL_BUY,2xvOQRaMMK 
[13506] ADD,2xvOQRaMMK,54972.74 
[13621] BUY,2xvOQRaMMK,OYW,61.31 
[13622] BUY,2xvOQRaMMK,DWF,327.68 
[14049] COMMIT_BUY,2xvOQRaMMK 
[14059] ADD,2xvOQRaMMK,64942.54 
[14273] QUOTE,2xvOQRaMMK,GQV 
[14299] DISPLAY_SUMMARY,2xvOQRaMMK 
[14351] ADD,2xvOQRaMMK,57535.36 
[14434] BUY,2xvOQRaMMK,SXB,357.38 
[14615] CANCEL_BUY,2xvOQRaMMK 
[14837] SELL,2xvOQRaMMK,OEY,509.05 
[15063] CANCEL_BUY,2xvOQRaMMK 
[15279] DISPLAY_SUMMARY,2xvOQRaMMK 
[15321] SELL,2xvOQRaMMK,OEY,375.05 
[15420] CANCEL_SET_BUY,2xvOQRaMMK,KCS 
[15490] ADD,2xvOQRaMMK,78817.11 
[15654] BUY,2xvOQRaMMK,LBC,290.55 
[15657] SET_BUY_TRIGGER,2xvOQRaMMK,JNO,22.69 
[15684] ADD,2xvOQRaMMK,72032.56 
[15770] BUY,2xvOQRaMMK,FFN,22.00 
[15815] COMMIT_BUY,2xvOQRaMMK 
[16185] SET_BUY_TRIGGER,2xvOQRaMMK,PUU,16.01 
[16291] DISPLAY_SUMMARY,2xvOQRaMMK 
[16462] SET_BUY_TRIGGER,2xvOQRaMMK,CBO,122.26 
[16627] CANCEL_SET_SELL,2xvOQRaMMK,KES 
[16628] SELL,2xvOQRaMMK,FQP,21.42 
[16650] DISPLAY_SUMMARY,2xvOQRaMMK 
[16727] DISPLAY_SUMMARY,2xvOQRaMMK 
[16802] ADD,2xvOQRaMMK,91953.92 
[16810] QUOTE,2xvOQRaMMK,PHU 
[16939] QUOTE,2xvOQRaMMK,BCQ 
[17113] QUOTE,2xvOQRaMMK,FCH 
[17114] QUOTE,2xvOQRaMMK,ALM 
[17296] CANCEL_SET_BUY,2xvOQRaMMK,KRX 
[18092] DISPLAY_SUMMARY,2xvOQRaMMK 
[18118] CANCEL_SET_BUY,2xvOQRaMMK,DES 
[18275] QUOTE,2xvOQRaMMK,LTB 
[18323] CANCEL_SET_BUY,2xvOQRaMMK,TFZ 
[18328] SET_BUY_AMOUNT,2xvOQRaMMK,FQP,649.92 
[18506] BUY,2xvOQRaMMK,OIY,259.77 
[18525] COMMIT_BUY,2xvOQRaMMK 
[18552] CANCEL_SELL,2xvOQRaMMK 
