[19] ADD,3mEsf51UBo,43717.20 
[97] BUY,3mEsf51UBo,CMA,74.32 
[114] CANCEL_SET_SELL,3mEsf51UBo,PVH 
[224] SET_SELL_AMOUNT,3mEsf51UBo,KEV,371.68 
[319] QUOTE,3mEsf51UBo,XFH 
[385] SELL,3mEsf51UBo,VIK,640.29 
[426] COMMIT_SELL,3mEsf51UBo 
[559] BUY,3mEsf51UBo,ILT,317.64 
[607] COMMIT_BUY,3mEsf51UBo 
[645] DISPLAY_SUMMARY,3mEsf51UBo 
[711] SET_BUY_AMOUNT,3mEsf51UBo,QJZ,667.63 
[721] SET_BUY_TRIGGER,3mEsf51UBo,QXE,342.06 
[909] QUOTE,3mEsf51UBo,IFU 
[1131] BUY,3mEsf51UBo,GJR,48.18 
[1199] COMMIT_BUY,3mEsf51UBo 
[1397] SET_BUY_TRIGGER,3mEsf51UBo,NDO,3.01 
[1415] SELL,3mEsf51UBo,FQP,623.84 
[1474] COMMIT_SELL,3mEsf51UBo 
[1538] SET_BUY_AMOUNT,3mEsf51UBo,QJZ,432.48 
[1702] SET_BUY_TRIGGER,3mEsf51UBo,RWM,48.49 
[1711] DISPLAY_SUMMARY,3mEsf51UBo 
[1845] CANCEL_SET_BUY,3mEsf51UBo,YBP 
[2158] ADD,3mEsf51UBo,86903.25 
[2253] BUY,3mEsf51UBo,BLC,105.66 
[2326] QUOTE,3mEsf51UBo,PCR 
[2346] BUY,3mEsf51UBo,ULL,165.33 
[2505] CANCEL_BUY,3mEsf51UBo 
[2515] ADD,3mEsf51UBo,99750.66 
[2770] BUY,3mEsf51UBo,ZMS,59.94 
[2799] COMMIT_BUY,3mEsf51UBo 
[3243] QUOTE,3mEsf51UBo,FCM 
[3246] QUOTE,3mEsf51UBo,TCP 
[3266] QUOTE,3mEsf51UBo,DLX 
[3390] BUY,3mEsf51UBo,ZTR,567.69 
[3540] COMMIT_BUY,3mEsf51UBo 
[3671] SET_SELL_AMOUNT,3mEsf51UBo,FQP,722.37 
[3919] SET_SELL_TRIGGER,3mEsf51UBo,FQP,259.61 
[4008] DISPLAY_SUMMARY,3mEsf51UBo 
[4013] SET_BUY_AMOUNT,3mEsf51UBo,FQP,638.59 
[4054] SET_BUY_TRIGGER,3mEsf51UBo,VUS,150.54 
[4091] DISPLAY_SUMMARY,3mEsf51UBo 
[4109] DISPLAY_SUMMARY,3mEsf51UBo 
[4137] SET_BUY_TRIGGER,3mEsf51UBo,MIQ,33.49 
[4174] SELL,3mEsf51UBo,FQP,719.37 
[4197] COMMIT_SELL,3mEsf51UBo 
[4202] SELL,3mEsf51UBo,KDA,694.02 
[4210] COMMIT_BUY,3mEsf51UBo 
[4274] CANCEL_SET_BUY,3mEsf51UBo,LSW 
[4305] DISPLAY_SUMMARY,3mEsf51UBo 
[4410] QUOTE,3mEsf51UBo,RQT 
[4618] CANCEL_SET_BUY,3mEsf51UBo,QGN 
[4675] BUY,3mEsf51UBo,WHR,403.41 
[4830] COMMIT_BUY,3mEsf51UBo 
[4860] QUOTE,3mEsf51UBo,SQI 
[4893] QUOTE,3mEsf51UBo,HNO 
[4986] DISPLAY_SUMMARY,3mEsf51UBo 
[5101] ADD,3mEsf51UBo,69611.03 
[5295] QUOTE,3mEsf51UBo,NTB 
[5394] ADD,3mEsf51UBo,80139.42 
[5752] BUY,3mEsf51UBo,YTY,23.12 
[5918] CANCEL_BUY,3mEsf51UBo 
[6088] SET_BUY_TRIGGER,3mEsf51UBo,TWJ,35.87 
[6233] BUY,3mEsf51UBo,KZQ,390.83 
[6362] COMMIT_BUY,3mEsf51UBo 
[6488] CANCEL_SELL,3mEsf51UBo 
[6555] SET_SELL_AMOUNT,3mEsf51UBo,OEY,217.57 
[6556] DISPLAY_SUMMARY,3mEsf51UBo 
[6581] ADD,3mEsf51UBo,57732.43 
[6734] SET_BUY_AMOUNT,3mEsf51UBo,KES,81.86 
[6756] CANCEL_SET_BUY,3mEsf51UBo,WYD 
[6993] SET_SELL_TRIGGER,3mEsf51UBo,OEY,65.72 
[7021] SET_BUY_TRIGGER,3mEsf51UBo,YVS,117.78 
[7038] CANCEL_BUY,3mEsf51UBo 
[7123] SET_SELL_AMOUNT,3mEsf51UBo,JVT,458.84 
[7181] SET_SELL_TRIGGER,3mEsf51UBo,JVT,322.57 
[7231] ADD,3mEsf51UBo,84770.35 
[7397] QUOTE,3mEsf51UBo,XFH 
[7550] BUY,3mEsf51UBo,QQW,687.76 
[7703] QUOTE,3mEsf51UBo,WBX 
[7769] COMMIT_SELL,3mEsf51UBo 
[7830] ADD,3mEsf51UBo,70528.04 
[7858] SET_BUY_TRIGGER,3mEsf51UBo,ZOZ,120.68 
[8616] QUOTE,3mEsf51UBo,QOD 
[8723] QUOTE,3mEsf51UBo,ZLY 
[9137] QUOTE,3mEsf51UBo,OSC 
[9215] SELL,3mEsf51UBo,KES,114.71 
[9322] COMMIT_SELL,3mEsf51UBo 
[9434] DISPLAY_SUMMARY,3mEsf51UBo 
[9545] SET_BUY_TRIGGER,3mEsf51UBo,KVK,35.26 
[9589] SELL,3mEsf51UBo,JVT,385.83 
[9642] SET_BUY_AMOUNT,3mEsf51UBo,KES,501.66 
[9649] QUOTE,3mEsf51UBo,MER 
[9717] BUY,3mEsf51UBo,OOT,306.94 
[9724] SELL,3mEsf51UBo,QJZ,553.85 
[9751] COMMIT_SELL,3mEsf51UBo 
[9943] SET_BUY_TRIGGER,3mEsf51UBo,DVA,396.08 
[10057] QUOTE,3mEsf51UBo,LVT 
[10270] SET_BUY_AMOUNT,3mEsf51UBo,FQP,592.17 
[10273] DISPLAY_SUMMARY,3mEsf51UBo 
[10284] SET_BUY_AMOUNT,3mEsf51UBo,KES,171.11 
[10367] SET_BUY_TRIGGER,3mEsf51UBo,XVK,157.72 
[10497] BUY,3mEsf51UBo,RRT,565.11 
[10586] COMMIT_BUY,3mEsf51UBo 
[10624] DISPLAY_SUMMARY,3mEsf51UBo 
[10625] DISPLAY_SUMMARY,3mEsf51UBo 
[10644] SET_SELL_TRIGGER,3mEsf51UBo,YTT,102.18 
[10712] COMMIT_BUY,3mEsf51UBo 
[10815] DISPLAY_SUMMARY,3mEsf51UBo 
[11279] SELL,3mEsf51UBo,KDA,404.05 
[11305] CANCEL_SELL,3mEsf51UBo 
[11311] DISPLAY_SUMMARY,3mEsf51UBo 
[11456] DISPLAY_SUMMARY,3mEsf51UBo 
[11495] CANCEL_BUY,3mEsf51UBo 
[11545] ADD,3mEsf51UBo,82754.96 
[11667] QUOTE,3mEsf51UBo,UZZ 
[11695] BUY,3mEsf51UBo,NVN,11.24 
[12128] COMMIT_BUY,3mEsf51UBo 
[12131] QUOTE,3mEsf51UBo,WKD 
[12326] DISPLAY_SUMMARY,3mEsf51UBo 
[12442] ADD,3mEsf51UBo,79057.80 
[12547] CANCEL_SELL,3mEsf51UBo 
[12685] CANCEL_SET_SELL,3mEsf51UBo,BWR 
[12720] SET_BUY_AMOUNT,3mEsf51UBo,JCQ,679.62 
[12838] SET_BUY_TRIGGER,3mEsf51UBo,KEV,267.89 
[12910] SET_BUY_TRIGGER,3mEsf51UBo,YPL,123.43 
[13133] BUY,3mEsf51UBo,OOT,401.79 
[13160] QUOTE,3mEsf51UBo,OSC 
[13162] BUY,3mEsf51UBo,YUL,349.27 
[13181] COMMIT_BUY,3mEsf51UBo 
[13195] BUY,3mEsf51UBo,ELQ,284.89 
[13518] COMMIT_BUY,3mEsf51UBo 
[13761] SET_SELL_TRIGGER,3mEsf51UBo,JJW,179.14 
