[91] ADD,4vBuSX8YYJ,79340.05 
[190] SET_BUY_AMOUNT,4vBuSX8YYJ,YBP,468.77 
[210] BUY,4vBuSX8YYJ,ECL,251.18 
[232] CANCEL_BUY,4vBuSX8YYJ 
[338] SET_BUY_TRIGGER,4vBuSX8YYJ,YBP,121.70 
[505] SET_BUY_AMOUNT,4vBuSX8YYJ,OTI,531.31 
[512] SET_BUY_TRIGGER,4vBuSX8YYJ,OTI,351.65 
[589] SET_BUY_AMOUNT,4vBuSX8YYJ,ZPD,87.71 
[646] SET_BUY_TRIGGER,4vBuSX8YYJ,ZPD,49.15 
[872] ADD,4vBuSX8YYJ,80370.06 
[1125] QUOTE,4vBuSX8YYJ,GPL 
[1282] ADD,4vBuSX8YYJ,58169.95 
[1317] QUOTE,4vBuSX8YYJ,LLD 
[1348] SET_SELL_AMOUNT,4vBuSX8YYJ,SYU,150.45 
[1440] SET_SELL_TRIGGER,4vBuSX8YYJ,SYU,83.99 
[1475] DISPLAY_SUMMARY,4vBuSX8YYJ 
[1573] SELL,4vBuSX8YYJ,MKE,415.36 
[1599] COMMIT_SELL,4vBuSX8YYJ 
[1773] BUY,4vBuSX8YYJ,QZN,545.52 
[1942] CANCEL_BUY,4vBuSX8YYJ 
[2039] DISPLAY_SUMMARY,4vBuSX8YYJ 
[2320] SELL,4vBuSX8YYJ,PRJ,680.64 
[2391] COMMIT_SELL,4vBuSX8YYJ 
[2474] SELL,4vBuSX8YYJ,BJL,74.44 
[2893] SET_BUY_AMOUNT,4vBuSX8YYJ,MDZ,600.57 
[2897] SET_BUY_TRIGGER,4vBuSX8YYJ,MDZ,569.33 
[2922] ADD,4vBuSX8YYJ,56628.14 
[3035] BUY,4vBuSX8YYJ,YDS,161.74 
[3082] CANCEL_BUY,4vBuSX8YYJ 
[3131] BUY,4vBuSX8YYJ,BWL,344.39 
[3163] COMMIT_BUY,4vBuSX8YYJ 
[3178] DISPLAY_SUMMARY,4vBuSX8YYJ 
[3182] SELL,4vBuSX8YYJ,QJZ,441.67 
[3279] COMMIT_SELL,4vBuSX8YYJ 
[3391] ADD,4vBuSX8YYJ,80490.70 
