[33] ADD,69DAEr1YIe,73268.56 
[45] SET_BUY_TRIGGER,69DAEr1YIe,AHO,88.50 
[310] SET_BUY_AMOUNT,69DAEr1YIe,XPX,119.30 
[485] SET_BUY_TRIGGER,69DAEr1YIe,XPX,118.36 
[541] SET_SELL_AMOUNT,69DAEr1YIe,PTP,50.13 
[590] QUOTE,69DAEr1YIe,OHG 
[670] BUY,69DAEr1YIe,ZAM,335.05 
[709] QUOTE,69DAEr1YIe,ZCQ 
[720] ADD,69DAEr1YIe,68708.12 
[812] QUOTE,69DAEr1YIe,SEI 
[815] ADD,69DAEr1YIe,56524.63 
[914] QUOTE,69DAEr1YIe,QTU 
[933] SET_BUY_AMOUNT,69DAEr1YIe,FFN,618.30 
[1003] SET_BUY_TRIGGER,69DAEr1YIe,FFN,391.72 
[1083] SELL,69DAEr1YIe,HBF,59.52 
[1107] CANCEL_SELL,69DAEr1YIe 
[1126] DISPLAY_SUMMARY,69DAEr1YIe 
[1164] QUOTE,69DAEr1YIe,GRM 
[1170] DISPLAY_SUMMARY,69DAEr1YIe 
[1186] SET_SELL_TRIGGER,69DAEr1YIe,PTP,40.77 
[1350] SELL,69DAEr1YIe,GUB,559.20 
[1467] COMMIT_SELL,69DAEr1YIe 
[1762] BUY,69DAEr1YIe,ZTR,86.52 
[1765] COMMIT_BUY,69DAEr1YIe 
[1842] QUOTE,69DAEr1YIe,OOR 
[1901] CANCEL_SELL,69DAEr1YIe 
[1922] ADD,69DAEr1YIe,53321.87 
[2230] QUOTE,69DAEr1YIe,HZA 
[2476] SELL,69DAEr1YIe,QJZ,318.46 
[2499] COMMIT_SELL,69DAEr1YIe 
[3120] DISPLAY_SUMMARY,69DAEr1YIe 
[3157] SET_BUY_TRIGGER,69DAEr1YIe,STO,52.12 
[3301] SELL,69DAEr1YIe,QJZ,437.17 
[3354] SET_BUY_TRIGGER,69DAEr1YIe,OTD,42.29 
[3640] CANCEL_SET_SELL,69DAEr1YIe,YEW 
[3687] SELL,69DAEr1YIe,QJZ,291.29 
[3721] COMMIT_SELL,69DAEr1YIe 
[3722] ADD,69DAEr1YIe,53483.86 
[3824] QUOTE,69DAEr1YIe,DWU 
[3847] ADD,69DAEr1YIe,92558.65 
[3918] CANCEL_BUY,69DAEr1YIe 
[4009] SELL,69DAEr1YIe,QJZ,283.86 
[4151] QUOTE,69DAEr1YIe,ENQ 
[4216] SET_SELL_AMOUNT,69DAEr1YIe,QJZ,536.24 
[4236] QUOTE,69DAEr1YIe,SCW 
[4366] ADD,69DAEr1YIe,76255.35 
[4420] SET_SELL_AMOUNT,69DAEr1YIe,QJZ,425.84 
[4434] SET_SELL_TRIGGER,69DAEr1YIe,QJZ,287.78 
[4937] SET_BUY_AMOUNT,69DAEr1YIe,QJZ,20.49 
[5201] SET_BUY_TRIGGER,69DAEr1YIe,OGR,10.92 
