[339] ADD,6bw5h7oAdg,66382.14 
[401] QUOTE,6bw5h7oAdg,AZN 
[432] BUY,6bw5h7oAdg,MZT,100.55 
[658] COMMIT_BUY,6bw5h7oAdg 
[715] SELL,6bw5h7oAdg,QJZ,446.00 
[800] COMMIT_BUY,6bw5h7oAdg 
[935] SET_BUY_AMOUNT,6bw5h7oAdg,QJZ,681.41 
[954] SET_BUY_TRIGGER,6bw5h7oAdg,JRJ,276.83 
[994] SELL,6bw5h7oAdg,QJZ,653.18 
[1303] QUOTE,6bw5h7oAdg,DWX 
[1369] QUOTE,6bw5h7oAdg,SHP 
[1435] COMMIT_SELL,6bw5h7oAdg 
[1598] SET_BUY_TRIGGER,6bw5h7oAdg,MUN,189.88 
[1913] ADD,6bw5h7oAdg,49795.46 
[1989] QUOTE,6bw5h7oAdg,RNK 
[2015] BUY,6bw5h7oAdg,WNH,518.59 
[2171] CANCEL_BUY,6bw5h7oAdg 
[2254] SET_BUY_TRIGGER,6bw5h7oAdg,CBK,4.52 
[2417] SET_SELL_TRIGGER,6bw5h7oAdg,SSF,60.44 
[2497] ADD,6bw5h7oAdg,58892.52 
[2504] QUOTE,6bw5h7oAdg,KQZ 
[2512] QUOTE,6bw5h7oAdg,KGA 
[2712] BUY,6bw5h7oAdg,OGR,673.40 
[2856] CANCEL_BUY,6bw5h7oAdg 
[2870] SET_SELL_TRIGGER,6bw5h7oAdg,TQX,121.48 
[2912] SET_SELL_AMOUNT,6bw5h7oAdg,QJZ,651.45 
[3017] SET_SELL_TRIGGER,6bw5h7oAdg,QJZ,131.22 
[3242] CANCEL_BUY,6bw5h7oAdg 
[3512] ADD,6bw5h7oAdg,31389.72 
[3571] BUY,6bw5h7oAdg,LMB,575.26 
[3735] COMMIT_BUY,6bw5h7oAdg 
[3967] DISPLAY_SUMMARY,6bw5h7oAdg 
[4089] ADD,6bw5h7oAdg,54672.84 
[4157] BUY,6bw5h7oAdg,EDW,203.39 
[4169] COMMIT_BUY,6bw5h7oAdg 
[4230] DISPLAY_SUMMARY,6bw5h7oAdg 
[4258] SET_BUY_AMOUNT,6bw5h7oAdg,QJZ,274.47 
[4260] SET_BUY_TRIGGER,6bw5h7oAdg,LRS,98.59 
[4311] SELL,6bw5h7oAdg,FQP,341.45 
[4470] QUOTE,6bw5h7oAdg,YPW 
[4472] SET_SELL_TRIGGER,6bw5h7oAdg,XYV,123.77 
[4783] QUOTE,6bw5h7oAdg,PNP 
[4889] DISPLAY_SUMMARY,6bw5h7oAdg 
[4940] DISPLAY_SUMMARY,6bw5h7oAdg 
[4958] SET_SELL_TRIGGER,6bw5h7oAdg,FPI,132.41 
[5060] DISPLAY_SUMMARY,6bw5h7oAdg 
[5129] CANCEL_SET_SELL,6bw5h7oAdg,NSN 
[5182] SELL,6bw5h7oAdg,FQP,424.49 
[5258] COMMIT_SELL,6bw5h7oAdg 
[6101] BUY,6bw5h7oAdg,KZQ,694.52 
[6185] COMMIT_BUY,6bw5h7oAdg 
[6196] ADD,6bw5h7oAdg,86144.76 
[6387] QUOTE,6bw5h7oAdg,UFX 
[6612] SET_BUY_AMOUNT,6bw5h7oAdg,KES,144.92 
[6635] QUOTE,6bw5h7oAdg,WAO 
[6656] QUOTE,6bw5h7oAdg,BYM 
[6725] ADD,6bw5h7oAdg,47078.22 
[6803] QUOTE,6bw5h7oAdg,BJL 
[6864] CANCEL_SELL,6bw5h7oAdg 
[6936] SET_BUY_TRIGGER,6bw5h7oAdg,JDW,138.72 
[7267] ADD,6bw5h7oAdg,76527.31 
[7316] BUY,6bw5h7oAdg,EWP,683.72 
[7373] COMMIT_BUY,6bw5h7oAdg 
[7763] BUY,6bw5h7oAdg,GZQ,440.27 
[7905] CANCEL_SELL,6bw5h7oAdg 
[7988] ADD,6bw5h7oAdg,74173.18 
[7995] BUY,6bw5h7oAdg,UIE,325.60 
[8081] SET_SELL_AMOUNT,6bw5h7oAdg,KDA,154.91 
[8156] DISPLAY_SUMMARY,6bw5h7oAdg 
[8286] BUY,6bw5h7oAdg,JPP,431.40 
[8398] SET_BUY_TRIGGER,6bw5h7oAdg,JYV,12.80 
[8480] ADD,6bw5h7oAdg,61418.43 
[8598] QUOTE,6bw5h7oAdg,JEA 
[8746] QUOTE,6bw5h7oAdg,SFO 
[8788] SET_SELL_TRIGGER,6bw5h7oAdg,KDA,65.78 
[8914] QUOTE,6bw5h7oAdg,LUT 
[9065] QUOTE,6bw5h7oAdg,VMT 
[9089] BUY,6bw5h7oAdg,LMB,101.12 
[9199] COMMIT_BUY,6bw5h7oAdg 
[9396] SET_BUY_TRIGGER,6bw5h7oAdg,PHJ,85.35 
[9403] BUY,6bw5h7oAdg,TYV,540.61 
[9524] ADD,6bw5h7oAdg,86081.24 
[9573] QUOTE,6bw5h7oAdg,SAR 
