[212] ADD,7Jo2brvLiF,94714.38 
[268] CANCEL_SELL,7Jo2brvLiF 
[297] ADD,7Jo2brvLiF,70274.99 
[365] QUOTE,7Jo2brvLiF,VOY 
[461] DISPLAY_SUMMARY,7Jo2brvLiF 
[515] SELL,7Jo2brvLiF,YDD,552.01 
[551] COMMIT_SELL,7Jo2brvLiF 
[653] ADD,7Jo2brvLiF,52828.69 
[889] SET_SELL_AMOUNT,7Jo2brvLiF,CBY,584.61 
[945] SET_SELL_TRIGGER,7Jo2brvLiF,CBY,562.07 
[1087] SET_SELL_AMOUNT,7Jo2brvLiF,OHG,393.44 
[1141] SET_SELL_TRIGGER,7Jo2brvLiF,OHG,42.75 
[1179] CANCEL_SELL,7Jo2brvLiF 
[1254] SELL,7Jo2brvLiF,EED,206.51 
[1304] QUOTE,7Jo2brvLiF,DRO 
[1406] BUY,7Jo2brvLiF,RWY,125.24 
[1468] QUOTE,7Jo2brvLiF,RQL 
[1575] BUY,7Jo2brvLiF,PYB,618.40 
[1646] DISPLAY_SUMMARY,7Jo2brvLiF 
[1705] SELL,7Jo2brvLiF,CMA,208.90 
[1936] COMMIT_SELL,7Jo2brvLiF 
[1941] SET_BUY_AMOUNT,7Jo2brvLiF,FYR,164.48 
[1982] SET_BUY_TRIGGER,7Jo2brvLiF,FYR,149.38 
[2044] BUY,7Jo2brvLiF,MAX,271.39 
[2061] COMMIT_BUY,7Jo2brvLiF 
[2095] SET_BUY_TRIGGER,7Jo2brvLiF,DIX,61.22 
[2148] ADD,7Jo2brvLiF,97128.60 
[2198] QUOTE,7Jo2brvLiF,GZU 
[2250] SET_BUY_AMOUNT,7Jo2brvLiF,QJZ,738.37 
[2305] SET_BUY_TRIGGER,7Jo2brvLiF,NUV,210.03 
[2426] QUOTE,7Jo2brvLiF,KLY 
[2807] SET_BUY_AMOUNT,7Jo2brvLiF,QJZ,235.52 
[2877] QUOTE,7Jo2brvLiF,SAR 
[2919] QUOTE,7Jo2brvLiF,EUM 
[3289] QUOTE,7Jo2brvLiF,HNO 
[3346] DISPLAY_SUMMARY,7Jo2brvLiF 
[3356] BUY,7Jo2brvLiF,XAN,248.14 
[3370] CANCEL_BUY,7Jo2brvLiF 
[3443] SET_BUY_TRIGGER,7Jo2brvLiF,GTX,102.32 
[3511] ADD,7Jo2brvLiF,57198.59 
[3600] QUOTE,7Jo2brvLiF,AAC 
[3618] BUY,7Jo2brvLiF,SOT,562.26 
[3909] COMMIT_BUY,7Jo2brvLiF 
[4256] COMMIT_SELL,7Jo2brvLiF 
[4558] ADD,7Jo2brvLiF,82623.41 
[4661] CANCEL_BUY,7Jo2brvLiF 
[4682] QUOTE,7Jo2brvLiF,PFK 
[4708] DISPLAY_SUMMARY,7Jo2brvLiF 
[4863] QUOTE,7Jo2brvLiF,MIY 
[4931] SET_BUY_TRIGGER,7Jo2brvLiF,NRY,122.43 
[5215] SET_BUY_AMOUNT,7Jo2brvLiF,QJZ,744.95 
[5272] CANCEL_SET_BUY,7Jo2brvLiF,NDJ 
[5468] ADD,7Jo2brvLiF,88980.64 
[5524] BUY,7Jo2brvLiF,XQG,56.92 
[5534] CANCEL_SET_SELL,7Jo2brvLiF,GUW 
[5582] QUOTE,7Jo2brvLiF,GIX 
[5935] CANCEL_SET_BUY,7Jo2brvLiF,JHY 
[6211] BUY,7Jo2brvLiF,LMB,316.56 
[6247] CANCEL_SELL,7Jo2brvLiF 
[6361] ADD,7Jo2brvLiF,63806.52 
[6516] QUOTE,7Jo2brvLiF,WSR 
[6737] ADD,7Jo2brvLiF,78148.13 
[6806] QUOTE,7Jo2brvLiF,XLK 
[7349] QUOTE,7Jo2brvLiF,XUY 
[7374] COMMIT_SELL,7Jo2brvLiF 
[7477] BUY,7Jo2brvLiF,JMG,398.86 
[7526] QUOTE,7Jo2brvLiF,YAV 
[7537] QUOTE,7Jo2brvLiF,QHF 
[7787] COMMIT_BUY,7Jo2brvLiF 
[7839] BUY,7Jo2brvLiF,QHF,37.51 
[7850] COMMIT_BUY,7Jo2brvLiF 
[7940] SET_BUY_AMOUNT,7Jo2brvLiF,KDA,611.71 
[7973] SET_BUY_TRIGGER,7Jo2brvLiF,WJS,189.41 
[8060] ADD,7Jo2brvLiF,70081.25 
[8295] QUOTE,7Jo2brvLiF,OXV 
[8299] CANCEL_SET_SELL,7Jo2brvLiF,FOW 
[8303] ADD,7Jo2brvLiF,78142.03 
[8344] QUOTE,7Jo2brvLiF,HZP 
[8492] SELL,7Jo2brvLiF,KDA,245.46 
[8806] DISPLAY_SUMMARY,7Jo2brvLiF 
[8835] ADD,7Jo2brvLiF,73213.43 
[8854] BUY,7Jo2brvLiF,CUZ,285.74 
[9007] COMMIT_BUY,7Jo2brvLiF 
[9261] SET_SELL_TRIGGER,7Jo2brvLiF,PJW,56.19 
[9279] QUOTE,7Jo2brvLiF,JGO 
[9358] BUY,7Jo2brvLiF,PPW,384.45 
[9390] CANCEL_BUY,7Jo2brvLiF 
[9437] SELL,7Jo2brvLiF,QJZ,605.22 
[9644] COMMIT_SELL,7Jo2brvLiF 
[9664] ADD,7Jo2brvLiF,86653.75 
[9690] QUOTE,7Jo2brvLiF,JEO 
[9773] BUY,7Jo2brvLiF,JIO,373.31 
[9855] COMMIT_BUY,7Jo2brvLiF 
[10051] CANCEL_SET_BUY,7Jo2brvLiF,RVZ 
[10084] ADD,7Jo2brvLiF,63025.47 
[10097] ADD,7Jo2brvLiF,73764.17 
[10248] QUOTE,7Jo2brvLiF,NAW 
[10256] COMMIT_SELL,7Jo2brvLiF 
[10321] SET_SELL_AMOUNT,7Jo2brvLiF,FQP,310.40 
[10349] SET_SELL_TRIGGER,7Jo2brvLiF,FQP,176.15 
[10574] SELL,7Jo2brvLiF,JVT,488.21 
[10582] SELL,7Jo2brvLiF,KDA,378.42 
[10764] QUOTE,7Jo2brvLiF,EIK 
[10845] BUY,7Jo2brvLiF,GTX,217.11 
[11124] COMMIT_BUY,7Jo2brvLiF 
[11208] SELL,7Jo2brvLiF,FQP,655.30 
[11248] CANCEL_SELL,7Jo2brvLiF 
[11258] ADD,7Jo2brvLiF,69947.67 
[11549] QUOTE,7Jo2brvLiF,UDQ 
[11651] SET_BUY_AMOUNT,7Jo2brvLiF,FQP,83.61 
[11875] SET_BUY_TRIGGER,7Jo2brvLiF,XBL,23.40 
[11948] SET_BUY_AMOUNT,7Jo2brvLiF,KES,718.64 
