[2] ADD,7UUhSRHInh,94529.05 
[124] QUOTE,7UUhSRHInh,FQR 
[241] BUY,7UUhSRHInh,YBP,563.51 
[264] CANCEL_SELL,7UUhSRHInh 
[298] SET_SELL_TRIGGER,7UUhSRHInh,IPH,100.37 
[336] BUY,7UUhSRHInh,YOG,81.92 
[383] COMMIT_SELL,7UUhSRHInh 
[399] CANCEL_BUY,7UUhSRHInh 
[433] DISPLAY_SUMMARY,7UUhSRHInh 
[514] DISPLAY_SUMMARY,7UUhSRHInh 
[902] QUOTE,7UUhSRHInh,KPE 
[1022] CANCEL_SET_BUY,7UUhSRHInh,WKT 
[1057] SET_SELL_AMOUNT,7UUhSRHInh,HYX,482.82 
[1161] DISPLAY_SUMMARY,7UUhSRHInh 
[1201] QUOTE,7UUhSRHInh,FQG 
[1229] SET_SELL_TRIGGER,7UUhSRHInh,HYX,140.27 
[1268] ADD,7UUhSRHInh,61109.62 
[1421] BUY,7UUhSRHInh,KDG,710.26 
[1437] CANCEL_SET_BUY,7UUhSRHInh,PYM 
[1654] SELL,7UUhSRHInh,YDD,270.61 
[1732] COMMIT_SELL,7UUhSRHInh 
[1759] SELL,7UUhSRHInh,VIG,284.96 
[1868] SELL,7UUhSRHInh,LKV,154.06 
[1873] BUY,7UUhSRHInh,IRQ,21.89 
[1965] CANCEL_SET_BUY,7UUhSRHInh,UDM 
[2101] BUY,7UUhSRHInh,MJU,316.15 
[2237] COMMIT_BUY,7UUhSRHInh 
[2244] QUOTE,7UUhSRHInh,WJP 
[2336] SET_SELL_TRIGGER,7UUhSRHInh,JVE,182.09 
[2439] SELL,7UUhSRHInh,QJZ,293.73 
[2472] QUOTE,7UUhSRHInh,DKV 
[2559] ADD,7UUhSRHInh,32115.56 
[2758] QUOTE,7UUhSRHInh,ETJ 
[2776] QUOTE,7UUhSRHInh,DBC 
[2958] ADD,7UUhSRHInh,54815.58 
[3125] SET_BUY_TRIGGER,7UUhSRHInh,PRJ,181.14 
[3139] DISPLAY_SUMMARY,7UUhSRHInh 
[3195] SET_SELL_TRIGGER,7UUhSRHInh,CVP,70.69 
[3248] DISPLAY_SUMMARY,7UUhSRHInh 
[3310] DISPLAY_SUMMARY,7UUhSRHInh 
[3407] QUOTE,7UUhSRHInh,IBT 
[3479] BUY,7UUhSRHInh,WUF,207.13 
[3619] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,564.36 
[3878] SET_SELL_TRIGGER,7UUhSRHInh,QJZ,25.73 
