[18] ADD,8IA1PUK3hd,73742.71 
[78] BUY,8IA1PUK3hd,GGI,233.87 
[219] CANCEL_BUY,8IA1PUK3hd 
[260] QUOTE,8IA1PUK3hd,LLD 
[422] SET_BUY_AMOUNT,8IA1PUK3hd,OGB,50.56 
[508] SET_BUY_TRIGGER,8IA1PUK3hd,OGB,20.45 
[568] SELL,8IA1PUK3hd,VYQ,745.29 
[651] COMMIT_SELL,8IA1PUK3hd 
[724] SET_BUY_TRIGGER,8IA1PUK3hd,ALV,167.65 
[736] ADD,8IA1PUK3hd,85308.66 
[757] BUY,8IA1PUK3hd,FFZ,492.69 
[806] COMMIT_BUY,8IA1PUK3hd 
[887] SET_SELL_AMOUNT,8IA1PUK3hd,QJZ,698.77 
[1124] SET_SELL_TRIGGER,8IA1PUK3hd,QJZ,388.25 
[1133] QUOTE,8IA1PUK3hd,GAV 
[1225] ADD,8IA1PUK3hd,81200.11 
[1409] QUOTE,8IA1PUK3hd,ZMA 
[1534] BUY,8IA1PUK3hd,ATW,592.91 
[1639] COMMIT_BUY,8IA1PUK3hd 
[1684] SET_BUY_TRIGGER,8IA1PUK3hd,CMD,136.71 
[1812] SELL,8IA1PUK3hd,FQP,529.56 
[1813] SET_SELL_TRIGGER,8IA1PUK3hd,EUC,166.09 
[2036] SELL,8IA1PUK3hd,QJZ,362.34 
[2317] SET_BUY_TRIGGER,8IA1PUK3hd,CXC,92.55 
[2435] CANCEL_SET_BUY,8IA1PUK3hd,ZDB 
[2449] DISPLAY_SUMMARY,8IA1PUK3hd 
[2616] ADD,8IA1PUK3hd,70753.56 
[2641] SET_BUY_TRIGGER,8IA1PUK3hd,GYF,174.18 
[2746] DISPLAY_SUMMARY,8IA1PUK3hd 
[2926] ADD,8IA1PUK3hd,84201.60 
[2939] QUOTE,8IA1PUK3hd,ZTI 
[3259] BUY,8IA1PUK3hd,FGF,714.70 
[3280] COMMIT_BUY,8IA1PUK3hd 
[3290] ADD,8IA1PUK3hd,50252.18 
[3307] BUY,8IA1PUK3hd,KNM,47.23 
[3409] COMMIT_SELL,8IA1PUK3hd 
[3491] SET_BUY_AMOUNT,8IA1PUK3hd,QJZ,588.75 
[3514] SET_BUY_TRIGGER,8IA1PUK3hd,XWZ,515.52 
[3515] SET_BUY_TRIGGER,8IA1PUK3hd,QAA,40.46 
[3522] SET_BUY_AMOUNT,8IA1PUK3hd,FQP,160.91 
[3543] CANCEL_SET_BUY,8IA1PUK3hd,TOL 
[3585] BUY,8IA1PUK3hd,XBE,495.92 
[3627] COMMIT_SELL,8IA1PUK3hd 
[3741] CANCEL_SELL,8IA1PUK3hd 
[3870] SELL,8IA1PUK3hd,FQP,274.24 
[3970] COMMIT_SELL,8IA1PUK3hd 
[3981] SET_SELL_AMOUNT,8IA1PUK3hd,QJZ,315.57 
[4073] QUOTE,8IA1PUK3hd,FOW 
[4220] DISPLAY_SUMMARY,8IA1PUK3hd 
[4330] BUY,8IA1PUK3hd,YZH,124.19 
[4391] COMMIT_BUY,8IA1PUK3hd 
[4559] ADD,8IA1PUK3hd,65482.84 
[4562] BUY,8IA1PUK3hd,AEM,381.69 
[5030] COMMIT_BUY,8IA1PUK3hd 
[5032] QUOTE,8IA1PUK3hd,GJQ 
[5191] BUY,8IA1PUK3hd,ZER,417.87 
[5273] COMMIT_BUY,8IA1PUK3hd 
[5279] SELL,8IA1PUK3hd,OEY,426.72 
[5496] CANCEL_SELL,8IA1PUK3hd 
[5522] ADD,8IA1PUK3hd,56979.83 
[5531] BUY,8IA1PUK3hd,CLP,701.57 
[5769] COMMIT_BUY,8IA1PUK3hd 
[5813] ADD,8IA1PUK3hd,76128.20 
[6080] BUY,8IA1PUK3hd,URD,318.54 
[6384] COMMIT_BUY,8IA1PUK3hd 
[6560] DISPLAY_SUMMARY,8IA1PUK3hd 
[6634] SET_BUY_TRIGGER,8IA1PUK3hd,SYM,54.60 
[6804] CANCEL_SELL,8IA1PUK3hd 
[6912] SET_BUY_AMOUNT,8IA1PUK3hd,GYF,293.46 
[7049] SET_BUY_TRIGGER,8IA1PUK3hd,FPV,160.22 
[7191] ADD,8IA1PUK3hd,82427.04 
[7193] DISPLAY_SUMMARY,8IA1PUK3hd 
[7215] ADD,8IA1PUK3hd,65196.53 
[7288] QUOTE,8IA1PUK3hd,NRY 
[7383] COMMIT_SELL,8IA1PUK3hd 
[7498] SET_BUY_AMOUNT,8IA1PUK3hd,JCQ,625.02 
[7513] SET_BUY_TRIGGER,8IA1PUK3hd,WZY,541.46 
[7533] SELL,8IA1PUK3hd,QJZ,384.99 
[7884] CANCEL_BUY,8IA1PUK3hd 
[7959] SET_BUY_AMOUNT,8IA1PUK3hd,FQP,0.31 
[8025] SET_BUY_TRIGGER,8IA1PUK3hd,XER,0.18 
[8051] QUOTE,8IA1PUK3hd,DGA 
[8176] CANCEL_BUY,8IA1PUK3hd 
[8245] SET_SELL_TRIGGER,8IA1PUK3hd,QJZ,34.98 
[8415] SET_SELL_TRIGGER,8IA1PUK3hd,ZZN,10.45 
[8601] DISPLAY_SUMMARY,8IA1PUK3hd 
[8728] DISPLAY_SUMMARY,8IA1PUK3hd 
[8807] CANCEL_SET_SELL,8IA1PUK3hd,YBP 
[9016] COMMIT_BUY,8IA1PUK3hd 
[9097] ADD,8IA1PUK3hd,82732.87 
[9290] BUY,8IA1PUK3hd,TUO,148.23 
[9309] CANCEL_SET_BUY,8IA1PUK3hd,CBQ 
[9317] SET_SELL_TRIGGER,8IA1PUK3hd,JLO,12.34 
