[122] ADD,8pCSyzEP5L,80601.28 
[140] QUOTE,8pCSyzEP5L,HEJ 
[344] BUY,8pCSyzEP5L,OBR,141.20 
[369] COMMIT_BUY,8pCSyzEP5L 
[434] ADD,8pCSyzEP5L,57127.09 
[663] QUOTE,8pCSyzEP5L,ENQ 
[773] ADD,8pCSyzEP5L,50326.73 
[949] BUY,8pCSyzEP5L,NVX,588.10 
[1097] CANCEL_BUY,8pCSyzEP5L 
[1151] ADD,8pCSyzEP5L,64365.25 
[1165] QUOTE,8pCSyzEP5L,GJQ 
[1212] SET_BUY_TRIGGER,8pCSyzEP5L,WYO,130.64 
[1910] BUY,8pCSyzEP5L,LRS,46.97 
[1998] COMMIT_SELL,8pCSyzEP5L 
[2037] BUY,8pCSyzEP5L,VKP,497.30 
[2185] CANCEL_BUY,8pCSyzEP5L 
[2255] SELL,8pCSyzEP5L,QJZ,700.74 
[2555] SET_SELL_TRIGGER,8pCSyzEP5L,LKV,134.51 
[2557] QUOTE,8pCSyzEP5L,SVV 
[2636] BUY,8pCSyzEP5L,NTT,536.75 
[2639] SET_BUY_AMOUNT,8pCSyzEP5L,QJZ,448.81 
[2698] QUOTE,8pCSyzEP5L,YIU 
[2994] BUY,8pCSyzEP5L,ELQ,209.91 
[3020] SELL,8pCSyzEP5L,QJZ,253.55 
[3160] COMMIT_SELL,8pCSyzEP5L 
[3247] QUOTE,8pCSyzEP5L,DNJ 
[3455] DISPLAY_SUMMARY,8pCSyzEP5L 
[3475] SET_SELL_TRIGGER,8pCSyzEP5L,MXD,70.10 
[3480] SET_SELL_TRIGGER,8pCSyzEP5L,SAJ,146.26 
[3744] DISPLAY_SUMMARY,8pCSyzEP5L 
[3760] SELL,8pCSyzEP5L,QJZ,426.01 
[3791] COMMIT_SELL,8pCSyzEP5L 
[3823] SELL,8pCSyzEP5L,QJZ,551.68 
[3920] QUOTE,8pCSyzEP5L,MQP 
[3977] SET_SELL_TRIGGER,8pCSyzEP5L,XLI,9.98 
[4343] SET_BUY_AMOUNT,8pCSyzEP5L,QJZ,304.47 
[4432] SET_BUY_TRIGGER,8pCSyzEP5L,GMF,165.25 
[4516] DISPLAY_SUMMARY,8pCSyzEP5L 
[4600] SELL,8pCSyzEP5L,QJZ,365.51 
[4638] DISPLAY_SUMMARY,8pCSyzEP5L 
[4697] CANCEL_SET_SELL,8pCSyzEP5L,KLE 
[4757] SET_BUY_TRIGGER,8pCSyzEP5L,FQR,131.59 
[4824] DISPLAY_SUMMARY,8pCSyzEP5L 
[4861] SET_BUY_TRIGGER,8pCSyzEP5L,LZB,168.32 
[5064] DISPLAY_SUMMARY,8pCSyzEP5L 
[5108] DISPLAY_SUMMARY,8pCSyzEP5L 
[5137] SET_BUY_AMOUNT,8pCSyzEP5L,QJZ,717.15 
[5290] SET_BUY_TRIGGER,8pCSyzEP5L,SIK,122.41 
[5404] SET_SELL_TRIGGER,8pCSyzEP5L,BSZ,28.72 
[5472] ADD,8pCSyzEP5L,74248.95 
[5665] CANCEL_SELL,8pCSyzEP5L 
[5675] QUOTE,8pCSyzEP5L,PPY 
[5868] QUOTE,8pCSyzEP5L,ZMS 
[5952] ADD,8pCSyzEP5L,54450.18 
[6213] BUY,8pCSyzEP5L,TSU,332.27 
[6309] COMMIT_BUY,8pCSyzEP5L 
[6346] CANCEL_SET_SELL,8pCSyzEP5L,UZZ 
[6348] SET_SELL_AMOUNT,8pCSyzEP5L,QJZ,371.59 
[6496] SET_SELL_TRIGGER,8pCSyzEP5L,QJZ,7.48 
[6518] BUY,8pCSyzEP5L,NUL,420.66 
[6596] QUOTE,8pCSyzEP5L,LLO 
[6615] BUY,8pCSyzEP5L,WJB,563.26 
[6626] CANCEL_SET_BUY,8pCSyzEP5L,LSK 
[6631] DISPLAY_SUMMARY,8pCSyzEP5L 
[6785] BUY,8pCSyzEP5L,AUT,321.55 
[6933] CANCEL_BUY,8pCSyzEP5L 
[7192] CANCEL_SELL,8pCSyzEP5L 
[7206] DISPLAY_SUMMARY,8pCSyzEP5L 
[7336] DISPLAY_SUMMARY,8pCSyzEP5L 
[7698] SET_SELL_AMOUNT,8pCSyzEP5L,FQP,588.19 
[7766] SET_SELL_TRIGGER,8pCSyzEP5L,FQP,532.51 
[7846] ADD,8pCSyzEP5L,53359.16 
[7866] QUOTE,8pCSyzEP5L,MPP 
[7923] DISPLAY_SUMMARY,8pCSyzEP5L 
[7964] BUY,8pCSyzEP5L,TVX,47.42 
[8002] BUY,8pCSyzEP5L,WBX,670.65 
[8251] COMMIT_BUY,8pCSyzEP5L 
[8253] ADD,8pCSyzEP5L,71119.65 
[8278] SET_SELL_TRIGGER,8pCSyzEP5L,NNW,175.12 
[8334] BUY,8pCSyzEP5L,KBN,176.13 
[8439] DISPLAY_SUMMARY,8pCSyzEP5L 
[8710] ADD,8pCSyzEP5L,77648.92 
[8988] SET_SELL_TRIGGER,8pCSyzEP5L,OSC,65.79 
[9301] SET_SELL_AMOUNT,8pCSyzEP5L,KDA,675.05 
[9436] SET_SELL_TRIGGER,8pCSyzEP5L,KDA,535.91 
[9634] SET_BUY_TRIGGER,8pCSyzEP5L,UBJ,136.97 
[9799] QUOTE,8pCSyzEP5L,ZER 
[9931] BUY,8pCSyzEP5L,KIP,689.18 
[10186] CANCEL_BUY,8pCSyzEP5L 
[10275] BUY,8pCSyzEP5L,PXX,643.84 
[10293] QUOTE,8pCSyzEP5L,SEI 
[10413] SET_BUY_TRIGGER,8pCSyzEP5L,OOT,164.08 
[10626] ADD,8pCSyzEP5L,70906.95 
[10654] QUOTE,8pCSyzEP5L,JDO 
[10693] CANCEL_SELL,8pCSyzEP5L 
[10933] BUY,8pCSyzEP5L,TTY,496.86 
[10965] COMMIT_BUY,8pCSyzEP5L 
[10966] SELL,8pCSyzEP5L,KES,208.31 
[11020] COMMIT_SELL,8pCSyzEP5L 
[11053] BUY,8pCSyzEP5L,GAN,348.97 
[11066] BUY,8pCSyzEP5L,BBD,560.66 
[11069] CANCEL_SET_BUY,8pCSyzEP5L,XLI 
[11090] COMMIT_SELL,8pCSyzEP5L 
[11327] BUY,8pCSyzEP5L,HTD,327.70 
[11395] COMMIT_BUY,8pCSyzEP5L 
[11530] ADD,8pCSyzEP5L,75926.84 
[11533] BUY,8pCSyzEP5L,YBO,681.85 
[11537] SET_BUY_TRIGGER,8pCSyzEP5L,VVV,124.21 
[11690] SET_SELL_AMOUNT,8pCSyzEP5L,JVT,551.72 
[11761] SET_SELL_TRIGGER,8pCSyzEP5L,JVT,421.81 
[11970] QUOTE,8pCSyzEP5L,TQE 
[12000] BUY,8pCSyzEP5L,DWK,744.40 
[12015] CANCEL_BUY,8pCSyzEP5L 
[12073] COMMIT_BUY,8pCSyzEP5L 
[12167] DISPLAY_SUMMARY,8pCSyzEP5L 
[12217] DISPLAY_SUMMARY,8pCSyzEP5L 
[12275] CANCEL_BUY,8pCSyzEP5L 
[12300] ADD,8pCSyzEP5L,47693.13 
[12533] SELL,8pCSyzEP5L,KES,282.87 
[12687] COMMIT_SELL,8pCSyzEP5L 
[12866] BUY,8pCSyzEP5L,OAV,622.15 
[13251] CANCEL_BUY,8pCSyzEP5L 
[13503] ADD,8pCSyzEP5L,70491.28 
[13800] QUOTE,8pCSyzEP5L,BTP 
[13870] BUY,8pCSyzEP5L,THH,41.86 
[14019] COMMIT_BUY,8pCSyzEP5L 
[14052] SELL,8pCSyzEP5L,KDA,221.75 
[14212] COMMIT_SELL,8pCSyzEP5L 
[14420] SET_SELL_AMOUNT,8pCSyzEP5L,KDA,62.75 
[14521] QUOTE,8pCSyzEP5L,YOQ 
[14698] ADD,8pCSyzEP5L,65240.91 
[14746] QUOTE,8pCSyzEP5L,SCW 
[14861] QUOTE,8pCSyzEP5L,BTP 
[14928] BUY,8pCSyzEP5L,IAV,102.15 
[15085] CANCEL_SET_SELL,8pCSyzEP5L,KDA 
[15152] ADD,8pCSyzEP5L,52965.99 
[15180] QUOTE,8pCSyzEP5L,GAL 
[15450] BUY,8pCSyzEP5L,MOM,658.59 
[15615] DISPLAY_SUMMARY,8pCSyzEP5L 
[15697] ADD,8pCSyzEP5L,93348.45 
[15717] BUY,8pCSyzEP5L,YMG,654.76 
[15810] COMMIT_BUY,8pCSyzEP5L 
[15865] SET_BUY_AMOUNT,8pCSyzEP5L,QJZ,310.37 
[15877] SET_BUY_TRIGGER,8pCSyzEP5L,OOV,19.81 
[15955] BUY,8pCSyzEP5L,SKW,602.46 
[16071] SET_SELL_TRIGGER,8pCSyzEP5L,KZC,176.93 
[16188] DISPLAY_SUMMARY,8pCSyzEP5L 
[16206] DISPLAY_SUMMARY,8pCSyzEP5L 
[16258] SET_SELL_AMOUNT,8pCSyzEP5L,JVT,236.24 
[16392] BUY,8pCSyzEP5L,TVP,220.70 
[16526] COMMIT_BUY,8pCSyzEP5L 
[16744] SET_BUY_AMOUNT,8pCSyzEP5L,JCQ,254.42 
[16878] SET_BUY_TRIGGER,8pCSyzEP5L,ALM,190.32 
[16881] ADD,8pCSyzEP5L,59753.28 
[16985] QUOTE,8pCSyzEP5L,PXS 
[17135] SET_BUY_AMOUNT,8pCSyzEP5L,KDA,166.61 
[17147] CANCEL_SET_BUY,8pCSyzEP5L,VFH 
[17163] CANCEL_BUY,8pCSyzEP5L 
[17203] BUY,8pCSyzEP5L,MVI,92.70 
[17222] SET_BUY_TRIGGER,8pCSyzEP5L,PXX,82.61 
[17374] QUOTE,8pCSyzEP5L,MIU 
[17394] BUY,8pCSyzEP5L,JXR,335.96 
[17476] COMMIT_BUY,8pCSyzEP5L 
[17582] SET_SELL_AMOUNT,8pCSyzEP5L,JVT,220.26 
[17600] SET_SELL_TRIGGER,8pCSyzEP5L,JVT,204.01 
[17628] SET_SELL_AMOUNT,8pCSyzEP5L,JRJ,77.54 
[17651] SET_SELL_TRIGGER,8pCSyzEP5L,JRJ,26.27 
[17658] SET_BUY_TRIGGER,8pCSyzEP5L,ALG,9.52 
[17937] SET_SELL_AMOUNT,8pCSyzEP5L,JCQ,261.08 
[18147] BUY,8pCSyzEP5L,RGH,615.74 
[18150] QUOTE,8pCSyzEP5L,OHS 
[18168] COMMIT_BUY,8pCSyzEP5L 
[18364] SET_SELL_TRIGGER,8pCSyzEP5L,JCQ,206.95 
[18390] BUY,8pCSyzEP5L,TKV,596.46 
[18725] COMMIT_BUY,8pCSyzEP5L 
[18743] SET_BUY_TRIGGER,8pCSyzEP5L,KXF,76.14 
[18842] SET_SELL_TRIGGER,8pCSyzEP5L,LJZ,149.57 
[19215] DISPLAY_SUMMARY,8pCSyzEP5L 
[19352] DISPLAY_SUMMARY,8pCSyzEP5L 
[19450] DISPLAY_SUMMARY,8pCSyzEP5L 
[19534] SET_BUY_AMOUNT,8pCSyzEP5L,KES,334.59 
[19618] SET_BUY_TRIGGER,8pCSyzEP5L,BFU,35.06 
[19791] ADD,8pCSyzEP5L,58230.39 
[19885] BUY,8pCSyzEP5L,NJB,188.62 
[19962] COMMIT_BUY,8pCSyzEP5L 
[20004] BUY,8pCSyzEP5L,ZNY,512.92 
[20150] DISPLAY_SUMMARY,8pCSyzEP5L 
[20253] ADD,8pCSyzEP5L,65557.79 
[20581] BUY,8pCSyzEP5L,KDA,21.38 
[20609] COMMIT_BUY,8pCSyzEP5L 
[20857] CANCEL_SET_SELL,8pCSyzEP5L,ALM 
[20897] SET_BUY_AMOUNT,8pCSyzEP5L,UTV,8.67 
[20900] SET_BUY_TRIGGER,8pCSyzEP5L,OZT,7.91 
[21000] SET_BUY_AMOUNT,8pCSyzEP5L,GYF,530.95 
[21058] SET_BUY_TRIGGER,8pCSyzEP5L,SXB,64.38 
[21099] SELL,8pCSyzEP5L,JRJ,649.11 
[21168] CANCEL_SELL,8pCSyzEP5L 
[21205] DISPLAY_SUMMARY,8pCSyzEP5L 
[21217] DISPLAY_SUMMARY,8pCSyzEP5L 
[21234] SELL,8pCSyzEP5L,JCQ,695.16 
[21293] CANCEL_SELL,8pCSyzEP5L 
[21296] SET_SELL_TRIGGER,8pCSyzEP5L,SFR,14.09 
[21405] ADD,8pCSyzEP5L,84629.89 
[21553] BUY,8pCSyzEP5L,YAV,24.90 
[21751] CANCEL_BUY,8pCSyzEP5L 
[21836] CANCEL_SET_SELL,8pCSyzEP5L,BMW 
[21920] CANCEL_SET_SELL,8pCSyzEP5L,WJB 
[21930] QUOTE,8pCSyzEP5L,CMA 
[22095] CANCEL_SET_SELL,8pCSyzEP5L,BRZ 
[22277] SET_BUY_AMOUNT,8pCSyzEP5L,GYF,564.07 
[22564] SET_BUY_TRIGGER,8pCSyzEP5L,KPE,433.68 
[22592] CANCEL_BUY,8pCSyzEP5L 
[22865] SET_SELL_AMOUNT,8pCSyzEP5L,JRJ,250.06 
[22949] SET_SELL_TRIGGER,8pCSyzEP5L,JRJ,216.09 
[23004] DISPLAY_SUMMARY,8pCSyzEP5L 
[23171] CANCEL_SET_SELL,8pCSyzEP5L,DBR 
[23184] SET_SELL_AMOUNT,8pCSyzEP5L,OEY,399.97 
[23214] SET_SELL_TRIGGER,8pCSyzEP5L,OEY,87.52 
[23413] QUOTE,8pCSyzEP5L,APY 
[23453] SET_BUY_AMOUNT,8pCSyzEP5L,KDA,233.52 
[23600] BUY,8pCSyzEP5L,NLP,188.77 
[23751] SET_SELL_TRIGGER,8pCSyzEP5L,PHU,4.32 
[23778] ADD,8pCSyzEP5L,58624.32 
[23861] BUY,8pCSyzEP5L,JPD,438.89 
[23893] CANCEL_BUY,8pCSyzEP5L 
[24081] ADD,8pCSyzEP5L,82486.12 
[24244] BUY,8pCSyzEP5L,ALG,364.63 
[24341] COMMIT_BUY,8pCSyzEP5L 
[24368] QUOTE,8pCSyzEP5L,MQP 
[24408] SET_BUY_TRIGGER,8pCSyzEP5L,HHG,28.98 
[24424] BUY,8pCSyzEP5L,IPH,250.48 
[24478] CANCEL_SELL,8pCSyzEP5L 
[24939] CANCEL_SET_BUY,8pCSyzEP5L,TOL 
[25206] DISPLAY_SUMMARY,8pCSyzEP5L 
[25317] CANCEL_SET_BUY,8pCSyzEP5L,PFK 
[25395] SET_BUY_TRIGGER,8pCSyzEP5L,TQE,120.89 
[25429] ADD,8pCSyzEP5L,78104.89 
[25480] QUOTE,8pCSyzEP5L,CZQ 
[25481] QUOTE,8pCSyzEP5L,DLQ 
[25608] SET_SELL_AMOUNT,8pCSyzEP5L,UTV,16.21 
[25682] CANCEL_SET_SELL,8pCSyzEP5L,UTV 
[25801] CANCEL_SET_SELL,8pCSyzEP5L,NUV 
[25938] BUY,8pCSyzEP5L,DOI,357.26 
[25989] COMMIT_BUY,8pCSyzEP5L 
[26274] SET_SELL_AMOUNT,8pCSyzEP5L,JQO,180.00 
[26288] SET_SELL_TRIGGER,8pCSyzEP5L,JQO,76.14 
[26330] QUOTE,8pCSyzEP5L,SAR 
[26411] QUOTE,8pCSyzEP5L,DMW 
[26424] ADD,8pCSyzEP5L,65345.36 
[26472] CANCEL_SET_SELL,8pCSyzEP5L,EIK 
[26562] SELL,8pCSyzEP5L,JQO,579.99 
[26572] SET_SELL_TRIGGER,8pCSyzEP5L,SSW,189.33 
[26683] ADD,8pCSyzEP5L,41215.13 
[26783] BUY,8pCSyzEP5L,DXQ,201.35 
[26803] COMMIT_BUY,8pCSyzEP5L 
[26827] DISPLAY_SUMMARY,8pCSyzEP5L 
[26835] BUY,8pCSyzEP5L,WUL,198.78 
[26909] CANCEL_BUY,8pCSyzEP5L 
[27027] SELL,8pCSyzEP5L,UTV,685.56 
[27172] COMMIT_SELL,8pCSyzEP5L 
[27251] SET_SELL_TRIGGER,8pCSyzEP5L,IBT,44.33 
[27817] ADD,8pCSyzEP5L,64578.62 
[27824] QUOTE,8pCSyzEP5L,VKB 
[27908] BUY,8pCSyzEP5L,UDQ,681.47 
[27910] DISPLAY_SUMMARY,8pCSyzEP5L 
[27940] COMMIT_SELL,8pCSyzEP5L 
[28031] DISPLAY_SUMMARY,8pCSyzEP5L 
[28038] ADD,8pCSyzEP5L,85135.88 
[28099] QUOTE,8pCSyzEP5L,QWC 
[28154] BUY,8pCSyzEP5L,PFK,719.56 
[28164] COMMIT_BUY,8pCSyzEP5L 
[28298] SELL,8pCSyzEP5L,EBS,486.36 
[28447] COMMIT_SELL,8pCSyzEP5L 
[28528] SET_BUY_AMOUNT,8pCSyzEP5L,KDA,92.04 
[28678] BUY,8pCSyzEP5L,MOS,700.21 
[28844] QUOTE,8pCSyzEP5L,NAW 
[28900] ADD,8pCSyzEP5L,55964.07 
[28930] SELL,8pCSyzEP5L,NHG,599.68 
[28970] COMMIT_SELL,8pCSyzEP5L 
[28986] QUOTE,8pCSyzEP5L,NAW 
[28997] QUOTE,8pCSyzEP5L,NDJ 
[29019] SET_BUY_AMOUNT,8pCSyzEP5L,KES,214.95 
[29037] BUY,8pCSyzEP5L,HZE,306.71 
[29076] COMMIT_BUY,8pCSyzEP5L 
[29402] ADD,8pCSyzEP5L,74111.80 
[29414] BUY,8pCSyzEP5L,SKY,318.28 
[29494] COMMIT_BUY,8pCSyzEP5L 
[29570] COMMIT_BUY,8pCSyzEP5L 
[29578] QUOTE,8pCSyzEP5L,NAW 
[29580] QUOTE,8pCSyzEP5L,NDJ 
[29640] QUOTE,8pCSyzEP5L,DMW 
[29657] QUOTE,8pCSyzEP5L,PDB 
[29738] BUY,8pCSyzEP5L,TOZ,568.39 
[29781] SELL,8pCSyzEP5L,QJZ,77.03 
[29845] BUY,8pCSyzEP5L,SJH,703.90 
[29880] COMMIT_BUY,8pCSyzEP5L 
[29890] ADD,8pCSyzEP5L,65213.58 
[29906] BUY,8pCSyzEP5L,HDR,476.27 
[29910] CANCEL_SET_BUY,8pCSyzEP5L,SFR 
[29912] QUOTE,8pCSyzEP5L,YNY 
[30179] SET_BUY_TRIGGER,8pCSyzEP5L,YBB,187.93 
[30226] DISPLAY_SUMMARY,8pCSyzEP5L 
[30259] SELL,8pCSyzEP5L,XXQ,35.90 
[30661] CANCEL_SELL,8pCSyzEP5L 
[30743] SET_BUY_AMOUNT,8pCSyzEP5L,BYA,529.68 
[30889] CANCEL_SET_BUY,8pCSyzEP5L,QQW 
[30986] SET_BUY_AMOUNT,8pCSyzEP5L,JVT,17.52 
[30999] CANCEL_SET_BUY,8pCSyzEP5L,ZCG 
[31008] ADD,8pCSyzEP5L,70014.66 
[31066] COMMIT_BUY,8pCSyzEP5L 
[31134] QUOTE,8pCSyzEP5L,WDC 
