[125] ADD,8xgyjkdphP,60498.96 
[165] QUOTE,8xgyjkdphP,LVV 
[205] DISPLAY_SUMMARY,8xgyjkdphP 
[240] SELL,8xgyjkdphP,EGX,329.40 
[381] COMMIT_SELL,8xgyjkdphP 
[389] ADD,8xgyjkdphP,58759.28 
[596] BUY,8xgyjkdphP,GYF,555.17 
[603] CANCEL_BUY,8xgyjkdphP 
[655] DISPLAY_SUMMARY,8xgyjkdphP 
[690] SET_SELL_TRIGGER,8xgyjkdphP,JCL,130.15 
[817] BUY,8xgyjkdphP,ZMK,506.12 
[878] COMMIT_BUY,8xgyjkdphP 
[891] DISPLAY_SUMMARY,8xgyjkdphP 
[911] ADD,8xgyjkdphP,77175.97 
[997] QUOTE,8xgyjkdphP,WKE 
[1024] BUY,8xgyjkdphP,AVX,57.47 
[1149] COMMIT_BUY,8xgyjkdphP 
[1266] DISPLAY_SUMMARY,8xgyjkdphP 
[1313] SET_SELL_TRIGGER,8xgyjkdphP,BHQ,39.72 
[1549] DISPLAY_SUMMARY,8xgyjkdphP 
[1791] SELL,8xgyjkdphP,QJZ,650.18 
[1972] COMMIT_SELL,8xgyjkdphP 
[2110] ADD,8xgyjkdphP,82521.56 
[2157] CANCEL_SET_BUY,8xgyjkdphP,NUV 
[2295] BUY,8xgyjkdphP,ZFV,80.32 
[2328] COMMIT_BUY,8xgyjkdphP 
[2383] ADD,8xgyjkdphP,71519.24 
[2477] QUOTE,8xgyjkdphP,JIC 
[2527] BUY,8xgyjkdphP,XBE,523.40 
[2582] COMMIT_BUY,8xgyjkdphP 
[2828] ADD,8xgyjkdphP,76872.22 
[3046] QUOTE,8xgyjkdphP,RRZ 
[3092] CANCEL_SET_BUY,8xgyjkdphP,LLE 
[3270] ADD,8xgyjkdphP,76344.71 
[3389] QUOTE,8xgyjkdphP,FKX 
[3415] CANCEL_SET_SELL,8xgyjkdphP,PDX 
[3523] BUY,8xgyjkdphP,ZCG,114.44 
[3561] COMMIT_BUY,8xgyjkdphP 
[3736] SET_SELL_TRIGGER,8xgyjkdphP,HHC,187.27 
[3802] DISPLAY_SUMMARY,8xgyjkdphP 
[4106] BUY,8xgyjkdphP,VTY,743.55 
[4119] CANCEL_SET_SELL,8xgyjkdphP,ALG 
[4234] SET_SELL_AMOUNT,8xgyjkdphP,JVT,330.81 
[4240] DISPLAY_SUMMARY,8xgyjkdphP 
[4306] SET_SELL_AMOUNT,8xgyjkdphP,QJZ,84.17 
[4479] SET_SELL_TRIGGER,8xgyjkdphP,QJZ,64.56 
[4619] CANCEL_SET_BUY,8xgyjkdphP,OBO 
[4622] ADD,8xgyjkdphP,69034.20 
[4739] BUY,8xgyjkdphP,AUT,458.92 
[4753] QUOTE,8xgyjkdphP,CTT 
[4765] SET_BUY_TRIGGER,8xgyjkdphP,ZCG,181.34 
[4770] SELL,8xgyjkdphP,JVT,337.22 
[4924] COMMIT_SELL,8xgyjkdphP 
[5009] SELL,8xgyjkdphP,QJZ,338.54 
[5282] COMMIT_SELL,8xgyjkdphP 
[5284] DISPLAY_SUMMARY,8xgyjkdphP 
[5291] QUOTE,8xgyjkdphP,CXB 
[5321] BUY,8xgyjkdphP,PJJ,418.53 
[5378] SET_SELL_TRIGGER,8xgyjkdphP,KMV,51.02 
[5471] SET_SELL_AMOUNT,8xgyjkdphP,FQP,476.56 
[5503] SET_SELL_TRIGGER,8xgyjkdphP,FQP,222.19 
[5542] SET_BUY_AMOUNT,8xgyjkdphP,KDA,606.60 
[5681] SET_BUY_TRIGGER,8xgyjkdphP,YMG,189.37 
[5989] QUOTE,8xgyjkdphP,MOS 
[6082] ADD,8xgyjkdphP,53028.19 
[6133] COMMIT_BUY,8xgyjkdphP 
[6311] DISPLAY_SUMMARY,8xgyjkdphP 
[6646] QUOTE,8xgyjkdphP,BYA 
[6647] BUY,8xgyjkdphP,PIE,360.44 
[6676] COMMIT_BUY,8xgyjkdphP 
[6710] SET_SELL_AMOUNT,8xgyjkdphP,JVT,676.70 
[6875] SET_SELL_TRIGGER,8xgyjkdphP,JVT,149.46 
[6931] DISPLAY_SUMMARY,8xgyjkdphP 
[7103] SET_BUY_AMOUNT,8xgyjkdphP,OEY,517.01 
[7150] SET_BUY_TRIGGER,8xgyjkdphP,ULL,133.37 
[7304] SET_SELL_TRIGGER,8xgyjkdphP,OSC,41.47 
[7389] CANCEL_SELL,8xgyjkdphP 
[7512] ADD,8xgyjkdphP,85393.60 
[7544] BUY,8xgyjkdphP,ZMS,146.46 
[7545] COMMIT_BUY,8xgyjkdphP 
[7927] QUOTE,8xgyjkdphP,CBY 
[8008] ADD,8xgyjkdphP,68267.50 
[8086] QUOTE,8xgyjkdphP,JMX 
[8155] BUY,8xgyjkdphP,SSW,615.97 
[8244] COMMIT_BUY,8xgyjkdphP 
[8313] ADD,8xgyjkdphP,65395.00 
[8325] QUOTE,8xgyjkdphP,OFP 
[8361] QUOTE,8xgyjkdphP,UMN 
[8661] SET_BUY_TRIGGER,8xgyjkdphP,OLH,89.79 
[8741] ADD,8xgyjkdphP,76540.61 
[8855] BUY,8xgyjkdphP,QPX,611.86 
[8934] CANCEL_SET_SELL,8xgyjkdphP,OZO 
[8959] SET_BUY_TRIGGER,8xgyjkdphP,EGX,26.79 
[9044] ADD,8xgyjkdphP,82751.53 
[9438] BUY,8xgyjkdphP,CGW,402.73 
[9509] SET_SELL_AMOUNT,8xgyjkdphP,GYF,147.56 
[9551] SET_SELL_TRIGGER,8xgyjkdphP,GYF,51.27 
[9703] SET_BUY_TRIGGER,8xgyjkdphP,DMW,34.13 
[9923] DISPLAY_SUMMARY,8xgyjkdphP 
[9951] SET_SELL_AMOUNT,8xgyjkdphP,KES,612.30 
[9997] SET_SELL_TRIGGER,8xgyjkdphP,KES,51.47 
[10044] QUOTE,8xgyjkdphP,KBP 
[10095] ADD,8xgyjkdphP,49560.63 
[10099] SET_BUY_TRIGGER,8xgyjkdphP,WXV,25.65 
[10258] CANCEL_BUY,8xgyjkdphP 
[10569] SET_BUY_AMOUNT,8xgyjkdphP,FQP,265.62 
[10783] CANCEL_SET_BUY,8xgyjkdphP,TOL 
[10836] QUOTE,8xgyjkdphP,VNF 
[10862] COMMIT_SELL,8xgyjkdphP 
[10873] SET_SELL_TRIGGER,8xgyjkdphP,ALM,63.16 
[10931] COMMIT_SELL,8xgyjkdphP 
[11193] SET_SELL_TRIGGER,8xgyjkdphP,RNE,68.97 
[11214] DISPLAY_SUMMARY,8xgyjkdphP 
[11297] BUY,8xgyjkdphP,DIX,6.14 
[11454] COMMIT_BUY,8xgyjkdphP 
[11569] SET_SELL_TRIGGER,8xgyjkdphP,AXK,114.65 
[11596] SELL,8xgyjkdphP,JRJ,56.56 
[12081] ADD,8xgyjkdphP,52340.36 
[12083] COMMIT_BUY,8xgyjkdphP 
[12084] SET_BUY_TRIGGER,8xgyjkdphP,MOM,87.33 
[12193] DISPLAY_SUMMARY,8xgyjkdphP 
[12358] ADD,8xgyjkdphP,55117.98 
[12679] COMMIT_SELL,8xgyjkdphP 
[12711] SET_SELL_TRIGGER,8xgyjkdphP,KLE,130.41 
[12796] DISPLAY_SUMMARY,8xgyjkdphP 
[13060] ADD,8xgyjkdphP,64079.69 
[13118] QUOTE,8xgyjkdphP,KJD 
[13229] SET_SELL_AMOUNT,8xgyjkdphP,KDA,343.69 
[13232] SET_SELL_TRIGGER,8xgyjkdphP,KDA,258.72 
[13342] SET_BUY_TRIGGER,8xgyjkdphP,WCY,110.45 
[13369] SET_SELL_AMOUNT,8xgyjkdphP,JRJ,204.63 
[13917] QUOTE,8xgyjkdphP,XII 
[14012] SELL,8xgyjkdphP,OEY,435.82 
[14035] COMMIT_SELL,8xgyjkdphP 
[14155] DISPLAY_SUMMARY,8xgyjkdphP 
[14198] SET_BUY_TRIGGER,8xgyjkdphP,MGK,149.26 
[14373] BUY,8xgyjkdphP,LLF,512.35 
[14758] SET_SELL_AMOUNT,8xgyjkdphP,JRJ,748.86 
[15012] SET_SELL_TRIGGER,8xgyjkdphP,JRJ,223.09 
[15068] DISPLAY_SUMMARY,8xgyjkdphP 
[15362] QUOTE,8xgyjkdphP,MOM 
[15381] BUY,8xgyjkdphP,HRJ,353.62 
[15424] SET_SELL_AMOUNT,8xgyjkdphP,FQP,95.90 
[15613] SET_SELL_TRIGGER,8xgyjkdphP,FQP,88.67 
[15823] DISPLAY_SUMMARY,8xgyjkdphP 
[15838] SET_BUY_TRIGGER,8xgyjkdphP,CJV,62.16 
[15872] SET_SELL_TRIGGER,8xgyjkdphP,RRZ,130.79 
[15907] ADD,8xgyjkdphP,57902.56 
[15925] QUOTE,8xgyjkdphP,ZNW 
[16059] QUOTE,8xgyjkdphP,GNY 
[16075] BUY,8xgyjkdphP,CXW,530.20 
[16125] COMMIT_BUY,8xgyjkdphP 
[16168] QUOTE,8xgyjkdphP,OWH 
[16253] QUOTE,8xgyjkdphP,WCY 
[16328] SET_SELL_TRIGGER,8xgyjkdphP,NQU,57.55 
[16337] BUY,8xgyjkdphP,SUS,114.32 
[16378] COMMIT_BUY,8xgyjkdphP 
[16403] SET_BUY_AMOUNT,8xgyjkdphP,JVT,416.74 
[16457] QUOTE,8xgyjkdphP,VMT 
[16508] QUOTE,8xgyjkdphP,PFN 
[16673] BUY,8xgyjkdphP,NGZ,599.44 
[16794] COMMIT_BUY,8xgyjkdphP 
[16806] ADD,8xgyjkdphP,63681.94 
[16865] BUY,8xgyjkdphP,IEQ,147.37 
[16918] COMMIT_BUY,8xgyjkdphP 
[17182] CANCEL_SET_SELL,8xgyjkdphP,QOD 
[17193] SET_BUY_TRIGGER,8xgyjkdphP,SJZ,99.82 
[17326] QUOTE,8xgyjkdphP,XFW 
[17372] CANCEL_SET_BUY,8xgyjkdphP,SDL 
[17618] ADD,8xgyjkdphP,53107.42 
[17629] BUY,8xgyjkdphP,WHR,263.91 
[17713] CANCEL_SET_BUY,8xgyjkdphP,GMS 
[17739] ADD,8xgyjkdphP,59798.84 
[17803] BUY,8xgyjkdphP,GDF,21.34 
[17813] SET_SELL_AMOUNT,8xgyjkdphP,JVT,474.50 
[17918] SET_SELL_TRIGGER,8xgyjkdphP,JVT,236.28 
[17977] SELL,8xgyjkdphP,JQO,145.53 
[18080] CANCEL_SET_BUY,8xgyjkdphP,CTI 
[18093] DISPLAY_SUMMARY,8xgyjkdphP 
[18226] DISPLAY_SUMMARY,8xgyjkdphP 
[18652] SET_BUY_TRIGGER,8xgyjkdphP,WGP,192.11 
[18837] ADD,8xgyjkdphP,48633.64 
[18853] QUOTE,8xgyjkdphP,KMZ 
[18884] BUY,8xgyjkdphP,KMV,147.69 
[18929] COMMIT_BUY,8xgyjkdphP 
[18999] QUOTE,8xgyjkdphP,MFX 
[19021] QUOTE,8xgyjkdphP,VCN 
[19161] QUOTE,8xgyjkdphP,PFN 
[19503] COMMIT_SELL,8xgyjkdphP 
[19747] SET_SELL_AMOUNT,8xgyjkdphP,JQO,533.79 
[19760] SET_SELL_TRIGGER,8xgyjkdphP,JQO,18.57 
[19992] SET_SELL_TRIGGER,8xgyjkdphP,YVS,145.99 
[20212] CANCEL_SELL,8xgyjkdphP 
[20300] ADD,8xgyjkdphP,57144.51 
[20420] QUOTE,8xgyjkdphP,OXK 
[20485] BUY,8xgyjkdphP,IRQ,253.66 
[20598] BUY,8xgyjkdphP,JUN,418.25 
[20615] COMMIT_BUY,8xgyjkdphP 
[20635] SET_SELL_AMOUNT,8xgyjkdphP,JRJ,23.28 
[21268] SET_SELL_TRIGGER,8xgyjkdphP,JRJ,1.01 
[21454] ADD,8xgyjkdphP,68034.25 
[21730] BUY,8xgyjkdphP,RRE,497.46 
[21789] SELL,8xgyjkdphP,KES,118.52 
[21830] CANCEL_SET_BUY,8xgyjkdphP,QEO 
[21882] SET_BUY_AMOUNT,8xgyjkdphP,JRJ,718.77 
[21937] CANCEL_SET_BUY,8xgyjkdphP,TFZ 
[21940] DISPLAY_SUMMARY,8xgyjkdphP 
[21953] ADD,8xgyjkdphP,66977.80 
[22021] QUOTE,8xgyjkdphP,IDN 
[22047] QUOTE,8xgyjkdphP,CVP 
[22048] BUY,8xgyjkdphP,XOA,673.40 
[22072] CANCEL_BUY,8xgyjkdphP 
[22140] BUY,8xgyjkdphP,IPJ,569.64 
[22171] COMMIT_SELL,8xgyjkdphP 
[22186] ADD,8xgyjkdphP,63934.65 
[22188] QUOTE,8xgyjkdphP,WKT 
[22232] SET_BUY_AMOUNT,8xgyjkdphP,JRJ,314.68 
[22285] SET_BUY_TRIGGER,8xgyjkdphP,QQI,120.55 
[22365] SET_BUY_TRIGGER,8xgyjkdphP,VQA,104.74 
[22386] DISPLAY_SUMMARY,8xgyjkdphP 
[22652] SET_SELL_TRIGGER,8xgyjkdphP,PIE,128.37 
[22847] CANCEL_SELL,8xgyjkdphP 
[23056] SET_BUY_TRIGGER,8xgyjkdphP,SSF,106.97 
[23081] DISPLAY_SUMMARY,8xgyjkdphP 
[23250] DISPLAY_SUMMARY,8xgyjkdphP 
[23325] SET_SELL_AMOUNT,8xgyjkdphP,ZAN,352.82 
[23475] SET_SELL_TRIGGER,8xgyjkdphP,ZAN,101.15 
[23696] QUOTE,8xgyjkdphP,WQE 
[23745] SET_SELL_AMOUNT,8xgyjkdphP,ZAN,595.91 
[23897] DISPLAY_SUMMARY,8xgyjkdphP 
[24017] ADD,8xgyjkdphP,68630.52 
[24132] CANCEL_BUY,8xgyjkdphP 
[24185] DISPLAY_SUMMARY,8xgyjkdphP 
[24400] SELL,8xgyjkdphP,LFU,139.91 
[24583] CANCEL_SELL,8xgyjkdphP 
[24610] ADD,8xgyjkdphP,77919.92 
[24619] SET_BUY_AMOUNT,8xgyjkdphP,JRJ,172.78 
