[5] ADD,9RCeWXbzj9,96894.37 
[6] BUY,9RCeWXbzj9,TGY,692.03 
[81] COMMIT_BUY,9RCeWXbzj9 
[142] SET_SELL_TRIGGER,9RCeWXbzj9,NXF,50.67 
[251] ADD,9RCeWXbzj9,63378.58 
[550] DISPLAY_SUMMARY,9RCeWXbzj9 
[667] SET_BUY_AMOUNT,9RCeWXbzj9,QJZ,118.84 
[1023] DISPLAY_SUMMARY,9RCeWXbzj9 
[1418] ADD,9RCeWXbzj9,96343.96 
[1454] BUY,9RCeWXbzj9,SWD,153.69 
[1509] CANCEL_BUY,9RCeWXbzj9 
[1532] BUY,9RCeWXbzj9,WKE,145.96 
[1564] CANCEL_BUY,9RCeWXbzj9 
[1629] COMMIT_SELL,9RCeWXbzj9 
[1750] SELL,9RCeWXbzj9,QJZ,680.38 
[1753] COMMIT_SELL,9RCeWXbzj9 
[1783] SET_BUY_AMOUNT,9RCeWXbzj9,QJZ,564.83 
[1787] CANCEL_SET_BUY,9RCeWXbzj9,EED 
[1860] ADD,9RCeWXbzj9,97043.05 
[2134] CANCEL_SELL,9RCeWXbzj9 
[2286] ADD,9RCeWXbzj9,92739.88 
[2454] BUY,9RCeWXbzj9,NFO,285.31 
[2564] COMMIT_BUY,9RCeWXbzj9 
[2611] SELL,9RCeWXbzj9,QJZ,691.31 
[2920] COMMIT_SELL,9RCeWXbzj9 
[2960] SET_SELL_TRIGGER,9RCeWXbzj9,LTB,7.97 
[2971] SET_BUY_AMOUNT,9RCeWXbzj9,QJZ,266.90 
[3047] BUY,9RCeWXbzj9,DXL,150.74 
[3206] SET_SELL_AMOUNT,9RCeWXbzj9,FQP,351.32 
[3240] SELL,9RCeWXbzj9,FQP,82.32 
[3328] SELL,9RCeWXbzj9,FQP,571.28 
[3345] COMMIT_SELL,9RCeWXbzj9 
[3822] SELL,9RCeWXbzj9,FQP,192.58 
[3829] COMMIT_SELL,9RCeWXbzj9 
[3923] QUOTE,9RCeWXbzj9,ZNW 
[3931] SET_BUY_AMOUNT,9RCeWXbzj9,FQP,657.42 
[4032] SET_BUY_TRIGGER,9RCeWXbzj9,IVV,477.92 
[4128] DISPLAY_SUMMARY,9RCeWXbzj9 
[4196] QUOTE,9RCeWXbzj9,WYR 
[4341] BUY,9RCeWXbzj9,KCA,4.52 
[4796] BUY,9RCeWXbzj9,SEW,18.34 
[4801] COMMIT_BUY,9RCeWXbzj9 
[4878] CANCEL_BUY,9RCeWXbzj9 
[5043] ADD,9RCeWXbzj9,81349.81 
[5154] QUOTE,9RCeWXbzj9,ZTR 
[5260] CANCEL_SET_SELL,9RCeWXbzj9,FQP 
[5434] CANCEL_SET_BUY,9RCeWXbzj9,WDJ 
[5487] DISPLAY_SUMMARY,9RCeWXbzj9 
[5735] SET_SELL_TRIGGER,9RCeWXbzj9,WXV,75.14 
[5743] BUY,9RCeWXbzj9,CAX,405.75 
[5799] SET_SELL_AMOUNT,9RCeWXbzj9,QJZ,91.37 
[5850] SET_SELL_TRIGGER,9RCeWXbzj9,QJZ,52.42 
[5959] SET_BUY_AMOUNT,9RCeWXbzj9,QJZ,316.97 
[6201] SET_BUY_TRIGGER,9RCeWXbzj9,PPW,249.51 
[6303] SET_SELL_TRIGGER,9RCeWXbzj9,VVV,19.00 
[6484] SET_BUY_AMOUNT,9RCeWXbzj9,KDA,493.14 
[6503] SET_BUY_TRIGGER,9RCeWXbzj9,YBB,418.03 
[6696] BUY,9RCeWXbzj9,WDJ,547.64 
[6700] COMMIT_BUY,9RCeWXbzj9 
[6761] ADD,9RCeWXbzj9,56864.02 
[6774] BUY,9RCeWXbzj9,KAF,254.97 
[6831] COMMIT_BUY,9RCeWXbzj9 
[6958] SET_SELL_TRIGGER,9RCeWXbzj9,YCH,9.54 
[7148] ADD,9RCeWXbzj9,68566.69 
[7149] CANCEL_SET_SELL,9RCeWXbzj9,KCS 
[7154] SET_SELL_TRIGGER,9RCeWXbzj9,BFL,170.65 
[7278] ADD,9RCeWXbzj9,73526.88 
[7284] CANCEL_SELL,9RCeWXbzj9 
[7540] SET_SELL_TRIGGER,9RCeWXbzj9,HPN,72.48 
[7556] CANCEL_SELL,9RCeWXbzj9 
[7702] DISPLAY_SUMMARY,9RCeWXbzj9 
[7876] DISPLAY_SUMMARY,9RCeWXbzj9 
[7917] ADD,9RCeWXbzj9,89521.00 
[7996] BUY,9RCeWXbzj9,TKM,205.99 
[8070] CANCEL_SELL,9RCeWXbzj9 
[8128] SET_SELL_TRIGGER,9RCeWXbzj9,FNY,64.17 
[8271] ADD,9RCeWXbzj9,59405.93 
[8321] QUOTE,9RCeWXbzj9,XXN 
[8577] ADD,9RCeWXbzj9,86375.57 
[8597] SELL,9RCeWXbzj9,KDA,363.17 
[8705] QUOTE,9RCeWXbzj9,JPD 
[8893] ADD,9RCeWXbzj9,64628.40 
[8942] QUOTE,9RCeWXbzj9,RWY 
[9051] SET_BUY_TRIGGER,9RCeWXbzj9,CLQ,156.12 
[9071] SELL,9RCeWXbzj9,FQP,101.53 
[9077] COMMIT_SELL,9RCeWXbzj9 
[9254] SELL,9RCeWXbzj9,JVT,390.08 
[9273] COMMIT_SELL,9RCeWXbzj9 
[9304] DISPLAY_SUMMARY,9RCeWXbzj9 
[9375] ADD,9RCeWXbzj9,69394.28 
[9389] QUOTE,9RCeWXbzj9,CMA 
[9467] QUOTE,9RCeWXbzj9,NFQ 
[9502] BUY,9RCeWXbzj9,JMX,411.24 
[9595] COMMIT_BUY,9RCeWXbzj9 
[9653] ADD,9RCeWXbzj9,63141.22 
[9671] CANCEL_SET_SELL,9RCeWXbzj9,GLJ 
[10052] DISPLAY_SUMMARY,9RCeWXbzj9 
[10066] DISPLAY_SUMMARY,9RCeWXbzj9 
[10080] ADD,9RCeWXbzj9,73717.17 
[10142] BUY,9RCeWXbzj9,UGT,213.89 
[10164] SELL,9RCeWXbzj9,KES,393.42 
[10172] COMMIT_SELL,9RCeWXbzj9 
[10179] SET_BUY_TRIGGER,9RCeWXbzj9,MQF,186.37 
[10196] SET_BUY_TRIGGER,9RCeWXbzj9,FQU,31.16 
[10395] SET_BUY_TRIGGER,9RCeWXbzj9,ZMS,198.07 
[10473] DISPLAY_SUMMARY,9RCeWXbzj9 
[10555] QUOTE,9RCeWXbzj9,ALV 
[10632] SET_SELL_AMOUNT,9RCeWXbzj9,QJZ,448.80 
[10733] SET_SELL_TRIGGER,9RCeWXbzj9,QJZ,217.39 
[11072] BUY,9RCeWXbzj9,RGH,673.65 
[11114] COMMIT_BUY,9RCeWXbzj9 
[11212] DISPLAY_SUMMARY,9RCeWXbzj9 
[11277] ADD,9RCeWXbzj9,49030.98 
[11342] BUY,9RCeWXbzj9,YOG,137.98 
[11431] CANCEL_SET_BUY,9RCeWXbzj9,URY 
[11657] QUOTE,9RCeWXbzj9,NBX 
[11775] SET_BUY_AMOUNT,9RCeWXbzj9,FQP,135.04 
[11793] SET_BUY_TRIGGER,9RCeWXbzj9,KAF,45.79 
[11920] ADD,9RCeWXbzj9,82155.60 
[11924] BUY,9RCeWXbzj9,SSW,110.65 
[11934] CANCEL_BUY,9RCeWXbzj9 
[12125] SET_BUY_TRIGGER,9RCeWXbzj9,MIU,82.89 
[12206] SET_BUY_TRIGGER,9RCeWXbzj9,ZAV,176.12 
[12354] SET_SELL_AMOUNT,9RCeWXbzj9,QJZ,680.65 
[12367] SET_SELL_TRIGGER,9RCeWXbzj9,QJZ,234.00 
[12626] SET_SELL_TRIGGER,9RCeWXbzj9,GZQ,158.43 
[12693] CANCEL_SET_SELL,9RCeWXbzj9,FOW 
[12704] ADD,9RCeWXbzj9,98467.97 
[12758] QUOTE,9RCeWXbzj9,BDX 
[12768] BUY,9RCeWXbzj9,BBC,11.32 
[12810] CANCEL_SET_SELL,9RCeWXbzj9,UDN 
[12974] ADD,9RCeWXbzj9,66873.86 
[13109] BUY,9RCeWXbzj9,AXK,602.00 
[13174] COMMIT_BUY,9RCeWXbzj9 
[13200] DISPLAY_SUMMARY,9RCeWXbzj9 
[13568] SET_SELL_AMOUNT,9RCeWXbzj9,QJZ,620.13 
[13609] QUOTE,9RCeWXbzj9,LQN 
[13683] BUY,9RCeWXbzj9,FFI,538.49 
[13778] COMMIT_BUY,9RCeWXbzj9 
[13932] DISPLAY_SUMMARY,9RCeWXbzj9 
[14236] QUOTE,9RCeWXbzj9,BTP 
[14645] QUOTE,9RCeWXbzj9,VIK 
[14867] DISPLAY_SUMMARY,9RCeWXbzj9 
[14923] SET_BUY_TRIGGER,9RCeWXbzj9,TYV,194.95 
[15020] SET_SELL_AMOUNT,9RCeWXbzj9,KES,166.05 
[15036] SET_SELL_TRIGGER,9RCeWXbzj9,KES,46.03 
[15140] SET_BUY_TRIGGER,9RCeWXbzj9,LKK,33.60 
[15143] DISPLAY_SUMMARY,9RCeWXbzj9 
[15156] BUY,9RCeWXbzj9,QBD,570.08 
[15213] COMMIT_BUY,9RCeWXbzj9 
[15348] QUOTE,9RCeWXbzj9,TKG 
[15517] BUY,9RCeWXbzj9,WPG,398.52 
[15538] SET_BUY_TRIGGER,9RCeWXbzj9,XME,159.03 
[15755] SET_SELL_TRIGGER,9RCeWXbzj9,HRJ,38.23 
[15902] SET_SELL_TRIGGER,9RCeWXbzj9,MQH,23.28 
[16064] BUY,9RCeWXbzj9,XBE,390.96 
[16127] QUOTE,9RCeWXbzj9,IHW 
[16163] CANCEL_BUY,9RCeWXbzj9 
[16175] DISPLAY_SUMMARY,9RCeWXbzj9 
[16236] SET_SELL_TRIGGER,9RCeWXbzj9,AQO,179.31 
[16346] BUY,9RCeWXbzj9,UMN,639.05 
[16367] COMMIT_BUY,9RCeWXbzj9 
[16390] SELL,9RCeWXbzj9,FQP,234.27 
[16412] CANCEL_SELL,9RCeWXbzj9 
[16422] BUY,9RCeWXbzj9,STQ,626.54 
[16669] COMMIT_BUY,9RCeWXbzj9 
[16834] SELL,9RCeWXbzj9,UTV,590.69 
[16850] SET_BUY_TRIGGER,9RCeWXbzj9,GMF,95.59 
[16872] SELL,9RCeWXbzj9,QAX,501.36 
[16953] ADD,9RCeWXbzj9,70623.66 
[16969] BUY,9RCeWXbzj9,ZSV,563.27 
[17136] SET_BUY_TRIGGER,9RCeWXbzj9,PRJ,81.25 
[17148] SELL,9RCeWXbzj9,KES,71.86 
[17173] COMMIT_SELL,9RCeWXbzj9 
[17329] ADD,9RCeWXbzj9,72535.71 
[17348] QUOTE,9RCeWXbzj9,MGK 
[17418] ADD,9RCeWXbzj9,74318.15 
[17635] BUY,9RCeWXbzj9,LJZ,65.60 
[17673] COMMIT_BUY,9RCeWXbzj9 
[17745] ADD,9RCeWXbzj9,64639.94 
[18134] BUY,9RCeWXbzj9,OEX,301.22 
[18296] COMMIT_BUY,9RCeWXbzj9 
[18470] DISPLAY_SUMMARY,9RCeWXbzj9 
[18570] BUY,9RCeWXbzj9,FRB,3.00 
[18680] SET_SELL_AMOUNT,9RCeWXbzj9,JVT,484.28 
[18703] SET_SELL_TRIGGER,9RCeWXbzj9,JVT,87.99 
[18944] SET_BUY_AMOUNT,9RCeWXbzj9,GYF,653.51 
[18951] SET_BUY_TRIGGER,9RCeWXbzj9,LPS,577.32 
[18960] CANCEL_SELL,9RCeWXbzj9 
[19172] QUOTE,9RCeWXbzj9,FVD 
[19342] COMMIT_BUY,9RCeWXbzj9 
[19345] SELL,9RCeWXbzj9,OEY,207.83 
[19409] COMMIT_SELL,9RCeWXbzj9 
[19510] ADD,9RCeWXbzj9,83333.58 
[19528] BUY,9RCeWXbzj9,BEC,464.89 
[19668] QUOTE,9RCeWXbzj9,DWX 
[19759] BUY,9RCeWXbzj9,QOQ,506.13 
[19844] COMMIT_BUY,9RCeWXbzj9 
[19898] DISPLAY_SUMMARY,9RCeWXbzj9 
[19986] SET_SELL_AMOUNT,9RCeWXbzj9,GYF,234.50 
[20046] SET_SELL_TRIGGER,9RCeWXbzj9,GYF,168.57 
[20066] DISPLAY_SUMMARY,9RCeWXbzj9 
[20069] DISPLAY_SUMMARY,9RCeWXbzj9 
[20336] DISPLAY_SUMMARY,9RCeWXbzj9 
[20628] QUOTE,9RCeWXbzj9,EGX 
[20674] BUY,9RCeWXbzj9,YZC,571.64 
[20801] COMMIT_BUY,9RCeWXbzj9 
[20824] DISPLAY_SUMMARY,9RCeWXbzj9 
[20885] SELL,9RCeWXbzj9,KES,609.67 
[20920] COMMIT_SELL,9RCeWXbzj9 
[20941] SELL,9RCeWXbzj9,QAX,290.47 
[21085] CANCEL_SELL,9RCeWXbzj9 
[21147] SELL,9RCeWXbzj9,JRJ,562.44 
[21179] COMMIT_SELL,9RCeWXbzj9 
[21261] DISPLAY_SUMMARY,9RCeWXbzj9 
[21536] SET_BUY_AMOUNT,9RCeWXbzj9,JCQ,387.11 
[21618] SET_BUY_TRIGGER,9RCeWXbzj9,APY,340.38 
[21674] ADD,9RCeWXbzj9,62826.16 
[21780] BUY,9RCeWXbzj9,BFL,703.00 
[21949] CANCEL_BUY,9RCeWXbzj9 
[21950] SET_SELL_TRIGGER,9RCeWXbzj9,FIW,27.54 
[22001] DISPLAY_SUMMARY,9RCeWXbzj9 
[22075] SELL,9RCeWXbzj9,CUZ,628.54 
[22106] COMMIT_SELL,9RCeWXbzj9 
[22175] ADD,9RCeWXbzj9,87023.69 
[22288] BUY,9RCeWXbzj9,MWV,547.61 
[22411] COMMIT_BUY,9RCeWXbzj9 
[22453] SET_BUY_AMOUNT,9RCeWXbzj9,UTV,399.25 
[22512] SET_BUY_TRIGGER,9RCeWXbzj9,GPM,364.83 
[22690] DISPLAY_SUMMARY,9RCeWXbzj9 
[23007] DISPLAY_SUMMARY,9RCeWXbzj9 
[23084] SET_SELL_AMOUNT,9RCeWXbzj9,QAX,385.99 
[23089] SET_SELL_TRIGGER,9RCeWXbzj9,QAX,72.71 
[23155] SET_SELL_AMOUNT,9RCeWXbzj9,EBS,330.64 
[23193] SET_SELL_TRIGGER,9RCeWXbzj9,EBS,146.50 
[23216] QUOTE,9RCeWXbzj9,MIU 
[23469] QUOTE,9RCeWXbzj9,BZX 
[23499] BUY,9RCeWXbzj9,ERF,724.94 
[23505] COMMIT_SELL,9RCeWXbzj9 
[23565] SET_SELL_AMOUNT,9RCeWXbzj9,EBS,113.33 
[23640] SELL,9RCeWXbzj9,CUZ,704.96 
[23675] COMMIT_SELL,9RCeWXbzj9 
[23690] SET_BUY_AMOUNT,9RCeWXbzj9,JQO,543.74 
