[25] ADD,9Z89FNPK7B,50356.08 
[99] QUOTE,9Z89FNPK7B,KGV 
[451] BUY,9Z89FNPK7B,UTL,713.19 
[782] COMMIT_BUY,9Z89FNPK7B 
[799] DISPLAY_SUMMARY,9Z89FNPK7B 
[926] ADD,9Z89FNPK7B,63435.37 
[951] SET_SELL_TRIGGER,9Z89FNPK7B,TYV,181.20 
[1054] CANCEL_SET_BUY,9Z89FNPK7B,DTG 
[1677] SET_BUY_AMOUNT,9Z89FNPK7B,QJZ,200.15 
[1886] SET_BUY_TRIGGER,9Z89FNPK7B,VIK,92.38 
[2067] SET_SELL_AMOUNT,9Z89FNPK7B,QJZ,631.80 
[2098] SET_SELL_TRIGGER,9Z89FNPK7B,QJZ,402.77 
[2274] SET_BUY_AMOUNT,9Z89FNPK7B,QJZ,41.82 
[2414] BUY,9Z89FNPK7B,JGO,174.89 
[2664] COMMIT_BUY,9Z89FNPK7B 
[2724] ADD,9Z89FNPK7B,87013.18 
[2904] BUY,9Z89FNPK7B,QVA,251.68 
[2914] SET_SELL_AMOUNT,9Z89FNPK7B,QJZ,624.91 
[3164] SET_SELL_TRIGGER,9Z89FNPK7B,QJZ,346.92 
[3167] DISPLAY_SUMMARY,9Z89FNPK7B 
[3198] ADD,9Z89FNPK7B,60075.69 
[3359] QUOTE,9Z89FNPK7B,MLU 
[3400] BUY,9Z89FNPK7B,NNW,510.20 
[3485] COMMIT_BUY,9Z89FNPK7B 
[3536] SELL,9Z89FNPK7B,QJZ,457.43 
[3541] COMMIT_SELL,9Z89FNPK7B 
[3588] SET_SELL_TRIGGER,9Z89FNPK7B,QJC,100.86 
[3892] BUY,9Z89FNPK7B,CCH,98.08 
[3974] SET_SELL_TRIGGER,9Z89FNPK7B,PBV,88.01 
[4012] SELL,9Z89FNPK7B,FQP,630.26 
[4078] CANCEL_SET_SELL,9Z89FNPK7B,BFB 
[4080] QUOTE,9Z89FNPK7B,YBP 
[4734] SET_BUY_AMOUNT,9Z89FNPK7B,QJZ,88.66 
[5073] SELL,9Z89FNPK7B,KDA,570.21 
[5159] COMMIT_SELL,9Z89FNPK7B 
[5249] ADD,9Z89FNPK7B,63540.64 
[5305] QUOTE,9Z89FNPK7B,DLQ 
[5369] BUY,9Z89FNPK7B,KAS,109.42 
[5529] COMMIT_BUY,9Z89FNPK7B 
[5613] QUOTE,9Z89FNPK7B,VOY 
[5678] ADD,9Z89FNPK7B,53518.15 
[5765] BUY,9Z89FNPK7B,PZE,358.77 
