[15] ADD,AnPcs8yTdQ,79054.85 
[53] QUOTE,AnPcs8yTdQ,MOM 
[115] SET_SELL_AMOUNT,AnPcs8yTdQ,FIY,98.16 
[333] SET_SELL_TRIGGER,AnPcs8yTdQ,FIY,67.64 
[443] ADD,AnPcs8yTdQ,55742.14 
[471] QUOTE,AnPcs8yTdQ,IFI 
[944] SET_SELL_TRIGGER,AnPcs8yTdQ,POE,41.43 
[1234] ADD,AnPcs8yTdQ,82708.25 
[1235] QUOTE,AnPcs8yTdQ,CXN 
[1431] BUY,AnPcs8yTdQ,HEK,414.44 
[1488] COMMIT_BUY,AnPcs8yTdQ 
[1578] SELL,AnPcs8yTdQ,QJZ,571.03 
[1585] QUOTE,AnPcs8yTdQ,SWJ 
[1778] SET_BUY_TRIGGER,AnPcs8yTdQ,SKY,5.90 
[1794] QUOTE,AnPcs8yTdQ,KAH 
[1844] QUOTE,AnPcs8yTdQ,DMW 
[1923] QUOTE,AnPcs8yTdQ,HYX 
[1931] BUY,AnPcs8yTdQ,IAV,110.52 
[1958] SET_BUY_TRIGGER,AnPcs8yTdQ,QSS,172.22 
[2096] SELL,AnPcs8yTdQ,QJZ,97.82 
[2107] COMMIT_SELL,AnPcs8yTdQ 
[2281] DISPLAY_SUMMARY,AnPcs8yTdQ 
[2302] BUY,AnPcs8yTdQ,OOV,667.66 
[2361] QUOTE,AnPcs8yTdQ,WAI 
[2457] SET_BUY_TRIGGER,AnPcs8yTdQ,GWF,163.04 
[2533] BUY,AnPcs8yTdQ,YPW,540.03 
[2539] CANCEL_SELL,AnPcs8yTdQ 
[2944] SET_BUY_TRIGGER,AnPcs8yTdQ,PYM,47.93 
[3014] ADD,AnPcs8yTdQ,50213.52 
[3076] BUY,AnPcs8yTdQ,IBT,300.14 
[3219] CANCEL_SET_BUY,AnPcs8yTdQ,YRL 
[3263] DISPLAY_SUMMARY,AnPcs8yTdQ 
[3274] QUOTE,AnPcs8yTdQ,PUN 
[3364] SET_SELL_TRIGGER,AnPcs8yTdQ,AAC,10.34 
[3369] SET_SELL_AMOUNT,AnPcs8yTdQ,QJZ,651.00 
[3465] SET_SELL_TRIGGER,AnPcs8yTdQ,QJZ,515.71 
[3655] ADD,AnPcs8yTdQ,72702.40 
[3767] QUOTE,AnPcs8yTdQ,KRX 
[3860] ADD,AnPcs8yTdQ,53787.50 
[3891] BUY,AnPcs8yTdQ,PXY,159.11 
[3914] COMMIT_BUY,AnPcs8yTdQ 
[4057] ADD,AnPcs8yTdQ,46565.95 
[4171] BUY,AnPcs8yTdQ,WDC,659.49 
[4228] COMMIT_SELL,AnPcs8yTdQ 
[4375] ADD,AnPcs8yTdQ,87849.38 
[4499] BUY,AnPcs8yTdQ,PFK,214.54 
[4560] COMMIT_BUY,AnPcs8yTdQ 
[4718] SELL,AnPcs8yTdQ,KDA,704.71 
[4724] COMMIT_BUY,AnPcs8yTdQ 
[4866] COMMIT_BUY,AnPcs8yTdQ 
[4997] SELL,AnPcs8yTdQ,QJZ,229.80 
[5056] SELL,AnPcs8yTdQ,FQP,498.38 
[5183] CANCEL_SET_BUY,AnPcs8yTdQ,TTY 
[5199] DISPLAY_SUMMARY,AnPcs8yTdQ 
[5213] ADD,AnPcs8yTdQ,67581.38 
[5314] CANCEL_SELL,AnPcs8yTdQ 
[5322] DISPLAY_SUMMARY,AnPcs8yTdQ 
[5443] QUOTE,AnPcs8yTdQ,HFS 
[5608] SET_BUY_TRIGGER,AnPcs8yTdQ,EDW,42.87 
[5744] DISPLAY_SUMMARY,AnPcs8yTdQ 
[5764] SET_BUY_TRIGGER,AnPcs8yTdQ,BVN,129.17 
[5859] QUOTE,AnPcs8yTdQ,QID 
[6022] SET_BUY_AMOUNT,AnPcs8yTdQ,QJZ,256.87 
[6715] DISPLAY_SUMMARY,AnPcs8yTdQ 
[6736] SELL,AnPcs8yTdQ,FQP,385.48 
[6821] CANCEL_SET_SELL,AnPcs8yTdQ,DWU 
[7016] DISPLAY_SUMMARY,AnPcs8yTdQ 
[7226] DISPLAY_SUMMARY,AnPcs8yTdQ 
[7299] DISPLAY_SUMMARY,AnPcs8yTdQ 
[7491] DISPLAY_SUMMARY,AnPcs8yTdQ 
[7648] SET_BUY_AMOUNT,AnPcs8yTdQ,QJZ,401.68 
[7707] SET_BUY_TRIGGER,AnPcs8yTdQ,XVK,204.03 
[7735] SELL,AnPcs8yTdQ,KDA,133.56 
