[87] ADD,AwEXQhdKGW,84874.28 
[170] BUY,AwEXQhdKGW,PTC,450.36 
[209] SET_SELL_TRIGGER,AwEXQhdKGW,JUG,108.97 
[282] QUOTE,AwEXQhdKGW,ZZD 
[447] BUY,AwEXQhdKGW,OBR,249.77 
[536] COMMIT_BUY,AwEXQhdKGW 
[575] DISPLAY_SUMMARY,AwEXQhdKGW 
[661] SET_SELL_TRIGGER,AwEXQhdKGW,KEO,1.00 
[824] QUOTE,AwEXQhdKGW,MOS 
[881] BUY,AwEXQhdKGW,VQA,143.87 
[970] COMMIT_BUY,AwEXQhdKGW 
[1076] BUY,AwEXQhdKGW,RFI,80.76 
[1128] COMMIT_BUY,AwEXQhdKGW 
[1238] DISPLAY_SUMMARY,AwEXQhdKGW 
[1319] ADD,AwEXQhdKGW,61535.70 
[1463] BUY,AwEXQhdKGW,MVQ,614.35 
[1597] DISPLAY_SUMMARY,AwEXQhdKGW 
[1616] DISPLAY_SUMMARY,AwEXQhdKGW 
[1786] DISPLAY_SUMMARY,AwEXQhdKGW 
[1799] DISPLAY_SUMMARY,AwEXQhdKGW 
[1815] QUOTE,AwEXQhdKGW,KLY 
[1818] QUOTE,AwEXQhdKGW,CAX 
[1857] CANCEL_BUY,AwEXQhdKGW 
[1924] ADD,AwEXQhdKGW,64573.73 
[1947] BUY,AwEXQhdKGW,ASJ,306.29 
[1979] COMMIT_BUY,AwEXQhdKGW 
[2119] QUOTE,AwEXQhdKGW,IFQ 
[2231] SET_BUY_TRIGGER,AwEXQhdKGW,BFB,38.02 
[2956] SELL,AwEXQhdKGW,FQP,412.88 
[3256] SET_SELL_AMOUNT,AwEXQhdKGW,FQP,680.68 
[3344] SET_SELL_TRIGGER,AwEXQhdKGW,FQP,311.71 
[3384] ADD,AwEXQhdKGW,69714.84 
[3444] QUOTE,AwEXQhdKGW,IHW 
[3573] QUOTE,AwEXQhdKGW,GDO 
[3598] BUY,AwEXQhdKGW,GJR,93.41 
[3704] QUOTE,AwEXQhdKGW,ALM 
[3720] BUY,AwEXQhdKGW,OAS,534.81 
[3724] COMMIT_BUY,AwEXQhdKGW 
[3756] ADD,AwEXQhdKGW,68325.82 
[3782] CANCEL_SET_BUY,AwEXQhdKGW,PZE 
[3855] QUOTE,AwEXQhdKGW,PLA 
[3924] SELL,AwEXQhdKGW,FQP,220.64 
[3971] COMMIT_SELL,AwEXQhdKGW 
[4007] ADD,AwEXQhdKGW,70023.04 
[4181] QUOTE,AwEXQhdKGW,QTH 
[4394] CANCEL_SET_BUY,AwEXQhdKGW,HIW 
[4505] BUY,AwEXQhdKGW,KVK,213.65 
[4735] COMMIT_BUY,AwEXQhdKGW 
[4750] ADD,AwEXQhdKGW,49176.37 
[5122] BUY,AwEXQhdKGW,LFU,204.76 
[5214] COMMIT_BUY,AwEXQhdKGW 
[5511] DISPLAY_SUMMARY,AwEXQhdKGW 
[5554] ADD,AwEXQhdKGW,77296.82 
[5677] CANCEL_SELL,AwEXQhdKGW 
[5725] SET_SELL_TRIGGER,AwEXQhdKGW,DRO,143.60 
[5760] QUOTE,AwEXQhdKGW,KIP 
[5923] SET_BUY_TRIGGER,AwEXQhdKGW,XOL,170.21 
[5949] ADD,AwEXQhdKGW,98330.95 
