[69] ADD,BOvGL2MRxg,83682.38 
[107] QUOTE,BOvGL2MRxg,BEG 
[120] CANCEL_BUY,BOvGL2MRxg 
[173] CANCEL_SELL,BOvGL2MRxg 
[216] SET_BUY_TRIGGER,BOvGL2MRxg,DMS,106.29 
[326] QUOTE,BOvGL2MRxg,XDN 
[329] BUY,BOvGL2MRxg,IPH,611.67 
[439] COMMIT_BUY,BOvGL2MRxg 
[455] SET_SELL_TRIGGER,BOvGL2MRxg,IPJ,160.82 
[555] DISPLAY_SUMMARY,BOvGL2MRxg 
[644] SET_SELL_TRIGGER,BOvGL2MRxg,JCL,91.96 
[752] QUOTE,BOvGL2MRxg,OSA 
[788] BUY,BOvGL2MRxg,QXE,136.28 
[793] COMMIT_BUY,BOvGL2MRxg 
[880] ADD,BOvGL2MRxg,67144.51 
[992] SELL,BOvGL2MRxg,FQP,598.34 
[1181] CANCEL_SET_SELL,BOvGL2MRxg,WBL 
[1228] ADD,BOvGL2MRxg,94594.20 
[1334] BUY,BOvGL2MRxg,WSR,445.27 
[1412] DISPLAY_SUMMARY,BOvGL2MRxg 
[1482] BUY,BOvGL2MRxg,CZQ,454.90 
[1535] DISPLAY_SUMMARY,BOvGL2MRxg 
[1554] ADD,BOvGL2MRxg,71072.22 
[1996] DISPLAY_SUMMARY,BOvGL2MRxg 
[2004] ADD,BOvGL2MRxg,69392.77 
[2021] BUY,BOvGL2MRxg,HPN,344.78 
[2219] COMMIT_BUY,BOvGL2MRxg 
[2517] DISPLAY_SUMMARY,BOvGL2MRxg 
[2574] ADD,BOvGL2MRxg,94665.28 
[2595] QUOTE,BOvGL2MRxg,TTY 
[2642] BUY,BOvGL2MRxg,QUT,534.63 
[2650] QUOTE,BOvGL2MRxg,WSR 
[2774] BUY,BOvGL2MRxg,ZCO,193.10 
[2790] CANCEL_BUY,BOvGL2MRxg 
[2918] DISPLAY_SUMMARY,BOvGL2MRxg 
[2936] QUOTE,BOvGL2MRxg,CDF 
[3005] QUOTE,BOvGL2MRxg,RQT 
