[44] ADD,CetaglZj6n,60419.65 
[126] QUOTE,CetaglZj6n,AVX 
[263] SET_SELL_TRIGGER,CetaglZj6n,VVW,42.85 
[290] BUY,CetaglZj6n,SCK,99.64 
[314] SET_BUY_TRIGGER,CetaglZj6n,JJW,119.14 
[617] COMMIT_BUY,CetaglZj6n 
[629] DISPLAY_SUMMARY,CetaglZj6n 
[766] SET_BUY_TRIGGER,CetaglZj6n,UGT,15.65 
[805] ADD,CetaglZj6n,73801.57 
[971] DISPLAY_SUMMARY,CetaglZj6n 
[1042] SET_BUY_AMOUNT,CetaglZj6n,QJZ,550.75 
[1140] SET_BUY_TRIGGER,CetaglZj6n,WUL,97.42 
[1180] COMMIT_BUY,CetaglZj6n 
[1294] SET_BUY_AMOUNT,CetaglZj6n,QJZ,371.92 
[1308] SET_BUY_TRIGGER,CetaglZj6n,LUT,240.45 
[1315] ADD,CetaglZj6n,89002.54 
[1321] SET_SELL_TRIGGER,CetaglZj6n,XRK,87.64 
[1587] BUY,CetaglZj6n,FPP,401.34 
[1760] SET_SELL_TRIGGER,CetaglZj6n,THH,25.23 
[1771] SET_BUY_TRIGGER,CetaglZj6n,AHE,7.66 
[1823] SET_SELL_AMOUNT,CetaglZj6n,QJZ,211.80 
[1904] SET_SELL_TRIGGER,CetaglZj6n,QJZ,125.05 
[1926] BUY,CetaglZj6n,MWV,461.72 
[1967] COMMIT_BUY,CetaglZj6n 
[1992] DISPLAY_SUMMARY,CetaglZj6n 
[2033] SELL,CetaglZj6n,QJZ,162.62 
[2046] COMMIT_SELL,CetaglZj6n 
[2091] SET_SELL_AMOUNT,CetaglZj6n,QJZ,281.56 
[2100] BUY,CetaglZj6n,TFZ,710.96 
[2131] COMMIT_BUY,CetaglZj6n 
[2399] SET_BUY_AMOUNT,CetaglZj6n,KDA,576.87 
[2593] DISPLAY_SUMMARY,CetaglZj6n 
[2596] QUOTE,CetaglZj6n,SAJ 
[2932] COMMIT_BUY,CetaglZj6n 
[3367] ADD,CetaglZj6n,64253.45 
[3493] CANCEL_SELL,CetaglZj6n 
[3531] SET_BUY_TRIGGER,CetaglZj6n,OHG,440.28 
[3639] SET_BUY_TRIGGER,CetaglZj6n,JDW,76.62 
[3715] SET_SELL_AMOUNT,CetaglZj6n,QJZ,35.18 
[3827] SET_SELL_TRIGGER,CetaglZj6n,QJZ,14.30 
[3845] BUY,CetaglZj6n,JFF,459.13 
[3975] ADD,CetaglZj6n,63055.17 
[4052] BUY,CetaglZj6n,NGG,219.16 
[4079] COMMIT_BUY,CetaglZj6n 
[4088] BUY,CetaglZj6n,DBS,186.22 
[4108] CANCEL_SELL,CetaglZj6n 
[4185] DISPLAY_SUMMARY,CetaglZj6n 
[4263] SET_SELL_AMOUNT,CetaglZj6n,KES,391.21 
[4323] SELL,CetaglZj6n,KES,158.84 
[4686] COMMIT_SELL,CetaglZj6n 
[4845] SET_SELL_TRIGGER,CetaglZj6n,KES,138.34 
[5223] DISPLAY_SUMMARY,CetaglZj6n 
[5266] ADD,CetaglZj6n,61230.50 
[5325] DISPLAY_SUMMARY,CetaglZj6n 
[5391] SELL,CetaglZj6n,KDA,304.62 
[5535] COMMIT_SELL,CetaglZj6n 
[5741] ADD,CetaglZj6n,99007.60 
[5906] SET_BUY_TRIGGER,CetaglZj6n,HSJ,154.32 
[5912] DISPLAY_SUMMARY,CetaglZj6n 
[5920] DISPLAY_SUMMARY,CetaglZj6n 
[5996] SET_BUY_AMOUNT,CetaglZj6n,FQP,596.01 
[6020] SET_BUY_TRIGGER,CetaglZj6n,FVZ,498.65 
[6266] ADD,CetaglZj6n,56751.22 
[6293] BUY,CetaglZj6n,QHF,190.39 
[6682] COMMIT_BUY,CetaglZj6n 
[6684] BUY,CetaglZj6n,VOU,602.71 
[6701] CANCEL_BUY,CetaglZj6n 
[6765] ADD,CetaglZj6n,90250.60 
[6805] QUOTE,CetaglZj6n,XUH 
[6820] BUY,CetaglZj6n,GHL,205.94 
[6891] COMMIT_BUY,CetaglZj6n 
[6893] ADD,CetaglZj6n,68325.25 
[6911] QUOTE,CetaglZj6n,OGB 
[7216] QUOTE,CetaglZj6n,FIY 
[7234] BUY,CetaglZj6n,GIX,157.14 
[7249] SET_SELL_AMOUNT,CetaglZj6n,KDA,166.03 
[7379] SET_SELL_TRIGGER,CetaglZj6n,KDA,50.61 
[7562] SET_BUY_AMOUNT,CetaglZj6n,KES,592.58 
[7596] SET_BUY_TRIGGER,CetaglZj6n,PVH,482.50 
[7708] BUY,CetaglZj6n,GIX,309.42 
[7748] SELL,CetaglZj6n,FQP,259.75 
[7749] COMMIT_SELL,CetaglZj6n 
[7797] SET_SELL_TRIGGER,CetaglZj6n,YMG,100.10 
[7825] QUOTE,CetaglZj6n,OLH 
[7934] SELL,CetaglZj6n,QJZ,5.02 
[8131] COMMIT_SELL,CetaglZj6n 
[8193] BUY,CetaglZj6n,SYN,509.75 
[8213] COMMIT_BUY,CetaglZj6n 
[8338] DISPLAY_SUMMARY,CetaglZj6n 
[8385] SET_BUY_AMOUNT,CetaglZj6n,KDA,463.16 
[8453] SET_BUY_TRIGGER,CetaglZj6n,RUN,85.79 
[8558] ADD,CetaglZj6n,66483.91 
[8642] BUY,CetaglZj6n,PMX,382.64 
[8761] CANCEL_BUY,CetaglZj6n 
[9015] SELL,CetaglZj6n,JVT,396.61 
[9116] COMMIT_BUY,CetaglZj6n 
[9118] SELL,CetaglZj6n,KES,523.61 
[9141] COMMIT_SELL,CetaglZj6n 
[9238] ADD,CetaglZj6n,56286.50 
[9384] QUOTE,CetaglZj6n,AVH 
[9597] CANCEL_SELL,CetaglZj6n 
[9619] QUOTE,CetaglZj6n,SFO 
[9991] SET_BUY_AMOUNT,CetaglZj6n,GYF,162.77 
[10304] SET_BUY_TRIGGER,CetaglZj6n,ZFJ,107.42 
[10611] DISPLAY_SUMMARY,CetaglZj6n 
[11047] ADD,CetaglZj6n,81676.77 
[11117] SET_SELL_AMOUNT,CetaglZj6n,QJZ,61.31 
[11266] SET_SELL_TRIGGER,CetaglZj6n,QJZ,10.98 
[11299] DISPLAY_SUMMARY,CetaglZj6n 
[11318] DISPLAY_SUMMARY,CetaglZj6n 
[11407] ADD,CetaglZj6n,87532.62 
[11522] BUY,CetaglZj6n,ZSV,229.76 
[11940] CANCEL_BUY,CetaglZj6n 
[12059] SET_BUY_AMOUNT,CetaglZj6n,GYF,147.46 
[12129] QUOTE,CetaglZj6n,GQV 
[12141] ADD,CetaglZj6n,59906.44 
[12256] BUY,CetaglZj6n,URA,123.50 
[12278] COMMIT_BUY,CetaglZj6n 
[12283] ADD,CetaglZj6n,69523.95 
[12341] BUY,CetaglZj6n,COE,425.51 
[12350] COMMIT_BUY,CetaglZj6n 
[12375] DISPLAY_SUMMARY,CetaglZj6n 
[12396] SET_SELL_TRIGGER,CetaglZj6n,GUW,91.40 
[12445] BUY,CetaglZj6n,ECI,716.33 
[12680] COMMIT_BUY,CetaglZj6n 
[12945] SELL,CetaglZj6n,QJZ,225.27 
[13003] COMMIT_SELL,CetaglZj6n 
[13147] DISPLAY_SUMMARY,CetaglZj6n 
[13510] BUY,CetaglZj6n,RFC,36.72 
[13526] COMMIT_BUY,CetaglZj6n 
[13550] COMMIT_BUY,CetaglZj6n 
[13611] COMMIT_BUY,CetaglZj6n 
[13644] ADD,CetaglZj6n,55761.60 
[13666] QUOTE,CetaglZj6n,OSC 
[13736] QUOTE,CetaglZj6n,GSW 
[13856] QUOTE,CetaglZj6n,XQG 
[13865] BUY,CetaglZj6n,AOU,90.46 
[14195] SET_BUY_AMOUNT,CetaglZj6n,GYF,229.29 
[14247] SELL,CetaglZj6n,KDA,399.78 
[14371] CANCEL_SELL,CetaglZj6n 
[14392] SET_SELL_AMOUNT,CetaglZj6n,QJZ,138.83 
[14473] SET_SELL_TRIGGER,CetaglZj6n,QJZ,121.48 
[14597] SET_BUY_TRIGGER,CetaglZj6n,WYD,58.99 
[14718] QUOTE,CetaglZj6n,TCP 
[14920] DISPLAY_SUMMARY,CetaglZj6n 
