[163] ADD,D6zA2CRl22,84102.17 
[403] QUOTE,D6zA2CRl22,DDA 
[464] BUY,D6zA2CRl22,PSJ,169.30 
[494] COMMIT_BUY,D6zA2CRl22 
[549] ADD,D6zA2CRl22,47899.14 
[565] QUOTE,D6zA2CRl22,SYE 
[622] BUY,D6zA2CRl22,YZC,74.85 
[687] CANCEL_SELL,D6zA2CRl22 
[708] QUOTE,D6zA2CRl22,YWC 
[714] ADD,D6zA2CRl22,69914.02 
[840] QUOTE,D6zA2CRl22,YIQ 
[873] SELL,D6zA2CRl22,QJZ,599.49 
[921] DISPLAY_SUMMARY,D6zA2CRl22 
[974] SELL,D6zA2CRl22,QJZ,239.62 
[1103] COMMIT_SELL,D6zA2CRl22 
[1239] BUY,D6zA2CRl22,VMT,166.62 
[1300] COMMIT_BUY,D6zA2CRl22 
[1387] BUY,D6zA2CRl22,HNO,386.69 
[1448] COMMIT_BUY,D6zA2CRl22 
[1457] ADD,D6zA2CRl22,65342.55 
[1623] CANCEL_SELL,D6zA2CRl22 
[1640] SET_SELL_AMOUNT,D6zA2CRl22,FQP,252.66 
[1683] SET_SELL_TRIGGER,D6zA2CRl22,FQP,176.95 
[1706] QUOTE,D6zA2CRl22,FZB 
[1918] CANCEL_SET_SELL,D6zA2CRl22,GDF 
[2088] QUOTE,D6zA2CRl22,FLD 
[2123] SET_SELL_AMOUNT,D6zA2CRl22,FQP,598.93 
[2393] SET_SELL_TRIGGER,D6zA2CRl22,FQP,548.75 
[2602] COMMIT_SELL,D6zA2CRl22 
[2704] QUOTE,D6zA2CRl22,NXF 
[2761] CANCEL_BUY,D6zA2CRl22 
[2804] QUOTE,D6zA2CRl22,MOF 
[2850] ADD,D6zA2CRl22,74882.34 
[3108] BUY,D6zA2CRl22,WXV,365.99 
[3111] CANCEL_SELL,D6zA2CRl22 
[3138] SELL,D6zA2CRl22,KDA,168.67 
[3165] COMMIT_SELL,D6zA2CRl22 
[3169] ADD,D6zA2CRl22,65330.95 
[3471] QUOTE,D6zA2CRl22,FZB 
[3633] QUOTE,D6zA2CRl22,WNH 
[3778] BUY,D6zA2CRl22,BOS,105.90 
[3798] CANCEL_BUY,D6zA2CRl22 
[3998] CANCEL_SET_SELL,D6zA2CRl22,JJW 
[4018] SET_BUY_AMOUNT,D6zA2CRl22,FQP,608.78 
[4068] SET_BUY_TRIGGER,D6zA2CRl22,IIX,341.10 
[4209] DISPLAY_SUMMARY,D6zA2CRl22 
[4214] SELL,D6zA2CRl22,FQP,117.60 
[4266] QUOTE,D6zA2CRl22,KZZ 
[4282] ADD,D6zA2CRl22,48830.33 
[4448] COMMIT_BUY,D6zA2CRl22 
[4811] SET_BUY_AMOUNT,D6zA2CRl22,QJZ,528.51 
[4853] SET_BUY_TRIGGER,D6zA2CRl22,JVE,2.80 
[4873] DISPLAY_SUMMARY,D6zA2CRl22 
[5099] SELL,D6zA2CRl22,FQP,680.78 
[5150] COMMIT_SELL,D6zA2CRl22 
[5173] ADD,D6zA2CRl22,80610.84 
[5367] QUOTE,D6zA2CRl22,ZQC 
[5383] QUOTE,D6zA2CRl22,UTD 
[5388] SET_BUY_TRIGGER,D6zA2CRl22,FVD,0.12 
[5469] QUOTE,D6zA2CRl22,JLO 
[5606] QUOTE,D6zA2CRl22,CVP 
[5689] SET_BUY_TRIGGER,D6zA2CRl22,NAW,147.10 
[5739] DISPLAY_SUMMARY,D6zA2CRl22 
[5963] BUY,D6zA2CRl22,PCK,633.59 
[6053] COMMIT_BUY,D6zA2CRl22 
[6159] QUOTE,D6zA2CRl22,EDW 
[6465] BUY,D6zA2CRl22,OXV,96.66 
