[138] ADD,F0mQHf8fev,74252.25 
[277] QUOTE,F0mQHf8fev,STQ 
[392] SET_BUY_AMOUNT,F0mQHf8fev,VVW,103.63 
[468] SET_BUY_TRIGGER,F0mQHf8fev,VVW,60.41 
[591] ADD,F0mQHf8fev,59138.78 
[594] SET_BUY_AMOUNT,F0mQHf8fev,RGH,103.17 
[630] SET_BUY_TRIGGER,F0mQHf8fev,RGH,71.55 
[810] SET_SELL_AMOUNT,F0mQHf8fev,SUS,88.20 
[985] QUOTE,F0mQHf8fev,NNW 
[1039] BUY,F0mQHf8fev,SCK,382.03 
[1160] COMMIT_BUY,F0mQHf8fev 
[1189] SET_SELL_AMOUNT,F0mQHf8fev,QJZ,140.61 
[1232] SELL,F0mQHf8fev,QJZ,443.75 
[1375] COMMIT_SELL,F0mQHf8fev 
[1925] QUOTE,F0mQHf8fev,YDD 
[1951] COMMIT_BUY,F0mQHf8fev 
[1986] DISPLAY_SUMMARY,F0mQHf8fev 
[2018] BUY,F0mQHf8fev,HTN,14.68 
[2081] COMMIT_SELL,F0mQHf8fev 
[2127] CANCEL_SET_BUY,F0mQHf8fev,LVT 
[2172] QUOTE,F0mQHf8fev,DRO 
[2282] SET_BUY_TRIGGER,F0mQHf8fev,YNY,31.91 
[2318] DISPLAY_SUMMARY,F0mQHf8fev 
[2339] SET_BUY_TRIGGER,F0mQHf8fev,NSN,56.47 
[2392] SELL,F0mQHf8fev,QJZ,492.85 
[2452] SET_SELL_AMOUNT,F0mQHf8fev,QJZ,107.14 
[2471] BUY,F0mQHf8fev,VWU,674.22 
[2703] SET_SELL_AMOUNT,F0mQHf8fev,QJZ,471.68 
[2718] CANCEL_SET_SELL,F0mQHf8fev,QJZ 
[2728] QUOTE,F0mQHf8fev,GPW 
[2763] SET_BUY_AMOUNT,F0mQHf8fev,QJZ,727.16 
[2888] BUY,F0mQHf8fev,HRJ,622.47 
[2938] COMMIT_BUY,F0mQHf8fev 
[2968] ADD,F0mQHf8fev,75107.86 
[3010] QUOTE,F0mQHf8fev,BHP 
[3088] SET_BUY_AMOUNT,F0mQHf8fev,QJZ,388.96 
[3216] SET_BUY_TRIGGER,F0mQHf8fev,ISQ,7.36 
[3227] ADD,F0mQHf8fev,73394.03 
[3429] BUY,F0mQHf8fev,AUX,480.98 
[3442] ADD,F0mQHf8fev,60942.02 
[3506] BUY,F0mQHf8fev,CBQ,312.63 
[3603] CANCEL_BUY,F0mQHf8fev 
[3651] CANCEL_SET_BUY,F0mQHf8fev,NIR 
[4027] DISPLAY_SUMMARY,F0mQHf8fev 
[4040] DISPLAY_SUMMARY,F0mQHf8fev 
[4135] CANCEL_SET_SELL,F0mQHf8fev,DWU 
[4233] DISPLAY_SUMMARY,F0mQHf8fev 
[4314] DISPLAY_SUMMARY,F0mQHf8fev 
[4374] COMMIT_BUY,F0mQHf8fev 
[4462] BUY,F0mQHf8fev,YNH,506.98 
[4485] COMMIT_BUY,F0mQHf8fev 
[4544] QUOTE,F0mQHf8fev,GGY 
[4599] BUY,F0mQHf8fev,MMF,743.60 
[4719] COMMIT_BUY,F0mQHf8fev 
[4864] ADD,F0mQHf8fev,96105.48 
[4868] QUOTE,F0mQHf8fev,ATE 
[4876] BUY,F0mQHf8fev,ZAM,185.52 
[4949] COMMIT_BUY,F0mQHf8fev 
[4989] QUOTE,F0mQHf8fev,XVK 
[5075] CANCEL_SET_BUY,F0mQHf8fev,TUO 
[5139] COMMIT_SELL,F0mQHf8fev 
[5242] BUY,F0mQHf8fev,RKQ,8.46 
[5298] CANCEL_BUY,F0mQHf8fev 
[5349] SET_BUY_TRIGGER,F0mQHf8fev,DXQ,1.64 
[5509] SET_SELL_TRIGGER,F0mQHf8fev,JGF,10.40 
[5559] ADD,F0mQHf8fev,65414.40 
[5800] QUOTE,F0mQHf8fev,ZER 
[5806] QUOTE,F0mQHf8fev,BVN 
[5844] SET_SELL_TRIGGER,F0mQHf8fev,VMD,141.81 
[5897] BUY,F0mQHf8fev,OQW,215.92 
[5955] COMMIT_BUY,F0mQHf8fev 
[6015] SET_BUY_AMOUNT,F0mQHf8fev,KES,731.42 
[6059] SET_BUY_TRIGGER,F0mQHf8fev,VTY,118.92 
[6272] DISPLAY_SUMMARY,F0mQHf8fev 
[6273] BUY,F0mQHf8fev,NXF,63.74 
[6318] CANCEL_SET_SELL,F0mQHf8fev,EJW 
[6388] CANCEL_BUY,F0mQHf8fev 
[6414] BUY,F0mQHf8fev,JCL,160.30 
[6449] COMMIT_BUY,F0mQHf8fev 
[6608] CANCEL_BUY,F0mQHf8fev 
[6657] BUY,F0mQHf8fev,XMA,495.08 
[6784] SET_BUY_TRIGGER,F0mQHf8fev,AJX,29.12 
[7017] SELL,F0mQHf8fev,QJZ,79.77 
[7073] COMMIT_BUY,F0mQHf8fev 
[7086] ADD,F0mQHf8fev,73319.01 
[7172] QUOTE,F0mQHf8fev,IAV 
[7261] SELL,F0mQHf8fev,QJZ,695.59 
[7757] COMMIT_SELL,F0mQHf8fev 
[7771] BUY,F0mQHf8fev,BMQ,447.14 
[7983] SET_SELL_AMOUNT,F0mQHf8fev,OEY,552.26 
[8104] DISPLAY_SUMMARY,F0mQHf8fev 
[8108] SET_SELL_AMOUNT,F0mQHf8fev,QJZ,623.30 
[8133] SET_SELL_TRIGGER,F0mQHf8fev,QJZ,597.85 
[8140] ADD,F0mQHf8fev,61087.65 
[8229] BUY,F0mQHf8fev,OYW,237.47 
[8237] QUOTE,F0mQHf8fev,SCK 
[8360] BUY,F0mQHf8fev,KRY,338.56 
[8371] COMMIT_BUY,F0mQHf8fev 
[8567] QUOTE,F0mQHf8fev,LEA 
[8619] QUOTE,F0mQHf8fev,WUL 
[8657] QUOTE,F0mQHf8fev,CLQ 
[8659] SET_BUY_TRIGGER,F0mQHf8fev,BSG,69.43 
[8730] BUY,F0mQHf8fev,FPV,107.47 
[8791] SET_BUY_TRIGGER,F0mQHf8fev,TSU,86.02 
[8850] SET_BUY_AMOUNT,F0mQHf8fev,EBS,328.80 
[8891] SELL,F0mQHf8fev,JVT,85.25 
[8892] COMMIT_SELL,F0mQHf8fev 
[9291] SET_BUY_AMOUNT,F0mQHf8fev,QJZ,504.01 
[9404] SELL,F0mQHf8fev,EBS,46.00 
[9431] CANCEL_BUY,F0mQHf8fev 
[9512] CANCEL_SET_BUY,F0mQHf8fev,XBL 
[9532] BUY,F0mQHf8fev,ZMS,457.84 
[9939] CANCEL_BUY,F0mQHf8fev 
