[12] ADD,F3iruDCI8F,102869.70 
[196] QUOTE,F3iruDCI8F,QWC 
[280] BUY,F3iruDCI8F,JXW,75.91 
[463] CANCEL_BUY,F3iruDCI8F 
[588] DISPLAY_SUMMARY,F3iruDCI8F 
[716] SET_BUY_TRIGGER,F3iruDCI8F,QOD,190.77 
[784] ADD,F3iruDCI8F,76045.66 
[839] BUY,F3iruDCI8F,FYA,150.60 
[852] COMMIT_BUY,F3iruDCI8F 
[962] SELL,F3iruDCI8F,QJZ,666.37 
[965] COMMIT_SELL,F3iruDCI8F 
[1200] ADD,F3iruDCI8F,75771.86 
[1237] BUY,F3iruDCI8F,SXB,427.75 
[1380] COMMIT_BUY,F3iruDCI8F 
[1404] DISPLAY_SUMMARY,F3iruDCI8F 
[1502] BUY,F3iruDCI8F,NXU,197.98 
[1673] SET_SELL_TRIGGER,F3iruDCI8F,PBV,160.97 
[1721] ADD,F3iruDCI8F,52855.42 
[1855] QUOTE,F3iruDCI8F,GDO 
[1940] ADD,F3iruDCI8F,40514.07 
[1960] SET_BUY_AMOUNT,F3iruDCI8F,FQP,8.17 
[2203] SELL,F3iruDCI8F,QJZ,397.22 
[2280] CANCEL_SET_BUY,F3iruDCI8F,PXX 
[2363] BUY,F3iruDCI8F,VGW,684.65 
[2503] COMMIT_SELL,F3iruDCI8F 
[2896] DISPLAY_SUMMARY,F3iruDCI8F 
[2972] BUY,F3iruDCI8F,KAO,437.44 
[3011] SET_SELL_TRIGGER,F3iruDCI8F,XZN,121.74 
[3097] DISPLAY_SUMMARY,F3iruDCI8F 
[3229] QUOTE,F3iruDCI8F,MXN 
[3314] QUOTE,F3iruDCI8F,TVX 
[3337] QUOTE,F3iruDCI8F,WNU 
[3397] ADD,F3iruDCI8F,79962.11 
[3606] QUOTE,F3iruDCI8F,WRJ 
[3642] SET_BUY_AMOUNT,F3iruDCI8F,FQP,538.54 
[4039] SET_BUY_TRIGGER,F3iruDCI8F,SDW,30.30 
[4067] ADD,F3iruDCI8F,67718.01 
[4082] QUOTE,F3iruDCI8F,MLT 
[4182] BUY,F3iruDCI8F,NTT,73.10 
[4293] COMMIT_BUY,F3iruDCI8F 
[4475] QUOTE,F3iruDCI8F,BTD 
[4918] QUOTE,F3iruDCI8F,QXW 
[4921] SET_SELL_AMOUNT,F3iruDCI8F,KDA,388.41 
[4946] SET_SELL_TRIGGER,F3iruDCI8F,KDA,34.55 
[5061] SET_BUY_AMOUNT,F3iruDCI8F,QJZ,528.17 
[5096] SET_BUY_TRIGGER,F3iruDCI8F,MLT,487.24 
[5230] CANCEL_SET_SELL,F3iruDCI8F,IFC 
[5364] ADD,F3iruDCI8F,62063.62 
[5676] SELL,F3iruDCI8F,QJZ,151.26 
[5802] SET_BUY_AMOUNT,F3iruDCI8F,QJZ,642.35 
[6029] SET_BUY_TRIGGER,F3iruDCI8F,PMG,290.28 
[6111] SET_SELL_AMOUNT,F3iruDCI8F,KDA,598.87 
[6275] SET_SELL_TRIGGER,F3iruDCI8F,KDA,123.04 
[6375] SET_BUY_TRIGGER,F3iruDCI8F,RXO,114.95 
[6408] SELL,F3iruDCI8F,QJZ,486.58 
[6495] COMMIT_SELL,F3iruDCI8F 
[6719] ADD,F3iruDCI8F,83978.41 
[6833] BUY,F3iruDCI8F,QPX,357.30 
[6980] COMMIT_BUY,F3iruDCI8F 
[7188] ADD,F3iruDCI8F,76703.59 
[7254] BUY,F3iruDCI8F,UDQ,721.86 
[7295] SELL,F3iruDCI8F,FQP,415.00 
[7342] COMMIT_SELL,F3iruDCI8F 
[7357] SET_BUY_TRIGGER,F3iruDCI8F,GDO,169.81 
[7521] SET_SELL_AMOUNT,F3iruDCI8F,KES,168.45 
[7646] SET_SELL_TRIGGER,F3iruDCI8F,KES,122.20 
