[89] ADD,FLeNlw500v,70440.20 
[334] BUY,FLeNlw500v,VBO,656.79 
[466] CANCEL_BUY,FLeNlw500v 
[490] DISPLAY_SUMMARY,FLeNlw500v 
[524] COMMIT_SELL,FLeNlw500v 
[706] SET_SELL_TRIGGER,FLeNlw500v,DBT,19.44 
[886] ADD,FLeNlw500v,53899.93 
[958] BUY,FLeNlw500v,TOL,422.10 
[1044] COMMIT_BUY,FLeNlw500v 
[1127] QUOTE,FLeNlw500v,ZAN 
[1154] QUOTE,FLeNlw500v,ZWZ 
[1182] QUOTE,FLeNlw500v,THH 
[1323] CANCEL_BUY,FLeNlw500v 
[1347] DISPLAY_SUMMARY,FLeNlw500v 
[1565] ADD,FLeNlw500v,84380.24 
[1819] BUY,FLeNlw500v,MHQ,101.66 
[1968] COMMIT_BUY,FLeNlw500v 
[2010] QUOTE,FLeNlw500v,PJW 
[2099] BUY,FLeNlw500v,FZU,601.60 
[2139] CANCEL_SELL,FLeNlw500v 
[2179] DISPLAY_SUMMARY,FLeNlw500v 
[2265] ADD,FLeNlw500v,72168.13 
[2390] SET_BUY_TRIGGER,FLeNlw500v,EVR,7.04 
[2541] SET_SELL_AMOUNT,FLeNlw500v,QJZ,7.40 
[2581] DISPLAY_SUMMARY,FLeNlw500v 
[2605] CANCEL_SELL,FLeNlw500v 
[2654] ADD,FLeNlw500v,115106.92 
[2709] QUOTE,FLeNlw500v,JQO 
[2819] QUOTE,FLeNlw500v,FCH 
[3055] QUOTE,FLeNlw500v,FVA 
[3159] QUOTE,FLeNlw500v,ULL 
[3175] BUY,FLeNlw500v,CXB,568.00 
[3244] SET_SELL_AMOUNT,FLeNlw500v,FQP,5.82 
[3245] SET_SELL_TRIGGER,FLeNlw500v,FQP,0.91 
[3275] BUY,FLeNlw500v,SHP,705.72 
[3287] CANCEL_SELL,FLeNlw500v 
[3483] DISPLAY_SUMMARY,FLeNlw500v 
[3559] BUY,FLeNlw500v,GIK,318.32 
[3678] COMMIT_BUY,FLeNlw500v 
[3777] ADD,FLeNlw500v,76891.41 
[4285] QUOTE,FLeNlw500v,OPN 
[4423] QUOTE,FLeNlw500v,GTX 
[4477] SET_BUY_TRIGGER,FLeNlw500v,HPN,72.58 
[4626] SET_SELL_AMOUNT,FLeNlw500v,FQP,246.47 
[4639] SET_SELL_TRIGGER,FLeNlw500v,FQP,2.61 
[4768] BUY,FLeNlw500v,SQI,649.21 
[4839] CANCEL_BUY,FLeNlw500v 
[4904] BUY,FLeNlw500v,LAW,419.90 
[4910] SET_BUY_TRIGGER,FLeNlw500v,QBD,191.96 
[4969] QUOTE,FLeNlw500v,YDD 
[5079] SET_SELL_TRIGGER,FLeNlw500v,BTD,101.57 
[5092] DISPLAY_SUMMARY,FLeNlw500v 
[5094] DISPLAY_SUMMARY,FLeNlw500v 
[5167] ADD,FLeNlw500v,51460.14 
[5194] BUY,FLeNlw500v,JUE,583.83 
[5424] COMMIT_BUY,FLeNlw500v 
[5465] ADD,FLeNlw500v,84907.83 
[5476] QUOTE,FLeNlw500v,ZJQ 
[5552] QUOTE,FLeNlw500v,OBR 
[5584] QUOTE,FLeNlw500v,FOV 
[5688] ADD,FLeNlw500v,72019.13 
[5807] BUY,FLeNlw500v,OYS,332.02 
[5895] CANCEL_BUY,FLeNlw500v 
[6017] CANCEL_SET_SELL,FLeNlw500v,CLQ 
[6042] SELL,FLeNlw500v,FQP,363.43 
[6043] SET_BUY_AMOUNT,FLeNlw500v,KES,263.29 
[6049] CANCEL_SET_BUY,FLeNlw500v,NUL 
[6152] SET_BUY_AMOUNT,FLeNlw500v,KDA,643.70 
[6229] SET_BUY_TRIGGER,FLeNlw500v,FPI,219.40 
[6255] ADD,FLeNlw500v,70302.97 
[6452] SET_SELL_AMOUNT,FLeNlw500v,KDA,109.02 
[6498] SET_SELL_TRIGGER,FLeNlw500v,KDA,1.42 
[6636] ADD,FLeNlw500v,79571.06 
[6652] BUY,FLeNlw500v,TTY,101.46 
[6668] COMMIT_BUY,FLeNlw500v 
[6789] SELL,FLeNlw500v,KDA,208.94 
[6888] COMMIT_SELL,FLeNlw500v 
[7197] SET_BUY_AMOUNT,FLeNlw500v,KDA,293.87 
[7321] CANCEL_SET_BUY,FLeNlw500v,TKG 
[7354] ADD,FLeNlw500v,67715.48 
[7422] BUY,FLeNlw500v,SVV,85.55 
[7472] COMMIT_BUY,FLeNlw500v 
[7694] SELL,FLeNlw500v,JVT,6.50 
[7840] COMMIT_SELL,FLeNlw500v 
[7912] SET_BUY_AMOUNT,FLeNlw500v,KES,113.73 
[8066] CANCEL_SET_BUY,FLeNlw500v,ZAO 
[8218] SELL,FLeNlw500v,JVT,176.67 
[8255] CANCEL_SELL,FLeNlw500v 
[8436] DISPLAY_SUMMARY,FLeNlw500v 
[8564] DISPLAY_SUMMARY,FLeNlw500v 
[8696] SET_SELL_AMOUNT,FLeNlw500v,KES,58.49 
[8840] SET_SELL_TRIGGER,FLeNlw500v,KES,18.71 
[8844] CANCEL_SET_SELL,FLeNlw500v,EOS 
[8851] ADD,FLeNlw500v,97640.48 
[8928] BUY,FLeNlw500v,WYR,115.56 
[8949] ADD,FLeNlw500v,82035.46 
[9034] SET_SELL_AMOUNT,FLeNlw500v,KES,352.18 
[9093] SET_SELL_TRIGGER,FLeNlw500v,KES,96.72 
[9168] QUOTE,FLeNlw500v,VOY 
[9214] BUY,FLeNlw500v,QAX,285.60 
[9362] CANCEL_SELL,FLeNlw500v 
[9632] SET_BUY_AMOUNT,FLeNlw500v,FQP,476.60 
[9663] SET_BUY_TRIGGER,FLeNlw500v,URD,23.33 
[9777] SELL,FLeNlw500v,FQP,315.44 
[9854] COMMIT_SELL,FLeNlw500v 
[9974] SET_BUY_TRIGGER,FLeNlw500v,MJU,57.04 
[10012] SELL,FLeNlw500v,KDA,101.38 
[10032] COMMIT_SELL,FLeNlw500v 
[10053] SET_SELL_TRIGGER,FLeNlw500v,JFF,42.40 
[10119] QUOTE,FLeNlw500v,IJO 
[10216] SET_BUY_TRIGGER,FLeNlw500v,YBP,92.11 
[10262] COMMIT_SELL,FLeNlw500v 
[10424] SET_BUY_TRIGGER,FLeNlw500v,RWM,36.39 
[10478] QUOTE,FLeNlw500v,JNO 
[10509] QUOTE,FLeNlw500v,YOG 
[10513] SET_BUY_AMOUNT,FLeNlw500v,JVT,36.34 
[10691] SET_BUY_TRIGGER,FLeNlw500v,TSS,9.57 
[10692] CANCEL_SET_SELL,FLeNlw500v,DBC 
[10724] COMMIT_SELL,FLeNlw500v 
[10744] DISPLAY_SUMMARY,FLeNlw500v 
[10804] ADD,FLeNlw500v,49065.25 
[10898] QUOTE,FLeNlw500v,FZB 
[10934] QUOTE,FLeNlw500v,VAT 
[10998] BUY,FLeNlw500v,KRY,530.09 
[11014] COMMIT_BUY,FLeNlw500v 
[11045] SET_BUY_AMOUNT,FLeNlw500v,OEY,216.09 
[11056] SET_BUY_TRIGGER,FLeNlw500v,ERF,23.33 
[11249] SET_SELL_TRIGGER,FLeNlw500v,JVE,152.59 
[11510] ADD,FLeNlw500v,83431.25 
[11532] CANCEL_SET_BUY,FLeNlw500v,UTD 
[11577] ADD,FLeNlw500v,62168.20 
[11655] BUY,FLeNlw500v,VTY,698.64 
[11671] COMMIT_SELL,FLeNlw500v 
[12182] SELL,FLeNlw500v,QJZ,673.90 
[12500] CANCEL_SELL,FLeNlw500v 
[12645] SET_BUY_TRIGGER,FLeNlw500v,LPS,12.22 
[12782] SET_BUY_AMOUNT,FLeNlw500v,OEY,579.52 
[12952] SET_BUY_TRIGGER,FLeNlw500v,ATW,460.01 
[13024] ADD,FLeNlw500v,70916.81 
[13127] QUOTE,FLeNlw500v,JLK 
[13268] COMMIT_SELL,FLeNlw500v 
[13389] QUOTE,FLeNlw500v,HNW 
[13595] CANCEL_SET_SELL,FLeNlw500v,WRN 
[13634] QUOTE,FLeNlw500v,LNJ 
[13832] BUY,FLeNlw500v,PMG,396.52 
[13853] COMMIT_BUY,FLeNlw500v 
[14162] BUY,FLeNlw500v,VJV,109.92 
[14194] COMMIT_BUY,FLeNlw500v 
[14204] SET_SELL_AMOUNT,FLeNlw500v,FQP,188.07 
[14257] SET_SELL_TRIGGER,FLeNlw500v,FQP,35.87 
[14334] DISPLAY_SUMMARY,FLeNlw500v 
[14387] QUOTE,FLeNlw500v,MFX 
[14539] SET_BUY_AMOUNT,FLeNlw500v,GYF,674.80 
[14574] SET_BUY_TRIGGER,FLeNlw500v,PHZ,316.89 
[14592] SET_BUY_TRIGGER,FLeNlw500v,FWW,10.28 
[14609] ADD,FLeNlw500v,72310.61 
[14613] SET_SELL_AMOUNT,FLeNlw500v,FQP,87.12 
[14624] CANCEL_SET_SELL,FLeNlw500v,FQP 
[14793] DISPLAY_SUMMARY,FLeNlw500v 
[14810] ADD,FLeNlw500v,84301.97 
[14950] SET_BUY_AMOUNT,FLeNlw500v,OEY,172.17 
[14992] SET_BUY_TRIGGER,FLeNlw500v,MVI,45.53 
[15029] ADD,FLeNlw500v,85051.20 
[15113] SET_BUY_AMOUNT,FLeNlw500v,EBS,414.12 
[15139] DISPLAY_SUMMARY,FLeNlw500v 
[15335] BUY,FLeNlw500v,IHA,172.85 
[15342] COMMIT_BUY,FLeNlw500v 
[15469] SET_SELL_TRIGGER,FLeNlw500v,RQL,49.67 
[15501] COMMIT_BUY,FLeNlw500v 
[15829] ADD,FLeNlw500v,60303.35 
[15959] QUOTE,FLeNlw500v,CZQ 
[16056] QUOTE,FLeNlw500v,CCH 
