[48] ADD,FOsYiQU5Qk,72884.59 
[85] QUOTE,FOsYiQU5Qk,FZU 
[255] CANCEL_SELL,FOsYiQU5Qk 
[411] ADD,FOsYiQU5Qk,64750.89 
[510] QUOTE,FOsYiQU5Qk,MIU 
[699] ADD,FOsYiQU5Qk,61898.83 
[984] BUY,FOsYiQU5Qk,FLD,113.89 
[1378] COMMIT_BUY,FOsYiQU5Qk 
[1455] SET_SELL_AMOUNT,FOsYiQU5Qk,QJZ,133.52 
[1473] CANCEL_SET_SELL,FOsYiQU5Qk,QJZ 
[1520] ADD,FOsYiQU5Qk,64881.67 
[1719] ADD,FOsYiQU5Qk,83804.40 
[1748] BUY,FOsYiQU5Qk,NNW,423.07 
[2012] COMMIT_BUY,FOsYiQU5Qk 
[2014] QUOTE,FOsYiQU5Qk,IDN 
[2055] SET_BUY_TRIGGER,FOsYiQU5Qk,PMG,16.29 
[2113] DISPLAY_SUMMARY,FOsYiQU5Qk 
[2145] CANCEL_SET_BUY,FOsYiQU5Qk,HZE 
[2312] DISPLAY_SUMMARY,FOsYiQU5Qk 
[2321] SET_SELL_AMOUNT,FOsYiQU5Qk,FQP,124.40 
[2351] SET_SELL_TRIGGER,FOsYiQU5Qk,FQP,98.41 
[2525] CANCEL_BUY,FOsYiQU5Qk 
[2552] DISPLAY_SUMMARY,FOsYiQU5Qk 
[2631] SET_BUY_AMOUNT,FOsYiQU5Qk,QJZ,28.35 
[2665] SET_BUY_TRIGGER,FOsYiQU5Qk,KCT,21.09 
[2683] CANCEL_BUY,FOsYiQU5Qk 
[2693] SET_BUY_AMOUNT,FOsYiQU5Qk,FQP,282.23 
[2782] SET_BUY_TRIGGER,FOsYiQU5Qk,PUU,216.04 
[2820] QUOTE,FOsYiQU5Qk,JQG 
[3041] QUOTE,FOsYiQU5Qk,ZGR 
[3094] BUY,FOsYiQU5Qk,UEC,700.14 
[3103] BUY,FOsYiQU5Qk,KQZ,692.11 
[3147] COMMIT_BUY,FOsYiQU5Qk 
[3204] DISPLAY_SUMMARY,FOsYiQU5Qk 
[3379] ADD,FOsYiQU5Qk,87674.10 
[3601] CANCEL_SET_SELL,FOsYiQU5Qk,URD 
[3699] SET_BUY_TRIGGER,FOsYiQU5Qk,NGZ,60.94 
[3738] SET_BUY_TRIGGER,FOsYiQU5Qk,BYA,10.94 
[3834] ADD,FOsYiQU5Qk,81734.90 
[3871] BUY,FOsYiQU5Qk,LCP,717.23 
[3905] DISPLAY_SUMMARY,FOsYiQU5Qk 
[3994] COMMIT_BUY,FOsYiQU5Qk 
[4103] ADD,FOsYiQU5Qk,97959.89 
[4254] SET_SELL_AMOUNT,FOsYiQU5Qk,FQP,610.68 
[4361] SET_SELL_TRIGGER,FOsYiQU5Qk,FQP,464.51 
[4478] BUY,FOsYiQU5Qk,OZW,666.03 
[4620] SET_SELL_TRIGGER,FOsYiQU5Qk,KJD,54.85 
[4710] SET_BUY_TRIGGER,FOsYiQU5Qk,WOJ,4.21 
[4727] ADD,FOsYiQU5Qk,49816.75 
[4794] QUOTE,FOsYiQU5Qk,FQR 
[5106] SET_BUY_AMOUNT,FOsYiQU5Qk,KDA,681.59 
[5280] SET_BUY_TRIGGER,FOsYiQU5Qk,LRS,384.49 
[5577] SET_BUY_TRIGGER,FOsYiQU5Qk,OTQ,118.97 
[5594] SET_SELL_AMOUNT,FOsYiQU5Qk,QJZ,396.37 
[5672] SET_SELL_TRIGGER,FOsYiQU5Qk,QJZ,297.82 
[5821] QUOTE,FOsYiQU5Qk,RQF 
[5877] BUY,FOsYiQU5Qk,IGT,242.64 
[6402] COMMIT_BUY,FOsYiQU5Qk 
[6504] SET_SELL_TRIGGER,FOsYiQU5Qk,ZAM,46.09 
[6809] SET_SELL_AMOUNT,FOsYiQU5Qk,JVT,503.82 
[7025] SET_SELL_TRIGGER,FOsYiQU5Qk,JVT,41.92 
[7034] DISPLAY_SUMMARY,FOsYiQU5Qk 
[7227] SELL,FOsYiQU5Qk,KES,577.36 
[7399] COMMIT_SELL,FOsYiQU5Qk 
[7531] SELL,FOsYiQU5Qk,QJZ,265.50 
[7603] SELL,FOsYiQU5Qk,KDA,317.99 
[7682] COMMIT_SELL,FOsYiQU5Qk 
[7726] SET_BUY_AMOUNT,FOsYiQU5Qk,FQP,731.36 
[7762] BUY,FOsYiQU5Qk,MWV,639.90 
[7831] COMMIT_BUY,FOsYiQU5Qk 
[7946] DISPLAY_SUMMARY,FOsYiQU5Qk 
[8146] ADD,FOsYiQU5Qk,64804.79 
