[174] ADD,FjKEXA3hdZ,66541.76 
[238] BUY,FjKEXA3hdZ,SJG,498.46 
[391] COMMIT_BUY,FjKEXA3hdZ 
[569] BUY,FjKEXA3hdZ,SZI,609.71 
[585] COMMIT_SELL,FjKEXA3hdZ 
[631] SET_SELL_AMOUNT,FjKEXA3hdZ,QJZ,579.80 
[710] SET_SELL_TRIGGER,FjKEXA3hdZ,QJZ,191.72 
[758] SET_BUY_AMOUNT,FjKEXA3hdZ,QJZ,294.71 
[786] SET_BUY_TRIGGER,FjKEXA3hdZ,XYV,184.52 
[1121] ADD,FjKEXA3hdZ,86552.93 
[1159] QUOTE,FjKEXA3hdZ,QJC 
[1336] ADD,FjKEXA3hdZ,74300.31 
[1366] BUY,FjKEXA3hdZ,XEA,223.51 
[1445] SET_BUY_AMOUNT,FjKEXA3hdZ,QJZ,510.22 
[1505] SET_BUY_TRIGGER,FjKEXA3hdZ,AVI,299.00 
[1506] BUY,FjKEXA3hdZ,QTH,217.65 
[1569] COMMIT_BUY,FjKEXA3hdZ 
[1766] QUOTE,FjKEXA3hdZ,CAX 
[1966] CANCEL_BUY,FjKEXA3hdZ 
[1975] BUY,FjKEXA3hdZ,GMF,523.61 
[2066] CANCEL_BUY,FjKEXA3hdZ 
[2072] BUY,FjKEXA3hdZ,RGH,272.40 
[2239] COMMIT_BUY,FjKEXA3hdZ 
[2241] BUY,FjKEXA3hdZ,ULL,305.43 
[2264] COMMIT_BUY,FjKEXA3hdZ 
[2309] DISPLAY_SUMMARY,FjKEXA3hdZ 
[2323] ADD,FjKEXA3hdZ,90172.95 
[2526] BUY,FjKEXA3hdZ,BBD,636.52 
[2529] COMMIT_BUY,FjKEXA3hdZ 
[2590] BUY,FjKEXA3hdZ,CNN,295.63 
[2686] QUOTE,FjKEXA3hdZ,POI 
[2879] BUY,FjKEXA3hdZ,SVV,438.72 
[2880] COMMIT_BUY,FjKEXA3hdZ 
[2900] ADD,FjKEXA3hdZ,74703.96 
[2977] QUOTE,FjKEXA3hdZ,FCH 
[3002] BUY,FjKEXA3hdZ,JVT,657.96 
[3066] COMMIT_BUY,FjKEXA3hdZ 
[3145] SET_SELL_AMOUNT,FjKEXA3hdZ,KES,300.60 
[3362] SET_SELL_TRIGGER,FjKEXA3hdZ,KES,225.51 
[3411] SET_SELL_AMOUNT,FjKEXA3hdZ,JVT,117.25 
[3447] SET_SELL_TRIGGER,FjKEXA3hdZ,JVT,24.86 
[3454] DISPLAY_SUMMARY,FjKEXA3hdZ 
[3470] SET_SELL_AMOUNT,FjKEXA3hdZ,KDA,411.89 
[3529] DISPLAY_SUMMARY,FjKEXA3hdZ 
[3550] SET_SELL_TRIGGER,FjKEXA3hdZ,KDA,244.80 
[3594] ADD,FjKEXA3hdZ,70407.09 
[3611] BUY,FjKEXA3hdZ,IGI,749.36 
[3835] COMMIT_BUY,FjKEXA3hdZ 
[3863] SELL,FjKEXA3hdZ,JVT,315.40 
[4289] COMMIT_SELL,FjKEXA3hdZ 
[4334] QUOTE,FjKEXA3hdZ,YOG 
[4441] BUY,FjKEXA3hdZ,IFN,392.27 
[4576] COMMIT_BUY,FjKEXA3hdZ 
[4582] DISPLAY_SUMMARY,FjKEXA3hdZ 
[4637] DISPLAY_SUMMARY,FjKEXA3hdZ 
[4663] DISPLAY_SUMMARY,FjKEXA3hdZ 
[4769] BUY,FjKEXA3hdZ,HNO,546.07 
[4775] DISPLAY_SUMMARY,FjKEXA3hdZ 
[4892] BUY,FjKEXA3hdZ,DLQ,54.95 
[5015] CANCEL_BUY,FjKEXA3hdZ 
[5080] SELL,FjKEXA3hdZ,GYF,307.26 
[5169] COMMIT_SELL,FjKEXA3hdZ 
[5176] SELL,FjKEXA3hdZ,EBS,509.24 
[5342] CANCEL_SET_BUY,FjKEXA3hdZ,KCT 
[5694] SET_BUY_TRIGGER,FjKEXA3hdZ,LEA,39.55 
[5747] QUOTE,FjKEXA3hdZ,DNJ 
[6008] QUOTE,FjKEXA3hdZ,LTB 
[6057] BUY,FjKEXA3hdZ,XOP,251.98 
[6197] COMMIT_BUY,FjKEXA3hdZ 
[6258] SET_BUY_AMOUNT,FjKEXA3hdZ,JVT,531.20 
[6264] SET_BUY_TRIGGER,FjKEXA3hdZ,WSG,91.64 
