[7] ADD,HBb0dWvkmH,81650.18 
[74] QUOTE,HBb0dWvkmH,JFJ 
[169] SET_BUY_AMOUNT,HBb0dWvkmH,OAV,190.29 
[269] SET_BUY_TRIGGER,HBb0dWvkmH,OAV,176.96 
[276] DISPLAY_SUMMARY,HBb0dWvkmH 
[345] SET_SELL_AMOUNT,HBb0dWvkmH,FQG,106.71 
[484] SET_SELL_TRIGGER,HBb0dWvkmH,FQG,39.07 
[664] ADD,HBb0dWvkmH,80367.47 
[762] QUOTE,HBb0dWvkmH,TVP 
[910] ADD,HBb0dWvkmH,43350.34 
[925] BUY,HBb0dWvkmH,SHP,172.92 
[1096] SET_BUY_AMOUNT,HBb0dWvkmH,JXR,737.10 
[1220] SET_BUY_TRIGGER,HBb0dWvkmH,JXR,565.37 
[1290] BUY,HBb0dWvkmH,LPB,666.24 
[1302] QUOTE,HBb0dWvkmH,GHE 
[1459] BUY,HBb0dWvkmH,BVN,572.63 
[1517] COMMIT_SELL,HBb0dWvkmH 
[1622] SELL,HBb0dWvkmH,XUH,62.95 
[1693] COMMIT_SELL,HBb0dWvkmH 
[1729] ADD,HBb0dWvkmH,60831.71 
[1809] BUY,HBb0dWvkmH,SWJ,745.58 
[2040] DISPLAY_SUMMARY,HBb0dWvkmH 
[2075] ADD,HBb0dWvkmH,64956.73 
[2093] BUY,HBb0dWvkmH,JLO,55.15 
[2138] COMMIT_BUY,HBb0dWvkmH 
[2163] CANCEL_SELL,HBb0dWvkmH 
[2200] COMMIT_SELL,HBb0dWvkmH 
[2209] SET_SELL_TRIGGER,HBb0dWvkmH,FPP,112.66 
[2221] SET_SELL_TRIGGER,HBb0dWvkmH,SCK,89.08 
[2411] ADD,HBb0dWvkmH,78526.46 
[2464] BUY,HBb0dWvkmH,VTY,179.05 
[2600] CANCEL_SELL,HBb0dWvkmH 
[2764] ADD,HBb0dWvkmH,57253.07 
[2825] BUY,HBb0dWvkmH,ZUV,477.02 
[2832] SET_BUY_TRIGGER,HBb0dWvkmH,VEE,136.77 
[2894] ADD,HBb0dWvkmH,65722.76 
[3018] BUY,HBb0dWvkmH,WTL,372.23 
[3061] CANCEL_BUY,HBb0dWvkmH 
[3230] DISPLAY_SUMMARY,HBb0dWvkmH 
[3288] DISPLAY_SUMMARY,HBb0dWvkmH 
[3539] ADD,HBb0dWvkmH,66401.29 
[3584] QUOTE,HBb0dWvkmH,YJK 
[3660] BUY,HBb0dWvkmH,JUN,238.09 
[3765] COMMIT_BUY,HBb0dWvkmH 
[3769] SELL,HBb0dWvkmH,FQP,47.92 
[3804] BUY,HBb0dWvkmH,HQU,192.71 
[3960] CANCEL_BUY,HBb0dWvkmH 
[3992] DISPLAY_SUMMARY,HBb0dWvkmH 
[4120] ADD,HBb0dWvkmH,56421.33 
[4178] BUY,HBb0dWvkmH,ZQW,194.13 
[4255] DISPLAY_SUMMARY,HBb0dWvkmH 
[4515] BUY,HBb0dWvkmH,XFA,530.82 
[4688] COMMIT_BUY,HBb0dWvkmH 
[4803] DISPLAY_SUMMARY,HBb0dWvkmH 
[4821] SELL,HBb0dWvkmH,FQP,389.01 
[4849] COMMIT_SELL,HBb0dWvkmH 
[4865] QUOTE,HBb0dWvkmH,OBR 
[4902] SET_SELL_AMOUNT,HBb0dWvkmH,QJZ,487.96 
[4971] SET_SELL_TRIGGER,HBb0dWvkmH,QJZ,273.87 
[4995] ADD,HBb0dWvkmH,46662.17 
[5019] QUOTE,HBb0dWvkmH,PFN 
[5116] BUY,HBb0dWvkmH,GIK,595.13 
[5136] COMMIT_BUY,HBb0dWvkmH 
[5145] SET_BUY_AMOUNT,HBb0dWvkmH,KDA,498.51 
[5360] SET_BUY_TRIGGER,HBb0dWvkmH,LEA,404.71 
[5363] SET_SELL_AMOUNT,HBb0dWvkmH,FQP,201.49 
[5374] SET_SELL_TRIGGER,HBb0dWvkmH,FQP,178.52 
[5395] SET_SELL_TRIGGER,HBb0dWvkmH,TKV,40.66 
[5436] ADD,HBb0dWvkmH,72061.94 
[5456] BUY,HBb0dWvkmH,MHR,727.10 
[5669] CANCEL_SET_SELL,HBb0dWvkmH,AOH 
[5890] ADD,HBb0dWvkmH,70321.88 
[5953] BUY,HBb0dWvkmH,YVS,594.52 
[5960] COMMIT_BUY,HBb0dWvkmH 
[6083] DISPLAY_SUMMARY,HBb0dWvkmH 
[6098] COMMIT_BUY,HBb0dWvkmH 
