[70] ADD,HBbyhPrKJi,83795.16 
[363] BUY,HBbyhPrKJi,IIX,667.41 
[483] COMMIT_BUY,HBbyhPrKJi 
[576] DISPLAY_SUMMARY,HBbyhPrKJi 
[600] SET_BUY_AMOUNT,HBbyhPrKJi,QJZ,439.43 
[688] SET_BUY_TRIGGER,HBbyhPrKJi,XII,90.22 
[760] BUY,HBbyhPrKJi,HRJ,690.03 
[1114] CANCEL_BUY,HBbyhPrKJi 
[1218] DISPLAY_SUMMARY,HBbyhPrKJi 
[1299] SELL,HBbyhPrKJi,QJZ,187.94 
[1446] CANCEL_SET_BUY,HBbyhPrKJi,PJJ 
[1659] DISPLAY_SUMMARY,HBbyhPrKJi 
[1731] SELL,HBbyhPrKJi,QJZ,422.05 
[1744] CANCEL_SELL,HBbyhPrKJi 
[1749] SET_BUY_AMOUNT,HBbyhPrKJi,QJZ,512.85 
[2071] QUOTE,HBbyhPrKJi,SYU 
[2117] QUOTE,HBbyhPrKJi,XII 
[2159] QUOTE,HBbyhPrKJi,JKX 
[2259] SET_SELL_TRIGGER,HBbyhPrKJi,CVV,20.45 
[2354] CANCEL_SET_BUY,HBbyhPrKJi,IDN 
[2444] CANCEL_SET_BUY,HBbyhPrKJi,XUH 
[2453] SET_SELL_TRIGGER,HBbyhPrKJi,NFV,76.82 
[2465] DISPLAY_SUMMARY,HBbyhPrKJi 
[2579] BUY,HBbyhPrKJi,OOV,87.96 
[2607] COMMIT_BUY,HBbyhPrKJi 
[2630] QUOTE,HBbyhPrKJi,NFQ 
[2767] CANCEL_SELL,HBbyhPrKJi 
[2802] DISPLAY_SUMMARY,HBbyhPrKJi 
[2874] ADD,HBbyhPrKJi,72915.79 
[2885] BUY,HBbyhPrKJi,JGG,462.86 
[2995] COMMIT_BUY,HBbyhPrKJi 
[3404] SET_BUY_TRIGGER,HBbyhPrKJi,AOU,107.38 
[3768] DISPLAY_SUMMARY,HBbyhPrKJi 
[3809] SELL,HBbyhPrKJi,QJZ,383.20 
[3912] COMMIT_BUY,HBbyhPrKJi 
[3916] BUY,HBbyhPrKJi,LVV,648.93 
[4316] SET_SELL_TRIGGER,HBbyhPrKJi,YRO,145.83 
[4326] QUOTE,HBbyhPrKJi,BBD 
[4385] BUY,HBbyhPrKJi,QGL,64.22 
[4395] COMMIT_BUY,HBbyhPrKJi 
[4459] QUOTE,HBbyhPrKJi,GTX 
