[60] ADD,HGsodwsfKO,62261.42 
[75] QUOTE,HGsodwsfKO,KJD 
[141] BUY,HGsodwsfKO,XPX,550.63 
[151] COMMIT_BUY,HGsodwsfKO 
[315] QUOTE,HGsodwsfKO,MQH 
[352] ADD,HGsodwsfKO,81392.54 
[364] BUY,HGsodwsfKO,OFP,172.50 
[417] CANCEL_BUY,HGsodwsfKO 
[511] DISPLAY_SUMMARY,HGsodwsfKO 
[870] DISPLAY_SUMMARY,HGsodwsfKO 
[1115] SET_BUY_TRIGGER,HGsodwsfKO,TQE,84.39 
[1242] CANCEL_SELL,HGsodwsfKO 
[1391] ADD,HGsodwsfKO,53884.25 
[1395] BUY,HGsodwsfKO,LJZ,589.57 
[1604] COMMIT_BUY,HGsodwsfKO 
[1661] SET_SELL_TRIGGER,HGsodwsfKO,CVV,198.36 
[1678] BUY,HGsodwsfKO,JGY,327.77 
[1699] COMMIT_BUY,HGsodwsfKO 
[1712] SET_SELL_TRIGGER,HGsodwsfKO,VNN,145.82 
[1738] SELL,HGsodwsfKO,FQP,68.41 
[1898] CANCEL_SELL,HGsodwsfKO 
[1995] ADD,HGsodwsfKO,94677.36 
[2307] BUY,HGsodwsfKO,RJG,647.29 
[2350] CANCEL_SELL,HGsodwsfKO 
[2385] SET_BUY_TRIGGER,HGsodwsfKO,FRB,160.87 
[2387] DISPLAY_SUMMARY,HGsodwsfKO 
[2508] SET_BUY_AMOUNT,HGsodwsfKO,FQP,74.18 
[2940] SELL,HGsodwsfKO,QJZ,158.39 
[2997] COMMIT_SELL,HGsodwsfKO 
[3137] SET_SELL_AMOUNT,HGsodwsfKO,KDA,112.00 
[3396] SET_SELL_TRIGGER,HGsodwsfKO,KDA,39.96 
[3528] ADD,HGsodwsfKO,101969.80 
[3579] QUOTE,HGsodwsfKO,CVK 
[3713] CANCEL_SELL,HGsodwsfKO 
[3797] QUOTE,HGsodwsfKO,TGY 
[3965] QUOTE,HGsodwsfKO,MXN 
[4026] SET_BUY_TRIGGER,HGsodwsfKO,ILT,70.11 
[4132] SET_SELL_AMOUNT,HGsodwsfKO,KDA,483.45 
[4201] SET_SELL_TRIGGER,HGsodwsfKO,KDA,428.99 
[4265] CANCEL_SET_BUY,HGsodwsfKO,ZDB 
[4406] ADD,HGsodwsfKO,39048.85 
[4503] BUY,HGsodwsfKO,CVV,459.12 
[4594] BUY,HGsodwsfKO,NNW,292.34 
[4667] COMMIT_BUY,HGsodwsfKO 
[4858] ADD,HGsodwsfKO,95747.01 
[5046] QUOTE,HGsodwsfKO,SXB 
[5059] COMMIT_BUY,HGsodwsfKO 
[5156] BUY,HGsodwsfKO,SSL,110.52 
[5227] BUY,HGsodwsfKO,GPL,742.16 
[5275] DISPLAY_SUMMARY,HGsodwsfKO 
[5389] SELL,HGsodwsfKO,QJZ,274.93 
[5750] COMMIT_SELL,HGsodwsfKO 
[5872] ADD,HGsodwsfKO,57339.46 
[6026] QUOTE,HGsodwsfKO,WZM 
[6072] QUOTE,HGsodwsfKO,KEO 
[6155] SET_SELL_TRIGGER,HGsodwsfKO,XXP,72.53 
[6316] SET_BUY_TRIGGER,HGsodwsfKO,NXF,31.63 
[6353] DISPLAY_SUMMARY,HGsodwsfKO 
[6470] SET_SELL_TRIGGER,HGsodwsfKO,BPP,81.95 
[6471] CANCEL_SET_SELL,HGsodwsfKO,DMW 
[6609] ADD,HGsodwsfKO,47179.58 
[6633] SET_SELL_TRIGGER,HGsodwsfKO,WPG,37.71 
[6791] QUOTE,HGsodwsfKO,JLK 
[6847] SET_SELL_AMOUNT,HGsodwsfKO,FQP,617.40 
[6956] CANCEL_SET_SELL,HGsodwsfKO,FQP 
[7026] SET_SELL_TRIGGER,HGsodwsfKO,PXF,73.94 
[7054] ADD,HGsodwsfKO,67939.09 
[7171] BUY,HGsodwsfKO,LQN,676.21 
[7302] COMMIT_BUY,HGsodwsfKO 
[7332] SET_BUY_TRIGGER,HGsodwsfKO,NLT,1.14 
[7642] SET_BUY_AMOUNT,HGsodwsfKO,JVT,373.72 
[7696] SET_BUY_TRIGGER,HGsodwsfKO,LVV,54.55 
[7796] SET_SELL_AMOUNT,HGsodwsfKO,FQP,432.00 
[7896] SET_SELL_TRIGGER,HGsodwsfKO,FQP,422.76 
[7935] ADD,HGsodwsfKO,46282.48 
[8001] BUY,HGsodwsfKO,SYN,347.15 
[8010] COMMIT_BUY,HGsodwsfKO 
[8068] SET_BUY_AMOUNT,HGsodwsfKO,JVT,178.28 
[8211] SET_BUY_TRIGGER,HGsodwsfKO,XII,78.60 
[8319] SELL,HGsodwsfKO,QJZ,383.79 
[8384] COMMIT_SELL,HGsodwsfKO 
[8469] DISPLAY_SUMMARY,HGsodwsfKO 
[8847] ADD,HGsodwsfKO,65920.44 
[9012] CANCEL_SELL,HGsodwsfKO 
[9223] SET_BUY_AMOUNT,HGsodwsfKO,KDA,616.77 
[9294] SET_BUY_TRIGGER,HGsodwsfKO,DJD,216.56 
[9319] ADD,HGsodwsfKO,65935.28 
