[20] ADD,HPxIuj9S6A,62213.48 
[328] QUOTE,HPxIuj9S6A,NGG 
[492] SET_SELL_AMOUNT,HPxIuj9S6A,PLA,219.04 
[583] QUOTE,HPxIuj9S6A,FZB 
[735] SET_BUY_TRIGGER,HPxIuj9S6A,KPU,91.74 
[748] SET_SELL_TRIGGER,HPxIuj9S6A,PLA,135.23 
[751] ADD,HPxIuj9S6A,64400.34 
[842] DISPLAY_SUMMARY,HPxIuj9S6A 
[1088] ADD,HPxIuj9S6A,44852.15 
[1112] QUOTE,HPxIuj9S6A,IQJ 
[1270] SET_SELL_AMOUNT,HPxIuj9S6A,XBL,346.77 
[1650] SET_SELL_TRIGGER,HPxIuj9S6A,XBL,21.74 
[1763] SET_SELL_TRIGGER,HPxIuj9S6A,GYT,99.71 
[1803] SET_SELL_AMOUNT,HPxIuj9S6A,WCR,698.30 
[1938] SET_SELL_TRIGGER,HPxIuj9S6A,WCR,256.29 
[2030] ADD,HPxIuj9S6A,70065.31 
[2054] ADD,HPxIuj9S6A,88363.11 
[2094] QUOTE,HPxIuj9S6A,OBR 
[2184] SET_BUY_TRIGGER,HPxIuj9S6A,SWD,113.88 
[2473] ADD,HPxIuj9S6A,57335.30 
[2628] QUOTE,HPxIuj9S6A,GUW 
[2701] BUY,HPxIuj9S6A,VMD,138.27 
[2717] COMMIT_BUY,HPxIuj9S6A 
[2749] ADD,HPxIuj9S6A,85553.92 
[2769] QUOTE,HPxIuj9S6A,WHR 
[2842] SELL,HPxIuj9S6A,QJZ,490.68 
[2843] COMMIT_SELL,HPxIuj9S6A 
[2857] QUOTE,HPxIuj9S6A,ZAO 
[2970] DISPLAY_SUMMARY,HPxIuj9S6A 
[3065] SET_SELL_TRIGGER,HPxIuj9S6A,HMR,123.67 
[3218] ADD,HPxIuj9S6A,61088.20 
[3368] SELL,HPxIuj9S6A,QJZ,389.24 
[3382] COMMIT_SELL,HPxIuj9S6A 
[3505] SET_SELL_TRIGGER,HPxIuj9S6A,KAR,177.96 
[3564] SET_SELL_AMOUNT,HPxIuj9S6A,QJZ,201.60 
[3772] CANCEL_SET_SELL,HPxIuj9S6A,QJZ 
[4045] SET_SELL_TRIGGER,HPxIuj9S6A,YKB,154.20 
[4284] SET_SELL_TRIGGER,HPxIuj9S6A,NSN,93.36 
[4301] SET_BUY_TRIGGER,HPxIuj9S6A,PNP,167.48 
[4415] SET_SELL_TRIGGER,HPxIuj9S6A,LLZ,38.04 
[4779] DISPLAY_SUMMARY,HPxIuj9S6A 
[4907] ADD,HPxIuj9S6A,83685.52 
[5004] BUY,HPxIuj9S6A,AVI,313.66 
[5008] COMMIT_BUY,HPxIuj9S6A 
[5028] BUY,HPxIuj9S6A,RGM,577.30 
[5100] COMMIT_BUY,HPxIuj9S6A 
[5198] DISPLAY_SUMMARY,HPxIuj9S6A 
[5246] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,714.01 
[5336] SET_BUY_TRIGGER,HPxIuj9S6A,LAM,580.45 
[5453] SET_SELL_TRIGGER,HPxIuj9S6A,DLQ,22.54 
[5484] SET_SELL_AMOUNT,HPxIuj9S6A,KDA,456.44 
[5572] DISPLAY_SUMMARY,HPxIuj9S6A 
[5605] ADD,HPxIuj9S6A,65821.27 
[5758] BUY,HPxIuj9S6A,GMS,679.95 
[5826] COMMIT_BUY,HPxIuj9S6A 
[5951] ADD,HPxIuj9S6A,91046.72 
[6009] CANCEL_SET_SELL,HPxIuj9S6A,KDA 
[6108] SET_SELL_TRIGGER,HPxIuj9S6A,NJF,26.91 
[6163] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,216.56 
[6319] SET_BUY_TRIGGER,HPxIuj9S6A,CZQ,152.26 
[6347] SET_SELL_AMOUNT,HPxIuj9S6A,KES,636.17 
[6447] SET_SELL_TRIGGER,HPxIuj9S6A,KES,537.73 
[6462] ADD,HPxIuj9S6A,19622.04 
[6473] BUY,HPxIuj9S6A,QAA,748.42 
[6506] COMMIT_BUY,HPxIuj9S6A 
[6582] ADD,HPxIuj9S6A,30191.60 
[6686] BUY,HPxIuj9S6A,JMX,469.16 
[6950] COMMIT_BUY,HPxIuj9S6A 
[6968] DISPLAY_SUMMARY,HPxIuj9S6A 
[7004] DISPLAY_SUMMARY,HPxIuj9S6A 
[7005] DISPLAY_SUMMARY,HPxIuj9S6A 
[7081] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,52.52 
[7094] SET_BUY_TRIGGER,HPxIuj9S6A,WBL,33.85 
[7096] CANCEL_BUY,HPxIuj9S6A 
[7101] QUOTE,HPxIuj9S6A,BWR 
[7195] SET_SELL_TRIGGER,HPxIuj9S6A,YOG,123.99 
[7255] ADD,HPxIuj9S6A,46332.55 
[7608] QUOTE,HPxIuj9S6A,OSC 
[8052] ADD,HPxIuj9S6A,39248.50 
[8113] BUY,HPxIuj9S6A,XOP,507.69 
[8130] COMMIT_BUY,HPxIuj9S6A 
[8196] QUOTE,HPxIuj9S6A,WJS 
[8209] QUOTE,HPxIuj9S6A,FTB 
[8353] BUY,HPxIuj9S6A,ZNL,4.65 
[8529] COMMIT_BUY,HPxIuj9S6A 
[8617] BUY,HPxIuj9S6A,ZAN,737.26 
[8666] CANCEL_SET_BUY,HPxIuj9S6A,JCQ 
[8838] DISPLAY_SUMMARY,HPxIuj9S6A 
[9014] CANCEL_SELL,HPxIuj9S6A 
[9170] COMMIT_SELL,HPxIuj9S6A 
[9314] COMMIT_SELL,HPxIuj9S6A 
[9407] QUOTE,HPxIuj9S6A,NZS 
[9613] ADD,HPxIuj9S6A,69645.05 
[9616] BUY,HPxIuj9S6A,TVI,335.24 
[9630] CANCEL_SET_BUY,HPxIuj9S6A,SZI 
[9821] ADD,HPxIuj9S6A,63207.26 
[10078] QUOTE,HPxIuj9S6A,UFX 
[10108] SET_BUY_AMOUNT,HPxIuj9S6A,OEY,414.58 
[10133] SET_BUY_TRIGGER,HPxIuj9S6A,QQI,134.82 
[10376] DISPLAY_SUMMARY,HPxIuj9S6A 
[10466] SELL,HPxIuj9S6A,KES,422.37 
[10474] CANCEL_SET_BUY,HPxIuj9S6A,KJH 
[10489] DISPLAY_SUMMARY,HPxIuj9S6A 
[10512] SELL,HPxIuj9S6A,KDA,180.54 
[10567] CANCEL_SELL,HPxIuj9S6A 
[10838] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,248.58 
[10899] SET_BUY_TRIGGER,HPxIuj9S6A,NQU,37.79 
[10968] SET_SELL_AMOUNT,HPxIuj9S6A,KES,407.52 
[11061] SET_SELL_TRIGGER,HPxIuj9S6A,KES,384.63 
[11155] SELL,HPxIuj9S6A,FQP,351.40 
[11159] COMMIT_BUY,HPxIuj9S6A 
[11216] SELL,HPxIuj9S6A,QJZ,62.42 
[11405] COMMIT_SELL,HPxIuj9S6A 
[11625] DISPLAY_SUMMARY,HPxIuj9S6A 
[11708] BUY,HPxIuj9S6A,DXL,310.04 
[11959] SELL,HPxIuj9S6A,FQP,726.19 
[12179] SET_BUY_TRIGGER,HPxIuj9S6A,MVI,102.86 
[12192] SET_SELL_AMOUNT,HPxIuj9S6A,JCQ,489.86 
[12246] SELL,HPxIuj9S6A,GYF,716.04 
[12365] COMMIT_SELL,HPxIuj9S6A 
[12378] DISPLAY_SUMMARY,HPxIuj9S6A 
[12636] BUY,HPxIuj9S6A,TZJ,458.62 
[12694] QUOTE,HPxIuj9S6A,XTH 
[12746] CANCEL_SELL,HPxIuj9S6A 
[12967] DISPLAY_SUMMARY,HPxIuj9S6A 
[13001] DISPLAY_SUMMARY,HPxIuj9S6A 
[13114] SELL,HPxIuj9S6A,EBS,102.34 
[13135] SET_BUY_AMOUNT,HPxIuj9S6A,KES,176.03 
[13169] SET_BUY_TRIGGER,HPxIuj9S6A,PTP,19.62 
[13297] ADD,HPxIuj9S6A,72128.94 
[13377] BUY,HPxIuj9S6A,VGW,539.94 
[13417] CANCEL_SET_SELL,HPxIuj9S6A,JCQ 
[13448] SELL,HPxIuj9S6A,KDA,686.45 
[13582] COMMIT_SELL,HPxIuj9S6A 
[13663] QUOTE,HPxIuj9S6A,MFY 
[13713] BUY,HPxIuj9S6A,WJP,45.92 
[13842] CANCEL_BUY,HPxIuj9S6A 
[13930] CANCEL_SET_SELL,HPxIuj9S6A,XAN 
[14021] SET_SELL_AMOUNT,HPxIuj9S6A,KES,260.16 
[14603] DISPLAY_SUMMARY,HPxIuj9S6A 
[14671] CANCEL_SET_SELL,HPxIuj9S6A,KES 
[14832] ADD,HPxIuj9S6A,57557.31 
[14881] BUY,HPxIuj9S6A,OZT,411.57 
[14892] COMMIT_BUY,HPxIuj9S6A 
[14969] SET_SELL_AMOUNT,HPxIuj9S6A,OEY,390.29 
[15192] CANCEL_SET_SELL,HPxIuj9S6A,OEY 
[15481] ADD,HPxIuj9S6A,58164.61 
[15492] CANCEL_SELL,HPxIuj9S6A 
[16088] QUOTE,HPxIuj9S6A,ZWZ 
[16301] QUOTE,HPxIuj9S6A,PTC 
[16463] SET_BUY_TRIGGER,HPxIuj9S6A,HNO,13.53 
[16774] SET_SELL_TRIGGER,HPxIuj9S6A,OFP,130.66 
[16882] BUY,HPxIuj9S6A,VNN,533.66 
[16902] CANCEL_BUY,HPxIuj9S6A 
[17046] SET_BUY_AMOUNT,HPxIuj9S6A,EBS,494.90 
[17062] SET_BUY_TRIGGER,HPxIuj9S6A,FQG,186.79 
[17175] COMMIT_SELL,HPxIuj9S6A 
[17202] SET_BUY_TRIGGER,HPxIuj9S6A,RRE,102.08 
[17270] SELL,HPxIuj9S6A,EBS,449.76 
[17288] COMMIT_SELL,HPxIuj9S6A 
[17354] ADD,HPxIuj9S6A,64941.98 
[17429] SET_BUY_TRIGGER,HPxIuj9S6A,IPH,161.52 
[17458] QUOTE,HPxIuj9S6A,KCA 
[17532] COMMIT_SELL,HPxIuj9S6A 
[17572] SET_SELL_AMOUNT,HPxIuj9S6A,KES,244.61 
[17687] SET_SELL_TRIGGER,HPxIuj9S6A,KES,83.17 
[17747] CANCEL_BUY,HPxIuj9S6A 
[17767] COMMIT_BUY,HPxIuj9S6A 
[17867] DISPLAY_SUMMARY,HPxIuj9S6A 
[17881] DISPLAY_SUMMARY,HPxIuj9S6A 
[17983] QUOTE,HPxIuj9S6A,TCP 
[18001] QUOTE,HPxIuj9S6A,ZLY 
[18007] CANCEL_SET_BUY,HPxIuj9S6A,ZNW 
[18177] DISPLAY_SUMMARY,HPxIuj9S6A 
[18179] SELL,HPxIuj9S6A,JVT,741.32 
[18369] CANCEL_SET_SELL,HPxIuj9S6A,TWJ 
[18520] DISPLAY_SUMMARY,HPxIuj9S6A 
[18844] BUY,HPxIuj9S6A,GHL,89.95 
[18892] COMMIT_BUY,HPxIuj9S6A 
[19198] SET_BUY_AMOUNT,HPxIuj9S6A,EBS,223.80 
[19372] BUY,HPxIuj9S6A,AXK,128.71 
[19374] CANCEL_SET_BUY,HPxIuj9S6A,RXB 
[19520] DISPLAY_SUMMARY,HPxIuj9S6A 
[19537] ADD,HPxIuj9S6A,88376.27 
[19619] QUOTE,HPxIuj9S6A,JMG 
[19714] BUY,HPxIuj9S6A,XBL,29.33 
[19995] COMMIT_BUY,HPxIuj9S6A 
[20062] SET_SELL_TRIGGER,HPxIuj9S6A,ASJ,167.65 
[20157] ADD,HPxIuj9S6A,78488.13 
[20181] BUY,HPxIuj9S6A,QUT,254.91 
[20224] COMMIT_BUY,HPxIuj9S6A 
[20291] QUOTE,HPxIuj9S6A,LSW 
[20310] SET_BUY_AMOUNT,HPxIuj9S6A,KES,263.93 
[20406] QUOTE,HPxIuj9S6A,DMS 
[20452] COMMIT_SELL,HPxIuj9S6A 
[20468] BUY,HPxIuj9S6A,PPW,260.73 
[20704] SET_SELL_AMOUNT,HPxIuj9S6A,EBS,651.00 
[21131] SET_SELL_TRIGGER,HPxIuj9S6A,EBS,514.80 
[21344] CANCEL_SELL,HPxIuj9S6A 
[21402] BUY,HPxIuj9S6A,SEW,621.71 
[21887] COMMIT_BUY,HPxIuj9S6A 
[22107] SELL,HPxIuj9S6A,QJZ,136.54 
[22158] DISPLAY_SUMMARY,HPxIuj9S6A 
[22176] SELL,HPxIuj9S6A,UTV,409.74 
[22486] COMMIT_SELL,HPxIuj9S6A 
[22550] DISPLAY_SUMMARY,HPxIuj9S6A 
[22677] CANCEL_SET_BUY,HPxIuj9S6A,NAW 
[22757] SELL,HPxIuj9S6A,QJZ,709.66 
[22763] COMMIT_SELL,HPxIuj9S6A 
[22826] CANCEL_SELL,HPxIuj9S6A 
[23068] SET_SELL_AMOUNT,HPxIuj9S6A,QAX,392.94 
[23121] SELL,HPxIuj9S6A,JVT,197.00 
[23416] COMMIT_SELL,HPxIuj9S6A 
[23568] ADD,HPxIuj9S6A,81928.71 
[23590] QUOTE,HPxIuj9S6A,RGH 
[23611] CANCEL_SET_BUY,HPxIuj9S6A,XUY 
[23688] DISPLAY_SUMMARY,HPxIuj9S6A 
[23804] SELL,HPxIuj9S6A,KDA,175.60 
[23910] COMMIT_SELL,HPxIuj9S6A 
[23950] BUY,HPxIuj9S6A,DMS,256.71 
[24466] COMMIT_BUY,HPxIuj9S6A 
[24644] QUOTE,HPxIuj9S6A,GJQ 
[24704] SET_BUY_TRIGGER,HPxIuj9S6A,ZER,149.32 
[24712] QUOTE,HPxIuj9S6A,IBT 
[24774] CANCEL_SELL,HPxIuj9S6A 
[25008] BUY,HPxIuj9S6A,IUN,503.92 
[25080] SET_BUY_TRIGGER,HPxIuj9S6A,OZO,40.01 
[25166] COMMIT_SELL,HPxIuj9S6A 
[25228] ADD,HPxIuj9S6A,91419.70 
[25302] QUOTE,HPxIuj9S6A,IWL 
[25369] COMMIT_SELL,HPxIuj9S6A 
[25471] SELL,HPxIuj9S6A,JRJ,333.59 
[25495] COMMIT_SELL,HPxIuj9S6A 
[25497] ADD,HPxIuj9S6A,92917.83 
[25623] QUOTE,HPxIuj9S6A,SXB 
[25815] CANCEL_SET_BUY,HPxIuj9S6A,SKC 
[26050] COMMIT_SELL,HPxIuj9S6A 
[26117] DISPLAY_SUMMARY,HPxIuj9S6A 
[26185] BUY,HPxIuj9S6A,ERF,203.20 
[26233] QUOTE,HPxIuj9S6A,YDS 
[26469] QUOTE,HPxIuj9S6A,SYU 
[26509] QUOTE,HPxIuj9S6A,PIC 
[26670] BUY,HPxIuj9S6A,VMK,369.74 
[26948] COMMIT_SELL,HPxIuj9S6A 
[27061] SET_SELL_TRIGGER,HPxIuj9S6A,QAX,82.72 
[27208] CANCEL_SET_BUY,HPxIuj9S6A,VSE 
[27221] SELL,HPxIuj9S6A,LFU,332.10 
[27295] COMMIT_BUY,HPxIuj9S6A 
[27348] DISPLAY_SUMMARY,HPxIuj9S6A 
[27354] SET_BUY_AMOUNT,HPxIuj9S6A,EBS,145.63 
[27693] SET_BUY_TRIGGER,HPxIuj9S6A,DDA,28.03 
[27713] DISPLAY_SUMMARY,HPxIuj9S6A 
[27874] BUY,HPxIuj9S6A,QWC,647.73 
[27943] CANCEL_SELL,HPxIuj9S6A 
[27974] BUY,HPxIuj9S6A,AOC,53.09 
[27992] COMMIT_BUY,HPxIuj9S6A 
[28033] SET_SELL_AMOUNT,HPxIuj9S6A,CUZ,239.58 
[28074] SET_SELL_TRIGGER,HPxIuj9S6A,CUZ,67.10 
[28114] DISPLAY_SUMMARY,HPxIuj9S6A 
[28306] SET_SELL_TRIGGER,HPxIuj9S6A,MMY,160.61 
[28401] SELL,HPxIuj9S6A,KES,28.70 
[28462] SET_BUY_TRIGGER,HPxIuj9S6A,KGA,66.37 
[29116] COMMIT_SELL,HPxIuj9S6A 
[29125] ADD,HPxIuj9S6A,73391.90 
[29176] BUY,HPxIuj9S6A,AUT,506.46 
[29188] COMMIT_BUY,HPxIuj9S6A 
[29244] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,664.55 
[29328] SET_BUY_TRIGGER,HPxIuj9S6A,CVK,462.56 
[29396] DISPLAY_SUMMARY,HPxIuj9S6A 
[29710] ADD,HPxIuj9S6A,48798.31 
[29866] BUY,HPxIuj9S6A,WTD,42.69 
[29892] SET_BUY_TRIGGER,HPxIuj9S6A,PVZ,144.71 
[30003] QUOTE,HPxIuj9S6A,JPP 
[30008] DISPLAY_SUMMARY,HPxIuj9S6A 
[30190] ADD,HPxIuj9S6A,86423.23 
[30290] BUY,HPxIuj9S6A,GRM,0.22 
[30423] CANCEL_BUY,HPxIuj9S6A 
[30684] SET_BUY_TRIGGER,HPxIuj9S6A,TSS,199.50 
[30985] DISPLAY_SUMMARY,HPxIuj9S6A 
[31051] SET_SELL_AMOUNT,HPxIuj9S6A,LFU,511.65 
[31081] SET_SELL_TRIGGER,HPxIuj9S6A,LFU,85.01 
[31142] DISPLAY_SUMMARY,HPxIuj9S6A 
