[39] ADD,JZJCffUI5S,78018.97 
[136] QUOTE,JZJCffUI5S,CXC 
[167] QUOTE,JZJCffUI5S,FYA 
[355] ADD,JZJCffUI5S,74999.90 
[380] QUOTE,JZJCffUI5S,MRH 
[424] SET_BUY_AMOUNT,JZJCffUI5S,GHL,389.79 
[462] SET_BUY_TRIGGER,JZJCffUI5S,GHL,149.01 
[732] SET_SELL_AMOUNT,JZJCffUI5S,NHB,75.65 
[912] SET_SELL_TRIGGER,JZJCffUI5S,NHB,53.10 
[980] ADD,JZJCffUI5S,77058.27 
[1333] BUY,JZJCffUI5S,DXL,662.84 
[1335] SET_BUY_AMOUNT,JZJCffUI5S,GKD,744.55 
[1526] SET_BUY_TRIGGER,JZJCffUI5S,GKD,676.87 
[1543] SET_SELL_AMOUNT,JZJCffUI5S,LGL,272.62 
[1630] SET_SELL_TRIGGER,JZJCffUI5S,LGL,188.47 
[1792] ADD,JZJCffUI5S,82836.59 
[1793] QUOTE,JZJCffUI5S,QTU 
[1891] QUOTE,JZJCffUI5S,FWW 
[1952] ADD,JZJCffUI5S,83225.46 
[2060] COMMIT_SELL,JZJCffUI5S 
[2279] CANCEL_SET_SELL,JZJCffUI5S,YWK 
[2463] DISPLAY_SUMMARY,JZJCffUI5S 
[2486] BUY,JZJCffUI5S,PJJ,543.30 
[2534] COMMIT_BUY,JZJCffUI5S 
[2537] QUOTE,JZJCffUI5S,ZDB 
[2682] BUY,JZJCffUI5S,LSG,415.85 
[2744] COMMIT_BUY,JZJCffUI5S 
[2829] QUOTE,JZJCffUI5S,RVZ 
[2878] QUOTE,JZJCffUI5S,MQX 
[2979] BUY,JZJCffUI5S,HFS,282.65 
[2984] COMMIT_BUY,JZJCffUI5S 
[3022] ADD,JZJCffUI5S,77276.36 
[3026] BUY,JZJCffUI5S,OEN,553.46 
[3058] COMMIT_BUY,JZJCffUI5S 
[3067] SELL,JZJCffUI5S,FQP,105.85 
[3154] COMMIT_SELL,JZJCffUI5S 
[3208] SET_BUY_TRIGGER,JZJCffUI5S,MMF,165.96 
[3690] SELL,JZJCffUI5S,KDA,249.28 
[3700] CANCEL_SELL,JZJCffUI5S 
[3784] BUY,JZJCffUI5S,FVZ,53.80 
[3904] COMMIT_BUY,JZJCffUI5S 
[3922] SET_SELL_AMOUNT,JZJCffUI5S,JVT,152.57 
[4221] SET_SELL_TRIGGER,JZJCffUI5S,JVT,86.21 
[4225] CANCEL_BUY,JZJCffUI5S 
[4262] BUY,JZJCffUI5S,LQN,317.37 
[4414] COMMIT_BUY,JZJCffUI5S 
[4489] DISPLAY_SUMMARY,JZJCffUI5S 
