[4] ADD,KnTBc3qwcr,73952.03 
[77] DISPLAY_SUMMARY,KnTBc3qwcr 
[441] ADD,KnTBc3qwcr,74361.30 
[540] QUOTE,KnTBc3qwcr,UEC 
[597] QUOTE,KnTBc3qwcr,QGL 
[638] BUY,KnTBc3qwcr,LLO,187.39 
[783] COMMIT_BUY,KnTBc3qwcr 
[791] BUY,KnTBc3qwcr,RVU,440.36 
[794] DISPLAY_SUMMARY,KnTBc3qwcr 
[832] BUY,KnTBc3qwcr,MQF,670.38 
[959] CANCEL_SET_SELL,KnTBc3qwcr,BPE 
[1093] BUY,KnTBc3qwcr,JUG,165.00 
[1094] CANCEL_SET_SELL,KnTBc3qwcr,PDX 
[1338] DISPLAY_SUMMARY,KnTBc3qwcr 
[1367] SET_BUY_AMOUNT,KnTBc3qwcr,QJZ,168.48 
[1441] SET_BUY_TRIGGER,KnTBc3qwcr,NJI,65.03 
[1513] ADD,KnTBc3qwcr,75630.40 
[1626] BUY,KnTBc3qwcr,NGG,559.89 
[1671] COMMIT_BUY,KnTBc3qwcr 
[1915] SELL,KnTBc3qwcr,FQP,555.88 
[1932] COMMIT_BUY,KnTBc3qwcr 
[2090] SELL,KnTBc3qwcr,QJZ,341.00 
[2103] COMMIT_SELL,KnTBc3qwcr 
[2201] BUY,KnTBc3qwcr,QPR,414.20 
[2232] CANCEL_BUY,KnTBc3qwcr 
[2267] BUY,KnTBc3qwcr,XZO,22.33 
[2419] COMMIT_BUY,KnTBc3qwcr 
[2584] ADD,KnTBc3qwcr,77940.64 
[2743] BUY,KnTBc3qwcr,QGL,285.25 
[2871] QUOTE,KnTBc3qwcr,EOS 
[3062] BUY,KnTBc3qwcr,XLI,746.26 
[3124] CANCEL_BUY,KnTBc3qwcr 
[3317] SELL,KnTBc3qwcr,FQP,579.87 
[3416] QUOTE,KnTBc3qwcr,LMO 
[3703] COMMIT_BUY,KnTBc3qwcr 
[3719] BUY,KnTBc3qwcr,PVZ,55.97 
[3789] COMMIT_BUY,KnTBc3qwcr 
[3853] ADD,KnTBc3qwcr,51336.25 
[3980] QUOTE,KnTBc3qwcr,URY 
[4048] SET_BUY_AMOUNT,KnTBc3qwcr,FQP,94.10 
[4097] SET_BUY_TRIGGER,KnTBc3qwcr,RQL,30.38 
[4101] SET_SELL_TRIGGER,KnTBc3qwcr,XAB,161.97 
[4122] COMMIT_BUY,KnTBc3qwcr 
[4129] SELL,KnTBc3qwcr,KES,719.76 
[4154] COMMIT_SELL,KnTBc3qwcr 
[4229] ADD,KnTBc3qwcr,59563.00 
[4259] BUY,KnTBc3qwcr,YKB,40.67 
[4601] BUY,KnTBc3qwcr,NHG,712.64 
[4615] CANCEL_BUY,KnTBc3qwcr 
[4631] SET_SELL_AMOUNT,KnTBc3qwcr,QJZ,563.08 
[4792] SET_SELL_TRIGGER,KnTBc3qwcr,QJZ,256.55 
[4848] COMMIT_SELL,KnTBc3qwcr 
[5331] BUY,KnTBc3qwcr,MVI,105.18 
[5405] CANCEL_SELL,KnTBc3qwcr 
[5428] SET_SELL_AMOUNT,KnTBc3qwcr,KDA,561.84 
[5565] SET_SELL_TRIGGER,KnTBc3qwcr,KDA,108.81 
[5571] SELL,KnTBc3qwcr,KES,732.13 
[5603] COMMIT_SELL,KnTBc3qwcr 
[5790] QUOTE,KnTBc3qwcr,FZB 
[5858] BUY,KnTBc3qwcr,IQJ,178.25 
[5884] CANCEL_BUY,KnTBc3qwcr 
[6014] CANCEL_SET_BUY,KnTBc3qwcr,YLZ 
[6180] SET_SELL_AMOUNT,KnTBc3qwcr,QJZ,595.04 
[6261] CANCEL_SET_SELL,KnTBc3qwcr,QJZ 
[6290] SET_BUY_TRIGGER,KnTBc3qwcr,XNZ,49.58 
[6416] BUY,KnTBc3qwcr,SXB,138.13 
[6489] SET_BUY_AMOUNT,KnTBc3qwcr,FQP,292.54 
[6617] QUOTE,KnTBc3qwcr,EUC 
[6763] BUY,KnTBc3qwcr,EMN,289.61 
[6794] COMMIT_SELL,KnTBc3qwcr 
[7036] BUY,KnTBc3qwcr,APY,10.16 
[7068] CANCEL_SET_BUY,KnTBc3qwcr,DWU 
[7198] SET_BUY_AMOUNT,KnTBc3qwcr,JVT,66.18 
[7204] SELL,KnTBc3qwcr,JVT,625.89 
[7260] SELL,KnTBc3qwcr,QJZ,207.97 
[7504] CANCEL_SELL,KnTBc3qwcr 
[7598] DISPLAY_SUMMARY,KnTBc3qwcr 
[7861] ADD,KnTBc3qwcr,85953.43 
[7868] QUOTE,KnTBc3qwcr,NRY 
[7883] BUY,KnTBc3qwcr,BCQ,168.17 
[7897] COMMIT_BUY,KnTBc3qwcr 
[8095] CANCEL_SET_SELL,KnTBc3qwcr,ZRH 
[8096] BUY,KnTBc3qwcr,WUL,309.05 
[8315] COMMIT_BUY,KnTBc3qwcr 
[8370] QUOTE,KnTBc3qwcr,VXY 
[8401] BUY,KnTBc3qwcr,XBL,149.36 
[8464] COMMIT_BUY,KnTBc3qwcr 
[8688] DISPLAY_SUMMARY,KnTBc3qwcr 
[8754] QUOTE,KnTBc3qwcr,CXB 
[8758] SET_BUY_TRIGGER,KnTBc3qwcr,YPW,2.42 
[8883] ADD,KnTBc3qwcr,62914.58 
[8940] DISPLAY_SUMMARY,KnTBc3qwcr 
[8953] DISPLAY_SUMMARY,KnTBc3qwcr 
[9085] DISPLAY_SUMMARY,KnTBc3qwcr 
[9230] ADD,KnTBc3qwcr,83463.19 
[9323] BUY,KnTBc3qwcr,JKX,142.94 
[9328] COMMIT_BUY,KnTBc3qwcr 
[9333] ADD,KnTBc3qwcr,48965.43 
[9354] QUOTE,KnTBc3qwcr,ZNY 
[9421] SET_BUY_TRIGGER,KnTBc3qwcr,NLP,7.93 
[9490] DISPLAY_SUMMARY,KnTBc3qwcr 
[9492] COMMIT_BUY,KnTBc3qwcr 
[9550] SET_BUY_AMOUNT,KnTBc3qwcr,KDA,508.20 
[9578] DISPLAY_SUMMARY,KnTBc3qwcr 
[9593] SET_SELL_TRIGGER,KnTBc3qwcr,DRP,57.85 
[9609] SET_SELL_AMOUNT,KnTBc3qwcr,KES,621.98 
[9780] SET_SELL_TRIGGER,KnTBc3qwcr,KES,482.93 
[9842] BUY,KnTBc3qwcr,NHG,566.11 
[9896] COMMIT_BUY,KnTBc3qwcr 
[9902] QUOTE,KnTBc3qwcr,TTV 
[10054] SET_BUY_AMOUNT,KnTBc3qwcr,GYF,594.44 
[10149] SET_BUY_TRIGGER,KnTBc3qwcr,TSF,189.28 
[10246] SET_SELL_TRIGGER,KnTBc3qwcr,PHZ,56.67 
[10285] SET_BUY_AMOUNT,KnTBc3qwcr,JRJ,109.00 
[10357] CANCEL_SET_BUY,KnTBc3qwcr,JPP 
[10398] DISPLAY_SUMMARY,KnTBc3qwcr 
[10475] SET_BUY_TRIGGER,KnTBc3qwcr,QXE,6.06 
[10484] QUOTE,KnTBc3qwcr,IQJ 
[10493] COMMIT_SELL,KnTBc3qwcr 
[10507] ADD,KnTBc3qwcr,90031.49 
[10678] QUOTE,KnTBc3qwcr,SDW 
[10719] BUY,KnTBc3qwcr,WJP,264.31 
[10811] COMMIT_BUY,KnTBc3qwcr 
[10920] ADD,KnTBc3qwcr,47616.18 
[10993] BUY,KnTBc3qwcr,COE,353.62 
[11087] COMMIT_BUY,KnTBc3qwcr 
[11166] SET_BUY_TRIGGER,KnTBc3qwcr,JQJ,99.36 
[11183] SET_BUY_TRIGGER,KnTBc3qwcr,GFN,27.62 
[11274] CANCEL_SET_SELL,KnTBc3qwcr,LSG 
[11457] QUOTE,KnTBc3qwcr,ZZN 
[11492] QUOTE,KnTBc3qwcr,WGP 
[11711] BUY,KnTBc3qwcr,ZNZ,684.96 
[11774] COMMIT_BUY,KnTBc3qwcr 
[11944] SET_BUY_TRIGGER,KnTBc3qwcr,GZU,145.62 
[11981] SET_BUY_TRIGGER,KnTBc3qwcr,BLC,63.65 
[12043] SET_BUY_AMOUNT,KnTBc3qwcr,JRJ,139.90 
[12054] BUY,KnTBc3qwcr,QGE,173.66 
[12262] COMMIT_BUY,KnTBc3qwcr 
[12298] SET_SELL_TRIGGER,KnTBc3qwcr,MJU,183.70 
[12564] QUOTE,KnTBc3qwcr,WDC 
[12620] CANCEL_SET_SELL,KnTBc3qwcr,AHE 
[12628] ADD,KnTBc3qwcr,74484.49 
[12748] BUY,KnTBc3qwcr,FPI,704.37 
[12835] COMMIT_BUY,KnTBc3qwcr 
[12948] SET_BUY_AMOUNT,KnTBc3qwcr,QJZ,42.98 
[12970] SET_BUY_TRIGGER,KnTBc3qwcr,ZMS,37.58 
[13053] SET_BUY_TRIGGER,KnTBc3qwcr,ARP,72.48 
[13082] SELL,KnTBc3qwcr,UTV,203.25 
[13182] CANCEL_SET_SELL,KnTBc3qwcr,VMT 
[13403] ADD,KnTBc3qwcr,79555.79 
[13455] SET_BUY_AMOUNT,KnTBc3qwcr,JCQ,13.80 
[13527] SET_BUY_TRIGGER,KnTBc3qwcr,XTH,10.11 
[13573] ADD,KnTBc3qwcr,62476.30 
[13737] BUY,KnTBc3qwcr,JRJ,502.85 
[13775] COMMIT_BUY,KnTBc3qwcr 
[14126] DISPLAY_SUMMARY,KnTBc3qwcr 
[14149] COMMIT_BUY,KnTBc3qwcr 
[14250] COMMIT_SELL,KnTBc3qwcr 
[14375] SET_BUY_TRIGGER,KnTBc3qwcr,KWP,99.68 
[14413] SET_BUY_TRIGGER,KnTBc3qwcr,MRH,55.50 
[14641] BUY,KnTBc3qwcr,ZUV,316.20 
[14699] COMMIT_BUY,KnTBc3qwcr 
[14756] ADD,KnTBc3qwcr,72973.69 
[14872] QUOTE,KnTBc3qwcr,MDZ 
[14900] ADD,KnTBc3qwcr,79234.63 
[15071] QUOTE,KnTBc3qwcr,TQX 
[15088] QUOTE,KnTBc3qwcr,QHF 
[15090] QUOTE,KnTBc3qwcr,RRZ 
[15249] COMMIT_SELL,KnTBc3qwcr 
[15336] SET_SELL_AMOUNT,KnTBc3qwcr,KES,551.42 
[15379] SET_SELL_TRIGGER,KnTBc3qwcr,KES,409.39 
[15687] BUY,KnTBc3qwcr,JGO,700.18 
[15765] SET_SELL_AMOUNT,KnTBc3qwcr,QAX,686.73 
[15769] SET_SELL_TRIGGER,KnTBc3qwcr,QAX,476.75 
[15891] DISPLAY_SUMMARY,KnTBc3qwcr 
[15980] ADD,KnTBc3qwcr,68045.36 
[16085] QUOTE,KnTBc3qwcr,YIQ 
[16100] DISPLAY_SUMMARY,KnTBc3qwcr 
[16111] DISPLAY_SUMMARY,KnTBc3qwcr 
[16205] QUOTE,KnTBc3qwcr,YMG 
[16325] SET_BUY_TRIGGER,KnTBc3qwcr,NAW,37.70 
[16566] ADD,KnTBc3qwcr,61521.29 
[16640] QUOTE,KnTBc3qwcr,URA 
[16980] BUY,KnTBc3qwcr,CXB,548.23 
[17003] COMMIT_BUY,KnTBc3qwcr 
[17024] DISPLAY_SUMMARY,KnTBc3qwcr 
[17028] DISPLAY_SUMMARY,KnTBc3qwcr 
[17087] SET_SELL_AMOUNT,KnTBc3qwcr,QAX,279.42 
[17190] SET_SELL_TRIGGER,KnTBc3qwcr,QAX,125.00 
[17257] DISPLAY_SUMMARY,KnTBc3qwcr 
[17275] SET_BUY_AMOUNT,KnTBc3qwcr,BYA,668.37 
[17403] SET_BUY_TRIGGER,KnTBc3qwcr,GIX,180.27 
[17411] DISPLAY_SUMMARY,KnTBc3qwcr 
[17445] SET_SELL_TRIGGER,KnTBc3qwcr,MIQ,125.37 
[17583] ADD,KnTBc3qwcr,94029.30 
[17669] SET_SELL_AMOUNT,KnTBc3qwcr,QJZ,17.59 
[17676] SET_SELL_TRIGGER,KnTBc3qwcr,QJZ,3.36 
[17681] SET_BUY_AMOUNT,KnTBc3qwcr,GYF,169.14 
[17736] SET_BUY_TRIGGER,KnTBc3qwcr,OEY,17.52 
[17828] BUY,KnTBc3qwcr,YRL,588.53 
[17966] CANCEL_BUY,KnTBc3qwcr 
[18136] ADD,KnTBc3qwcr,65287.17 
[18192] BUY,KnTBc3qwcr,YUL,299.46 
[18265] SET_BUY_AMOUNT,KnTBc3qwcr,JQO,347.68 
[18358] CANCEL_SET_BUY,KnTBc3qwcr,QLM 
[18561] SET_SELL_AMOUNT,KnTBc3qwcr,NHG,360.51 
[18715] SET_SELL_TRIGGER,KnTBc3qwcr,NHG,273.99 
[18763] ADD,KnTBc3qwcr,85525.24 
[18969] SELL,KnTBc3qwcr,QJZ,689.72 
[19080] COMMIT_BUY,KnTBc3qwcr 
[19118] DISPLAY_SUMMARY,KnTBc3qwcr 
[19156] ADD,KnTBc3qwcr,44828.71 
[19209] QUOTE,KnTBc3qwcr,IZS 
[19239] BUY,KnTBc3qwcr,SPT,106.06 
[19260] CANCEL_SELL,KnTBc3qwcr 
[19272] SET_BUY_AMOUNT,KnTBc3qwcr,FQP,456.18 
[19321] CANCEL_SET_BUY,KnTBc3qwcr,GRM 
[19361] ADD,KnTBc3qwcr,68111.30 
[19419] DISPLAY_SUMMARY,KnTBc3qwcr 
[19553] DISPLAY_SUMMARY,KnTBc3qwcr 
[19638] BUY,KnTBc3qwcr,ROW,592.02 
