[206] ADD,LAu7ZpcWWv,48692.02 
[221] SET_BUY_AMOUNT,LAu7ZpcWWv,VUS,98.14 
[291] SET_BUY_TRIGGER,LAu7ZpcWWv,VUS,78.32 
[313] QUOTE,LAu7ZpcWWv,CVK 
[330] SET_BUY_TRIGGER,LAu7ZpcWWv,HSJ,111.04 
[430] SELL,LAu7ZpcWWv,FPP,46.06 
[501] COMMIT_SELL,LAu7ZpcWWv 
[633] QUOTE,LAu7ZpcWWv,ZAM 
[755] BUY,LAu7ZpcWWv,OBR,154.19 
[774] COMMIT_BUY,LAu7ZpcWWv 
[844] SET_BUY_AMOUNT,LAu7ZpcWWv,QJZ,429.65 
[898] SET_BUY_TRIGGER,LAu7ZpcWWv,HNW,83.85 
[1029] QUOTE,LAu7ZpcWWv,QHF 
[1062] BUY,LAu7ZpcWWv,XQC,123.53 
[1065] COMMIT_BUY,LAu7ZpcWWv 
[1100] QUOTE,LAu7ZpcWWv,SYM 
[1110] SET_SELL_AMOUNT,LAu7ZpcWWv,FQP,638.61 
[1326] SET_SELL_TRIGGER,LAu7ZpcWWv,FQP,151.98 
[1360] SET_SELL_TRIGGER,LAu7ZpcWWv,PLA,96.19 
[1425] SELL,LAu7ZpcWWv,QJZ,639.17 
[1462] COMMIT_SELL,LAu7ZpcWWv 
[1581] DISPLAY_SUMMARY,LAu7ZpcWWv 
[1698] QUOTE,LAu7ZpcWWv,HNW 
[1726] ADD,LAu7ZpcWWv,73094.39 
[1769] SET_BUY_TRIGGER,LAu7ZpcWWv,VQA,151.02 
[1788] SET_SELL_AMOUNT,LAu7ZpcWWv,QJZ,195.28 
[1796] CANCEL_SET_SELL,LAu7ZpcWWv,QJZ 
[1962] QUOTE,LAu7ZpcWWv,FTP 
[2019] SET_SELL_TRIGGER,LAu7ZpcWWv,KWP,171.02 
[2047] BUY,LAu7ZpcWWv,QGN,383.43 
[2076] CANCEL_BUY,LAu7ZpcWWv 
[2248] QUOTE,LAu7ZpcWWv,VEE 
[2562] SELL,LAu7ZpcWWv,FQP,318.94 
[2568] COMMIT_SELL,LAu7ZpcWWv 
[2779] SET_BUY_AMOUNT,LAu7ZpcWWv,FQP,31.41 
[2901] SET_BUY_TRIGGER,LAu7ZpcWWv,YEH,29.15 
[2942] ADD,LAu7ZpcWWv,89503.59 
[3004] BUY,LAu7ZpcWWv,KRX,395.39 
[3291] SELL,LAu7ZpcWWv,QJZ,396.98 
[3477] CANCEL_BUY,LAu7ZpcWWv 
[3763] SET_SELL_TRIGGER,LAu7ZpcWWv,YEW,128.18 
[3810] BUY,LAu7ZpcWWv,EHF,436.97 
[3928] COMMIT_BUY,LAu7ZpcWWv 
[4017] CANCEL_SET_SELL,LAu7ZpcWWv,AMI 
[4176] SELL,LAu7ZpcWWv,KDA,137.07 
[4348] SET_SELL_AMOUNT,LAu7ZpcWWv,FQP,240.56 
[4384] BUY,LAu7ZpcWWv,YZH,437.75 
[4392] ADD,LAu7ZpcWWv,41687.52 
[4664] DISPLAY_SUMMARY,LAu7ZpcWWv 
[4862] ADD,LAu7ZpcWWv,78218.75 
[4917] BUY,LAu7ZpcWWv,FUF,668.60 
[5207] COMMIT_BUY,LAu7ZpcWWv 
[5326] SET_SELL_AMOUNT,LAu7ZpcWWv,KES,329.93 
[5365] CANCEL_SET_SELL,LAu7ZpcWWv,KES 
[5402] BUY,LAu7ZpcWWv,GYT,705.46 
[5410] SET_BUY_TRIGGER,LAu7ZpcWWv,UMV,2.00 
[5416] SET_BUY_TRIGGER,LAu7ZpcWWv,PJW,95.24 
[5683] ADD,LAu7ZpcWWv,58548.93 
[5942] QUOTE,LAu7ZpcWWv,XCL 
[5975] BUY,LAu7ZpcWWv,KLE,722.37 
[6141] SELL,LAu7ZpcWWv,FQP,65.56 
[6160] COMMIT_SELL,LAu7ZpcWWv 
[6321] CANCEL_SELL,LAu7ZpcWWv 
[6474] DISPLAY_SUMMARY,LAu7ZpcWWv 
[6573] ADD,LAu7ZpcWWv,80368.90 
[6659] CANCEL_SET_SELL,LAu7ZpcWWv,LSG 
[6670] DISPLAY_SUMMARY,LAu7ZpcWWv 
[6699] ADD,LAu7ZpcWWv,92560.29 
[6738] QUOTE,LAu7ZpcWWv,LGL 
[6919] CANCEL_SET_SELL,LAu7ZpcWWv,PMG 
[7013] ADD,LAu7ZpcWWv,63813.98 
[7110] CANCEL_BUY,LAu7ZpcWWv 
[7119] QUOTE,LAu7ZpcWWv,SDW 
[7317] SET_SELL_AMOUNT,LAu7ZpcWWv,QJZ,201.96 
[7358] SELL,LAu7ZpcWWv,FQP,112.94 
[7409] CANCEL_SELL,LAu7ZpcWWv 
[7577] DISPLAY_SUMMARY,LAu7ZpcWWv 
[7690] QUOTE,LAu7ZpcWWv,CBQ 
[7716] QUOTE,LAu7ZpcWWv,WGP 
[7759] BUY,LAu7ZpcWWv,NVX,487.18 
[7798] COMMIT_BUY,LAu7ZpcWWv 
[7823] SELL,LAu7ZpcWWv,QJZ,194.69 
[7848] SET_SELL_TRIGGER,LAu7ZpcWWv,QJZ,165.52 
[7856] SELL,LAu7ZpcWWv,KDA,405.83 
[8006] QUOTE,LAu7ZpcWWv,PFN 
[8026] QUOTE,LAu7ZpcWWv,PYM 
[8073] BUY,LAu7ZpcWWv,EEG,394.63 
[8180] COMMIT_SELL,LAu7ZpcWWv 
[8309] DISPLAY_SUMMARY,LAu7ZpcWWv 
[8311] COMMIT_BUY,LAu7ZpcWWv 
[8511] BUY,LAu7ZpcWWv,OBR,582.01 
[8623] DISPLAY_SUMMARY,LAu7ZpcWWv 
[8637] SET_SELL_AMOUNT,LAu7ZpcWWv,KES,519.67 
[8682] SET_SELL_TRIGGER,LAu7ZpcWWv,KES,510.38 
[8712] DISPLAY_SUMMARY,LAu7ZpcWWv 
[8858] CANCEL_SET_SELL,LAu7ZpcWWv,YMG 
[9031] SELL,LAu7ZpcWWv,JVT,113.33 
[9151] CANCEL_BUY,LAu7ZpcWWv 
[9217] SELL,LAu7ZpcWWv,JVT,720.64 
[9259] BUY,LAu7ZpcWWv,VNO,631.40 
[9349] SET_SELL_TRIGGER,LAu7ZpcWWv,XPX,137.14 
[9378] SET_SELL_TRIGGER,LAu7ZpcWWv,IFU,42.13 
[9395] SET_BUY_AMOUNT,LAu7ZpcWWv,KDA,32.80 
[9604] SET_BUY_TRIGGER,LAu7ZpcWWv,AZN,8.45 
[9723] BUY,LAu7ZpcWWv,NVX,600.33 
[9737] COMMIT_BUY,LAu7ZpcWWv 
[9956] COMMIT_BUY,LAu7ZpcWWv 
[10026] ADD,LAu7ZpcWWv,90042.59 
[10117] QUOTE,LAu7ZpcWWv,WJP 
[10156] QUOTE,LAu7ZpcWWv,LKK 
[10251] BUY,LAu7ZpcWWv,KBI,551.44 
[10359] CANCEL_BUY,LAu7ZpcWWv 
[10554] BUY,LAu7ZpcWWv,OHG,365.90 
[10572] BUY,LAu7ZpcWWv,JVE,507.20 
[10992] COMMIT_BUY,LAu7ZpcWWv 
[10997] SET_SELL_AMOUNT,LAu7ZpcWWv,JVT,320.58 
[11038] CANCEL_SET_SELL,LAu7ZpcWWv,JVT 
[11076] DISPLAY_SUMMARY,LAu7ZpcWWv 
[11180] COMMIT_BUY,LAu7ZpcWWv 
[11345] SET_BUY_TRIGGER,LAu7ZpcWWv,SCK,159.95 
[11370] SELL,LAu7ZpcWWv,KDA,36.78 
[11463] SET_SELL_AMOUNT,LAu7ZpcWWv,JCQ,343.59 
[11466] CANCEL_SET_SELL,LAu7ZpcWWv,JCQ 
[11501] DISPLAY_SUMMARY,LAu7ZpcWWv 
[11634] SET_SELL_AMOUNT,LAu7ZpcWWv,OEY,699.24 
[11649] SET_SELL_TRIGGER,LAu7ZpcWWv,OEY,545.91 
[11699] SET_SELL_AMOUNT,LAu7ZpcWWv,JVT,495.52 
[11704] QUOTE,LAu7ZpcWWv,ZWC 
[11768] SET_BUY_AMOUNT,LAu7ZpcWWv,GYF,548.87 
[11826] SET_BUY_TRIGGER,LAu7ZpcWWv,MVI,33.37 
[12169] SET_BUY_AMOUNT,LAu7ZpcWWv,FQP,290.74 
[12468] QUOTE,LAu7ZpcWWv,OIY 
[12691] BUY,LAu7ZpcWWv,BBC,662.83 
[12702] COMMIT_BUY,LAu7ZpcWWv 
[12900] BUY,LAu7ZpcWWv,AQO,249.11 
[12931] COMMIT_BUY,LAu7ZpcWWv 
[13043] SET_BUY_AMOUNT,LAu7ZpcWWv,JRJ,707.51 
[13167] SET_BUY_TRIGGER,LAu7ZpcWWv,MOM,190.59 
[13274] BUY,LAu7ZpcWWv,PYB,736.41 
[13275] QUOTE,LAu7ZpcWWv,GFN 
[13355] BUY,LAu7ZpcWWv,FFN,317.30 
[13467] BUY,LAu7ZpcWWv,QPE,423.14 
[13697] COMMIT_BUY,LAu7ZpcWWv 
[13884] DISPLAY_SUMMARY,LAu7ZpcWWv 
[13918] SET_SELL_AMOUNT,LAu7ZpcWWv,GYF,196.76 
[13933] SET_SELL_TRIGGER,LAu7ZpcWWv,GYF,79.72 
[13989] ADD,LAu7ZpcWWv,78334.09 
[14083] SELL,LAu7ZpcWWv,GYF,124.47 
[14132] COMMIT_SELL,LAu7ZpcWWv 
[14158] SELL,LAu7ZpcWWv,QAX,153.08 
[14172] CANCEL_SELL,LAu7ZpcWWv 
[14205] ADD,LAu7ZpcWWv,83415.45 
[14269] BUY,LAu7ZpcWWv,TOZ,516.93 
[14488] COMMIT_BUY,LAu7ZpcWWv 
[14554] SET_BUY_AMOUNT,LAu7ZpcWWv,KDA,352.53 
[14602] BUY,LAu7ZpcWWv,ZER,685.22 
[14708] COMMIT_BUY,LAu7ZpcWWv 
[14898] SET_SELL_TRIGGER,LAu7ZpcWWv,IOM,171.85 
[14902] SELL,LAu7ZpcWWv,KDA,22.28 
[15193] COMMIT_SELL,LAu7ZpcWWv 
[15277] SET_SELL_AMOUNT,LAu7ZpcWWv,JCQ,173.42 
[15529] SET_SELL_TRIGGER,LAu7ZpcWWv,JCQ,30.10 
[15624] BUY,LAu7ZpcWWv,URI,352.97 
[15708] COMMIT_BUY,LAu7ZpcWWv 
[15826] ADD,LAu7ZpcWWv,47642.17 
[15904] QUOTE,LAu7ZpcWWv,ULL 
[15924] BUY,LAu7ZpcWWv,FYR,463.45 
[16329] COMMIT_BUY,LAu7ZpcWWv 
[16341] BUY,LAu7ZpcWWv,SQI,6.15 
[16398] CANCEL_BUY,LAu7ZpcWWv 
[16494] SET_BUY_TRIGGER,LAu7ZpcWWv,JGG,302.21 
[16536] SET_BUY_AMOUNT,LAu7ZpcWWv,NHG,634.35 
[16604] SET_BUY_TRIGGER,LAu7ZpcWWv,JMX,617.20 
[16726] SET_SELL_TRIGGER,LAu7ZpcWWv,WKD,67.26 
[17125] DISPLAY_SUMMARY,LAu7ZpcWWv 
[17377] ADD,LAu7ZpcWWv,101761.25 
[17642] QUOTE,LAu7ZpcWWv,UTL 
[17652] ADD,LAu7ZpcWWv,63734.73 
[17815] BUY,LAu7ZpcWWv,UDQ,270.79 
[17839] SET_SELL_TRIGGER,LAu7ZpcWWv,SPL,25.06 
[17929] SET_SELL_TRIGGER,LAu7ZpcWWv,SWD,72.84 
[17974] ADD,LAu7ZpcWWv,73523.76 
[18887] BUY,LAu7ZpcWWv,EED,231.20 
[19022] SET_BUY_TRIGGER,LAu7ZpcWWv,HEK,158.17 
[19166] SET_SELL_TRIGGER,LAu7ZpcWWv,XAN,140.43 
[19370] DISPLAY_SUMMARY,LAu7ZpcWWv 
[19541] SET_SELL_TRIGGER,LAu7ZpcWWv,MQH,127.27 
[19601] QUOTE,LAu7ZpcWWv,FPP 
[19652] SET_BUY_AMOUNT,LAu7ZpcWWv,NHG,414.01 
[19708] SET_BUY_TRIGGER,LAu7ZpcWWv,JGG,260.00 
[19805] QUOTE,LAu7ZpcWWv,KLY 
[19808] BUY,LAu7ZpcWWv,DMW,677.97 
[20526] CANCEL_BUY,LAu7ZpcWWv 
[20531] BUY,LAu7ZpcWWv,DMW,551.97 
[20731] COMMIT_BUY,LAu7ZpcWWv 
[20777] ADD,LAu7ZpcWWv,82561.85 
[20927] BUY,LAu7ZpcWWv,SOT,747.34 
[20932] COMMIT_BUY,LAu7ZpcWWv 
[20977] SELL,LAu7ZpcWWv,LFU,311.21 
[21068] COMMIT_SELL,LAu7ZpcWWv 
[21129] SELL,LAu7ZpcWWv,GYF,626.91 
[21473] CANCEL_SELL,LAu7ZpcWWv 
[21497] COMMIT_SELL,LAu7ZpcWWv 
[21635] SET_BUY_TRIGGER,LAu7ZpcWWv,IGT,53.92 
[21902] SELL,LAu7ZpcWWv,QAX,517.72 
[21946] QUOTE,LAu7ZpcWWv,JHY 
[22028] SET_BUY_AMOUNT,LAu7ZpcWWv,JQO,353.12 
[22231] SET_BUY_TRIGGER,LAu7ZpcWWv,IOM,290.00 
[22262] SELL,LAu7ZpcWWv,FQP,595.91 
[22267] COMMIT_SELL,LAu7ZpcWWv 
[22272] SET_SELL_TRIGGER,LAu7ZpcWWv,DLX,21.89 
[22313] SET_SELL_TRIGGER,LAu7ZpcWWv,BHP,27.46 
[22697] BUY,LAu7ZpcWWv,JGY,297.17 
[22748] CANCEL_BUY,LAu7ZpcWWv 
[22905] ADD,LAu7ZpcWWv,48832.90 
[22938] QUOTE,LAu7ZpcWWv,GRM 
[22954] BUY,LAu7ZpcWWv,VNN,563.00 
[23053] CANCEL_SET_BUY,LAu7ZpcWWv,SEI 
[23230] SET_SELL_AMOUNT,LAu7ZpcWWv,FQP,743.65 
[23273] SET_SELL_TRIGGER,LAu7ZpcWWv,FQP,69.26 
[23483] DISPLAY_SUMMARY,LAu7ZpcWWv 
[23584] QUOTE,LAu7ZpcWWv,KYX 
[23811] SET_BUY_TRIGGER,LAu7ZpcWWv,GMF,94.73 
[23927] SELL,LAu7ZpcWWv,JVT,372.70 
[23944] CANCEL_SELL,LAu7ZpcWWv 
[24213] SELL,LAu7ZpcWWv,JCQ,444.49 
[24319] SELL,LAu7ZpcWWv,JRJ,659.95 
[24322] CANCEL_SELL,LAu7ZpcWWv 
[24361] SET_BUY_AMOUNT,LAu7ZpcWWv,CUZ,6.02 
[24490] SET_BUY_TRIGGER,LAu7ZpcWWv,XRK,0.17 
[24501] BUY,LAu7ZpcWWv,QPX,402.78 
[24679] SET_SELL_TRIGGER,LAu7ZpcWWv,JGF,176.87 
[24799] DISPLAY_SUMMARY,LAu7ZpcWWv 
[24835] SELL,LAu7ZpcWWv,GYF,466.38 
[24919] DISPLAY_SUMMARY,LAu7ZpcWWv 
[25531] SET_SELL_TRIGGER,LAu7ZpcWWv,JFF,113.56 
[25626] QUOTE,LAu7ZpcWWv,PFN 
[25653] SET_BUY_TRIGGER,LAu7ZpcWWv,CZQ,18.38 
[25687] SET_SELL_AMOUNT,LAu7ZpcWWv,LFU,541.32 
[25919] BUY,LAu7ZpcWWv,VYQ,642.40 
[25947] COMMIT_BUY,LAu7ZpcWWv 
[25996] SELL,LAu7ZpcWWv,KES,74.94 
[26227] COMMIT_SELL,LAu7ZpcWWv 
[26773] SET_SELL_TRIGGER,LAu7ZpcWWv,LFU,475.52 
[26917] ADD,LAu7ZpcWWv,76803.11 
[26954] CANCEL_SELL,LAu7ZpcWWv 
[26970] ADD,LAu7ZpcWWv,55444.95 
[26983] CANCEL_SET_SELL,LAu7ZpcWWv,CSZ 
[27010] SET_SELL_AMOUNT,LAu7ZpcWWv,NHG,633.01 
[27016] SET_SELL_TRIGGER,LAu7ZpcWWv,NHG,531.74 
[27085] SET_SELL_AMOUNT,LAu7ZpcWWv,EBS,107.27 
[27117] SET_SELL_TRIGGER,LAu7ZpcWWv,EBS,33.74 
[27211] DISPLAY_SUMMARY,LAu7ZpcWWv 
[27336] SET_BUY_AMOUNT,LAu7ZpcWWv,QAX,495.77 
[27390] SET_BUY_TRIGGER,LAu7ZpcWWv,DIX,61.47 
[27469] BUY,LAu7ZpcWWv,SFO,531.93 
[27522] SET_SELL_TRIGGER,LAu7ZpcWWv,MOM,45.57 
[27641] BUY,LAu7ZpcWWv,JZJ,263.06 
[27742] CANCEL_BUY,LAu7ZpcWWv 
[27750] ADD,LAu7ZpcWWv,65358.47 
[27791] SET_BUY_AMOUNT,LAu7ZpcWWv,UTV,450.27 
[27826] QUOTE,LAu7ZpcWWv,MWJ 
[27871] SET_BUY_AMOUNT,LAu7ZpcWWv,NHG,1.85 
[27933] SET_BUY_TRIGGER,LAu7ZpcWWv,EMN,0.32 
[27963] QUOTE,LAu7ZpcWWv,FSD 
[28152] ADD,LAu7ZpcWWv,88157.52 
[28200] BUY,LAu7ZpcWWv,CVP,305.89 
[28204] COMMIT_BUY,LAu7ZpcWWv 
[28225] SET_BUY_AMOUNT,LAu7ZpcWWv,RUN,150.90 
[28314] SET_BUY_TRIGGER,LAu7ZpcWWv,DDH,133.77 
[28631] COMMIT_SELL,LAu7ZpcWWv 
[28676] SELL,LAu7ZpcWWv,KDA,159.42 
[28753] SET_BUY_AMOUNT,LAu7ZpcWWv,EBS,107.34 
[29170] SET_BUY_TRIGGER,LAu7ZpcWWv,PMX,20.30 
[29199] ADD,LAu7ZpcWWv,74178.49 
[29283] QUOTE,LAu7ZpcWWv,IPH 
[29356] BUY,LAu7ZpcWWv,OAV,34.63 
[29367] COMMIT_BUY,LAu7ZpcWWv 
[29393] CANCEL_SELL,LAu7ZpcWWv 
[29453] COMMIT_BUY,LAu7ZpcWWv 
[29674] SET_SELL_AMOUNT,LAu7ZpcWWv,KES,456.12 
[29728] SET_SELL_TRIGGER,LAu7ZpcWWv,KES,70.26 
[29746] ADD,LAu7ZpcWWv,75117.77 
[29975] SET_SELL_AMOUNT,LAu7ZpcWWv,FQP,672.21 
[30103] SET_SELL_TRIGGER,LAu7ZpcWWv,FQP,473.21 
[30148] DISPLAY_SUMMARY,LAu7ZpcWWv 
[30341] SELL,LAu7ZpcWWv,FQP,95.57 
[30395] CANCEL_SELL,LAu7ZpcWWv 
[30438] ADD,LAu7ZpcWWv,55258.86 
[30480] QUOTE,LAu7ZpcWWv,JQJ 
[30555] COMMIT_SELL,LAu7ZpcWWv 
[30601] CANCEL_SELL,LAu7ZpcWWv 
[30671] BUY,LAu7ZpcWWv,BMQ,164.10 
[30706] COMMIT_BUY,LAu7ZpcWWv 
[30810] SELL,LAu7ZpcWWv,EBS,681.04 
[30848] COMMIT_SELL,LAu7ZpcWWv 
[31085] ADD,LAu7ZpcWWv,86910.88 
[31133] SELL,LAu7ZpcWWv,CUZ,434.18 
[31141] DISPLAY_SUMMARY,LAu7ZpcWWv 
[31161] DISPLAY_SUMMARY,LAu7ZpcWWv 
[31221] CANCEL_SET_SELL,LAu7ZpcWWv,LAM 
[31358] SELL,LAu7ZpcWWv,DFE,186.42 
[31386] CANCEL_SELL,LAu7ZpcWWv 
[31433] ADD,LAu7ZpcWWv,85498.21 
[31467] QUOTE,LAu7ZpcWWv,RRE 
[31666] CANCEL_SET_SELL,LAu7ZpcWWv,UFX 
[31723] SELL,LAu7ZpcWWv,JCQ,535.34 
[31737] SET_SELL_TRIGGER,LAu7ZpcWWv,JLO,53.30 
[31820] SET_SELL_TRIGGER,LAu7ZpcWWv,WTL,27.29 
[31835] ADD,LAu7ZpcWWv,85713.50 
[31936] QUOTE,LAu7ZpcWWv,IUN 
[32012] BUY,LAu7ZpcWWv,MDZ,173.50 
[32165] COMMIT_BUY,LAu7ZpcWWv 
[32211] QUOTE,LAu7ZpcWWv,FQG 
[32362] QUOTE,LAu7ZpcWWv,URA 
[32392] ADD,LAu7ZpcWWv,71095.34 
[32449] BUY,LAu7ZpcWWv,TOZ,737.81 
[32822] COMMIT_BUY,LAu7ZpcWWv 
[32826] QUOTE,LAu7ZpcWWv,CGW 
[32893] BUY,LAu7ZpcWWv,YMG,102.16 
[32910] ADD,LAu7ZpcWWv,99414.60 
[33017] QUOTE,LAu7ZpcWWv,GJQ 
[33344] SET_SELL_TRIGGER,LAu7ZpcWWv,PMG,86.58 
[33357] QUOTE,LAu7ZpcWWv,NEV 
[33430] BUY,LAu7ZpcWWv,KJD,418.05 
[33495] BUY,LAu7ZpcWWv,IFN,183.44 
[33778] SET_BUY_TRIGGER,LAu7ZpcWWv,FKX,55.24 
[33822] ADD,LAu7ZpcWWv,96297.51 
[33885] QUOTE,LAu7ZpcWWv,NKC 
[34143] SELL,LAu7ZpcWWv,NHG,483.51 
[34181] CANCEL_SELL,LAu7ZpcWWv 
[34197] ADD,LAu7ZpcWWv,60344.98 
[34198] QUOTE,LAu7ZpcWWv,AEM 
[34238] COMMIT_SELL,LAu7ZpcWWv 
[34343] SET_SELL_TRIGGER,LAu7ZpcWWv,IIX,6.40 
[34407] DISPLAY_SUMMARY,LAu7ZpcWWv 
[34597] SET_SELL_AMOUNT,LAu7ZpcWWv,GYF,179.93 
[34882] SET_SELL_TRIGGER,LAu7ZpcWWv,GYF,157.34 
[34913] CANCEL_SET_SELL,LAu7ZpcWWv,BUL 
[35199] SET_BUY_TRIGGER,LAu7ZpcWWv,ZMS,12.56 
[35211] DISPLAY_SUMMARY,LAu7ZpcWWv 
[35213] SELL,LAu7ZpcWWv,EBS,559.61 
[35244] COMMIT_BUY,LAu7ZpcWWv 
[35463] SET_SELL_AMOUNT,LAu7ZpcWWv,JCQ,333.52 
[35485] SET_SELL_TRIGGER,LAu7ZpcWWv,JCQ,256.41 
[35562] QUOTE,LAu7ZpcWWv,PFN 
[35730] QUOTE,LAu7ZpcWWv,WGP 
[35906] QUOTE,LAu7ZpcWWv,NIR 
[36128] COMMIT_SELL,LAu7ZpcWWv 
[36330] QUOTE,LAu7ZpcWWv,KJM 
[36607] SET_SELL_AMOUNT,LAu7ZpcWWv,JCQ,674.14 
[36686] SET_SELL_TRIGGER,LAu7ZpcWWv,JCQ,168.69 
[36756] SET_SELL_TRIGGER,LAu7ZpcWWv,OIV,70.34 
[36861] ADD,LAu7ZpcWWv,74008.90 
[36875] QUOTE,LAu7ZpcWWv,CGW 
[36908] CANCEL_SELL,LAu7ZpcWWv 
[37101] SET_BUY_AMOUNT,LAu7ZpcWWv,BCQ,430.85 
[37115] SELL,LAu7ZpcWWv,DFE,687.11 
[37130] COMMIT_SELL,LAu7ZpcWWv 
[37280] DISPLAY_SUMMARY,LAu7ZpcWWv 
[37301] QUOTE,LAu7ZpcWWv,FTJ 
[37475] DISPLAY_SUMMARY,LAu7ZpcWWv 
[37549] ADD,LAu7ZpcWWv,92790.67 
[37835] BUY,LAu7ZpcWWv,LPR,149.93 
[37863] BUY,LAu7ZpcWWv,ZTR,60.89 
[37896] COMMIT_BUY,LAu7ZpcWWv 
[38037] ADD,LAu7ZpcWWv,102224.43 
[38117] BUY,LAu7ZpcWWv,MPP,664.72 
[38162] SET_BUY_AMOUNT,LAu7ZpcWWv,JVT,254.43 
[38207] SET_BUY_TRIGGER,LAu7ZpcWWv,UTL,204.90 
[38632] QUOTE,LAu7ZpcWWv,GDF 
[38649] SET_BUY_TRIGGER,LAu7ZpcWWv,CXW,141.92 
[38707] DISPLAY_SUMMARY,LAu7ZpcWWv 
[38759] DISPLAY_SUMMARY,LAu7ZpcWWv 
[38779] ADD,LAu7ZpcWWv,69907.61 
[38901] SELL,LAu7ZpcWWv,ZYR,38.67 
[38917] SET_BUY_AMOUNT,LAu7ZpcWWv,UTV,663.46 
[39147] SET_BUY_TRIGGER,LAu7ZpcWWv,AZN,578.21 
[39459] CANCEL_SELL,LAu7ZpcWWv 
[39616] SELL,LAu7ZpcWWv,DFE,105.09 
[39678] DISPLAY_SUMMARY,LAu7ZpcWWv 
[39712] SET_SELL_AMOUNT,LAu7ZpcWWv,ZYR,69.40 
[39859] SET_SELL_TRIGGER,LAu7ZpcWWv,ZYR,56.53 
[39905] SELL,LAu7ZpcWWv,DFE,427.62 
[40038] SET_SELL_AMOUNT,LAu7ZpcWWv,YJK,99.80 
[40101] SET_SELL_TRIGGER,LAu7ZpcWWv,YJK,8.75 
[40210] SELL,LAu7ZpcWWv,LFU,609.63 
[40255] COMMIT_SELL,LAu7ZpcWWv 
[40285] QUOTE,LAu7ZpcWWv,PBX 
[40403] ADD,LAu7ZpcWWv,81083.67 
[40447] QUOTE,LAu7ZpcWWv,NKC 
[40612] DISPLAY_SUMMARY,LAu7ZpcWWv 
[40790] SET_SELL_AMOUNT,LAu7ZpcWWv,UTV,145.11 
[40896] SET_SELL_TRIGGER,LAu7ZpcWWv,UTV,36.07 
[41036] QUOTE,LAu7ZpcWWv,JCL 
[41054] QUOTE,LAu7ZpcWWv,BTP 
