[80] ADD,LX1FeVjg6k,58456.18 
[139] BUY,LX1FeVjg6k,XME,676.78 
[195] COMMIT_BUY,LX1FeVjg6k 
[226] SET_SELL_AMOUNT,LX1FeVjg6k,QJZ,351.71 
[495] SELL,LX1FeVjg6k,QJZ,355.99 
[882] COMMIT_SELL,LX1FeVjg6k 
[897] DISPLAY_SUMMARY,LX1FeVjg6k 
[929] ADD,LX1FeVjg6k,82099.12 
[968] BUY,LX1FeVjg6k,STQ,416.45 
[989] QUOTE,LX1FeVjg6k,SYL 
[1021] BUY,LX1FeVjg6k,RGH,533.19 
[1036] CANCEL_BUY,LX1FeVjg6k 
[1293] ADD,LX1FeVjg6k,104960.27 
[1557] BUY,LX1FeVjg6k,DLX,76.46 
[1576] QUOTE,LX1FeVjg6k,ZQC 
[1776] DISPLAY_SUMMARY,LX1FeVjg6k 
[2056] ADD,LX1FeVjg6k,44320.55 
[2626] BUY,LX1FeVjg6k,TWJ,278.83 
[2653] COMMIT_BUY,LX1FeVjg6k 
[2862] SELL,LX1FeVjg6k,QJZ,185.43 
[2902] COMMIT_SELL,LX1FeVjg6k 
[2925] CANCEL_SET_BUY,LX1FeVjg6k,BBD 
[2976] SET_BUY_AMOUNT,LX1FeVjg6k,FQP,251.33 
[2998] QUOTE,LX1FeVjg6k,UTV 
[3056] SET_BUY_TRIGGER,LX1FeVjg6k,GCW,70.86 
[3220] SET_SELL_AMOUNT,LX1FeVjg6k,FQP,583.80 
[3222] SET_SELL_TRIGGER,LX1FeVjg6k,FQP,355.12 
[3305] SET_BUY_TRIGGER,LX1FeVjg6k,NVX,92.67 
[3406] DISPLAY_SUMMARY,LX1FeVjg6k 
[3795] ADD,LX1FeVjg6k,71637.40 
[3945] QUOTE,LX1FeVjg6k,FVS 
[3995] BUY,LX1FeVjg6k,XLI,324.33 
[4114] BUY,LX1FeVjg6k,RGH,110.51 
[4168] CANCEL_BUY,LX1FeVjg6k 
[4292] DISPLAY_SUMMARY,LX1FeVjg6k 
[4303] DISPLAY_SUMMARY,LX1FeVjg6k 
[4509] ADD,LX1FeVjg6k,83830.68 
[4642] BUY,LX1FeVjg6k,WTD,163.17 
[4648] COMMIT_BUY,LX1FeVjg6k 
[4852] SELL,LX1FeVjg6k,QJZ,612.69 
[4882] COMMIT_SELL,LX1FeVjg6k 
[4914] SET_BUY_AMOUNT,LX1FeVjg6k,FQP,331.17 
[4939] SET_BUY_TRIGGER,LX1FeVjg6k,NXF,112.27 
[5076] SELL,LX1FeVjg6k,FQP,276.43 
[5174] COMMIT_SELL,LX1FeVjg6k 
[5179] SET_SELL_AMOUNT,LX1FeVjg6k,QJZ,334.16 
[5294] BUY,LX1FeVjg6k,KCS,623.23 
[5308] COMMIT_BUY,LX1FeVjg6k 
[5330] ADD,LX1FeVjg6k,66551.26 
[5541] BUY,LX1FeVjg6k,FTJ,52.63 
[5612] CANCEL_SET_BUY,LX1FeVjg6k,LHC 
[5663] ADD,LX1FeVjg6k,80792.83 
[5696] BUY,LX1FeVjg6k,YNY,5.48 
[5785] COMMIT_BUY,LX1FeVjg6k 
[5810] BUY,LX1FeVjg6k,MLI,211.01 
[6089] SET_SELL_TRIGGER,LX1FeVjg6k,QJZ,203.68 
[6167] BUY,LX1FeVjg6k,ECL,153.61 
[6182] CANCEL_BUY,LX1FeVjg6k 
[6501] SET_SELL_AMOUNT,LX1FeVjg6k,JVT,453.75 
[6592] DISPLAY_SUMMARY,LX1FeVjg6k 
[6687] SET_BUY_AMOUNT,LX1FeVjg6k,JVT,641.31 
[6792] SET_BUY_TRIGGER,LX1FeVjg6k,LSM,72.87 
[6795] CANCEL_SET_BUY,LX1FeVjg6k,GHE 
[6859] CANCEL_SET_SELL,LX1FeVjg6k,JVT 
[6866] DISPLAY_SUMMARY,LX1FeVjg6k 
[6882] ADD,LX1FeVjg6k,70133.07 
[6967] QUOTE,LX1FeVjg6k,VVV 
[7100] QUOTE,LX1FeVjg6k,NEV 
[7310] CANCEL_SELL,LX1FeVjg6k 
[7345] ADD,LX1FeVjg6k,71645.83 
[7433] QUOTE,LX1FeVjg6k,JGO 
[7474] ADD,LX1FeVjg6k,79507.02 
[7481] BUY,LX1FeVjg6k,ZYF,242.85 
[7534] SET_SELL_TRIGGER,LX1FeVjg6k,JMG,168.86 
[7619] ADD,LX1FeVjg6k,94094.26 
[7664] SET_BUY_AMOUNT,LX1FeVjg6k,KES,229.51 
[7744] SET_BUY_TRIGGER,LX1FeVjg6k,JNO,184.39 
[7755] QUOTE,LX1FeVjg6k,HDR 
[7765] BUY,LX1FeVjg6k,FRB,673.30 
[7808] COMMIT_BUY,LX1FeVjg6k 
[7928] SELL,LX1FeVjg6k,FQP,392.11 
[7943] CANCEL_SET_SELL,LX1FeVjg6k,LLO 
[8029] ADD,LX1FeVjg6k,63494.96 
[8142] BUY,LX1FeVjg6k,IQJ,40.40 
[8216] SELL,LX1FeVjg6k,KES,423.61 
[8544] ADD,LX1FeVjg6k,64114.60 
[8668] QUOTE,LX1FeVjg6k,YAZ 
[8671] BUY,LX1FeVjg6k,JJW,69.84 
[8684] COMMIT_BUY,LX1FeVjg6k 
[8886] SELL,LX1FeVjg6k,OEY,288.62 
[9027] SET_SELL_AMOUNT,LX1FeVjg6k,JVT,538.53 
[9079] SET_SELL_TRIGGER,LX1FeVjg6k,JVT,294.36 
