[36] ADD,LtO7mQU2OX,64705.92 
[73] SET_BUY_TRIGGER,LtO7mQU2OX,ESN,33.20 
[109] BUY,LtO7mQU2OX,MKE,412.68 
[347] SET_SELL_TRIGGER,LtO7mQU2OX,DXL,146.43 
[516] ADD,LtO7mQU2OX,69139.23 
[632] SET_SELL_TRIGGER,LtO7mQU2OX,KAF,181.45 
[680] SET_SELL_TRIGGER,LtO7mQU2OX,PIC,93.93 
[779] SET_BUY_TRIGGER,LtO7mQU2OX,NLT,44.09 
[838] BUY,LtO7mQU2OX,RVU,274.12 
[1176] BUY,LtO7mQU2OX,BUL,263.40 
[1324] COMMIT_BUY,LtO7mQU2OX 
[1779] SET_BUY_AMOUNT,LtO7mQU2OX,QJZ,590.37 
[1953] DISPLAY_SUMMARY,LtO7mQU2OX 
[2349] COMMIT_BUY,LtO7mQU2OX 
[2558] SELL,LtO7mQU2OX,QJZ,264.18 
[2563] CANCEL_SELL,LtO7mQU2OX 
[2796] ADD,LtO7mQU2OX,66700.53 
[2957] QUOTE,LtO7mQU2OX,PYB 
[3241] CANCEL_SET_SELL,LtO7mQU2OX,SYE 
[3333] QUOTE,LtO7mQU2OX,VEX 
[3334] COMMIT_BUY,LtO7mQU2OX 
[3380] QUOTE,LtO7mQU2OX,JRY 
[3562] QUOTE,LtO7mQU2OX,CVK 
[3563] DISPLAY_SUMMARY,LtO7mQU2OX 
[3623] SET_BUY_AMOUNT,LtO7mQU2OX,QJZ,26.20 
[3748] SET_BUY_TRIGGER,LtO7mQU2OX,MMY,3.15 
[3793] SELL,LtO7mQU2OX,QJZ,550.45 
[4041] CANCEL_SET_SELL,LtO7mQU2OX,SOA 
[4138] SET_SELL_AMOUNT,LtO7mQU2OX,QJZ,568.05 
[4179] SET_SELL_TRIGGER,LtO7mQU2OX,QJZ,556.53 
[4365] SET_BUY_TRIGGER,LtO7mQU2OX,EGB,89.90 
[4543] SET_SELL_TRIGGER,LtO7mQU2OX,TKG,68.75 
[4621] ADD,LtO7mQU2OX,62429.76 
[4822] QUOTE,LtO7mQU2OX,ZMK 
[4897] QUOTE,LtO7mQU2OX,NFQ 
[4941] BUY,LtO7mQU2OX,LSK,152.41 
[5045] COMMIT_BUY,LtO7mQU2OX 
[5110] BUY,LtO7mQU2OX,SWJ,150.79 
[5226] SET_SELL_TRIGGER,LtO7mQU2OX,DRO,90.36 
[5244] ADD,LtO7mQU2OX,52339.57 
[5283] QUOTE,LtO7mQU2OX,OSA 
[5520] COMMIT_SELL,LtO7mQU2OX 
[5526] ADD,LtO7mQU2OX,76353.58 
[5562] QUOTE,LtO7mQU2OX,WJB 
[5933] BUY,LtO7mQU2OX,APY,471.92 
[6027] CANCEL_BUY,LtO7mQU2OX 
[6271] DISPLAY_SUMMARY,LtO7mQU2OX 
[6277] SET_SELL_AMOUNT,LtO7mQU2OX,QJZ,567.84 
[6301] DISPLAY_SUMMARY,LtO7mQU2OX 
[6336] SET_BUY_AMOUNT,LtO7mQU2OX,FQP,41.54 
[6372] QUOTE,LtO7mQU2OX,YBO 
[6391] SET_BUY_AMOUNT,LtO7mQU2OX,QJZ,653.59 
[6511] SET_BUY_TRIGGER,LtO7mQU2OX,QQI,49.71 
[6796] SET_SELL_TRIGGER,LtO7mQU2OX,QJZ,68.04 
[6838] BUY,LtO7mQU2OX,SJZ,274.42 
[6872] COMMIT_BUY,LtO7mQU2OX 
[6943] SET_SELL_TRIGGER,LtO7mQU2OX,VMD,109.29 
[6964] SET_SELL_AMOUNT,LtO7mQU2OX,KDA,635.82 
[7155] SET_SELL_TRIGGER,LtO7mQU2OX,KDA,312.61 
[7207] ADD,LtO7mQU2OX,85040.77 
[7298] DISPLAY_SUMMARY,LtO7mQU2OX 
[7382] SELL,LtO7mQU2OX,FQP,696.25 
[7463] CANCEL_SELL,LtO7mQU2OX 
[7593] SET_SELL_TRIGGER,LtO7mQU2OX,PHZ,125.70 
[7632] ADD,LtO7mQU2OX,63033.42 
[7967] QUOTE,LtO7mQU2OX,JGF 
[8149] SET_SELL_AMOUNT,LtO7mQU2OX,QJZ,81.60 
[8282] SET_SELL_TRIGGER,LtO7mQU2OX,QJZ,47.78 
[8323] SET_SELL_TRIGGER,LtO7mQU2OX,GRM,82.96 
[8430] SELL,LtO7mQU2OX,KDA,28.49 
[8554] SET_SELL_AMOUNT,LtO7mQU2OX,FQP,6.69 
[8590] SET_SELL_TRIGGER,LtO7mQU2OX,FQP,3.99 
[8611] ADD,LtO7mQU2OX,72153.48 
[8643] CANCEL_SET_SELL,LtO7mQU2OX,NFO 
[8697] BUY,LtO7mQU2OX,WRJ,32.29 
[8698] COMMIT_BUY,LtO7mQU2OX 
[8704] SET_SELL_TRIGGER,LtO7mQU2OX,CVV,160.57 
[8720] SELL,LtO7mQU2OX,KDA,731.41 
[8888] COMMIT_SELL,LtO7mQU2OX 
[8921] DISPLAY_SUMMARY,LtO7mQU2OX 
[8927] ADD,LtO7mQU2OX,53359.56 
[9037] BUY,LtO7mQU2OX,GAL,242.60 
[9096] COMMIT_BUY,LtO7mQU2OX 
[9285] SET_SELL_TRIGGER,LtO7mQU2OX,UGT,36.73 
[9355] CANCEL_SET_BUY,LtO7mQU2OX,VNF 
[9400] SET_BUY_AMOUNT,LtO7mQU2OX,JVT,493.87 
[9422] SET_BUY_TRIGGER,LtO7mQU2OX,FQG,436.39 
[9485] DISPLAY_SUMMARY,LtO7mQU2OX 
[9831] DISPLAY_SUMMARY,LtO7mQU2OX 
[9873] ADD,LtO7mQU2OX,82942.10 
[9876] BUY,LtO7mQU2OX,JTX,330.29 
[10247] COMMIT_BUY,LtO7mQU2OX 
[10283] ADD,LtO7mQU2OX,38562.31 
[10309] QUOTE,LtO7mQU2OX,IZU 
[10329] BUY,LtO7mQU2OX,CBO,227.48 
[10622] COMMIT_BUY,LtO7mQU2OX 
[10686] DISPLAY_SUMMARY,LtO7mQU2OX 
[10704] BUY,LtO7mQU2OX,LJY,217.05 
[10770] COMMIT_BUY,LtO7mQU2OX 
[10842] ADD,LtO7mQU2OX,87150.55 
[10858] SET_BUY_TRIGGER,LtO7mQU2OX,YOQ,18.31 
[10900] SELL,LtO7mQU2OX,FQP,127.68 
[11232] CANCEL_BUY,LtO7mQU2OX 
[11275] QUOTE,LtO7mQU2OX,UEC 
[11409] BUY,LtO7mQU2OX,ZFT,59.66 
[11502] COMMIT_BUY,LtO7mQU2OX 
[11730] DISPLAY_SUMMARY,LtO7mQU2OX 
[11739] BUY,LtO7mQU2OX,WDJ,101.77 
[11748] CANCEL_BUY,LtO7mQU2OX 
[11776] SET_BUY_AMOUNT,LtO7mQU2OX,EBS,215.30 
[11824] SET_BUY_TRIGGER,LtO7mQU2OX,DDA,200.60 
[11872] SELL,LtO7mQU2OX,JVT,629.23 
[12034] SET_SELL_AMOUNT,LtO7mQU2OX,KES,725.23 
[12057] DISPLAY_SUMMARY,LtO7mQU2OX 
