[113] ADD,NcGvD9d4mj,88082.66 
[148] BUY,NcGvD9d4mj,GYT,346.96 
[157] COMMIT_BUY,NcGvD9d4mj 
[229] QUOTE,NcGvD9d4mj,OLH 
[353] QUOTE,NcGvD9d4mj,XLV 
[448] BUY,NcGvD9d4mj,AUX,297.41 
[570] COMMIT_BUY,NcGvD9d4mj 
[584] SET_SELL_AMOUNT,NcGvD9d4mj,FQP,682.20 
[731] CANCEL_SET_SELL,NcGvD9d4mj,FQP 
[733] DISPLAY_SUMMARY,NcGvD9d4mj 
[745] CANCEL_SET_BUY,NcGvD9d4mj,SNU 
[904] ADD,NcGvD9d4mj,73016.21 
[960] BUY,NcGvD9d4mj,CSZ,670.81 
[990] COMMIT_BUY,NcGvD9d4mj 
[1002] SET_SELL_AMOUNT,NcGvD9d4mj,KDA,230.93 
[1223] SELL,NcGvD9d4mj,QJZ,670.24 
[1292] DISPLAY_SUMMARY,NcGvD9d4mj 
[1525] QUOTE,NcGvD9d4mj,JFF 
[1531] SET_SELL_TRIGGER,NcGvD9d4mj,KDA,218.60 
[1533] QUOTE,NcGvD9d4mj,MLI 
[1560] BUY,NcGvD9d4mj,TQE,382.06 
[1833] QUOTE,NcGvD9d4mj,ZPD 
[2049] DISPLAY_SUMMARY,NcGvD9d4mj 
[2447] QUOTE,NcGvD9d4mj,KCS 
[2585] QUOTE,NcGvD9d4mj,GAN 
[2606] BUY,NcGvD9d4mj,GMF,360.88 
[2955] COMMIT_BUY,NcGvD9d4mj 
[3302] BUY,NcGvD9d4mj,HHC,669.21 
[3366] CANCEL_SET_SELL,NcGvD9d4mj,NSN 
[3504] DISPLAY_SUMMARY,NcGvD9d4mj 
[3535] QUOTE,NcGvD9d4mj,AOU 
[3570] BUY,NcGvD9d4mj,ZRH,479.63 
[3624] COMMIT_BUY,NcGvD9d4mj 
[3783] QUOTE,NcGvD9d4mj,PVZ 
[3826] CANCEL_SELL,NcGvD9d4mj 
[3953] SELL,NcGvD9d4mj,FQP,630.39 
[4104] CANCEL_SET_BUY,NcGvD9d4mj,JIC 
[4152] SET_SELL_TRIGGER,NcGvD9d4mj,RNE,97.48 
[4180] SET_SELL_TRIGGER,NcGvD9d4mj,CUQ,96.94 
[4325] ADD,NcGvD9d4mj,68663.57 
[4344] BUY,NcGvD9d4mj,LMB,107.70 
[4579] COMMIT_BUY,NcGvD9d4mj 
[4700] SET_BUY_TRIGGER,NcGvD9d4mj,DQW,166.28 
[4754] SELL,NcGvD9d4mj,OEY,348.67 
[4758] COMMIT_SELL,NcGvD9d4mj 
[4935] SET_BUY_AMOUNT,NcGvD9d4mj,JVT,279.59 
[4948] SELL,NcGvD9d4mj,JVT,159.34 
[4972] QUOTE,NcGvD9d4mj,WRN 
[4992] QUOTE,NcGvD9d4mj,OGB 
[5010] ADD,NcGvD9d4mj,53458.53 
[5065] SET_SELL_AMOUNT,NcGvD9d4mj,OEY,686.53 
[5267] SET_SELL_TRIGGER,NcGvD9d4mj,OEY,154.49 
[5368] CANCEL_SET_SELL,NcGvD9d4mj,WTD 
[5373] SET_SELL_TRIGGER,NcGvD9d4mj,IHA,156.53 
[5382] ADD,NcGvD9d4mj,74056.04 
[5412] ADD,NcGvD9d4mj,64532.38 
[5653] QUOTE,NcGvD9d4mj,NVN 
[6214] SET_BUY_TRIGGER,NcGvD9d4mj,VAT,99.40 
[6349] ADD,NcGvD9d4mj,89769.20 
[6360] BUY,NcGvD9d4mj,QNW,722.09 
[6667] SELL,NcGvD9d4mj,KES,247.71 
[6760] ADD,NcGvD9d4mj,83204.16 
[6817] BUY,NcGvD9d4mj,WNX,115.22 
[6828] COMMIT_BUY,NcGvD9d4mj 
[6916] BUY,NcGvD9d4mj,AOU,545.60 
[7065] CANCEL_BUY,NcGvD9d4mj 
[7230] SET_BUY_AMOUNT,NcGvD9d4mj,JVT,307.35 
[7290] SET_BUY_TRIGGER,NcGvD9d4mj,MIR,191.11 
[7303] SET_BUY_AMOUNT,NcGvD9d4mj,KES,573.05 
[7369] SET_BUY_TRIGGER,NcGvD9d4mj,NTB,433.56 
[7395] SET_BUY_AMOUNT,NcGvD9d4mj,KES,423.69 
[7497] DISPLAY_SUMMARY,NcGvD9d4mj 
[7566] BUY,NcGvD9d4mj,KEO,79.13 
[7660] COMMIT_BUY,NcGvD9d4mj 
[7750] SELL,NcGvD9d4mj,KDA,272.51 
[7753] CANCEL_BUY,NcGvD9d4mj 
[7834] DISPLAY_SUMMARY,NcGvD9d4mj 
[8024] ADD,NcGvD9d4mj,58555.77 
[8046] CANCEL_SET_SELL,NcGvD9d4mj,DBT 
[8416] QUOTE,NcGvD9d4mj,PXS 
[8440] QUOTE,NcGvD9d4mj,CZQ 
[8471] QUOTE,NcGvD9d4mj,TAR 
[8580] CANCEL_SET_SELL,NcGvD9d4mj,CNN 
[8649] QUOTE,NcGvD9d4mj,TWJ 
[8651] QUOTE,NcGvD9d4mj,APY 
[8674] BUY,NcGvD9d4mj,PXX,100.64 
[8798] COMMIT_BUY,NcGvD9d4mj 
[8836] SET_SELL_TRIGGER,NcGvD9d4mj,MOF,196.28 
[8856] ADD,NcGvD9d4mj,72824.49 
[8972] QUOTE,NcGvD9d4mj,BHH 
[9095] QUOTE,NcGvD9d4mj,KAF 
[9236] BUY,NcGvD9d4mj,XME,326.53 
[9368] QUOTE,NcGvD9d4mj,DWK 
[9385] DISPLAY_SUMMARY,NcGvD9d4mj 
[9474] QUOTE,NcGvD9d4mj,YRL 
[9488] QUOTE,NcGvD9d4mj,FKI 
[9494] BUY,NcGvD9d4mj,LTB,291.65 
[9577] COMMIT_BUY,NcGvD9d4mj 
[9641] ADD,NcGvD9d4mj,75169.47 
[9732] SET_SELL_TRIGGER,NcGvD9d4mj,ALG,63.32 
[10024] SET_SELL_TRIGGER,NcGvD9d4mj,BBD,113.37 
[10036] ADD,NcGvD9d4mj,67631.81 
[10061] QUOTE,NcGvD9d4mj,QNK 
[10165] QUOTE,NcGvD9d4mj,YIQ 
[10418] SET_BUY_AMOUNT,NcGvD9d4mj,FQP,362.38 
[10462] SET_BUY_TRIGGER,NcGvD9d4mj,QBD,202.12 
[10522] DISPLAY_SUMMARY,NcGvD9d4mj 
[10525] SELL,NcGvD9d4mj,JRJ,570.38 
[10550] COMMIT_SELL,NcGvD9d4mj 
[10584] QUOTE,NcGvD9d4mj,CMA 
[10696] QUOTE,NcGvD9d4mj,FUF 
[10699] SELL,NcGvD9d4mj,JRJ,224.96 
[10730] COMMIT_SELL,NcGvD9d4mj 
[10798] SET_SELL_TRIGGER,NcGvD9d4mj,TOL,9.97 
[10827] CANCEL_SET_SELL,NcGvD9d4mj,UTL 
[10831] SELL,NcGvD9d4mj,JVT,58.08 
[11162] COMMIT_BUY,NcGvD9d4mj 
[11215] DISPLAY_SUMMARY,NcGvD9d4mj 
[11293] COMMIT_BUY,NcGvD9d4mj 
[11336] ADD,NcGvD9d4mj,78101.21 
[11473] QUOTE,NcGvD9d4mj,JXR 
[11543] BUY,NcGvD9d4mj,GDO,329.21 
[11610] SET_BUY_AMOUNT,NcGvD9d4mj,JCQ,579.61 
[11622] SET_BUY_TRIGGER,NcGvD9d4mj,BBD,323.32 
[11666] DISPLAY_SUMMARY,NcGvD9d4mj 
[11682] SET_BUY_AMOUNT,NcGvD9d4mj,JCQ,581.88 
[11863] SET_BUY_TRIGGER,NcGvD9d4mj,UTL,201.24 
[11927] CANCEL_SET_BUY,NcGvD9d4mj,MHQ 
[12138] QUOTE,NcGvD9d4mj,LCP 
[12157] BUY,NcGvD9d4mj,KES,570.56 
[12299] ADD,NcGvD9d4mj,79869.32 
[12312] QUOTE,NcGvD9d4mj,JTX 
[12460] DISPLAY_SUMMARY,NcGvD9d4mj 
[12491] DISPLAY_SUMMARY,NcGvD9d4mj 
[12505] ADD,NcGvD9d4mj,72500.13 
[12544] QUOTE,NcGvD9d4mj,FZB 
[12670] BUY,NcGvD9d4mj,JXW,736.50 
[13037] COMMIT_BUY,NcGvD9d4mj 
[13196] SET_SELL_AMOUNT,NcGvD9d4mj,QAX,568.98 
[13250] SET_SELL_TRIGGER,NcGvD9d4mj,QAX,479.61 
[13299] CANCEL_SET_BUY,NcGvD9d4mj,DVU 
[13333] ADD,NcGvD9d4mj,65511.72 
[13357] CANCEL_SET_SELL,NcGvD9d4mj,TSS 
[13382] ADD,NcGvD9d4mj,47122.18 
[13419] QUOTE,NcGvD9d4mj,XAB 
[13424] SET_BUY_TRIGGER,NcGvD9d4mj,JGG,5.61 
[13491] DISPLAY_SUMMARY,NcGvD9d4mj 
[13538] CANCEL_SELL,NcGvD9d4mj 
[13565] SET_SELL_TRIGGER,NcGvD9d4mj,JMG,68.03 
[13652] QUOTE,NcGvD9d4mj,CEC 
[13719] BUY,NcGvD9d4mj,IGT,385.74 
[13763] COMMIT_SELL,NcGvD9d4mj 
[13815] DISPLAY_SUMMARY,NcGvD9d4mj 
[14089] SET_SELL_TRIGGER,NcGvD9d4mj,SCK,46.86 
[14396] SET_SELL_TRIGGER,NcGvD9d4mj,CMA,71.00 
[14490] ADD,NcGvD9d4mj,85202.65 
[14501] BUY,NcGvD9d4mj,TVX,380.40 
[14605] COMMIT_BUY,NcGvD9d4mj 
[14621] ADD,NcGvD9d4mj,66082.27 
[14659] BUY,NcGvD9d4mj,FGI,209.57 
[14660] COMMIT_BUY,NcGvD9d4mj 
[14703] ADD,NcGvD9d4mj,84274.06 
