[26] ADD,NmnabmB6tO,67303.69 
[192] QUOTE,NmnabmB6tO,IQZ 
[194] DISPLAY_SUMMARY,NmnabmB6tO 
[197] QUOTE,NmnabmB6tO,YBP 
[400] QUOTE,NmnabmB6tO,STQ 
[452] BUY,NmnabmB6tO,EJW,243.86 
[537] CANCEL_SET_BUY,NmnabmB6tO,DBS 
[626] QUOTE,NmnabmB6tO,CMA 
[665] BUY,NmnabmB6tO,JRY,189.16 
[1043] CANCEL_BUY,NmnabmB6tO 
[1104] SET_BUY_AMOUNT,NmnabmB6tO,DLQ,293.34 
[1178] SELL,NmnabmB6tO,SMS,189.64 
[1244] COMMIT_SELL,NmnabmB6tO 
[1275] SET_BUY_TRIGGER,NmnabmB6tO,DLQ,286.67 
[1337] SELL,NmnabmB6tO,ZQC,62.27 
[1373] QUOTE,NmnabmB6tO,ZMA 
[1580] ADD,NmnabmB6tO,50644.61 
[1653] BUY,NmnabmB6tO,ZGN,674.88 
[1696] CANCEL_SET_BUY,NmnabmB6tO,LMO 
[1703] COMMIT_SELL,NmnabmB6tO 
[1859] SELL,NmnabmB6tO,VQA,348.76 
[1906] COMMIT_SELL,NmnabmB6tO 
[2003] BUY,NmnabmB6tO,KVJ,340.85 
[2152] COMMIT_BUY,NmnabmB6tO 
[2301] ADD,NmnabmB6tO,82733.87 
[2332] BUY,NmnabmB6tO,WYO,313.93 
[2376] SET_BUY_TRIGGER,NmnabmB6tO,XCL,13.52 
[2448] QUOTE,NmnabmB6tO,HGG 
[2507] ADD,NmnabmB6tO,71332.38 
[2586] BUY,NmnabmB6tO,PFK,132.81 
[2588] COMMIT_BUY,NmnabmB6tO 
[2613] ADD,NmnabmB6tO,89481.36 
[2629] QUOTE,NmnabmB6tO,SCK 
[2775] ADD,NmnabmB6tO,69981.94 
[2781] QUOTE,NmnabmB6tO,UXP 
[2785] SET_SELL_TRIGGER,NmnabmB6tO,NXF,159.23 
[2966] DISPLAY_SUMMARY,NmnabmB6tO 
[2993] CANCEL_SET_SELL,NmnabmB6tO,OWH 
[3042] BUY,NmnabmB6tO,XPX,198.88 
[3105] COMMIT_BUY,NmnabmB6tO 
[3181] ADD,NmnabmB6tO,45384.26 
[3233] BUY,NmnabmB6tO,WGV,179.82 
[3295] COMMIT_BUY,NmnabmB6tO 
[3766] BUY,NmnabmB6tO,QJC,638.29 
[3792] QUOTE,NmnabmB6tO,HYX 
[3872] DISPLAY_SUMMARY,NmnabmB6tO 
