[186] ADD,OO6PWyjuYk,66650.27 
[299] QUOTE,OO6PWyjuYk,KXF 
[560] BUY,OO6PWyjuYk,ZAM,400.98 
[578] COMMIT_BUY,OO6PWyjuYk 
[685] DISPLAY_SUMMARY,OO6PWyjuYk 
[727] SET_BUY_TRIGGER,OO6PWyjuYk,VMT,69.48 
[883] ADD,OO6PWyjuYk,68096.22 
[892] QUOTE,OO6PWyjuYk,PPY 
[1082] CANCEL_SELL,OO6PWyjuYk 
[1208] SET_BUY_AMOUNT,OO6PWyjuYk,QJZ,58.95 
[1219] DISPLAY_SUMMARY,OO6PWyjuYk 
[1265] QUOTE,OO6PWyjuYk,OEY 
[1361] QUOTE,OO6PWyjuYk,QOQ 
[1371] BUY,OO6PWyjuYk,NVX,615.05 
[1453] SELL,OO6PWyjuYk,QJZ,34.42 
[1657] CANCEL_SELL,OO6PWyjuYk 
[1681] SET_BUY_TRIGGER,OO6PWyjuYk,TXB,35.69 
[1695] CANCEL_BUY,OO6PWyjuYk 
[1737] ADD,OO6PWyjuYk,46546.41 
[1820] BUY,OO6PWyjuYk,WDC,214.94 
[1841] DISPLAY_SUMMARY,OO6PWyjuYk 
[1900] ADD,OO6PWyjuYk,75030.08 
[2218] QUOTE,OO6PWyjuYk,KVJ 
[2381] ADD,OO6PWyjuYk,100219.42 
[2432] BUY,OO6PWyjuYk,ADY,150.27 
[2530] DISPLAY_SUMMARY,OO6PWyjuYk 
[2890] ADD,OO6PWyjuYk,88041.04 
[3007] BUY,OO6PWyjuYk,OGR,506.61 
[3311] COMMIT_BUY,OO6PWyjuYk 
[3450] BUY,OO6PWyjuYk,WLT,49.45 
[3501] COMMIT_BUY,OO6PWyjuYk 
[3684] DISPLAY_SUMMARY,OO6PWyjuYk 
[3742] SET_BUY_AMOUNT,OO6PWyjuYk,QJZ,23.47 
[3749] SELL,OO6PWyjuYk,KDA,635.94 
[3821] COMMIT_SELL,OO6PWyjuYk 
[3850] ADD,OO6PWyjuYk,75541.24 
[3906] CANCEL_BUY,OO6PWyjuYk 
[4183] SELL,OO6PWyjuYk,QJZ,82.84 
[4452] CANCEL_SELL,OO6PWyjuYk 
[4529] ADD,OO6PWyjuYk,41520.99 
[4644] BUY,OO6PWyjuYk,DMS,277.96 
[4707] SELL,OO6PWyjuYk,KDA,296.67 
[4747] COMMIT_SELL,OO6PWyjuYk 
[4771] SET_SELL_AMOUNT,OO6PWyjuYk,FQP,454.45 
[4847] SET_SELL_TRIGGER,OO6PWyjuYk,FQP,173.12 
[4885] ADD,OO6PWyjuYk,67080.92 
[4938] BUY,OO6PWyjuYk,FKZ,289.79 
[4981] CANCEL_BUY,OO6PWyjuYk 
[5024] QUOTE,OO6PWyjuYk,RQS 
[5090] QUOTE,OO6PWyjuYk,IHA 
[5189] BUY,OO6PWyjuYk,OSA,311.92 
[5289] COMMIT_BUY,OO6PWyjuYk 
[5340] ADD,OO6PWyjuYk,64373.73 
[5470] BUY,OO6PWyjuYk,GJR,557.42 
[5536] COMMIT_BUY,OO6PWyjuYk 
[5556] SELL,OO6PWyjuYk,KDA,665.45 
[5595] COMMIT_SELL,OO6PWyjuYk 
[5636] DISPLAY_SUMMARY,OO6PWyjuYk 
[5958] BUY,OO6PWyjuYk,PXS,720.41 
[5966] COMMIT_BUY,OO6PWyjuYk 
[5968] BUY,OO6PWyjuYk,JUE,498.88 
[5992] SET_BUY_TRIGGER,OO6PWyjuYk,YUR,3.92 
[6041] SELL,OO6PWyjuYk,JVT,743.67 
[6206] CANCEL_SET_SELL,OO6PWyjuYk,KZQ 
[6305] SET_BUY_TRIGGER,OO6PWyjuYk,DXL,12.56 
[6389] QUOTE,OO6PWyjuYk,SYM 
[6417] QUOTE,OO6PWyjuYk,OIY 
[6584] BUY,OO6PWyjuYk,HCN,27.09 
[6619] QUOTE,OO6PWyjuYk,MFY 
[6622] CANCEL_BUY,OO6PWyjuYk 
[6645] SELL,OO6PWyjuYk,KDA,603.18 
[6728] COMMIT_SELL,OO6PWyjuYk 
[6873] SELL,OO6PWyjuYk,QJZ,629.95 
[7007] COMMIT_SELL,OO6PWyjuYk 
[7084] ADD,OO6PWyjuYk,69758.14 
[7283] BUY,OO6PWyjuYk,PYB,643.26 
[7457] SET_BUY_TRIGGER,OO6PWyjuYk,SQI,190.09 
[7479] SET_SELL_AMOUNT,OO6PWyjuYk,OEY,740.43 
[7592] SET_SELL_TRIGGER,OO6PWyjuYk,OEY,719.90 
[7628] SELL,OO6PWyjuYk,JVT,603.42 
[7684] SET_BUY_AMOUNT,OO6PWyjuYk,QJZ,600.03 
[7731] SET_BUY_TRIGGER,OO6PWyjuYk,PNP,289.74 
[7855] CANCEL_SELL,OO6PWyjuYk 
[8047] SET_SELL_AMOUNT,OO6PWyjuYk,KDA,311.13 
[8124] SET_SELL_TRIGGER,OO6PWyjuYk,KDA,67.47 
[8189] SELL,OO6PWyjuYk,QJZ,577.62 
[8192] SET_SELL_TRIGGER,OO6PWyjuYk,XEA,82.23 
[8204] ADD,OO6PWyjuYk,75614.30 
[8724] CANCEL_SELL,OO6PWyjuYk 
[8745] SET_BUY_TRIGGER,OO6PWyjuYk,UEC,29.74 
[9076] SET_SELL_AMOUNT,OO6PWyjuYk,FQP,15.44 
[9179] SET_SELL_TRIGGER,OO6PWyjuYk,FQP,7.27 
[9360] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,163.32 
[9611] QUOTE,OO6PWyjuYk,NNW 
[9658] CANCEL_SELL,OO6PWyjuYk 
[9885] SELL,OO6PWyjuYk,KES,524.50 
[10110] COMMIT_SELL,OO6PWyjuYk 
[10382] SELL,OO6PWyjuYk,JVT,455.03 
[10438] ADD,OO6PWyjuYk,97476.78 
[10859] BUY,OO6PWyjuYk,KPU,655.29 
[10954] COMMIT_BUY,OO6PWyjuYk 
[11030] ADD,OO6PWyjuYk,57760.17 
[11192] QUOTE,OO6PWyjuYk,DOI 
[11237] BUY,OO6PWyjuYk,NOP,401.52 
[11486] COMMIT_BUY,OO6PWyjuYk 
[11725] ADD,OO6PWyjuYk,44018.49 
[11765] QUOTE,OO6PWyjuYk,XOP 
[11933] ADD,OO6PWyjuYk,77647.75 
[11991] BUY,OO6PWyjuYk,ILT,193.83 
[12030] COMMIT_BUY,OO6PWyjuYk 
[12158] SET_SELL_AMOUNT,OO6PWyjuYk,KES,668.09 
[12322] SET_SELL_TRIGGER,OO6PWyjuYk,KES,231.85 
[12490] ADD,OO6PWyjuYk,67776.42 
[12576] BUY,OO6PWyjuYk,TJL,466.86 
[12639] CANCEL_SET_SELL,OO6PWyjuYk,HZA 
[12767] SET_SELL_TRIGGER,OO6PWyjuYk,DMS,52.59 
[12925] SET_SELL_AMOUNT,OO6PWyjuYk,EBS,243.32 
[13021] SET_SELL_TRIGGER,OO6PWyjuYk,EBS,187.53 
[13033] SET_BUY_TRIGGER,OO6PWyjuYk,KBI,65.60 
[13076] ADD,OO6PWyjuYk,62170.59 
[13223] CANCEL_SELL,OO6PWyjuYk 
[13239] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,253.76 
[13300] CANCEL_SET_SELL,OO6PWyjuYk,JVT 
[13316] SET_SELL_AMOUNT,OO6PWyjuYk,FQP,749.62 
[13390] SET_SELL_TRIGGER,OO6PWyjuYk,FQP,451.07 
[13452] ADD,OO6PWyjuYk,95259.41 
[13580] QUOTE,OO6PWyjuYk,HNO 
[13612] CANCEL_SET_SELL,OO6PWyjuYk,SYT 
[13732] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,363.92 
[13823] CANCEL_SET_SELL,OO6PWyjuYk,JVT 
[13966] SET_BUY_TRIGGER,OO6PWyjuYk,JYV,9.86 
[14134] SET_SELL_TRIGGER,OO6PWyjuYk,BSG,79.98 
[14238] ADD,OO6PWyjuYk,80990.71 
[14274] BUY,OO6PWyjuYk,RNE,520.57 
[14449] SET_BUY_TRIGGER,OO6PWyjuYk,QVK,88.22 
[14474] SELL,OO6PWyjuYk,QJZ,226.93 
[14485] COMMIT_SELL,OO6PWyjuYk 
[14538] DISPLAY_SUMMARY,OO6PWyjuYk 
[14561] ADD,OO6PWyjuYk,66234.38 
[14614] BUY,OO6PWyjuYk,CMA,730.31 
[14655] QUOTE,OO6PWyjuYk,MIY 
[14748] BUY,OO6PWyjuYk,PDB,561.92 
[14773] COMMIT_BUY,OO6PWyjuYk 
[14794] ADD,OO6PWyjuYk,68883.67 
[14839] BUY,OO6PWyjuYk,CSZ,683.78 
[14844] COMMIT_BUY,OO6PWyjuYk 
[15106] SET_BUY_TRIGGER,OO6PWyjuYk,NUV,83.46 
[15254] BUY,OO6PWyjuYk,MRH,231.50 
[15371] CANCEL_BUY,OO6PWyjuYk 
[15645] ADD,OO6PWyjuYk,64457.43 
[15651] BUY,OO6PWyjuYk,LKV,710.65 
[15894] COMMIT_BUY,OO6PWyjuYk 
[16038] ADD,OO6PWyjuYk,70876.32 
[16040] BUY,OO6PWyjuYk,VVO,379.93 
[16155] COMMIT_BUY,OO6PWyjuYk 
[16165] SET_SELL_AMOUNT,OO6PWyjuYk,QJZ,549.28 
[16200] QUOTE,OO6PWyjuYk,XUH 
[16281] ADD,OO6PWyjuYk,90811.87 
[16401] BUY,OO6PWyjuYk,OOV,406.54 
[16550] COMMIT_BUY,OO6PWyjuYk 
[16576] DISPLAY_SUMMARY,OO6PWyjuYk 
[16634] QUOTE,OO6PWyjuYk,PYM 
[16639] COMMIT_SELL,OO6PWyjuYk 
[16780] SET_SELL_TRIGGER,OO6PWyjuYk,QJZ,183.75 
[17038] SET_SELL_TRIGGER,OO6PWyjuYk,UZZ,74.63 
[17048] SET_SELL_TRIGGER,OO6PWyjuYk,DIX,43.33 
[17213] DISPLAY_SUMMARY,OO6PWyjuYk 
[17318] QUOTE,OO6PWyjuYk,FFZ 
[17337] QUOTE,OO6PWyjuYk,KAF 
[17357] QUOTE,OO6PWyjuYk,WQC 
[17430] SET_BUY_AMOUNT,OO6PWyjuYk,OEY,372.07 
[17524] SET_BUY_TRIGGER,OO6PWyjuYk,JUE,289.70 
[17562] DISPLAY_SUMMARY,OO6PWyjuYk 
[17630] SELL,OO6PWyjuYk,QJZ,546.59 
[18153] DISPLAY_SUMMARY,OO6PWyjuYk 
[18245] SET_BUY_TRIGGER,OO6PWyjuYk,LSW,22.92 
[18253] SET_BUY_TRIGGER,OO6PWyjuYk,BTD,193.76 
[18260] ADD,OO6PWyjuYk,71576.48 
[18278] CANCEL_SET_SELL,OO6PWyjuYk,FGI 
[18342] DISPLAY_SUMMARY,OO6PWyjuYk 
[18435] SELL,OO6PWyjuYk,EBS,533.80 
[18950] COMMIT_SELL,OO6PWyjuYk 
[18952] QUOTE,OO6PWyjuYk,KLY 
[19035] COMMIT_SELL,OO6PWyjuYk 
[19205] SET_SELL_TRIGGER,OO6PWyjuYk,EAK,82.14 
[19223] CANCEL_SET_BUY,OO6PWyjuYk,QHF 
[19240] DISPLAY_SUMMARY,OO6PWyjuYk 
[19431] ADD,OO6PWyjuYk,83591.06 
[19438] QUOTE,OO6PWyjuYk,HVE 
