[30] ADD,QXEQWDUSMg,76386.84 
[361] BUY,QXEQWDUSMg,SEW,163.90 
[473] CANCEL_BUY,QXEQWDUSMg 
[623] ADD,QXEQWDUSMg,75327.29 
[662] QUOTE,QXEQWDUSMg,ECX 
[860] BUY,QXEQWDUSMg,PST,574.70 
[876] COMMIT_BUY,QXEQWDUSMg 
[1069] COMMIT_SELL,QXEQWDUSMg 
[1099] BUY,QXEQWDUSMg,MWJ,183.21 
[1174] COMMIT_BUY,QXEQWDUSMg 
[1207] ADD,QXEQWDUSMg,76541.48 
[1216] SET_SELL_AMOUNT,QXEQWDUSMg,QJZ,495.54 
[1256] CANCEL_SET_SELL,QXEQWDUSMg,QJZ 
[1379] SET_BUY_TRIGGER,QXEQWDUSMg,PUO,79.25 
[1400] ADD,QXEQWDUSMg,70325.91 
[1460] BUY,QXEQWDUSMg,XUY,283.91 
[1530] COMMIT_BUY,QXEQWDUSMg 
[1638] SELL,QXEQWDUSMg,KDA,699.15 
[1679] COMMIT_SELL,QXEQWDUSMg 
[1704] QUOTE,QXEQWDUSMg,QGE 
[1785] BUY,QXEQWDUSMg,KVJ,209.74 
[1912] COMMIT_BUY,QXEQWDUSMg 
[1985] DISPLAY_SUMMARY,QXEQWDUSMg 
[1987] SELL,QXEQWDUSMg,QJZ,479.95 
[2007] COMMIT_SELL,QXEQWDUSMg 
[2141] ADD,QXEQWDUSMg,66058.01 
[2238] BUY,QXEQWDUSMg,DBT,372.86 
[2271] BUY,QXEQWDUSMg,IDN,328.39 
[2543] BUY,QXEQWDUSMg,DDA,177.83 
[2951] COMMIT_BUY,QXEQWDUSMg 
[3045] ADD,QXEQWDUSMg,62816.35 
[3052] QUOTE,QXEQWDUSMg,KCT 
[3133] SET_SELL_TRIGGER,QXEQWDUSMg,FOW,195.14 
[3352] SET_SELL_AMOUNT,QXEQWDUSMg,JVT,504.02 
[3385] SET_SELL_TRIGGER,QXEQWDUSMg,JVT,421.62 
[3632] ADD,QXEQWDUSMg,20023.56 
[3636] BUY,QXEQWDUSMg,RRZ,659.63 
[3750] COMMIT_BUY,QXEQWDUSMg 
[3887] SELL,QXEQWDUSMg,QJZ,61.93 
[3890] ADD,QXEQWDUSMg,76862.00 
[3895] SET_SELL_AMOUNT,QXEQWDUSMg,OEY,352.43 
[4036] SET_SELL_TRIGGER,QXEQWDUSMg,OEY,276.74 
[4074] SELL,QXEQWDUSMg,OEY,368.68 
[4086] COMMIT_SELL,QXEQWDUSMg 
[4217] DISPLAY_SUMMARY,QXEQWDUSMg 
[4242] ADD,QXEQWDUSMg,53121.89 
[4379] ADD,QXEQWDUSMg,61146.53 
[4401] QUOTE,QXEQWDUSMg,NHG 
