[63] ADD,REUXfFUthD,73532.17 
[72] SET_SELL_TRIGGER,REUXfFUthD,YAZ,153.06 
[308] SET_SELL_TRIGGER,REUXfFUthD,IDX,188.75 
[386] SELL,REUXfFUthD,WDC,618.58 
[412] CANCEL_SELL,REUXfFUthD 
[438] BUY,REUXfFUthD,ASJ,57.15 
[566] CANCEL_SET_BUY,REUXfFUthD,XOL 
[616] BUY,REUXfFUthD,FYR,47.89 
[634] COMMIT_BUY,REUXfFUthD 
[761] SELL,REUXfFUthD,QJZ,469.49 
[802] COMMIT_SELL,REUXfFUthD 
[956] SET_SELL_AMOUNT,REUXfFUthD,QJZ,189.58 
[1000] SET_SELL_TRIGGER,REUXfFUthD,QJZ,125.00 
[1014] BUY,REUXfFUthD,MGO,497.80 
[1197] CANCEL_SELL,REUXfFUthD 
[1215] SET_SELL_AMOUNT,REUXfFUthD,QJZ,68.59 
[1231] SET_SELL_TRIGGER,REUXfFUthD,QJZ,6.56 
[1273] BUY,REUXfFUthD,XII,529.52 
[1492] COMMIT_BUY,REUXfFUthD 
[1497] SELL,REUXfFUthD,FQP,657.19 
[1577] QUOTE,REUXfFUthD,LLF 
[1595] COMMIT_SELL,REUXfFUthD 
[1814] QUOTE,REUXfFUthD,LGL 
[1969] ADD,REUXfFUthD,57468.06 
[1993] BUY,REUXfFUthD,KAR,12.99 
[2222] COMMIT_SELL,REUXfFUthD 
[2262] DISPLAY_SUMMARY,REUXfFUthD 
[2284] ADD,REUXfFUthD,59363.29 
[2327] QUOTE,REUXfFUthD,DJD 
[2380] BUY,REUXfFUthD,SNU,221.16 
[2409] CANCEL_BUY,REUXfFUthD 
[2492] DISPLAY_SUMMARY,REUXfFUthD 
[2501] CANCEL_SET_SELL,REUXfFUthD,VVW 
[2548] DISPLAY_SUMMARY,REUXfFUthD 
[2678] DISPLAY_SUMMARY,REUXfFUthD 
[2706] SET_BUY_TRIGGER,REUXfFUthD,ZOT,150.45 
[2742] BUY,REUXfFUthD,SKY,429.07 
[2962] ADD,REUXfFUthD,60542.12 
[3038] BUY,REUXfFUthD,IHA,47.76 
[3107] COMMIT_BUY,REUXfFUthD 
[3284] ADD,REUXfFUthD,51312.13 
[3323] QUOTE,REUXfFUthD,CAX 
[3517] BUY,REUXfFUthD,NJF,13.12 
[3586] SET_SELL_AMOUNT,REUXfFUthD,KDA,398.21 
[3590] SET_SELL_TRIGGER,REUXfFUthD,KDA,234.70 
