[132] ADD,Rq5xFLYt6l,89274.02 
[548] BUY,Rq5xFLYt6l,HYX,652.16 
[562] COMMIT_BUY,Rq5xFLYt6l 
[571] SET_BUY_AMOUNT,Rq5xFLYt6l,QJZ,108.63 
[986] SET_BUY_TRIGGER,Rq5xFLYt6l,SOA,5.86 
[1144] BUY,Rq5xFLYt6l,ZJG,89.50 
[1249] COMMIT_BUY,Rq5xFLYt6l 
[1283] QUOTE,Rq5xFLYt6l,PUU 
[1427] SET_BUY_AMOUNT,Rq5xFLYt6l,FQP,457.30 
[1688] SET_BUY_TRIGGER,Rq5xFLYt6l,MVQ,109.93 
[1746] DISPLAY_SUMMARY,Rq5xFLYt6l 
[1852] ADD,Rq5xFLYt6l,72160.59 
[1943] QUOTE,Rq5xFLYt6l,RFI 
[2343] CANCEL_SELL,Rq5xFLYt6l 
[2433] QUOTE,Rq5xFLYt6l,EJW 
[2487] QUOTE,Rq5xFLYt6l,YDS 
[2496] QUOTE,Rq5xFLYt6l,BHJ 
[2598] QUOTE,Rq5xFLYt6l,QBD 
[2666] QUOTE,Rq5xFLYt6l,YJK 
[2736] SET_BUY_TRIGGER,Rq5xFLYt6l,GCW,130.09 
[2821] ADD,Rq5xFLYt6l,77506.98 
[2837] QUOTE,Rq5xFLYt6l,MVI 
[3015] CANCEL_BUY,Rq5xFLYt6l 
[3072] QUOTE,Rq5xFLYt6l,CNN 
[3151] DISPLAY_SUMMARY,Rq5xFLYt6l 
[3183] SET_BUY_TRIGGER,Rq5xFLYt6l,CEC,91.48 
[3252] SET_BUY_AMOUNT,Rq5xFLYt6l,QJZ,66.29 
[3417] SET_BUY_TRIGGER,Rq5xFLYt6l,KGV,55.54 
[3453] SET_SELL_AMOUNT,Rq5xFLYt6l,QJZ,624.06 
[3553] SET_SELL_TRIGGER,Rq5xFLYt6l,QJZ,400.36 
[3701] ADD,Rq5xFLYt6l,48276.02 
[4044] QUOTE,Rq5xFLYt6l,CSZ 
[4116] QUOTE,Rq5xFLYt6l,IGI 
[4163] CANCEL_SET_BUY,Rq5xFLYt6l,EVR 
[4288] BUY,Rq5xFLYt6l,XFH,295.50 
[4359] DISPLAY_SUMMARY,Rq5xFLYt6l 
[4580] ADD,Rq5xFLYt6l,71117.36 
[4630] BUY,Rq5xFLYt6l,RXB,84.68 
[4662] COMMIT_BUY,Rq5xFLYt6l 
[4712] ADD,Rq5xFLYt6l,91528.51 
[4730] DISPLAY_SUMMARY,Rq5xFLYt6l 
[4766] DISPLAY_SUMMARY,Rq5xFLYt6l 
[4774] SET_SELL_TRIGGER,Rq5xFLYt6l,PWK,19.51 
[4835] SET_SELL_TRIGGER,Rq5xFLYt6l,AEM,60.83 
[4896] BUY,Rq5xFLYt6l,TTV,728.56 
[5007] COMMIT_BUY,Rq5xFLYt6l 
[5086] DISPLAY_SUMMARY,Rq5xFLYt6l 
[5123] QUOTE,Rq5xFLYt6l,YTY 
[5347] QUOTE,Rq5xFLYt6l,GZQ 
[5398] BUY,Rq5xFLYt6l,LZV,432.28 
[5400] QUOTE,Rq5xFLYt6l,BFB 
[5555] QUOTE,Rq5xFLYt6l,PHZ 
[5645] DISPLAY_SUMMARY,Rq5xFLYt6l 
[5664] ADD,Rq5xFLYt6l,67973.81 
[5684] BUY,Rq5xFLYt6l,JQG,555.07 
[5709] COMMIT_BUY,Rq5xFLYt6l 
[5803] SET_BUY_AMOUNT,Rq5xFLYt6l,KES,364.16 
[5846] SET_BUY_TRIGGER,Rq5xFLYt6l,JQO,118.27 
[5849] CANCEL_SELL,Rq5xFLYt6l 
[5941] SET_BUY_TRIGGER,Rq5xFLYt6l,OEX,144.97 
