[31] ADD,TRCadzjH8F,81383.21 
[38] QUOTE,TRCadzjH8F,SAR 
[272] BUY,TRCadzjH8F,TXB,137.50 
[320] SET_SELL_AMOUNT,TRCadzjH8F,NEV,89.90 
[376] DISPLAY_SUMMARY,TRCadzjH8F 
[393] ADD,TRCadzjH8F,51839.37 
[449] BUY,TRCadzjH8F,ATE,676.35 
[465] DISPLAY_SUMMARY,TRCadzjH8F 
[579] ADD,TRCadzjH8F,85066.17 
[604] BUY,TRCadzjH8F,KZQ,248.80 
[920] SET_SELL_TRIGGER,TRCadzjH8F,NEV,84.33 
[1291] ADD,TRCadzjH8F,67752.37 
[1365] QUOTE,TRCadzjH8F,CLQ 
[1434] QUOTE,TRCadzjH8F,SFR 
[1444] QUOTE,TRCadzjH8F,DHA 
[1472] QUOTE,TRCadzjH8F,PXY 
[1516] SET_SELL_TRIGGER,TRCadzjH8F,JQJ,167.30 
[1682] DISPLAY_SUMMARY,TRCadzjH8F 
[1701] ADD,TRCadzjH8F,64801.61 
[1846] QUOTE,TRCadzjH8F,WNH 
[1974] BUY,TRCadzjH8F,RXB,144.68 
[2191] CANCEL_SET_BUY,TRCadzjH8F,JQJ 
[2256] SELL,TRCadzjH8F,VOU,99.64 
[2329] COMMIT_SELL,TRCadzjH8F 
[2340] SET_BUY_AMOUNT,TRCadzjH8F,KEV,222.08 
[2365] SET_BUY_TRIGGER,TRCadzjH8F,KEV,22.92 
[2396] QUOTE,TRCadzjH8F,NJF 
[2762] SELL,TRCadzjH8F,NFQ,454.56 
[2969] COMMIT_SELL,TRCadzjH8F 
[3024] QUOTE,TRCadzjH8F,JEA 
[3134] BUY,TRCadzjH8F,GZQ,200.66 
[3162] COMMIT_BUY,TRCadzjH8F 
[3255] QUOTE,TRCadzjH8F,OSC 
[3292] SET_BUY_AMOUNT,TRCadzjH8F,QJZ,740.01 
[3353] SELL,TRCadzjH8F,QJZ,610.23 
[3489] CANCEL_SELL,TRCadzjH8F 
[3526] BUY,TRCadzjH8F,IDN,562.73 
[3548] COMMIT_BUY,TRCadzjH8F 
[3592] SET_SELL_TRIGGER,TRCadzjH8F,QOQ,198.38 
[3628] CANCEL_SELL,TRCadzjH8F 
[3875] ADD,TRCadzjH8F,77441.89 
[3972] BUY,TRCadzjH8F,QJZ,159.15 
[4019] COMMIT_BUY,TRCadzjH8F 
[4025] SET_SELL_TRIGGER,TRCadzjH8F,WJP,9.30 
[4211] SELL,TRCadzjH8F,KDA,21.56 
[4444] COMMIT_SELL,TRCadzjH8F 
[4453] ADD,TRCadzjH8F,73042.39 
[4554] QUOTE,TRCadzjH8F,RXB 
[4720] BUY,TRCadzjH8F,GDF,419.65 
[4856] CANCEL_SET_BUY,TRCadzjH8F,AQO 
[4879] BUY,TRCadzjH8F,LQN,419.43 
[5002] COMMIT_BUY,TRCadzjH8F 
[5140] QUOTE,TRCadzjH8F,LNJ 
[5161] ADD,TRCadzjH8F,50629.50 
[5187] BUY,TRCadzjH8F,NVX,198.64 
[5221] CANCEL_SET_BUY,TRCadzjH8F,OEY 
[5241] SET_BUY_AMOUNT,TRCadzjH8F,KES,505.72 
[5366] SET_BUY_TRIGGER,TRCadzjH8F,UEC,148.49 
[5437] SET_BUY_AMOUNT,TRCadzjH8F,FQP,297.37 
[5523] SET_BUY_TRIGGER,TRCadzjH8F,RUN,263.39 
[5543] ADD,TRCadzjH8F,100080.71 
[5614] BUY,TRCadzjH8F,SCK,317.36 
[5894] SET_SELL_TRIGGER,TRCadzjH8F,NVN,81.86 
[5940] CANCEL_SET_BUY,TRCadzjH8F,NOP 
