[16] ADD,TViJpUe5JR,72037.44 
[29] BUY,TViJpUe5JR,GSW,280.13 
[155] SELL,TViJpUe5JR,NFO,110.92 
[245] COMMIT_SELL,TViJpUe5JR 
[286] SET_BUY_AMOUNT,TViJpUe5JR,ZJB,695.99 
[300] CANCEL_SET_BUY,TViJpUe5JR,ZJB 
[348] SET_BUY_AMOUNT,TViJpUe5JR,MWV,227.06 
[435] SET_BUY_TRIGGER,TViJpUe5JR,MWV,154.88 
[703] BUY,TViJpUe5JR,OZT,587.44 
[772] CANCEL_SET_SELL,TViJpUe5JR,PYM 
[827] BUY,TViJpUe5JR,VCN,34.92 
[903] COMMIT_BUY,TViJpUe5JR 
[983] QUOTE,TViJpUe5JR,WJB 
[1145] BUY,TViJpUe5JR,HIW,147.95 
[1267] COMMIT_BUY,TViJpUe5JR 
[1328] SET_BUY_AMOUNT,TViJpUe5JR,FQP,75.03 
[1345] SET_BUY_TRIGGER,TViJpUe5JR,PMX,30.73 
[1374] QUOTE,TViJpUe5JR,ZSV 
[1417] QUOTE,TViJpUe5JR,IDN 
[1423] QUOTE,TViJpUe5JR,AIN 
[1439] CANCEL_SELL,TViJpUe5JR 
[1486] SELL,TViJpUe5JR,FQP,372.88 
[1545] COMMIT_SELL,TViJpUe5JR 
[1655] SET_BUY_AMOUNT,TViJpUe5JR,FQP,153.90 
[1718] SET_BUY_TRIGGER,TViJpUe5JR,VOY,49.37 
[1758] SET_BUY_AMOUNT,TViJpUe5JR,FQP,208.78 
[2224] CANCEL_SET_BUY,TViJpUe5JR,UIE 
[2285] ADD,TViJpUe5JR,68654.55 
[2293] BUY,TViJpUe5JR,KPP,317.16 
[2369] COMMIT_BUY,TViJpUe5JR 
[2524] ADD,TViJpUe5JR,69304.83 
[2679] BUY,TViJpUe5JR,ZAN,341.82 
[2697] SET_SELL_AMOUNT,TViJpUe5JR,FQP,547.03 
[2813] CANCEL_SET_SELL,TViJpUe5JR,FQP 
[3019] SET_SELL_TRIGGER,TViJpUe5JR,GQV,6.33 
[3235] ADD,TViJpUe5JR,73041.74 
[3278] QUOTE,TViJpUe5JR,HZA 
[3538] CANCEL_SET_BUY,TViJpUe5JR,VTY 
[3641] SET_BUY_AMOUNT,TViJpUe5JR,FQP,93.13 
[3843] SELL,TViJpUe5JR,QJZ,452.30 
[3901] COMMIT_SELL,TViJpUe5JR 
[3947] DISPLAY_SUMMARY,TViJpUe5JR 
[4102] QUOTE,TViJpUe5JR,IDX 
[4378] QUOTE,TViJpUe5JR,URD 
[4502] BUY,TViJpUe5JR,ZFK,460.22 
[4534] QUOTE,TViJpUe5JR,RNK 
[4612] CANCEL_SELL,TViJpUe5JR 
[4722] QUOTE,TViJpUe5JR,NUV 
[4741] BUY,TViJpUe5JR,APY,429.45 
[4819] SET_SELL_AMOUNT,TViJpUe5JR,KDA,102.42 
[4850] SET_SELL_TRIGGER,TViJpUe5JR,KDA,57.24 
[4970] DISPLAY_SUMMARY,TViJpUe5JR 
[5029] BUY,TViJpUe5JR,STQ,67.96 
[5175] COMMIT_BUY,TViJpUe5JR 
[5335] SET_BUY_AMOUNT,TViJpUe5JR,KDA,325.59 
[5510] QUOTE,TViJpUe5JR,YCH 
[5525] BUY,TViJpUe5JR,FWW,11.25 
[5652] BUY,TViJpUe5JR,TQE,236.71 
[5657] COMMIT_BUY,TViJpUe5JR 
[5658] DISPLAY_SUMMARY,TViJpUe5JR 
[5711] SET_SELL_AMOUNT,TViJpUe5JR,QJZ,343.90 
[5749] SET_SELL_TRIGGER,TViJpUe5JR,QJZ,165.27 
[5854] DISPLAY_SUMMARY,TViJpUe5JR 
[5904] SET_SELL_TRIGGER,TViJpUe5JR,KEO,194.42 
[6003] SET_SELL_AMOUNT,TViJpUe5JR,QJZ,683.12 
[6007] SET_SELL_TRIGGER,TViJpUe5JR,QJZ,596.04 
[6025] SET_SELL_TRIGGER,TViJpUe5JR,APY,167.64 
[6322] QUOTE,TViJpUe5JR,PHU 
[6381] BUY,TViJpUe5JR,GZQ,611.30 
[6528] DISPLAY_SUMMARY,TViJpUe5JR 
[6585] SELL,TViJpUe5JR,KDA,329.36 
[6679] COMMIT_SELL,TViJpUe5JR 
[6712] DISPLAY_SUMMARY,TViJpUe5JR 
[6843] BUY,TViJpUe5JR,PMG,651.37 
[6884] CANCEL_SET_BUY,TViJpUe5JR,ZJG 
[6896] QUOTE,TViJpUe5JR,TZJ 
[6921] BUY,TViJpUe5JR,LLE,244.55 
[7033] CANCEL_BUY,TViJpUe5JR 
[7133] CANCEL_SET_SELL,TViJpUe5JR,ZKV 
[7220] DISPLAY_SUMMARY,TViJpUe5JR 
[7276] SET_SELL_TRIGGER,TViJpUe5JR,CTT,41.27 
[7294] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,412.85 
[7306] BUY,TViJpUe5JR,ZHB,236.31 
[7340] COMMIT_BUY,TViJpUe5JR 
[7476] BUY,TViJpUe5JR,WPG,539.37 
[7502] COMMIT_BUY,TViJpUe5JR 
[7506] SET_BUY_TRIGGER,TViJpUe5JR,SDW,186.88 
[7645] BUY,TViJpUe5JR,XOP,665.14 
[7760] CANCEL_SET_BUY,TViJpUe5JR,EDW 
[7841] BUY,TViJpUe5JR,COE,95.00 
[7893] SELL,TViJpUe5JR,KDA,277.37 
[8126] COMMIT_SELL,TViJpUe5JR 
[8168] SET_BUY_AMOUNT,TViJpUe5JR,FQP,637.77 
[8190] SELL,TViJpUe5JR,JVT,248.41 
[8290] COMMIT_SELL,TViJpUe5JR 
[8537] ADD,TViJpUe5JR,89129.63 
[8587] QUOTE,TViJpUe5JR,CVK 
[8679] SET_BUY_TRIGGER,TViJpUe5JR,FTB,10.76 
[8707] SELL,TViJpUe5JR,FQP,44.14 
[8742] COMMIT_SELL,TViJpUe5JR 
[9005] SELL,TViJpUe5JR,QJZ,481.74 
[9188] COMMIT_SELL,TViJpUe5JR 
[9198] SET_BUY_TRIGGER,TViJpUe5JR,BYM,50.72 
[9231] ADD,TViJpUe5JR,59781.68 
[9340] BUY,TViJpUe5JR,DWF,216.16 
[9350] COMMIT_BUY,TViJpUe5JR 
[9480] SET_SELL_TRIGGER,TViJpUe5JR,KEV,98.17 
[9543] QUOTE,TViJpUe5JR,DDA 
[9948] QUOTE,TViJpUe5JR,FZB 
[9988] QUOTE,TViJpUe5JR,VZB 
[10145] BUY,TViJpUe5JR,EJW,748.25 
[10193] CANCEL_SET_BUY,TViJpUe5JR,SAN 
[10208] SELL,TViJpUe5JR,GYF,30.47 
[10430] QUOTE,TViJpUe5JR,ZRJ 
[10825] ADD,TViJpUe5JR,45336.54 
[10895] QUOTE,TViJpUe5JR,XUH 
[11033] SET_BUY_AMOUNT,TViJpUe5JR,OEY,484.67 
[11120] SET_BUY_TRIGGER,TViJpUe5JR,MOM,230.30 
[11147] ADD,TViJpUe5JR,69096.59 
[11427] QUOTE,TViJpUe5JR,KPU 
[11506] BUY,TViJpUe5JR,UTV,492.75 
[11553] BUY,TViJpUe5JR,TGY,58.42 
[11637] SET_BUY_TRIGGER,TViJpUe5JR,KYX,69.00 
[11647] BUY,TViJpUe5JR,ZYR,247.37 
[11806] COMMIT_BUY,TViJpUe5JR 
[11964] COMMIT_BUY,TViJpUe5JR 
[12184] BUY,TViJpUe5JR,ZWC,607.37 
[12352] SET_SELL_AMOUNT,TViJpUe5JR,JVT,495.64 
[12372] SET_SELL_TRIGGER,TViJpUe5JR,JVT,152.71 
[12431] BUY,TViJpUe5JR,CBO,251.67 
[12555] COMMIT_BUY,TViJpUe5JR 
[12663] SET_SELL_AMOUNT,TViJpUe5JR,KDA,528.34 
[12667] BUY,TViJpUe5JR,RUN,201.32 
[12728] COMMIT_BUY,TViJpUe5JR 
[12881] QUOTE,TViJpUe5JR,MXD 
[12938] BUY,TViJpUe5JR,QAX,163.44 
[13028] ADD,TViJpUe5JR,60862.26 
[13111] BUY,TViJpUe5JR,VCN,53.57 
[13245] QUOTE,TViJpUe5JR,GPC 
[13317] SET_BUY_AMOUNT,TViJpUe5JR,GYF,453.80 
[13441] SET_BUY_TRIGGER,TViJpUe5JR,LSM,404.17 
[13581] SELL,TViJpUe5JR,QJZ,7.36 
[13751] COMMIT_SELL,TViJpUe5JR 
[13904] COMMIT_BUY,TViJpUe5JR 
[14047] SET_SELL_TRIGGER,TViJpUe5JR,KDA,96.88 
[14176] DISPLAY_SUMMARY,TViJpUe5JR 
[14422] BUY,TViJpUe5JR,JPP,172.47 
[14480] SELL,TViJpUe5JR,OEY,689.01 
[14507] COMMIT_SELL,TViJpUe5JR 
[14555] COMMIT_SELL,TViJpUe5JR 
[14589] SET_BUY_TRIGGER,TViJpUe5JR,XVK,78.76 
[14722] ADD,TViJpUe5JR,60200.68 
[14732] QUOTE,TViJpUe5JR,IQZ 
[14792] QUOTE,TViJpUe5JR,FRB 
[14850] SET_BUY_TRIGGER,TViJpUe5JR,MVY,1.81 
[15014] SET_SELL_TRIGGER,TViJpUe5JR,KPU,104.35 
[15056] DISPLAY_SUMMARY,TViJpUe5JR 
[15198] ADD,TViJpUe5JR,74665.80 
[15227] BUY,TViJpUe5JR,MHQ,562.45 
[15474] SELL,TViJpUe5JR,EBS,675.37 
[15715] SET_BUY_TRIGGER,TViJpUe5JR,STQ,80.14 
[15738] QUOTE,TViJpUe5JR,YRO 
[15819] SET_SELL_TRIGGER,TViJpUe5JR,WHR,113.48 
[15893] QUOTE,TViJpUe5JR,BEC 
[16317] QUOTE,TViJpUe5JR,PIC 
[16395] BUY,TViJpUe5JR,YZH,546.92 
[16485] COMMIT_BUY,TViJpUe5JR 
[16610] SET_SELL_TRIGGER,TViJpUe5JR,POI,71.54 
[16657] SET_BUY_TRIGGER,TViJpUe5JR,KCT,180.29 
[16904] BUY,TViJpUe5JR,ZOT,668.02 
[17227] SET_SELL_AMOUNT,TViJpUe5JR,EBS,709.19 
[17243] SET_SELL_TRIGGER,TViJpUe5JR,EBS,207.67 
[17413] DISPLAY_SUMMARY,TViJpUe5JR 
[17509] SELL,TViJpUe5JR,JRJ,278.08 
[17565] COMMIT_SELL,TViJpUe5JR 
[17680] SET_BUY_TRIGGER,TViJpUe5JR,TKG,127.82 
[17729] SET_BUY_AMOUNT,TViJpUe5JR,UTV,84.64 
[17945] SET_BUY_TRIGGER,TViJpUe5JR,OGR,34.03 
[17989] DISPLAY_SUMMARY,TViJpUe5JR 
[18069] ADD,TViJpUe5JR,73297.60 
[18081] BUY,TViJpUe5JR,IVV,593.27 
[18109] COMMIT_BUY,TViJpUe5JR 
[18124] DISPLAY_SUMMARY,TViJpUe5JR 
[18165] SET_BUY_AMOUNT,TViJpUe5JR,JCQ,387.41 
[18191] CANCEL_SET_BUY,TViJpUe5JR,OAS 
[18195] SET_BUY_AMOUNT,TViJpUe5JR,JVT,151.87 
[18333] SET_BUY_TRIGGER,TViJpUe5JR,JYV,21.59 
[18372] SELL,TViJpUe5JR,JVT,158.46 
[18545] CANCEL_SELL,TViJpUe5JR 
[18575] CANCEL_BUY,TViJpUe5JR 
[18648] ADD,TViJpUe5JR,66105.26 
[18714] BUY,TViJpUe5JR,QHF,579.68 
[19041] SET_BUY_AMOUNT,TViJpUe5JR,QAX,613.56 
[19064] SET_BUY_TRIGGER,TViJpUe5JR,AXK,230.27 
[19116] SELL,TViJpUe5JR,KES,19.70 
[19376] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,153.46 
[19381] SET_BUY_TRIGGER,TViJpUe5JR,UTV,111.24 
[19402] SET_SELL_TRIGGER,TViJpUe5JR,JVE,44.85 
[19437] QUOTE,TViJpUe5JR,GIX 
[19457] QUOTE,TViJpUe5JR,DPG 
[19491] ADD,TViJpUe5JR,66212.13 
