[46] ADD,U4jQmk30QS,86687.09 
[208] BUY,U4jQmk30QS,AJX,314.80 
[349] QUOTE,U4jQmk30QS,PLA 
[351] SET_BUY_TRIGGER,U4jQmk30QS,HEJ,56.59 
[377] SET_BUY_AMOUNT,U4jQmk30QS,WUF,23.40 
[384] BUY,U4jQmk30QS,QZN,527.74 
[845] COMMIT_BUY,U4jQmk30QS 
[1037] SELL,U4jQmk30QS,QJZ,218.57 
[1340] QUOTE,U4jQmk30QS,SAN 
[1354] SET_SELL_AMOUNT,U4jQmk30QS,QJZ,421.62 
[1501] SET_SELL_TRIGGER,U4jQmk30QS,QJZ,349.98 
[1594] CANCEL_SET_SELL,U4jQmk30QS,TKV 
[1675] QUOTE,U4jQmk30QS,FQP 
[1797] SELL,U4jQmk30QS,QJZ,217.35 
[1874] COMMIT_SELL,U4jQmk30QS 
[1981] CANCEL_SET_SELL,U4jQmk30QS,PUU 
[2079] ADD,U4jQmk30QS,52231.47 
[2153] CANCEL_SELL,U4jQmk30QS 
[2261] ADD,U4jQmk30QS,85353.85 
[2441] SET_BUY_TRIGGER,U4jQmk30QS,WUF,1.31 
[2485] ADD,U4jQmk30QS,92533.40 
[2645] SELL,U4jQmk30QS,QJZ,38.20 
[2865] COMMIT_SELL,U4jQmk30QS 
[3069] DISPLAY_SUMMARY,U4jQmk30QS 
[3075] QUOTE,U4jQmk30QS,YTY 
[3149] QUOTE,U4jQmk30QS,DJD 
[3187] BUY,U4jQmk30QS,CVP,108.16 
[3203] CANCEL_BUY,U4jQmk30QS 
[3212] ADD,U4jQmk30QS,79697.38 
[3398] QUOTE,U4jQmk30QS,GRM 
[3476] ADD,U4jQmk30QS,104584.15 
[3544] QUOTE,U4jQmk30QS,QID 
[3615] QUOTE,U4jQmk30QS,BWL 
[3839] QUOTE,U4jQmk30QS,ZMA 
[3883] QUOTE,U4jQmk30QS,KCA 
[3957] SET_SELL_TRIGGER,U4jQmk30QS,PFN,73.99 
[4065] BUY,U4jQmk30QS,BPE,176.22 
[4167] COMMIT_BUY,U4jQmk30QS 
[4298] BUY,U4jQmk30QS,FUR,236.32 
[4510] COMMIT_BUY,U4jQmk30QS 
[4611] ADD,U4jQmk30QS,100708.90 
[4669] BUY,U4jQmk30QS,AVH,73.31 
[4696] COMMIT_BUY,U4jQmk30QS 
[4740] QUOTE,U4jQmk30QS,PMG 
[5033] SET_SELL_TRIGGER,U4jQmk30QS,IAV,55.48 
[5286] SET_BUY_AMOUNT,U4jQmk30QS,FQP,548.15 
[5371] SELL,U4jQmk30QS,KES,2.04 
[5429] QUOTE,U4jQmk30QS,MVQ 
[5629] QUOTE,U4jQmk30QS,UTV 
[5730] DISPLAY_SUMMARY,U4jQmk30QS 
[5831] SET_SELL_AMOUNT,U4jQmk30QS,FQP,682.19 
[5837] SET_SELL_TRIGGER,U4jQmk30QS,FQP,269.41 
[6138] SET_SELL_AMOUNT,U4jQmk30QS,KDA,263.65 
[6151] CANCEL_SET_SELL,U4jQmk30QS,KDA 
[6215] BUY,U4jQmk30QS,DRP,15.55 
[6235] SET_SELL_TRIGGER,U4jQmk30QS,YWC,32.89 
[6726] SET_SELL_TRIGGER,U4jQmk30QS,EJW,82.38 
[6762] QUOTE,U4jQmk30QS,DXL 
[6800] CANCEL_BUY,U4jQmk30QS 
[6915] SET_SELL_AMOUNT,U4jQmk30QS,QJZ,417.02 
[6923] SET_SELL_TRIGGER,U4jQmk30QS,QJZ,80.34 
[6969] BUY,U4jQmk30QS,FRB,236.09 
[6974] COMMIT_BUY,U4jQmk30QS 
[7008] SET_SELL_AMOUNT,U4jQmk30QS,QJZ,52.27 
[7095] QUOTE,U4jQmk30QS,LSM 
[7111] QUOTE,U4jQmk30QS,SDW 
[7146] QUOTE,U4jQmk30QS,ZQC 
[7372] BUY,U4jQmk30QS,AJL,87.32 
[7426] CANCEL_SET_SELL,U4jQmk30QS,QJZ 
[7530] SET_BUY_AMOUNT,U4jQmk30QS,QJZ,195.53 
[7673] SET_BUY_TRIGGER,U4jQmk30QS,IWL,5.06 
[7687] SET_BUY_AMOUNT,U4jQmk30QS,QJZ,9.71 
[7727] SET_BUY_TRIGGER,U4jQmk30QS,JLO,4.30 
[7969] QUOTE,U4jQmk30QS,GYT 
[8105] ADD,U4jQmk30QS,72462.67 
[8435] BUY,U4jQmk30QS,IDN,421.22 
[8628] COMMIT_BUY,U4jQmk30QS 
[8748] DISPLAY_SUMMARY,U4jQmk30QS 
[8777] SET_SELL_TRIGGER,U4jQmk30QS,EWP,161.17 
[8900] CANCEL_SELL,U4jQmk30QS 
[8929] SET_SELL_AMOUNT,U4jQmk30QS,FQP,28.54 
[8973] SET_SELL_TRIGGER,U4jQmk30QS,FQP,1.66 
[9155] ADD,U4jQmk30QS,67870.29 
[9303] QUOTE,U4jQmk30QS,BSG 
[9392] COMMIT_BUY,U4jQmk30QS 
[9456] ADD,U4jQmk30QS,69665.33 
[9586] CANCEL_SELL,U4jQmk30QS 
[9592] SET_SELL_TRIGGER,U4jQmk30QS,VEX,172.78 
[9835] SELL,U4jQmk30QS,KDA,322.11 
[9911] COMMIT_SELL,U4jQmk30QS 
[9922] SELL,U4jQmk30QS,JVT,39.68 
[10022] SET_BUY_AMOUNT,U4jQmk30QS,QJZ,659.00 
[10118] SET_BUY_TRIGGER,U4jQmk30QS,CBX,8.88 
[10144] SET_SELL_AMOUNT,U4jQmk30QS,FQP,409.25 
[10158] CANCEL_SET_SELL,U4jQmk30QS,FQP 
[10305] SET_SELL_TRIGGER,U4jQmk30QS,NUL,173.64 
[10460] SET_BUY_AMOUNT,U4jQmk30QS,JVT,33.63 
[10461] DISPLAY_SUMMARY,U4jQmk30QS 
[10532] DISPLAY_SUMMARY,U4jQmk30QS 
[10566] SELL,U4jQmk30QS,OEY,349.85 
[10662] SET_SELL_TRIGGER,U4jQmk30QS,DES,52.14 
[10907] BUY,U4jQmk30QS,HHG,497.21 
[10916] COMMIT_BUY,U4jQmk30QS 
[11098] ADD,U4jQmk30QS,70244.70 
[11198] BUY,U4jQmk30QS,DBC,702.86 
[11292] SET_BUY_TRIGGER,U4jQmk30QS,OZW,24.57 
[11525] SET_BUY_TRIGGER,U4jQmk30QS,CVV,88.77 
[11663] DISPLAY_SUMMARY,U4jQmk30QS 
[11679] CANCEL_SET_SELL,U4jQmk30QS,QGE 
[11688] QUOTE,U4jQmk30QS,ZFT 
[11785] QUOTE,U4jQmk30QS,AJX 
[11833] BUY,U4jQmk30QS,VVO,440.26 
[11834] COMMIT_BUY,U4jQmk30QS 
[11852] QUOTE,U4jQmk30QS,RLS 
[11887] BUY,U4jQmk30QS,HQU,632.71 
[11916] COMMIT_BUY,U4jQmk30QS 
[11958] ADD,U4jQmk30QS,71678.28 
[12008] BUY,U4jQmk30QS,MGO,610.76 
[12101] COMMIT_BUY,U4jQmk30QS 
[12230] QUOTE,U4jQmk30QS,WKD 
[12356] CANCEL_SET_BUY,U4jQmk30QS,SJZ 
[12377] DISPLAY_SUMMARY,U4jQmk30QS 
[12846] SELL,U4jQmk30QS,JCQ,131.03 
[13329] CANCEL_BUY,U4jQmk30QS 
[13431] DISPLAY_SUMMARY,U4jQmk30QS 
[13439] SET_BUY_TRIGGER,U4jQmk30QS,RQS,137.25 
[13475] COMMIT_SELL,U4jQmk30QS 
[13576] CANCEL_SET_SELL,U4jQmk30QS,ISQ 
[13657] BUY,U4jQmk30QS,XOL,580.83 
[13675] QUOTE,U4jQmk30QS,XUH 
[13749] CANCEL_BUY,U4jQmk30QS 
[13759] QUOTE,U4jQmk30QS,ZJQ 
[13919] CANCEL_BUY,U4jQmk30QS 
[13978] SET_SELL_TRIGGER,U4jQmk30QS,WSG,51.45 
[14015] QUOTE,U4jQmk30QS,JNO 
[14024] QUOTE,U4jQmk30QS,DBR 
[14065] SET_BUY_TRIGGER,U4jQmk30QS,JGO,139.41 
[14117] DISPLAY_SUMMARY,U4jQmk30QS 
[14136] CANCEL_BUY,U4jQmk30QS 
[14165] SET_SELL_AMOUNT,U4jQmk30QS,GYF,52.49 
[14217] SET_SELL_TRIGGER,U4jQmk30QS,GYF,7.59 
[14232] SET_BUY_TRIGGER,U4jQmk30QS,YRO,91.84 
[14262] DISPLAY_SUMMARY,U4jQmk30QS 
[14586] SET_BUY_TRIGGER,U4jQmk30QS,XRK,22.06 
[14912] SET_BUY_TRIGGER,U4jQmk30QS,QBD,49.86 
[15039] CANCEL_SET_SELL,U4jQmk30QS,XMA 
[15111] SELL,U4jQmk30QS,OEY,423.57 
[15125] COMMIT_SELL,U4jQmk30QS 
[15174] CANCEL_SELL,U4jQmk30QS 
[15677] SET_BUY_TRIGGER,U4jQmk30QS,KQZ,39.29 
[15721] SET_BUY_AMOUNT,U4jQmk30QS,OEY,291.11 
[15828] CANCEL_SET_BUY,U4jQmk30QS,PST 
[15976] SET_SELL_AMOUNT,U4jQmk30QS,QJZ,202.36 
[16035] CANCEL_SET_SELL,U4jQmk30QS,QJZ 
[16094] ADD,U4jQmk30QS,74280.33 
[16123] CANCEL_SELL,U4jQmk30QS 
[16440] DISPLAY_SUMMARY,U4jQmk30QS 
[16512] QUOTE,U4jQmk30QS,JRJ 
[16754] QUOTE,U4jQmk30QS,IQZ 
[16816] SET_SELL_AMOUNT,U4jQmk30QS,EBS,646.65 
[16861] SET_SELL_TRIGGER,U4jQmk30QS,EBS,58.09 
[16946] SET_BUY_TRIGGER,U4jQmk30QS,PHU,134.94 
[16948] QUOTE,U4jQmk30QS,RJG 
[17016] BUY,U4jQmk30QS,SDL,449.20 
[17045] CANCEL_BUY,U4jQmk30QS 
[17305] SELL,U4jQmk30QS,GYF,536.49 
[17475] CANCEL_SET_BUY,U4jQmk30QS,JCQ 
[17648] BUY,U4jQmk30QS,PUO,473.37 
[17667] CANCEL_SELL,U4jQmk30QS 
[18028] SET_BUY_TRIGGER,U4jQmk30QS,IOM,190.41 
[18041] DISPLAY_SUMMARY,U4jQmk30QS 
[18042] DISPLAY_SUMMARY,U4jQmk30QS 
[18183] ADD,U4jQmk30QS,52779.46 
[18202] QUOTE,U4jQmk30QS,PST 
[18373] DISPLAY_SUMMARY,U4jQmk30QS 
[18374] SET_BUY_AMOUNT,U4jQmk30QS,EBS,311.26 
[18381] SET_BUY_TRIGGER,U4jQmk30QS,WYA,192.53 
[18474] ADD,U4jQmk30QS,59526.71 
[18617] BUY,U4jQmk30QS,URI,535.48 
[18639] CANCEL_BUY,U4jQmk30QS 
[19124] SELL,U4jQmk30QS,KES,437.30 
[19269] SET_SELL_AMOUNT,U4jQmk30QS,JVT,743.64 
[19339] DISPLAY_SUMMARY,U4jQmk30QS 
[19359] SELL,U4jQmk30QS,FQP,220.00 
[19495] COMMIT_SELL,U4jQmk30QS 
[19523] DISPLAY_SUMMARY,U4jQmk30QS 
[19578] BUY,U4jQmk30QS,MIQ,741.07 
[19669] COMMIT_BUY,U4jQmk30QS 
[19754] DISPLAY_SUMMARY,U4jQmk30QS 
[19884] SET_SELL_TRIGGER,U4jQmk30QS,JVT,233.83 
[19934] BUY,U4jQmk30QS,RYU,323.89 
[19949] COMMIT_BUY,U4jQmk30QS 
[19961] QUOTE,U4jQmk30QS,FCH 
[20028] CANCEL_SELL,U4jQmk30QS 
[20142] ADD,U4jQmk30QS,87284.65 
[20353] BUY,U4jQmk30QS,RNK,366.87 
[20387] CANCEL_BUY,U4jQmk30QS 
[20397] DISPLAY_SUMMARY,U4jQmk30QS 
[20405] SELL,U4jQmk30QS,JVT,318.40 
[20469] COMMIT_SELL,U4jQmk30QS 
[20625] DISPLAY_SUMMARY,U4jQmk30QS 
[20627] SET_BUY_AMOUNT,U4jQmk30QS,QJZ,609.27 
[20699] SET_BUY_TRIGGER,U4jQmk30QS,HBF,495.51 
[20720] ADD,U4jQmk30QS,83679.76 
[20745] BUY,U4jQmk30QS,NKC,678.63 
[20823] COMMIT_BUY,U4jQmk30QS 
[21108] BUY,U4jQmk30QS,NUL,25.54 
[21201] COMMIT_BUY,U4jQmk30QS 
[21208] SET_BUY_TRIGGER,U4jQmk30QS,ATE,161.44 
[21416] SET_SELL_TRIGGER,U4jQmk30QS,AOU,19.48 
[21604] BUY,U4jQmk30QS,HHC,371.66 
[21616] SELL,U4jQmk30QS,QJZ,246.93 
[21671] QUOTE,U4jQmk30QS,QUT 
[21812] ADD,U4jQmk30QS,67995.30 
[21934] QUOTE,U4jQmk30QS,QJZ 
[22022] SET_SELL_AMOUNT,U4jQmk30QS,OEY,602.93 
[22082] SET_SELL_TRIGGER,U4jQmk30QS,OEY,223.66 
[22090] SELL,U4jQmk30QS,EBS,85.91 
[22256] CANCEL_SELL,U4jQmk30QS 
[22383] SET_SELL_AMOUNT,U4jQmk30QS,NHG,450.82 
[22518] SET_SELL_TRIGGER,U4jQmk30QS,NHG,301.44 
[22707] SET_BUY_AMOUNT,U4jQmk30QS,KDA,613.20 
[22721] SET_BUY_TRIGGER,U4jQmk30QS,XBE,475.97 
[22765] CANCEL_BUY,U4jQmk30QS 
[22848] DISPLAY_SUMMARY,U4jQmk30QS 
[22866] SET_BUY_TRIGGER,U4jQmk30QS,YJK,156.90 
[22937] SET_SELL_AMOUNT,U4jQmk30QS,QJZ,565.58 
[22995] CANCEL_SET_SELL,U4jQmk30QS,QJZ 
[23274] COMMIT_BUY,U4jQmk30QS 
[23319] SELL,U4jQmk30QS,OEY,58.55 
[23562] COMMIT_SELL,U4jQmk30QS 
[23753] BUY,U4jQmk30QS,FZB,500.66 
[23832] COMMIT_BUY,U4jQmk30QS 
[23904] ADD,U4jQmk30QS,53321.82 
[23919] QUOTE,U4jQmk30QS,FTJ 
[23923] SET_BUY_TRIGGER,U4jQmk30QS,SYE,77.07 
[24145] DISPLAY_SUMMARY,U4jQmk30QS 
[24257] DISPLAY_SUMMARY,U4jQmk30QS 
[24273] ADD,U4jQmk30QS,80725.91 
[24310] QUOTE,U4jQmk30QS,CXB 
[24340] BUY,U4jQmk30QS,OIV,511.67 
[24379] COMMIT_BUY,U4jQmk30QS 
[24427] SET_BUY_TRIGGER,U4jQmk30QS,SXB,12.37 
[24571] DISPLAY_SUMMARY,U4jQmk30QS 
[24660] SET_SELL_AMOUNT,U4jQmk30QS,JVT,43.81 
[24984] SET_SELL_TRIGGER,U4jQmk30QS,JVT,38.83 
[24990] QUOTE,U4jQmk30QS,OKK 
[25071] BUY,U4jQmk30QS,OYS,80.21 
[25296] COMMIT_BUY,U4jQmk30QS 
[25393] SET_BUY_TRIGGER,U4jQmk30QS,VSE,190.69 
[25399] ADD,U4jQmk30QS,70784.02 
[25400] QUOTE,U4jQmk30QS,SKW 
[25452] SET_BUY_TRIGGER,U4jQmk30QS,EDW,78.06 
[25523] SELL,U4jQmk30QS,QJZ,718.84 
[25578] CANCEL_SET_SELL,U4jQmk30QS,EMN 
[25716] QUOTE,U4jQmk30QS,ZFV 
[25878] BUY,U4jQmk30QS,RRE,220.93 
[25897] CANCEL_BUY,U4jQmk30QS 
[26023] QUOTE,U4jQmk30QS,IVV 
[26101] BUY,U4jQmk30QS,HTN,276.30 
[26169] COMMIT_BUY,U4jQmk30QS 
[26667] SET_BUY_AMOUNT,U4jQmk30QS,RUN,437.56 
[26713] SET_BUY_TRIGGER,U4jQmk30QS,CNN,66.51 
[26727] SET_SELL_TRIGGER,U4jQmk30QS,CVK,56.05 
[26830] ADD,U4jQmk30QS,53889.65 
[27141] BUY,U4jQmk30QS,JXR,50.31 
[27165] QUOTE,U4jQmk30QS,XLV 
[27822] BUY,U4jQmk30QS,PPY,101.62 
[27842] SET_BUY_AMOUNT,U4jQmk30QS,BYA,98.32 
[27909] SET_BUY_TRIGGER,U4jQmk30QS,UTD,27.33 
[27919] DISPLAY_SUMMARY,U4jQmk30QS 
[28057] ADD,U4jQmk30QS,57123.84 
[28206] QUOTE,U4jQmk30QS,CLP 
[28236] QUOTE,U4jQmk30QS,NLP 
[28437] DISPLAY_SUMMARY,U4jQmk30QS 
[28493] DISPLAY_SUMMARY,U4jQmk30QS 
[28601] DISPLAY_SUMMARY,U4jQmk30QS 
[28602] DISPLAY_SUMMARY,U4jQmk30QS 
[28698] ADD,U4jQmk30QS,102139.69 
[28720] SELL,U4jQmk30QS,KES,327.41 
[28810] CANCEL_SELL,U4jQmk30QS 
[28842] SET_BUY_AMOUNT,U4jQmk30QS,RUN,312.46 
[28927] SET_BUY_TRIGGER,U4jQmk30QS,FYR,245.42 
[28973] SET_BUY_AMOUNT,U4jQmk30QS,JQO,298.56 
[29308] BUY,U4jQmk30QS,BRT,548.87 
[29405] QUOTE,U4jQmk30QS,PCK 
[29474] SET_BUY_TRIGGER,U4jQmk30QS,QWC,114.34 
[29616] ADD,U4jQmk30QS,25031.39 
[29677] QUOTE,U4jQmk30QS,LTB 
[29788] BUY,U4jQmk30QS,NGH,368.02 
[29945] CANCEL_SET_BUY,U4jQmk30QS,EOY 
[29963] SET_BUY_TRIGGER,U4jQmk30QS,QHF,164.21 
[30019] QUOTE,U4jQmk30QS,BHP 
[30116] QUOTE,U4jQmk30QS,BHQ 
[30242] ADD,U4jQmk30QS,62704.02 
[30260] QUOTE,U4jQmk30QS,IFN 
[30534] DISPLAY_SUMMARY,U4jQmk30QS 
[30554] DISPLAY_SUMMARY,U4jQmk30QS 
[30606] QUOTE,U4jQmk30QS,GYF 
[30628] SET_SELL_AMOUNT,U4jQmk30QS,RUN,319.08 
[30667] SET_SELL_TRIGGER,U4jQmk30QS,RUN,32.30 
[30726] DISPLAY_SUMMARY,U4jQmk30QS 
[30844] CANCEL_SELL,U4jQmk30QS 
[30850] SELL,U4jQmk30QS,LFU,730.65 
[31055] COMMIT_SELL,U4jQmk30QS 
[31104] SET_SELL_AMOUNT,U4jQmk30QS,EBS,153.36 
[31164] SET_SELL_TRIGGER,U4jQmk30QS,EBS,25.76 
[31279] DISPLAY_SUMMARY,U4jQmk30QS 
[31498] SET_SELL_AMOUNT,U4jQmk30QS,RUN,220.54 
[31671] SET_SELL_TRIGGER,U4jQmk30QS,RUN,220.39 
[31804] SET_SELL_TRIGGER,U4jQmk30QS,XZO,116.05 
[31870] SET_BUY_AMOUNT,U4jQmk30QS,JQO,420.78 
[31919] QUOTE,U4jQmk30QS,WRJ 
[31976] BUY,U4jQmk30QS,POI,544.78 
[32059] CANCEL_BUY,U4jQmk30QS 
[32123] SELL,U4jQmk30QS,FQP,572.04 
[32565] QUOTE,U4jQmk30QS,BFU 
[32797] QUOTE,U4jQmk30QS,FPV 
[32825] QUOTE,U4jQmk30QS,HIW 
[32833] SELL,U4jQmk30QS,FQP,504.58 
[32907] QUOTE,U4jQmk30QS,SMS 
[32963] QUOTE,U4jQmk30QS,MMF 
[33027] COMMIT_BUY,U4jQmk30QS 
[33627] SET_SELL_AMOUNT,U4jQmk30QS,FQP,491.02 
[33650] SET_SELL_TRIGGER,U4jQmk30QS,FQP,122.75 
[34263] SET_BUY_TRIGGER,U4jQmk30QS,VQA,237.98 
[34311] DISPLAY_SUMMARY,U4jQmk30QS 
[34412] BUY,U4jQmk30QS,MWV,22.93 
[34497] CANCEL_SET_BUY,U4jQmk30QS,ZFJ 
[34526] SET_SELL_TRIGGER,U4jQmk30QS,DBC,3.36 
[34645] SET_SELL_TRIGGER,U4jQmk30QS,APU,0.30 
[34760] DISPLAY_SUMMARY,U4jQmk30QS 
[34771] ADD,U4jQmk30QS,93282.19 
[34795] COMMIT_BUY,U4jQmk30QS 
[35215] SET_BUY_TRIGGER,U4jQmk30QS,LUD,171.48 
[35313] DISPLAY_SUMMARY,U4jQmk30QS 
[35421] DISPLAY_SUMMARY,U4jQmk30QS 
[35447] ADD,U4jQmk30QS,76762.64 
[35542] QUOTE,U4jQmk30QS,TGY 
[35546] QUOTE,U4jQmk30QS,MVD 
[35593] BUY,U4jQmk30QS,LPS,103.66 
[35616] COMMIT_BUY,U4jQmk30QS 
[35626] ADD,U4jQmk30QS,73006.23 
[35631] BUY,U4jQmk30QS,PZE,259.24 
[35834] COMMIT_BUY,U4jQmk30QS 
[36020] ADD,U4jQmk30QS,39139.31 
[36043] CANCEL_SET_SELL,U4jQmk30QS,RQL 
[36159] BUY,U4jQmk30QS,KRY,378.65 
[36763] COMMIT_BUY,U4jQmk30QS 
[37051] COMMIT_BUY,U4jQmk30QS 
[37103] SET_SELL_AMOUNT,U4jQmk30QS,GYF,496.04 
[37440] SET_SELL_TRIGGER,U4jQmk30QS,GYF,385.79 
[37573] QUOTE,U4jQmk30QS,JVE 
[37761] BUY,U4jQmk30QS,JXR,152.27 
[38025] COMMIT_BUY,U4jQmk30QS 
[38051] DISPLAY_SUMMARY,U4jQmk30QS 
[38115] SET_BUY_AMOUNT,U4jQmk30QS,QAX,44.57 
[38366] SET_BUY_TRIGGER,U4jQmk30QS,FKZ,43.57 
[39253] QUOTE,U4jQmk30QS,SFR 
[39532] SET_BUY_AMOUNT,U4jQmk30QS,JQO,609.49 
[39582] SET_BUY_TRIGGER,U4jQmk30QS,WSR,80.53 
[39664] QUOTE,U4jQmk30QS,JTX 
[39699] BUY,U4jQmk30QS,NEV,682.19 
[39730] CANCEL_BUY,U4jQmk30QS 
[39735] ADD,U4jQmk30QS,100413.93 
[39877] QUOTE,U4jQmk30QS,IRQ 
[39934] QUOTE,U4jQmk30QS,EIH 
[39941] BUY,U4jQmk30QS,AED,454.28 
[40043] COMMIT_BUY,U4jQmk30QS 
[40057] QUOTE,U4jQmk30QS,ZUV 
[40103] ADD,U4jQmk30QS,89037.73 
[40188] QUOTE,U4jQmk30QS,FGF 
[40307] BUY,U4jQmk30QS,AUT,530.22 
[40375] CANCEL_SELL,U4jQmk30QS 
[40415] ADD,U4jQmk30QS,71729.74 
[40585] QUOTE,U4jQmk30QS,STT 
[40615] BUY,U4jQmk30QS,AVX,436.81 
[40619] BUY,U4jQmk30QS,WZY,119.24 
[40808] COMMIT_BUY,U4jQmk30QS 
[40864] ADD,U4jQmk30QS,69221.04 
[40865] BUY,U4jQmk30QS,BRZ,548.13 
[40878] CANCEL_SET_SELL,U4jQmk30QS,XOM 
[41011] BUY,U4jQmk30QS,EDM,300.49 
[41055] CANCEL_SET_SELL,U4jQmk30QS,JSM 
[41058] ADD,U4jQmk30QS,66342.01 
[41453] CANCEL_SET_BUY,U4jQmk30QS,IIX 
[41542] ADD,U4jQmk30QS,71090.99 
[41580] QUOTE,U4jQmk30QS,FDI 
[41766] SET_BUY_TRIGGER,U4jQmk30QS,WZM,194.67 
[41841] SET_BUY_AMOUNT,U4jQmk30QS,KES,367.57 
[41999] DISPLAY_SUMMARY,U4jQmk30QS 
[42112] BUY,U4jQmk30QS,PSJ,238.32 
[42377] CANCEL_BUY,U4jQmk30QS 
[42444] QUOTE,U4jQmk30QS,GYF 
[42550] BUY,U4jQmk30QS,QAX,82.00 
[42688] CANCEL_SET_BUY,U4jQmk30QS,OAV 
[43037] SET_SELL_AMOUNT,U4jQmk30QS,GYF,428.22 
[43114] SET_SELL_TRIGGER,U4jQmk30QS,GYF,71.32 
[43119] SET_SELL_AMOUNT,U4jQmk30QS,JRJ,166.31 
[43262] SET_SELL_TRIGGER,U4jQmk30QS,JRJ,141.62 
[43348] BUY,U4jQmk30QS,QSS,636.99 
[43454] SET_SELL_AMOUNT,U4jQmk30QS,UTV,556.43 
[43538] SET_SELL_TRIGGER,U4jQmk30QS,UTV,520.04 
[43739] BUY,U4jQmk30QS,FQU,607.19 
[43884] CANCEL_BUY,U4jQmk30QS 
[43894] ADD,U4jQmk30QS,52258.79 
[43919] CANCEL_BUY,U4jQmk30QS 
[43968] SELL,U4jQmk30QS,BYA,171.57 
[43993] SET_BUY_TRIGGER,U4jQmk30QS,PJJ,107.60 
