[134] ADD,UUcfl1X3U9,80539.46 
[172] BUY,UUcfl1X3U9,CXC,185.66 
[220] CANCEL_SET_BUY,UUcfl1X3U9,MRK 
[279] QUOTE,UUcfl1X3U9,EGX 
[480] CANCEL_BUY,UUcfl1X3U9 
[498] CANCEL_SET_SELL,UUcfl1X3U9,VZB 
[533] QUOTE,UUcfl1X3U9,GUW 
[618] ADD,UUcfl1X3U9,81791.27 
[659] ADD,UUcfl1X3U9,63908.45 
[675] QUOTE,UUcfl1X3U9,VIG 
[707] ADD,UUcfl1X3U9,78580.93 
[749] BUY,UUcfl1X3U9,GSW,369.59 
[850] CANCEL_BUY,UUcfl1X3U9 
[927] DISPLAY_SUMMARY,UUcfl1X3U9 
[1051] DISPLAY_SUMMARY,UUcfl1X3U9 
[1108] DISPLAY_SUMMARY,UUcfl1X3U9 
[1277] DISPLAY_SUMMARY,UUcfl1X3U9 
[1555] CANCEL_BUY,UUcfl1X3U9 
[1625] QUOTE,UUcfl1X3U9,KCA 
[1631] ADD,UUcfl1X3U9,65754.76 
[1669] SET_BUY_TRIGGER,UUcfl1X3U9,VCN,156.02 
[1708] SET_SELL_TRIGGER,UUcfl1X3U9,TSS,49.31 
[1735] SET_BUY_AMOUNT,UUcfl1X3U9,IOY,440.41 
[1754] SET_BUY_TRIGGER,UUcfl1X3U9,IOY,169.78 
[1959] ADD,UUcfl1X3U9,78464.39 
[2178] QUOTE,UUcfl1X3U9,PBV 
[2207] DISPLAY_SUMMARY,UUcfl1X3U9 
[2220] DISPLAY_SUMMARY,UUcfl1X3U9 
[2348] ADD,UUcfl1X3U9,79718.71 
[2458] COMMIT_BUY,UUcfl1X3U9 
[2540] SELL,UUcfl1X3U9,QJZ,537.14 
[2648] COMMIT_SELL,UUcfl1X3U9 
[2849] QUOTE,UUcfl1X3U9,CBO 
[2916] COMMIT_SELL,UUcfl1X3U9 
[3027] ADD,UUcfl1X3U9,79277.27 
[3093] SELL,UUcfl1X3U9,QJZ,177.91 
[3500] COMMIT_SELL,UUcfl1X3U9 
[3546] BUY,UUcfl1X3U9,YRO,428.11 
[3547] SELL,UUcfl1X3U9,QJZ,88.10 
[3565] QUOTE,UUcfl1X3U9,PXF 
[3593] ADD,UUcfl1X3U9,88458.60 
[3648] QUOTE,UUcfl1X3U9,LKK 
[3709] ADD,UUcfl1X3U9,73931.53 
[3861] QUOTE,UUcfl1X3U9,KPP 
[3865] QUOTE,UUcfl1X3U9,BBD 
[3964] ADD,UUcfl1X3U9,93857.90 
[4060] BUY,UUcfl1X3U9,RXB,341.57 
[4098] COMMIT_BUY,UUcfl1X3U9 
[4142] SET_SELL_TRIGGER,UUcfl1X3U9,PJW,187.09 
[4268] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,26.29 
[4338] SET_BUY_TRIGGER,UUcfl1X3U9,NUV,5.58 
[4430] SET_BUY_TRIGGER,UUcfl1X3U9,QJZ,95.25 
[4488] ADD,UUcfl1X3U9,91124.25 
[4659] SELL,UUcfl1X3U9,QJZ,675.79 
[4778] QUOTE,UUcfl1X3U9,KJD 
[4837] BUY,UUcfl1X3U9,QAA,376.85 
[4898] CANCEL_BUY,UUcfl1X3U9 
[5089] CANCEL_SET_SELL,UUcfl1X3U9,QHF 
[5133] QUOTE,UUcfl1X3U9,RFI 
[5151] CANCEL_SET_BUY,UUcfl1X3U9,CGW 
[5313] BUY,UUcfl1X3U9,MHR,277.26 
[5506] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,90.42 
[5717] SET_BUY_TRIGGER,UUcfl1X3U9,EHF,78.33 
[5773] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,252.08 
[5840] SET_BUY_TRIGGER,UUcfl1X3U9,JRJ,101.59 
[5995] BUY,UUcfl1X3U9,GGY,107.04 
[6045] QUOTE,UUcfl1X3U9,FCM 
[6113] BUY,UUcfl1X3U9,YZC,566.16 
[6129] SET_SELL_TRIGGER,UUcfl1X3U9,EED,58.78 
[6150] DISPLAY_SUMMARY,UUcfl1X3U9 
[6173] CANCEL_SET_BUY,UUcfl1X3U9,GPL 
[6192] CANCEL_SET_SELL,UUcfl1X3U9,FFI 
[6257] ADD,UUcfl1X3U9,86620.50 
[6374] QUOTE,UUcfl1X3U9,ZZD 
[6787] QUOTE,UUcfl1X3U9,LSG 
[6823] ADD,UUcfl1X3U9,82171.49 
[6922] QUOTE,UUcfl1X3U9,VBO 
[6981] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,487.67 
[7128] CANCEL_SET_BUY,UUcfl1X3U9,QGL 
[7159] SET_SELL_TRIGGER,UUcfl1X3U9,RUN,87.67 
[7236] DISPLAY_SUMMARY,UUcfl1X3U9 
[7313] SELL,UUcfl1X3U9,FQP,689.19 
[7444] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,341.71 
[7782] SET_SELL_TRIGGER,UUcfl1X3U9,QJZ,232.30 
[7793] BUY,UUcfl1X3U9,MXD,333.42 
[8058] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,631.98 
[8365] SET_SELL_TRIGGER,UUcfl1X3U9,QJZ,537.94 
