[23] ADD,UuEeoiTzyl,102090.50 
[324] BUY,UuEeoiTzyl,APY,708.19 
[367] COMMIT_BUY,UuEeoiTzyl 
[394] ADD,UuEeoiTzyl,110210.83 
[436] BUY,UuEeoiTzyl,ZGR,261.28 
[459] CANCEL_SET_SELL,UuEeoiTzyl,EIH 
[491] ADD,UuEeoiTzyl,32311.74 
[776] QUOTE,UuEeoiTzyl,FPV 
[856] CANCEL_BUY,UuEeoiTzyl 
[861] ADD,UuEeoiTzyl,69733.80 
[908] QUOTE,UuEeoiTzyl,SFO 
[931] CANCEL_SET_BUY,UuEeoiTzyl,RUN 
[972] ADD,UuEeoiTzyl,61518.00 
[993] QUOTE,UuEeoiTzyl,ONI 
[1006] DISPLAY_SUMMARY,UuEeoiTzyl 
[1077] ADD,UuEeoiTzyl,70747.63 
[1645] QUOTE,UuEeoiTzyl,SWJ 
[1716] BUY,UuEeoiTzyl,TSF,598.63 
[1733] COMMIT_BUY,UuEeoiTzyl 
[1736] SET_SELL_TRIGGER,UuEeoiTzyl,GTB,62.52 
[1894] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,374.86 
[1997] SET_BUY_TRIGGER,UuEeoiTzyl,NJI,276.94 
[2008] SELL,UuEeoiTzyl,QJZ,448.08 
[2621] CANCEL_SET_BUY,UuEeoiTzyl,JQO 
[2646] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,528.11 
[2773] SET_BUY_TRIGGER,UuEeoiTzyl,OYW,18.47 
[2810] ADD,UuEeoiTzyl,53869.38 
[2848] QUOTE,UuEeoiTzyl,MLU 
[2869] BUY,UuEeoiTzyl,MOM,589.39 
[3123] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,531.44 
[3215] SET_BUY_TRIGGER,UuEeoiTzyl,YRL,456.43 
[3277] BUY,UuEeoiTzyl,EMN,478.26 
[3296] QUOTE,UuEeoiTzyl,PXS 
[3321] SELL,UuEeoiTzyl,FQP,299.26 
[3360] SET_SELL_TRIGGER,UuEeoiTzyl,EDV,194.65 
[3376] COMMIT_BUY,UuEeoiTzyl 
[3412] ADD,UuEeoiTzyl,84215.65 
[3459] QUOTE,UuEeoiTzyl,YDS 
[3498] SELL,UuEeoiTzyl,KDA,373.75 
[3513] SELL,UuEeoiTzyl,KDA,712.90 
[3858] ADD,UuEeoiTzyl,48371.08 
[3984] QUOTE,UuEeoiTzyl,LQN 
[4049] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,306.92 
[4165] SET_BUY_TRIGGER,UuEeoiTzyl,ZLY,193.29 
[4507] SET_SELL_TRIGGER,UuEeoiTzyl,SQS,46.75 
[4652] DISPLAY_SUMMARY,UuEeoiTzyl 
[4687] SET_BUY_AMOUNT,UuEeoiTzyl,KDA,254.34 
[4723] BUY,UuEeoiTzyl,GPW,244.50 
[4947] COMMIT_BUY,UuEeoiTzyl 
[5121] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,591.19 
[5208] SET_BUY_TRIGGER,UuEeoiTzyl,IFQ,239.52 
[5270] DISPLAY_SUMMARY,UuEeoiTzyl 
[5300] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,643.62 
[5408] SET_SELL_TRIGGER,UuEeoiTzyl,FQP,429.53 
[5621] ADD,UuEeoiTzyl,75296.83 
[5706] BUY,UuEeoiTzyl,VAT,603.41 
[5830] SET_BUY_TRIGGER,UuEeoiTzyl,PCR,183.36 
[5900] SET_BUY_TRIGGER,UuEeoiTzyl,SYE,83.45 
[6050] ADD,UuEeoiTzyl,64883.47 
[6074] COMMIT_BUY,UuEeoiTzyl 
[6169] QUOTE,UuEeoiTzyl,JIC 
[6405] CANCEL_SET_BUY,UuEeoiTzyl,WRJ 
[6499] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,83.94 
[6593] SET_SELL_TRIGGER,UuEeoiTzyl,FQP,68.71 
[6620] ADD,UuEeoiTzyl,65689.04 
[6807] BUY,UuEeoiTzyl,LZV,731.18 
[6856] CANCEL_SELL,UuEeoiTzyl 
[6925] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,431.54 
[7098] SET_BUY_TRIGGER,UuEeoiTzyl,IZJ,133.45 
[7315] DISPLAY_SUMMARY,UuEeoiTzyl 
[7393] SET_BUY_TRIGGER,UuEeoiTzyl,WBX,141.44 
[7419] SET_SELL_AMOUNT,UuEeoiTzyl,KES,561.14 
[7668] SET_SELL_TRIGGER,UuEeoiTzyl,KES,60.46 
[7681] BUY,UuEeoiTzyl,UDQ,39.22 
[7729] COMMIT_BUY,UuEeoiTzyl 
[7772] ADD,UuEeoiTzyl,62215.95 
[7951] QUOTE,UuEeoiTzyl,XQC 
[8013] QUOTE,UuEeoiTzyl,IGI 
[8092] BUY,UuEeoiTzyl,HIN,494.01 
[8119] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,109.80 
[8231] SET_SELL_TRIGGER,UuEeoiTzyl,FQP,74.07 
[8502] ADD,UuEeoiTzyl,81109.21 
[8523] QUOTE,UuEeoiTzyl,NSN 
[8527] SET_BUY_AMOUNT,UuEeoiTzyl,KES,110.48 
[8560] QUOTE,UuEeoiTzyl,JII 
[8591] CANCEL_SET_SELL,UuEeoiTzyl,DPG 
[8744] SET_BUY_TRIGGER,UuEeoiTzyl,JJW,45.70 
[8801] SET_SELL_TRIGGER,UuEeoiTzyl,OHS,32.16 
[8805] CANCEL_SET_SELL,UuEeoiTzyl,ETJ 
[8902] DISPLAY_SUMMARY,UuEeoiTzyl 
[9064] SET_SELL_AMOUNT,UuEeoiTzyl,KDA,282.17 
[9103] SET_SELL_TRIGGER,UuEeoiTzyl,KDA,165.41 
[9233] SET_BUY_TRIGGER,UuEeoiTzyl,GRD,173.18 
[9344] ADD,UuEeoiTzyl,65474.43 
[9348] BUY,UuEeoiTzyl,VNO,191.24 
[9374] SELL,UuEeoiTzyl,KES,35.77 
[9441] CANCEL_SELL,UuEeoiTzyl 
[9473] SET_SELL_AMOUNT,UuEeoiTzyl,JVT,729.71 
[9508] SET_SELL_TRIGGER,UuEeoiTzyl,JVT,650.78 
[9752] ADD,UuEeoiTzyl,68252.34 
[9816] DISPLAY_SUMMARY,UuEeoiTzyl 
[9848] SET_BUY_TRIGGER,UuEeoiTzyl,XER,108.33 
[10071] SET_BUY_AMOUNT,UuEeoiTzyl,QJZ,581.68 
[10289] CANCEL_SET_BUY,UuEeoiTzyl,JXW 
[10504] ADD,UuEeoiTzyl,98324.25 
[10524] CANCEL_SELL,UuEeoiTzyl 
[10766] DISPLAY_SUMMARY,UuEeoiTzyl 
[10800] SET_SELL_AMOUNT,UuEeoiTzyl,QJZ,69.65 
[10904] SET_SELL_TRIGGER,UuEeoiTzyl,QJZ,66.00 
[10925] BUY,UuEeoiTzyl,CZQ,49.23 
[11210] SET_BUY_AMOUNT,UuEeoiTzyl,QJZ,597.26 
[11226] SET_BUY_TRIGGER,UuEeoiTzyl,CZQ,74.84 
[11357] SELL,UuEeoiTzyl,FQP,145.71 
[11426] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,60.16 
[11438] DISPLAY_SUMMARY,UuEeoiTzyl 
[11453] DISPLAY_SUMMARY,UuEeoiTzyl 
[11645] QUOTE,UuEeoiTzyl,ZEU 
[11673] BUY,UuEeoiTzyl,TUO,731.48 
[11767] COMMIT_SELL,UuEeoiTzyl 
[11923] ADD,UuEeoiTzyl,54896.02 
[12194] QUOTE,UuEeoiTzyl,CEC 
[12215] CANCEL_BUY,UuEeoiTzyl 
