[32] ADD,VEusTtq5S7,52553.43 
[58] BUY,VEusTtq5S7,ZYR,431.20 
[161] SET_BUY_TRIGGER,VEusTtq5S7,UBJ,81.09 
[200] SET_SELL_AMOUNT,VEusTtq5S7,ASJ,309.20 
[425] SET_SELL_TRIGGER,VEusTtq5S7,ASJ,81.53 
[427] ADD,VEusTtq5S7,90807.50 
[470] QUOTE,VEusTtq5S7,GGI 
[499] QUOTE,VEusTtq5S7,WKE 
[628] BUY,VEusTtq5S7,PDX,642.42 
[837] CANCEL_BUY,VEusTtq5S7 
[1132] DISPLAY_SUMMARY,VEusTtq5S7 
[1168] DISPLAY_SUMMARY,VEusTtq5S7 
[1191] DISPLAY_SUMMARY,VEusTtq5S7 
[1346] DISPLAY_SUMMARY,VEusTtq5S7 
[1349] SET_SELL_TRIGGER,VEusTtq5S7,IGT,73.89 
[1510] BUY,VEusTtq5S7,MAX,325.78 
[1566] COMMIT_BUY,VEusTtq5S7 
[1829] COMMIT_SELL,VEusTtq5S7 
[2149] SET_BUY_TRIGGER,VEusTtq5S7,OIV,3.25 
[2199] SET_BUY_AMOUNT,VEusTtq5S7,QJZ,488.98 
[2319] SET_BUY_TRIGGER,VEusTtq5S7,FIY,385.69 
[2518] ADD,VEusTtq5S7,71744.98 
[2587] CANCEL_SELL,VEusTtq5S7 
[2615] ADD,VEusTtq5S7,56101.15 
[2723] BUY,VEusTtq5S7,GRD,678.82 
[2745] CANCEL_SET_BUY,VEusTtq5S7,NRY 
[2766] SET_BUY_TRIGGER,VEusTtq5S7,GTX,89.43 
[2868] SET_SELL_TRIGGER,VEusTtq5S7,PBV,103.83 
[2961] BUY,VEusTtq5S7,AXK,698.69 
[2978] ADD,VEusTtq5S7,60720.25 
[3090] BUY,VEusTtq5S7,ZWZ,68.72 
[3161] COMMIT_BUY,VEusTtq5S7 
[3431] DISPLAY_SUMMARY,VEusTtq5S7 
[3438] SET_SELL_AMOUNT,VEusTtq5S7,FQP,726.58 
[3560] BUY,VEusTtq5S7,BBD,66.58 
[3567] COMMIT_BUY,VEusTtq5S7 
[3737] SET_SELL_AMOUNT,VEusTtq5S7,FQP,296.09 
[3880] SET_SELL_TRIGGER,VEusTtq5S7,FQP,15.41 
[4071] QUOTE,VEusTtq5S7,VKP 
[4156] SELL,VEusTtq5S7,KDA,455.37 
[4219] COMMIT_SELL,VEusTtq5S7 
[4252] ADD,VEusTtq5S7,94160.09 
[4487] BUY,VEusTtq5S7,AVH,45.86 
[4597] SET_BUY_TRIGGER,VEusTtq5S7,OGB,14.25 
[4641] ADD,VEusTtq5S7,80455.57 
[4647] BUY,VEusTtq5S7,GPW,517.71 
[4685] CANCEL_SET_SELL,VEusTtq5S7,XVK 
[4714] QUOTE,VEusTtq5S7,MFY 
[4781] CANCEL_SET_BUY,VEusTtq5S7,MHI 
[4785] SET_SELL_AMOUNT,VEusTtq5S7,QJZ,425.80 
[4841] SET_SELL_TRIGGER,VEusTtq5S7,QJZ,22.86 
[5023] ADD,VEusTtq5S7,66483.28 
[5348] QUOTE,VEusTtq5S7,YTY 
[5379] BUY,VEusTtq5S7,CXW,575.53 
[5439] COMMIT_BUY,VEusTtq5S7 
[5466] ADD,VEusTtq5S7,54375.19 
[5753] BUY,VEusTtq5S7,GDO,157.48 
[5871] SET_SELL_AMOUNT,VEusTtq5S7,QJZ,653.01 
[5915] SET_SELL_TRIGGER,VEusTtq5S7,QJZ,475.05 
[5938] DISPLAY_SUMMARY,VEusTtq5S7 
[6095] QUOTE,VEusTtq5S7,JJW 
[6124] QUOTE,VEusTtq5S7,KQZ 
[6218] SET_BUY_TRIGGER,VEusTtq5S7,GDO,144.67 
[6320] DISPLAY_SUMMARY,VEusTtq5S7 
[6497] ADD,VEusTtq5S7,64885.57 
[6628] QUOTE,VEusTtq5S7,UFX 
[6739] BUY,VEusTtq5S7,UGT,34.69 
[6744] COMMIT_BUY,VEusTtq5S7 
[6972] SET_SELL_AMOUNT,VEusTtq5S7,KDA,241.37 
[7022] SET_SELL_TRIGGER,VEusTtq5S7,KDA,62.59 
[7050] SET_SELL_TRIGGER,VEusTtq5S7,AVI,158.59 
[7161] BUY,VEusTtq5S7,SOA,526.29 
[7174] SET_SELL_TRIGGER,VEusTtq5S7,WNU,32.81 
[7179] SET_SELL_AMOUNT,VEusTtq5S7,JVT,591.10 
[7214] SET_SELL_TRIGGER,VEusTtq5S7,JVT,51.20 
[7335] SET_BUY_AMOUNT,VEusTtq5S7,KDA,635.50 
[7371] SET_BUY_TRIGGER,VEusTtq5S7,HEJ,292.15 
[7442] ADD,VEusTtq5S7,60714.51 
[7519] BUY,VEusTtq5S7,PPW,708.30 
[7586] COMMIT_BUY,VEusTtq5S7 
[7654] QUOTE,VEusTtq5S7,UCG 
[7721] ADD,VEusTtq5S7,78228.95 
[7791] BUY,VEusTtq5S7,CLP,502.14 
[7806] QUOTE,VEusTtq5S7,CJV 
[7860] BUY,VEusTtq5S7,WYO,396.85 
[8030] SET_BUY_TRIGGER,VEusTtq5S7,MIQ,54.92 
[8033] SELL,VEusTtq5S7,KES,273.17 
[8314] SET_SELL_AMOUNT,VEusTtq5S7,KES,514.57 
[8450] SET_SELL_TRIGGER,VEusTtq5S7,KES,411.01 
[8455] SET_BUY_TRIGGER,VEusTtq5S7,RWM,13.61 
[8504] BUY,VEusTtq5S7,QUT,248.97 
[8513] SET_BUY_TRIGGER,VEusTtq5S7,PWK,161.65 
[8547] QUOTE,VEusTtq5S7,GTX 
[8749] BUY,VEusTtq5S7,ILT,70.88 
[8771] CANCEL_SET_BUY,VEusTtq5S7,JVE 
[8841] ADD,VEusTtq5S7,61812.43 
[8868] SET_SELL_AMOUNT,VEusTtq5S7,OEY,628.59 
[8938] SET_SELL_TRIGGER,VEusTtq5S7,OEY,224.30 
[8963] SELL,VEusTtq5S7,QJZ,567.62 
[9011] BUY,VEusTtq5S7,VMK,389.43 
[9017] COMMIT_BUY,VEusTtq5S7 
[9129] DISPLAY_SUMMARY,VEusTtq5S7 
[9218] ADD,VEusTtq5S7,63405.61 
[9334] CANCEL_SELL,VEusTtq5S7 
[9353] QUOTE,VEusTtq5S7,MVI 
[9424] BUY,VEusTtq5S7,OHG,118.68 
[9556] SET_SELL_AMOUNT,VEusTtq5S7,JVT,724.06 
[9636] SET_SELL_TRIGGER,VEusTtq5S7,JVT,376.96 
[9825] SELL,VEusTtq5S7,QJZ,144.00 
[9850] SET_SELL_AMOUNT,VEusTtq5S7,QJZ,129.59 
[9928] CANCEL_SET_SELL,VEusTtq5S7,QJZ 
[10009] CANCEL_SELL,VEusTtq5S7 
[10435] SET_SELL_AMOUNT,VEusTtq5S7,FQP,272.48 
[10521] SELL,VEusTtq5S7,QJZ,368.60 
[10852] SELL,VEusTtq5S7,JVT,205.94 
[10908] COMMIT_SELL,VEusTtq5S7 
[10978] ADD,VEusTtq5S7,66955.37 
[10996] DISPLAY_SUMMARY,VEusTtq5S7 
[11273] BUY,VEusTtq5S7,UXP,103.89 
[11489] COMMIT_BUY,VEusTtq5S7 
[11555] SELL,VEusTtq5S7,JVT,490.70 
[11607] ADD,VEusTtq5S7,66346.73 
[11866] BUY,VEusTtq5S7,QOQ,196.32 
[12094] SET_BUY_AMOUNT,VEusTtq5S7,JCQ,292.89 
[12096] SET_BUY_TRIGGER,VEusTtq5S7,XZN,87.68 
[12113] DISPLAY_SUMMARY,VEusTtq5S7 
[12234] BUY,VEusTtq5S7,WFR,736.29 
[12297] SET_SELL_AMOUNT,VEusTtq5S7,KDA,415.46 
[12443] BUY,VEusTtq5S7,LLE,185.85 
[12495] CANCEL_SET_BUY,VEusTtq5S7,JMX 
[12502] SET_SELL_AMOUNT,VEusTtq5S7,JCQ,353.80 
[12520] SET_SELL_TRIGGER,VEusTtq5S7,JCQ,130.73 
[12546] BUY,VEusTtq5S7,CBX,403.88 
[12623] COMMIT_BUY,VEusTtq5S7 
[12723] SELL,VEusTtq5S7,EBS,484.71 
[12727] COMMIT_SELL,VEusTtq5S7 
[13132] DISPLAY_SUMMARY,VEusTtq5S7 
[13209] ADD,VEusTtq5S7,49298.05 
[13566] QUOTE,VEusTtq5S7,QJC 
[13718] QUOTE,VEusTtq5S7,STO 
[13722] BUY,VEusTtq5S7,BXH,684.72 
[13792] COMMIT_BUY,VEusTtq5S7 
[14002] SELL,VEusTtq5S7,JVT,493.86 
[14088] COMMIT_SELL,VEusTtq5S7 
[14277] SELL,VEusTtq5S7,JCQ,633.09 
[14328] SET_SELL_AMOUNT,VEusTtq5S7,EBS,87.30 
[14394] BUY,VEusTtq5S7,IEQ,430.51 
[14735] CANCEL_BUY,VEusTtq5S7 
[14975] QUOTE,VEusTtq5S7,WZY 
[15337] DISPLAY_SUMMARY,VEusTtq5S7 
[15346] DISPLAY_SUMMARY,VEusTtq5S7 
[15376] QUOTE,VEusTtq5S7,YJK 
[15382] CANCEL_SELL,VEusTtq5S7 
[15762] QUOTE,VEusTtq5S7,SSW 
[15791] CANCEL_BUY,VEusTtq5S7 
[16045] CANCEL_SET_BUY,VEusTtq5S7,WZY 
[16098] SET_BUY_TRIGGER,VEusTtq5S7,VEN,73.55 
[16171] SET_BUY_TRIGGER,VEusTtq5S7,SYT,96.62 
[16230] BUY,VEusTtq5S7,WAO,396.55 
[16370] COMMIT_BUY,VEusTtq5S7 
