[3] ADD,WUsol6wtDm,87738.46 
[178] QUOTE,WUsol6wtDm,ZZN 
[231] QUOTE,WUsol6wtDm,FQP 
[414] ADD,WUsol6wtDm,70603.76 
[440] BUY,WUsol6wtDm,DXQ,68.95 
[542] BUY,WUsol6wtDm,KTU,394.64 
[608] COMMIT_BUY,WUsol6wtDm 
[730] SELL,WUsol6wtDm,QJZ,148.64 
[877] CANCEL_BUY,WUsol6wtDm 
[1040] SELL,WUsol6wtDm,QJZ,415.33 
[1046] COMMIT_SELL,WUsol6wtDm 
[1123] QUOTE,WUsol6wtDm,RQS 
[1152] ADD,WUsol6wtDm,74947.63 
[1274] COMMIT_BUY,WUsol6wtDm 
[1470] QUOTE,WUsol6wtDm,SSL 
[1499] ADD,WUsol6wtDm,53656.21 
[1872] BUY,WUsol6wtDm,FOV,195.13 
[1933] COMMIT_BUY,WUsol6wtDm 
[1944] SET_SELL_TRIGGER,WUsol6wtDm,BUL,40.37 
[1977] CANCEL_SET_SELL,WUsol6wtDm,VQA 
[2242] BUY,WUsol6wtDm,MSV,116.76 
[2389] CANCEL_SET_BUY,WUsol6wtDm,EED 
[2455] ADD,WUsol6wtDm,44042.46 
[2490] BUY,WUsol6wtDm,NGH,706.78 
[2569] SET_SELL_AMOUNT,WUsol6wtDm,FQP,134.27 
[2657] CANCEL_SET_SELL,WUsol6wtDm,FQP 
[2687] SET_BUY_AMOUNT,WUsol6wtDm,FQP,712.66 
[2707] DISPLAY_SUMMARY,WUsol6wtDm 
[2798] DISPLAY_SUMMARY,WUsol6wtDm 
[2808] QUOTE,WUsol6wtDm,NGZ 
[2983] BUY,WUsol6wtDm,MPP,573.18 
[3000] COMMIT_BUY,WUsol6wtDm 
[3037] DISPLAY_SUMMARY,WUsol6wtDm 
[3177] SELL,WUsol6wtDm,FQP,557.37 
[3201] SET_SELL_AMOUNT,WUsol6wtDm,QJZ,106.69 
[3330] SELL,WUsol6wtDm,QJZ,253.60 
[3350] CANCEL_SET_SELL,WUsol6wtDm,QJZ 
[3371] CANCEL_SET_SELL,WUsol6wtDm,QGE 
[3578] SET_SELL_TRIGGER,WUsol6wtDm,DKV,142.28 
[3956] SET_BUY_TRIGGER,WUsol6wtDm,XLK,272.03 
[4064] SET_SELL_AMOUNT,WUsol6wtDm,KDA,687.48 
[4115] CANCEL_SET_SELL,WUsol6wtDm,KDA 
[4118] SET_BUY_TRIGGER,WUsol6wtDm,ENQ,9.58 
[4193] ADD,WUsol6wtDm,41980.99 
[4327] QUOTE,WUsol6wtDm,KCA 
[4387] BUY,WUsol6wtDm,AIN,215.79 
[4491] QUOTE,WUsol6wtDm,LBC 
[4752] BUY,WUsol6wtDm,JGG,230.08 
[5027] COMMIT_BUY,WUsol6wtDm 
[5113] QUOTE,WUsol6wtDm,URD 
[5609] QUOTE,WUsol6wtDm,TJL 
[5718] BUY,WUsol6wtDm,XAN,267.98 
[5792] COMMIT_BUY,WUsol6wtDm 
[5797] SET_BUY_AMOUNT,WUsol6wtDm,QJZ,95.16 
[5891] SET_BUY_TRIGGER,WUsol6wtDm,XQC,84.47 
[5928] SET_SELL_AMOUNT,WUsol6wtDm,JVT,69.55 
[6094] CANCEL_SET_SELL,WUsol6wtDm,JVT 
[6097] SET_SELL_AMOUNT,WUsol6wtDm,QJZ,172.80 
[6135] SET_SELL_TRIGGER,WUsol6wtDm,QJZ,49.74 
[6145] SET_SELL_AMOUNT,WUsol6wtDm,KES,508.75 
[6202] CANCEL_SET_SELL,WUsol6wtDm,KES 
[6317] DISPLAY_SUMMARY,WUsol6wtDm 
[6475] SET_SELL_TRIGGER,WUsol6wtDm,RNE,196.27 
[6533] SET_BUY_AMOUNT,WUsol6wtDm,FQP,575.02 
[6558] SET_BUY_TRIGGER,WUsol6wtDm,SPL,299.69 
[6629] SET_SELL_TRIGGER,WUsol6wtDm,LKK,87.45 
[6641] QUOTE,WUsol6wtDm,QPZ 
[6704] COMMIT_BUY,WUsol6wtDm 
[6928] SET_SELL_AMOUNT,WUsol6wtDm,KES,456.28 
[6983] BUY,WUsol6wtDm,YCH,554.61 
[7280] COMMIT_BUY,WUsol6wtDm 
[7348] BUY,WUsol6wtDm,ZRJ,17.61 
[7501] CANCEL_BUY,WUsol6wtDm 
[7509] DISPLAY_SUMMARY,WUsol6wtDm 
[7552] SET_SELL_TRIGGER,WUsol6wtDm,KES,330.97 
[7679] BUY,WUsol6wtDm,WYD,399.76 
[7688] COMMIT_BUY,WUsol6wtDm 
[7939] BUY,WUsol6wtDm,TVI,147.19 
[7966] COMMIT_BUY,WUsol6wtDm 
[8012] SELL,WUsol6wtDm,KES,82.28 
[8016] CANCEL_SELL,WUsol6wtDm 
[8250] DISPLAY_SUMMARY,WUsol6wtDm 
[8349] QUOTE,WUsol6wtDm,NDO 
[8381] QUOTE,WUsol6wtDm,GKD 
[8391] BUY,WUsol6wtDm,KYX,55.08 
[8750] COMMIT_BUY,WUsol6wtDm 
[8779] ADD,WUsol6wtDm,61254.33 
[8820] BUY,WUsol6wtDm,JMX,367.47 
