[71] ADD,XeYo2ezKey,68257.18 
[117] SET_SELL_AMOUNT,XeYo2ezKey,RVZ,283.12 
[143] SET_SELL_TRIGGER,XeYo2ezKey,RVZ,17.57 
[215] SET_SELL_TRIGGER,XeYo2ezKey,ZSV,145.75 
[246] BUY,XeYo2ezKey,MQP,57.53 
[258] COMMIT_BUY,XeYo2ezKey 
[273] ADD,XeYo2ezKey,67747.26 
[553] QUOTE,XeYo2ezKey,FTJ 
[768] BUY,XeYo2ezKey,HQU,584.92 
[803] COMMIT_BUY,XeYo2ezKey 
[1084] DISPLAY_SUMMARY,XeYo2ezKey 
[1193] SET_SELL_TRIGGER,XeYo2ezKey,VKP,88.03 
[1399] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,117.45 
[1613] SET_BUY_TRIGGER,XeYo2ezKey,CJV,74.16 
[1637] SELL,XeYo2ezKey,FQP,0.06 
[1666] CANCEL_SET_SELL,XeYo2ezKey,TQE 
[1768] QUOTE,XeYo2ezKey,LUD 
[1789] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,102.10 
[1892] SET_BUY_TRIGGER,XeYo2ezKey,RRZ,41.84 
[2330] SET_BUY_TRIGGER,XeYo2ezKey,ECL,107.21 
[2355] SET_BUY_AMOUNT,XeYo2ezKey,FQP,325.59 
[2388] DISPLAY_SUMMARY,XeYo2ezKey 
[2410] QUOTE,XeYo2ezKey,LSG 
[2428] BUY,XeYo2ezKey,XQC,236.12 
[2479] COMMIT_BUY,XeYo2ezKey 
[2494] SET_SELL_AMOUNT,XeYo2ezKey,FQP,594.32 
[2618] SET_SELL_TRIGGER,XeYo2ezKey,FQP,64.20 
[2669] QUOTE,XeYo2ezKey,CEC 
[2793] DISPLAY_SUMMARY,XeYo2ezKey 
[2863] DISPLAY_SUMMARY,XeYo2ezKey 
[2952] QUOTE,XeYo2ezKey,QAX 
[2967] BUY,XeYo2ezKey,IHW,475.79 
[3338] COMMIT_BUY,XeYo2ezKey 
[3472] BUY,XeYo2ezKey,CWA,582.59 
[3482] CANCEL_SET_BUY,XeYo2ezKey,XDN 
[3521] QUOTE,XeYo2ezKey,XQC 
[3525] SET_SELL_AMOUNT,XeYo2ezKey,KES,365.30 
[3533] SET_SELL_TRIGGER,XeYo2ezKey,KES,247.42 
[3717] SET_SELL_TRIGGER,XeYo2ezKey,SSL,160.07 
[3851] COMMIT_SELL,XeYo2ezKey 
[4021] COMMIT_BUY,XeYo2ezKey 
[4404] CANCEL_SET_BUY,XeYo2ezKey,CAX 
[4494] SET_SELL_TRIGGER,XeYo2ezKey,MRK,145.69 
[4564] SELL,XeYo2ezKey,QJZ,519.63 
[4607] COMMIT_SELL,XeYo2ezKey 
[4635] ADD,XeYo2ezKey,75264.11 
[4651] QUOTE,XeYo2ezKey,ILT 
[4825] BUY,XeYo2ezKey,STT,369.33 
[5209] COMMIT_BUY,XeYo2ezKey 
[5441] BUY,XeYo2ezKey,DLX,507.33 
[5457] QUOTE,XeYo2ezKey,OOI 
[5597] ADD,XeYo2ezKey,81589.37 
[5600] SET_SELL_TRIGGER,XeYo2ezKey,POI,126.16 
[5771] SET_SELL_TRIGGER,XeYo2ezKey,LEA,114.63 
[5820] ADD,XeYo2ezKey,69900.15 
[5829] BUY,XeYo2ezKey,FWW,483.04 
