[118] ADD,XwKSBoZ6lO,73378.95 
[130] QUOTE,XwKSBoZ6lO,URY 
[283] BUY,XwKSBoZ6lO,WAO,647.35 
[294] COMMIT_BUY,XwKSBoZ6lO 
[311] CANCEL_SET_BUY,XwKSBoZ6lO,AJX 
[316] SET_SELL_TRIGGER,XwKSBoZ6lO,ZEU,45.92 
[354] BUY,XwKSBoZ6lO,SOT,708.79 
[420] CANCEL_SET_BUY,XwKSBoZ6lO,RVU 
[728] QUOTE,XwKSBoZ6lO,OOR 
[864] CANCEL_SET_SELL,XwKSBoZ6lO,CEC 
[967] SELL,XwKSBoZ6lO,QJZ,172.61 
[1120] QUOTE,XwKSBoZ6lO,FPP 
[1676] SELL,XwKSBoZ6lO,QJZ,27.99 
[1790] SET_BUY_TRIGGER,XwKSBoZ6lO,BXH,75.77 
[1827] ADD,XwKSBoZ6lO,88899.76 
[2048] QUOTE,XwKSBoZ6lO,FUR 
[2418] CANCEL_BUY,XwKSBoZ6lO 
[2470] BUY,XwKSBoZ6lO,LLF,549.70 
[2519] COMMIT_BUY,XwKSBoZ6lO 
[2521] BUY,XwKSBoZ6lO,CTT,412.66 
[2551] CANCEL_BUY,XwKSBoZ6lO 
[2883] DISPLAY_SUMMARY,XwKSBoZ6lO 
[2928] DISPLAY_SUMMARY,XwKSBoZ6lO 
[3031] SELL,XwKSBoZ6lO,QJZ,631.72 
[3086] COMMIT_SELL,XwKSBoZ6lO 
[3132] CANCEL_SET_BUY,XwKSBoZ6lO,JUJ 
[3257] SELL,XwKSBoZ6lO,QJZ,351.45 
[3273] QUOTE,XwKSBoZ6lO,FPP 
[3316] SET_SELL_AMOUNT,XwKSBoZ6lO,QJZ,549.79 
[3473] SET_SELL_TRIGGER,XwKSBoZ6lO,QJZ,427.36 
[3554] ADD,XwKSBoZ6lO,59778.10 
[3614] BUY,XwKSBoZ6lO,FIY,699.83 
[3647] SELL,XwKSBoZ6lO,QJZ,16.85 
[3852] COMMIT_SELL,XwKSBoZ6lO 
[3915] SET_SELL_AMOUNT,XwKSBoZ6lO,QJZ,226.98 
[4034] SELL,XwKSBoZ6lO,QJZ,120.97 
[4037] CANCEL_SELL,XwKSBoZ6lO 
[4170] BUY,XwKSBoZ6lO,PCR,680.53 
[4188] COMMIT_BUY,XwKSBoZ6lO 
[4218] CANCEL_SET_BUY,XwKSBoZ6lO,PYM 
[4357] ADD,XwKSBoZ6lO,52557.29 
[4496] COMMIT_BUY,XwKSBoZ6lO 
[4508] SET_BUY_TRIGGER,XwKSBoZ6lO,UDN,189.37 
[4524] ADD,XwKSBoZ6lO,73906.23 
[4665] QUOTE,XwKSBoZ6lO,KLY 
[4671] BUY,XwKSBoZ6lO,ASJ,640.17 
[4843] CANCEL_BUY,XwKSBoZ6lO 
[4964] DISPLAY_SUMMARY,XwKSBoZ6lO 
[4974] SELL,XwKSBoZ6lO,KDA,296.58 
[4993] COMMIT_SELL,XwKSBoZ6lO 
[5042] ADD,XwKSBoZ6lO,55430.81 
[5047] BUY,XwKSBoZ6lO,MGK,671.44 
[5115] COMMIT_BUY,XwKSBoZ6lO 
[5120] SELL,XwKSBoZ6lO,QJZ,723.30 
[5168] COMMIT_SELL,XwKSBoZ6lO 
[5442] SET_SELL_AMOUNT,XwKSBoZ6lO,KDA,607.43 
[5467] SET_SELL_TRIGGER,XwKSBoZ6lO,KDA,444.94 
[5539] ADD,XwKSBoZ6lO,72712.23 
[5662] QUOTE,XwKSBoZ6lO,PDB 
[5762] BUY,XwKSBoZ6lO,MWJ,414.66 
[5794] COMMIT_BUY,XwKSBoZ6lO 
[5865] SET_BUY_TRIGGER,XwKSBoZ6lO,DES,14.78 
[5874] SET_SELL_TRIGGER,XwKSBoZ6lO,ZER,101.97 
[6044] DISPLAY_SUMMARY,XwKSBoZ6lO 
[6158] SET_BUY_TRIGGER,XwKSBoZ6lO,JSM,108.68 
[6259] ADD,XwKSBoZ6lO,62606.92 
[6342] BUY,XwKSBoZ6lO,FNY,562.57 
[6415] ADD,XwKSBoZ6lO,71601.99 
[6480] QUOTE,XwKSBoZ6lO,HHG 
[6526] ADD,XwKSBoZ6lO,85596.93 
[6729] BUY,XwKSBoZ6lO,PLA,717.50 
[6766] CANCEL_BUY,XwKSBoZ6lO 
[6892] DISPLAY_SUMMARY,XwKSBoZ6lO 
[6939] SELL,XwKSBoZ6lO,FQP,699.56 
[7035] COMMIT_SELL,XwKSBoZ6lO 
[7090] QUOTE,XwKSBoZ6lO,KZZ 
[7180] ADD,XwKSBoZ6lO,52559.98 
[7194] QUOTE,XwKSBoZ6lO,DED 
[7308] CANCEL_SET_BUY,XwKSBoZ6lO,QPX 
[7323] DISPLAY_SUMMARY,XwKSBoZ6lO 
[7410] SELL,XwKSBoZ6lO,KES,269.89 
[7428] CANCEL_SELL,XwKSBoZ6lO 
[7443] DISPLAY_SUMMARY,XwKSBoZ6lO 
[7510] SET_SELL_TRIGGER,XwKSBoZ6lO,PLA,170.33 
[7551] ADD,XwKSBoZ6lO,87707.76 
[7600] QUOTE,XwKSBoZ6lO,GCL 
[7705] BUY,XwKSBoZ6lO,KZC,3.04 
[7713] QUOTE,XwKSBoZ6lO,SQI 
[7994] ADD,XwKSBoZ6lO,96589.34 
[7998] QUOTE,XwKSBoZ6lO,QPE 
[8162] ADD,XwKSBoZ6lO,75233.05 
[8167] CANCEL_SET_SELL,XwKSBoZ6lO,NJB 
[8265] SET_BUY_TRIGGER,XwKSBoZ6lO,HBF,184.23 
[8498] SET_BUY_TRIGGER,XwKSBoZ6lO,WGV,98.91 
[8802] ADD,XwKSBoZ6lO,63407.08 
[8833] QUOTE,XwKSBoZ6lO,FRB 
[8990] SET_BUY_TRIGGER,XwKSBoZ6lO,UMV,167.42 
[9032] ADD,XwKSBoZ6lO,45678.22 
[9142] BUY,XwKSBoZ6lO,PYM,367.40 
[9143] SET_BUY_AMOUNT,XwKSBoZ6lO,QJZ,736.01 
[9169] SELL,XwKSBoZ6lO,FQP,380.58 
[9173] CANCEL_BUY,XwKSBoZ6lO 
[9250] DISPLAY_SUMMARY,XwKSBoZ6lO 
[9276] QUOTE,XwKSBoZ6lO,PBV 
[9306] SELL,XwKSBoZ6lO,KES,390.89 
[9346] COMMIT_SELL,XwKSBoZ6lO 
[9415] ADD,XwKSBoZ6lO,63469.71 
[9673] QUOTE,XwKSBoZ6lO,KES 
[9898] QUOTE,XwKSBoZ6lO,NFO 
[9992] ADD,XwKSBoZ6lO,74379.37 
[10005] BUY,XwKSBoZ6lO,ZOT,720.19 
[10047] COMMIT_BUY,XwKSBoZ6lO 
[10211] BUY,XwKSBoZ6lO,LSM,400.86 
[10222] COMMIT_BUY,XwKSBoZ6lO 
[10264] SET_BUY_AMOUNT,XwKSBoZ6lO,KES,113.66 
