[64] ADD,YBTGw9v3Cl,92687.90 
[106] QUOTE,YBTGw9v3Cl,MWM 
[198] BUY,YBTGw9v3Cl,CXC,173.08 
[278] COMMIT_BUY,YBTGw9v3Cl 
[444] DISPLAY_SUMMARY,YBTGw9v3Cl 
[620] DISPLAY_SUMMARY,YBTGw9v3Cl 
[672] BUY,YBTGw9v3Cl,ZNZ,66.91 
[684] COMMIT_BUY,YBTGw9v3Cl 
[822] ADD,YBTGw9v3Cl,57165.94 
[857] BUY,YBTGw9v3Cl,YAV,6.13 
[919] COMMIT_BUY,YBTGw9v3Cl 
[928] ADD,YBTGw9v3Cl,95960.65 
[975] BUY,YBTGw9v3Cl,NJF,627.71 
[1011] COMMIT_BUY,YBTGw9v3Cl 
[1205] SET_SELL_TRIGGER,YBTGw9v3Cl,PUN,152.91 
[1452] ADD,YBTGw9v3Cl,71344.05 
[1547] QUOTE,YBTGw9v3Cl,MLT 
[1656] CANCEL_SET_BUY,YBTGw9v3Cl,MFX 
[1720] DISPLAY_SUMMARY,YBTGw9v3Cl 
[1810] BUY,YBTGw9v3Cl,KAS,501.06 
[1863] CANCEL_BUY,YBTGw9v3Cl 
[2034] SELL,YBTGw9v3Cl,FQP,615.60 
[2052] COMMIT_SELL,YBTGw9v3Cl 
[2083] CANCEL_SET_SELL,YBTGw9v3Cl,SUS 
[2108] QUOTE,YBTGw9v3Cl,OEX 
[2142] QUOTE,YBTGw9v3Cl,JNO 
[2270] SELL,YBTGw9v3Cl,KES,571.44 
[2304] COMMIT_SELL,YBTGw9v3Cl 
[2502] SET_BUY_AMOUNT,YBTGw9v3Cl,FQP,80.69 
[2589] BUY,YBTGw9v3Cl,ZNL,322.10 
[2660] COMMIT_BUY,YBTGw9v3Cl 
[2747] SET_SELL_TRIGGER,YBTGw9v3Cl,FKZ,54.35 
[3142] CANCEL_BUY,YBTGw9v3Cl 
[3209] BUY,YBTGw9v3Cl,RNE,238.09 
[3286] ADD,YBTGw9v3Cl,45457.81 
[3386] BUY,YBTGw9v3Cl,IOM,583.25 
[3405] SET_BUY_AMOUNT,YBTGw9v3Cl,KDA,219.23 
[3420] SET_BUY_TRIGGER,YBTGw9v3Cl,RYU,189.12 
[3428] ADD,YBTGw9v3Cl,70637.06 
[3583] BUY,YBTGw9v3Cl,OZO,407.26 
[3607] COMMIT_BUY,YBTGw9v3Cl 
[3800] BUY,YBTGw9v3Cl,SJH,616.69 
[3864] COMMIT_BUY,YBTGw9v3Cl 
[3940] ADD,YBTGw9v3Cl,75745.20 
[4050] BUY,YBTGw9v3Cl,GUB,183.59 
[4110] SET_SELL_TRIGGER,YBTGw9v3Cl,XCL,42.12 
[4207] DISPLAY_SUMMARY,YBTGw9v3Cl 
[4356] ADD,YBTGw9v3Cl,53566.60 
[4447] BUY,YBTGw9v3Cl,RGM,126.62 
[4680] SET_BUY_AMOUNT,YBTGw9v3Cl,GYF,301.08 
[4681] SET_BUY_TRIGGER,YBTGw9v3Cl,ZOT,213.39 
[4726] ADD,YBTGw9v3Cl,74978.91 
[5017] QUOTE,YBTGw9v3Cl,QNK 
[5264] ADD,YBTGw9v3Cl,83329.17 
[5277] QUOTE,YBTGw9v3Cl,LLD 
[5370] QUOTE,YBTGw9v3Cl,TCP 
[5459] SET_BUY_AMOUNT,YBTGw9v3Cl,FQP,439.00 
[5659] SET_BUY_TRIGGER,YBTGw9v3Cl,AEM,418.74 
[5984] DISPLAY_SUMMARY,YBTGw9v3Cl 
[6099] SET_SELL_AMOUNT,YBTGw9v3Cl,OEY,9.28 
[6143] SELL,YBTGw9v3Cl,OEY,330.11 
[6199] COMMIT_SELL,YBTGw9v3Cl 
[6355] SET_BUY_TRIGGER,YBTGw9v3Cl,XMA,148.85 
[6520] SET_SELL_AMOUNT,YBTGw9v3Cl,JVT,458.51 
[6536] SET_SELL_TRIGGER,YBTGw9v3Cl,JVT,275.67 
[6549] QUOTE,YBTGw9v3Cl,VEN 
[6871] DISPLAY_SUMMARY,YBTGw9v3Cl 
