[79] ADD,Z5Z6RJO7ho,85370.45 
[123] BUY,Z5Z6RJO7ho,FPI,244.83 
[287] CANCEL_SET_BUY,Z5Z6RJO7ho,RKY 
[1059] CANCEL_SET_SELL,Z5Z6RJO7ho,MVY 
[1157] ADD,Z5Z6RJO7ho,91320.61 
[1171] BUY,Z5Z6RJO7ho,ZFK,550.02 
[1214] CANCEL_BUY,Z5Z6RJO7ho 
[1224] SET_SELL_TRIGGER,Z5Z6RJO7ho,XZO,3.34 
[1298] QUOTE,Z5Z6RJO7ho,IGI 
[1429] QUOTE,Z5Z6RJO7ho,VMT 
[1539] BUY,Z5Z6RJO7ho,YBP,78.35 
[1606] CANCEL_BUY,Z5Z6RJO7ho 
[1624] SET_SELL_TRIGGER,Z5Z6RJO7ho,MVY,119.79 
[1636] SET_SELL_AMOUNT,Z5Z6RJO7ho,DPG,257.66 
[1888] CANCEL_SET_SELL,Z5Z6RJO7ho,DPG 
[1988] SELL,Z5Z6RJO7ho,FMJ,221.17 
[2074] BUY,Z5Z6RJO7ho,AOH,25.68 
[2337] COMMIT_BUY,Z5Z6RJO7ho 
[2338] BUY,Z5Z6RJO7ho,NXF,117.53 
[2406] COMMIT_BUY,Z5Z6RJO7ho 
[2420] QUOTE,Z5Z6RJO7ho,MWJ 
[2520] BUY,Z5Z6RJO7ho,VJB,89.80 
[2711] COMMIT_BUY,Z5Z6RJO7ho 
[2930] SET_BUY_AMOUNT,Z5Z6RJO7ho,KDA,155.65 
[2950] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[3039] SET_SELL_TRIGGER,Z5Z6RJO7ho,AQO,87.48 
[3143] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[3158] ADD,Z5Z6RJO7ho,58648.74 
[3211] QUOTE,Z5Z6RJO7ho,ZMK 
[3293] SET_BUY_AMOUNT,Z5Z6RJO7ho,QJZ,66.44 
[3387] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[3436] ADD,Z5Z6RJO7ho,68949.80 
[3650] SET_SELL_TRIGGER,Z5Z6RJO7ho,FGI,17.92 
[3796] ADD,Z5Z6RJO7ho,79963.68 
[4014] BUY,Z5Z6RJO7ho,QQW,747.22 
[4206] COMMIT_BUY,Z5Z6RJO7ho 
[4440] SELL,Z5Z6RJO7ho,FQP,390.53 
[4539] ADD,Z5Z6RJO7ho,46910.44 
[4591] QUOTE,Z5Z6RJO7ho,NGZ 
[4742] BUY,Z5Z6RJO7ho,YZC,137.96 
[4911] COMMIT_BUY,Z5Z6RJO7ho 
[4934] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[5037] SET_BUY_TRIGGER,Z5Z6RJO7ho,QPE,36.59 
[5127] SET_SELL_AMOUNT,Z5Z6RJO7ho,JVT,14.68 
[5178] SET_SELL_TRIGGER,Z5Z6RJO7ho,JVT,10.68 
[5248] QUOTE,Z5Z6RJO7ho,WFR 
[5269] BUY,Z5Z6RJO7ho,KDA,320.00 
[5490] COMMIT_BUY,Z5Z6RJO7ho 
[5515] SELL,Z5Z6RJO7ho,KDA,413.49 
[5791] COMMIT_SELL,Z5Z6RJO7ho 
[6419] BUY,Z5Z6RJO7ho,XEA,727.59 
[6491] CANCEL_SET_BUY,Z5Z6RJO7ho,RDK 
[6566] BUY,Z5Z6RJO7ho,HHG,613.84 
[6689] BUY,Z5Z6RJO7ho,HIW,148.90 
[6748] SET_BUY_TRIGGER,Z5Z6RJO7ho,BWR,2.66 
[6810] QUOTE,Z5Z6RJO7ho,ZNZ 
[6924] SET_BUY_AMOUNT,Z5Z6RJO7ho,FQP,409.98 
[6929] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[6942] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[6994] SET_BUY_TRIGGER,Z5Z6RJO7ho,VNF,338.04 
[7175] CANCEL_BUY,Z5Z6RJO7ho 
