[40] ADD,ZVyQqBS4Yw,77042.62 
[228] QUOTE,ZVyQqBS4Yw,XPX 
[366] BUY,ZVyQqBS4Yw,FVD,244.80 
[581] CANCEL_BUY,ZVyQqBS4Yw 
[612] SET_BUY_TRIGGER,ZVyQqBS4Yw,IHA,66.81 
[635] SELL,ZVyQqBS4Yw,DLX,83.23 
[996] CANCEL_SELL,ZVyQqBS4Yw 
[1147] QUOTE,ZVyQqBS4Yw,GJR 
[1163] SELL,ZVyQqBS4Yw,HZA,447.33 
[1428] COMMIT_SELL,ZVyQqBS4Yw 
[1689] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[1905] SET_SELL_TRIGGER,ZVyQqBS4Yw,OHG,18.83 
[1971] SET_BUY_AMOUNT,ZVyQqBS4Yw,CVP,219.07 
[2173] SET_BUY_TRIGGER,ZVyQqBS4Yw,CVP,21.21 
[2384] SET_BUY_AMOUNT,ZVyQqBS4Yw,WPG,703.12 
[2403] SET_BUY_TRIGGER,ZVyQqBS4Yw,WPG,64.02 
[2440] SELL,ZVyQqBS4Yw,NRY,686.17 
[2608] COMMIT_SELL,ZVyQqBS4Yw 
[2696] SELL,ZVyQqBS4Yw,RYU,489.18 
[2858] QUOTE,ZVyQqBS4Yw,EIK 
[3232] BUY,ZVyQqBS4Yw,XAN,292.02 
[3322] COMMIT_BUY,ZVyQqBS4Yw 
[3424] SET_SELL_TRIGGER,ZVyQqBS4Yw,GTN,38.06 
[3434] SET_BUY_TRIGGER,ZVyQqBS4Yw,STT,15.34 
[3494] SET_BUY_AMOUNT,ZVyQqBS4Yw,QJZ,542.91 
[3519] BUY,ZVyQqBS4Yw,PHE,381.48 
[3534] SET_BUY_AMOUNT,ZVyQqBS4Yw,QJZ,205.40 
[3597] SET_BUY_TRIGGER,ZVyQqBS4Yw,JGF,33.49 
[3666] BUY,ZVyQqBS4Yw,VYQ,440.31 
[3685] CANCEL_BUY,ZVyQqBS4Yw 
[3726] ADD,ZVyQqBS4Yw,96332.42 
[3747] BUY,ZVyQqBS4Yw,LVV,161.50 
[3857] COMMIT_BUY,ZVyQqBS4Yw 
[3900] ADD,ZVyQqBS4Yw,68722.66 
[3941] CANCEL_SET_SELL,ZVyQqBS4Yw,ADY 
[3962] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[3969] SET_BUY_TRIGGER,ZVyQqBS4Yw,NNW,15.62 
[3987] BUY,ZVyQqBS4Yw,GTB,669.76 
[4081] CANCEL_SELL,ZVyQqBS4Yw 
[4084] SET_BUY_AMOUNT,ZVyQqBS4Yw,FQP,520.18 
[4226] SET_BUY_TRIGGER,ZVyQqBS4Yw,MVY,401.44 
[4276] ADD,ZVyQqBS4Yw,37171.34 
[4610] COMMIT_BUY,ZVyQqBS4Yw 
[4632] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[4693] QUOTE,ZVyQqBS4Yw,SSL 
[4959] BUY,ZVyQqBS4Yw,XME,17.39 
[4994] COMMIT_SELL,ZVyQqBS4Yw 
[5130] ADD,ZVyQqBS4Yw,83403.03 
[5158] BUY,ZVyQqBS4Yw,ATW,523.94 
[5184] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,62.47 
[5237] QUOTE,ZVyQqBS4Yw,JPP 
[5353] BUY,ZVyQqBS4Yw,RNE,715.94 
[5517] COMMIT_BUY,ZVyQqBS4Yw 
[5671] SET_BUY_TRIGGER,ZVyQqBS4Yw,OPN,36.75 
[5687] ADD,ZVyQqBS4Yw,86570.72 
[6012] BUY,ZVyQqBS4Yw,VKP,178.07 
[6407] COMMIT_BUY,ZVyQqBS4Yw 
[6513] SET_BUY_AMOUNT,ZVyQqBS4Yw,FQP,701.13 
[6550] SET_BUY_TRIGGER,ZVyQqBS4Yw,QHF,551.95 
[6664] BUY,ZVyQqBS4Yw,FGI,333.12 
[6677] SET_BUY_TRIGGER,ZVyQqBS4Yw,XAB,183.86 
[6877] BUY,ZVyQqBS4Yw,XFA,458.52 
[6881] COMMIT_BUY,ZVyQqBS4Yw 
[6966] QUOTE,ZVyQqBS4Yw,YDS 
[7043] SET_SELL_AMOUNT,ZVyQqBS4Yw,QJZ,426.27 
[7104] CANCEL_SET_SELL,ZVyQqBS4Yw,QJZ 
[7339] SET_SELL_TRIGGER,ZVyQqBS4Yw,SYE,105.82 
[7365] QUOTE,ZVyQqBS4Yw,WYD 
[7437] CANCEL_SET_SELL,ZVyQqBS4Yw,JLO 
[7482] SELL,ZVyQqBS4Yw,KES,514.45 
[7546] CANCEL_SELL,ZVyQqBS4Yw 
[7644] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[7842] QUOTE,ZVyQqBS4Yw,ZAV 
