[35] ADD,aMMzTGXVGg,43383.22 
[397] CANCEL_SET_SELL,aMMzTGXVGg,UDN 
[753] DISPLAY_SUMMARY,aMMzTGXVGg 
[820] QUOTE,aMMzTGXVGg,MRH 
[847] QUOTE,aMMzTGXVGg,YWC 
[1009] BUY,aMMzTGXVGg,HHC,725.03 
[1012] CANCEL_SET_BUY,aMMzTGXVGg,SQS 
[1030] SET_SELL_TRIGGER,aMMzTGXVGg,ZPD,127.51 
[1050] DISPLAY_SUMMARY,aMMzTGXVGg 
[1307] SELL,aMMzTGXVGg,QWC,454.72 
[1353] COMMIT_SELL,aMMzTGXVGg 
[1449] SELL,aMMzTGXVGg,GRD,40.66 
[1620] CANCEL_SET_SELL,aMMzTGXVGg,NLT 
[1824] SET_BUY_TRIGGER,aMMzTGXVGg,DDH,3.20 
[1890] DISPLAY_SUMMARY,aMMzTGXVGg 
[1939] DISPLAY_SUMMARY,aMMzTGXVGg 
[2078] SET_BUY_AMOUNT,aMMzTGXVGg,ENQ,448.50 
[2104] SELL,aMMzTGXVGg,NBX,702.26 
[2300] COMMIT_SELL,aMMzTGXVGg 
[2344] DISPLAY_SUMMARY,aMMzTGXVGg 
[2400] SET_SELL_TRIGGER,aMMzTGXVGg,MHI,15.28 
[2721] ADD,aMMzTGXVGg,96074.42 
[2759] QUOTE,aMMzTGXVGg,RVZ 
[2772] BUY,aMMzTGXVGg,RGH,733.93 
[2805] COMMIT_BUY,aMMzTGXVGg 
[2872] SET_BUY_TRIGGER,aMMzTGXVGg,ENQ,289.12 
[2934] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,65.26 
[2996] SET_SELL_TRIGGER,aMMzTGXVGg,QJZ,35.66 
[3060] DISPLAY_SUMMARY,aMMzTGXVGg 
[3074] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,244.44 
[3079] SET_SELL_TRIGGER,aMMzTGXVGg,QJZ,9.25 
[3136] SELL,aMMzTGXVGg,QJZ,563.51 
[3148] COMMIT_BUY,aMMzTGXVGg 
[3401] DISPLAY_SUMMARY,aMMzTGXVGg 
[3435] QUOTE,aMMzTGXVGg,PMX 
[3698] BUY,aMMzTGXVGg,XER,466.36 
[3729] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,412.43 
[3754] DISPLAY_SUMMARY,aMMzTGXVGg 
[3927] DISPLAY_SUMMARY,aMMzTGXVGg 
[3973] SELL,aMMzTGXVGg,QJZ,703.08 
[4158] COMMIT_SELL,aMMzTGXVGg 
[4358] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,644.93 
[4409] QUOTE,aMMzTGXVGg,YZH 
[4454] SET_SELL_TRIGGER,aMMzTGXVGg,QJZ,141.63 
[4497] DISPLAY_SUMMARY,aMMzTGXVGg 
[4548] DISPLAY_SUMMARY,aMMzTGXVGg 
[4666] ADD,aMMzTGXVGg,58510.01 
[4691] BUY,aMMzTGXVGg,WTD,716.98 
[4793] DISPLAY_SUMMARY,aMMzTGXVGg 
[4996] QUOTE,aMMzTGXVGg,XZN 
[5001] BUY,aMMzTGXVGg,LUD,523.43 
[5375] CANCEL_SELL,aMMzTGXVGg 
[5392] DISPLAY_SUMMARY,aMMzTGXVGg 
[5518] SELL,aMMzTGXVGg,QJZ,470.86 
[5590] COMMIT_SELL,aMMzTGXVGg 
[5622] QUOTE,aMMzTGXVGg,NVX 
[5863] QUOTE,aMMzTGXVGg,CBO 
[5937] CANCEL_SELL,aMMzTGXVGg 
[5997] DISPLAY_SUMMARY,aMMzTGXVGg 
[6100] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,627.98 
[6183] SET_SELL_TRIGGER,aMMzTGXVGg,QJZ,77.03 
[6265] BUY,aMMzTGXVGg,BOS,5.64 
[6325] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,573.54 
[6383] SELL,aMMzTGXVGg,QJZ,83.82 
[6437] COMMIT_SELL,aMMzTGXVGg 
[6544] DISPLAY_SUMMARY,aMMzTGXVGg 
[6624] DISPLAY_SUMMARY,aMMzTGXVGg 
[6653] SELL,aMMzTGXVGg,QJZ,268.72 
[6688] QUOTE,aMMzTGXVGg,GXT 
[6713] SELL,aMMzTGXVGg,QJZ,581.58 
[6764] CANCEL_SELL,aMMzTGXVGg 
[6776] SET_BUY_TRIGGER,aMMzTGXVGg,GCL,71.97 
[6834] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,361.74 
[6951] SET_SELL_TRIGGER,aMMzTGXVGg,QJZ,241.59 
[6990] BUY,aMMzTGXVGg,XQC,208.66 
[7015] CANCEL_BUY,aMMzTGXVGg 
