[129] ADD,akVcdarOA3,55139.92 
[254] QUOTE,akVcdarOA3,VDP 
[567] BUY,akVcdarOA3,LNJ,183.08 
[701] COMMIT_BUY,akVcdarOA3 
[869] CANCEL_SET_BUY,akVcdarOA3,FTP 
[1119] BUY,akVcdarOA3,LLZ,540.22 
[1430] COMMIT_BUY,akVcdarOA3 
[1508] SET_SELL_AMOUNT,akVcdarOA3,FQP,170.33 
[1691] SET_SELL_TRIGGER,akVcdarOA3,FQP,167.89 
[1866] ADD,akVcdarOA3,72234.79 
[1980] QUOTE,akVcdarOA3,BRT 
[1984] COMMIT_SELL,akVcdarOA3 
[2080] DISPLAY_SUMMARY,akVcdarOA3 
[2536] SET_BUY_AMOUNT,akVcdarOA3,QJZ,48.78 
[2549] SET_BUY_TRIGGER,akVcdarOA3,TGY,38.92 
[2854] DISPLAY_SUMMARY,akVcdarOA3 
[2887] DISPLAY_SUMMARY,akVcdarOA3 
[2899] SET_BUY_TRIGGER,akVcdarOA3,YOG,101.76 
[2981] SET_BUY_TRIGGER,akVcdarOA3,QZN,52.25 
[3080] ADD,akVcdarOA3,70064.75 
[3083] QUOTE,akVcdarOA3,WQC 
[3710] CANCEL_SELL,akVcdarOA3 
[3936] ADD,akVcdarOA3,75893.69 
[3993] DISPLAY_SUMMARY,akVcdarOA3 
[4076] SELL,akVcdarOA3,FQP,500.31 
[4085] COMMIT_SELL,akVcdarOA3 
[4096] SET_BUY_TRIGGER,akVcdarOA3,EJW,118.27 
[4166] QUOTE,akVcdarOA3,TQX 
[4350] QUOTE,akVcdarOA3,HQU 
[4426] BUY,akVcdarOA3,FQR,721.26 
[4751] QUOTE,akVcdarOA3,BYA 
[5301] BUY,akVcdarOA3,RQT,331.56 
[5492] COMMIT_BUY,akVcdarOA3 
[5494] SET_BUY_AMOUNT,akVcdarOA3,FQP,676.43 
[5599] SELL,akVcdarOA3,FQP,483.27 
[5754] COMMIT_SELL,akVcdarOA3 
[6283] SELL,akVcdarOA3,FQP,634.48 
[6509] COMMIT_SELL,akVcdarOA3 
[6649] SET_BUY_AMOUNT,akVcdarOA3,QJZ,562.22 
[6692] DISPLAY_SUMMARY,akVcdarOA3 
[6732] SELL,akVcdarOA3,QJZ,507.01 
[6857] SET_BUY_TRIGGER,akVcdarOA3,MVD,172.79 
[6883] ADD,akVcdarOA3,72334.82 
[6935] QUOTE,akVcdarOA3,AMI 
[7238] QUOTE,akVcdarOA3,NFQ 
[7309] ADD,akVcdarOA3,62990.99 
[7377] QUOTE,akVcdarOA3,PIC 
[7637] BUY,akVcdarOA3,GQV,165.04 
[7774] BUY,akVcdarOA3,XXQ,362.17 
