[152] ADD,cehNQrvm7R,82398.33 
[179] BUY,cehNQrvm7R,ZNY,513.60 
[237] DISPLAY_SUMMARY,cehNQrvm7R 
[296] ADD,cehNQrvm7R,76882.62 
[303] BUY,cehNQrvm7R,IFC,616.19 
[341] CANCEL_SET_SELL,cehNQrvm7R,SQO 
[474] QUOTE,cehNQrvm7R,UGT 
[798] BUY,cehNQrvm7R,SFR,739.59 
[825] COMMIT_BUY,cehNQrvm7R 
[946] SET_BUY_TRIGGER,cehNQrvm7R,FPV,140.75 
[987] SET_BUY_TRIGGER,cehNQrvm7R,IDN,61.84 
[991] CANCEL_SELL,cehNQrvm7R 
[1060] BUY,cehNQrvm7R,CXC,483.82 
[1546] SET_BUY_AMOUNT,cehNQrvm7R,QJZ,336.07 
[1603] SET_BUY_TRIGGER,cehNQrvm7R,OZW,285.32 
[1632] SET_SELL_TRIGGER,cehNQrvm7R,CBK,118.66 
[1805] DISPLAY_SUMMARY,cehNQrvm7R 
[1921] DISPLAY_SUMMARY,cehNQrvm7R 
[2045] SELL,cehNQrvm7R,QJZ,398.11 
[2073] CANCEL_SET_BUY,cehNQrvm7R,QHF 
[2196] SELL,cehNQrvm7R,QJZ,64.97 
[2216] COMMIT_SELL,cehNQrvm7R 
[2277] ADD,cehNQrvm7R,76944.66 
[2374] SET_BUY_TRIGGER,cehNQrvm7R,VFH,23.82 
[2514] BUY,cehNQrvm7R,IJO,311.46 
[2734] COMMIT_BUY,cehNQrvm7R 
[2787] SET_BUY_AMOUNT,cehNQrvm7R,QJZ,135.06 
[2797] SET_BUY_TRIGGER,cehNQrvm7R,VJV,85.01 
[2851] COMMIT_SELL,cehNQrvm7R 
[2943] BUY,cehNQrvm7R,HTN,471.85 
[2989] COMMIT_BUY,cehNQrvm7R 
[3078] SET_BUY_TRIGGER,cehNQrvm7R,VIG,19.55 
[3249] COMMIT_BUY,cehNQrvm7R 
[3254] DISPLAY_SUMMARY,cehNQrvm7R 
[3324] ADD,cehNQrvm7R,38204.94 
[3408] BUY,cehNQrvm7R,VJV,96.00 
[3537] QUOTE,cehNQrvm7R,PYM 
[3556] QUOTE,cehNQrvm7R,RRT 
[3818] BUY,cehNQrvm7R,XXT,262.03 
[3842] CANCEL_BUY,cehNQrvm7R 
[3849] ADD,cehNQrvm7R,39961.86 
[4010] QUOTE,cehNQrvm7R,NFL 
[4111] BUY,cehNQrvm7R,JXR,107.11 
[4480] COMMIT_BUY,cehNQrvm7R 
[4519] SET_BUY_TRIGGER,cehNQrvm7R,FTB,198.07 
[4556] SET_SELL_AMOUNT,cehNQrvm7R,KES,95.51 
[4602] BUY,cehNQrvm7R,PBV,740.02 
[4657] COMMIT_BUY,cehNQrvm7R 
[4705] QUOTE,cehNQrvm7R,KLY 
[4717] SET_SELL_AMOUNT,cehNQrvm7R,JVT,711.25 
[4816] SET_SELL_TRIGGER,cehNQrvm7R,JVT,695.52 
[4831] ADD,cehNQrvm7R,61393.62 
[5040] COMMIT_BUY,cehNQrvm7R 
[5068] SELL,cehNQrvm7R,KDA,617.11 
[5285] SET_SELL_AMOUNT,cehNQrvm7R,FQP,563.89 
[5293] SET_SELL_TRIGGER,cehNQrvm7R,FQP,339.06 
[5423] SELL,cehNQrvm7R,FQP,354.41 
[5504] COMMIT_SELL,cehNQrvm7R 
[5564] BUY,cehNQrvm7R,VVV,253.02 
[5668] COMMIT_BUY,cehNQrvm7R 
[5700] DISPLAY_SUMMARY,cehNQrvm7R 
[5956] SET_SELL_TRIGGER,cehNQrvm7R,ZFT,186.08 
[6177] DISPLAY_SUMMARY,cehNQrvm7R 
[6262] DISPLAY_SUMMARY,cehNQrvm7R 
[6340] SET_BUY_TRIGGER,cehNQrvm7R,SZI,41.22 
[6434] CANCEL_SELL,cehNQrvm7R 
[6457] SELL,cehNQrvm7R,QJZ,286.45 
[6525] COMMIT_SELL,cehNQrvm7R 
[6724] QUOTE,cehNQrvm7R,BJL 
[7051] COMMIT_SELL,cehNQrvm7R 
[7144] SET_BUY_AMOUNT,cehNQrvm7R,KES,677.51 
[7225] SET_BUY_TRIGGER,cehNQrvm7R,OZT,634.98 
[7579] SET_BUY_TRIGGER,cehNQrvm7R,CBO,164.90 
[7635] ADD,cehNQrvm7R,71750.61 
[7661] QUOTE,cehNQrvm7R,KRY 
[7724] DISPLAY_SUMMARY,cehNQrvm7R 
[7784] SET_BUY_TRIGGER,cehNQrvm7R,BVN,170.48 
[7875] ADD,cehNQrvm7R,86743.97 
[7902] SET_SELL_AMOUNT,cehNQrvm7R,KDA,464.33 
[7932] DISPLAY_SUMMARY,cehNQrvm7R 
[8293] SELL,cehNQrvm7R,KDA,47.21 
[8444] COMMIT_SELL,cehNQrvm7R 
[8474] ADD,cehNQrvm7R,62890.84 
[8631] QUOTE,cehNQrvm7R,APU 
[8768] BUY,cehNQrvm7R,DES,404.06 
[8913] CANCEL_BUY,cehNQrvm7R 
[8920] QUOTE,cehNQrvm7R,OIY 
[8922] DISPLAY_SUMMARY,cehNQrvm7R 
[8923] CANCEL_SELL,cehNQrvm7R 
[8975] BUY,cehNQrvm7R,PJJ,431.58 
[9130] COMMIT_BUY,cehNQrvm7R 
[9330] ADD,cehNQrvm7R,63905.60 
[9587] BUY,cehNQrvm7R,APU,576.80 
[9886] COMMIT_BUY,cehNQrvm7R 
[9905] QUOTE,cehNQrvm7R,NLP 
[9998] BUY,cehNQrvm7R,OOT,604.48 
[10124] COMMIT_BUY,cehNQrvm7R 
[10163] BUY,cehNQrvm7R,CTI,135.37 
[10213] COMMIT_BUY,cehNQrvm7R 
[10227] SET_BUY_AMOUNT,cehNQrvm7R,FQP,512.02 
[10274] DISPLAY_SUMMARY,cehNQrvm7R 
[10415] SELL,cehNQrvm7R,JVT,457.39 
[10469] COMMIT_SELL,cehNQrvm7R 
[10499] QUOTE,cehNQrvm7R,NBX 
[10648] SET_BUY_AMOUNT,cehNQrvm7R,JVT,591.59 
[10788] QUOTE,cehNQrvm7R,ECL 
[10812] BUY,cehNQrvm7R,HVE,24.11 
[10903] COMMIT_BUY,cehNQrvm7R 
[10941] COMMIT_BUY,cehNQrvm7R 
[11042] BUY,cehNQrvm7R,EIK,624.36 
[11140] COMMIT_BUY,cehNQrvm7R 
[11228] DISPLAY_SUMMARY,cehNQrvm7R 
[11417] QUOTE,cehNQrvm7R,UZZ 
[11443] QUOTE,cehNQrvm7R,KTU 
[11508] SET_BUY_TRIGGER,cehNQrvm7R,RXB,106.77 
[11512] QUOTE,cehNQrvm7R,PYM 
[11619] QUOTE,cehNQrvm7R,HWO 
[11670] SET_BUY_TRIGGER,cehNQrvm7R,WYD,87.98 
[11839] DISPLAY_SUMMARY,cehNQrvm7R 
[11919] CANCEL_SELL,cehNQrvm7R 
[12062] ADD,cehNQrvm7R,60745.19 
[12185] QUOTE,cehNQrvm7R,VWU 
[12222] CANCEL_SET_BUY,cehNQrvm7R,PVH 
[12415] COMMIT_BUY,cehNQrvm7R 
[12424] SET_SELL_TRIGGER,cehNQrvm7R,KDA,125.92 
[12448] ADD,cehNQrvm7R,66843.64 
[12451] QUOTE,cehNQrvm7R,LKV 
[12655] BUY,cehNQrvm7R,GED,102.56 
[12774] COMMIT_BUY,cehNQrvm7R 
[12840] SET_SELL_TRIGGER,cehNQrvm7R,KTU,182.73 
[12864] SELL,cehNQrvm7R,OEY,647.75 
[12966] CANCEL_BUY,cehNQrvm7R 
[12981] SET_BUY_TRIGGER,cehNQrvm7R,URD,134.71 
[13252] ADD,cehNQrvm7R,82745.31 
[13303] BUY,cehNQrvm7R,MVY,666.71 
[13309] COMMIT_BUY,cehNQrvm7R 
[13313] CANCEL_SET_SELL,cehNQrvm7R,QAA 
[13350] SET_BUY_TRIGGER,cehNQrvm7R,MQF,155.16 
[13473] ADD,cehNQrvm7R,89235.34 
[13537] QUOTE,cehNQrvm7R,ZZD 
[13707] CANCEL_SET_SELL,cehNQrvm7R,GYT 
[13774] ADD,cehNQrvm7R,80859.57 
[13828] QUOTE,cehNQrvm7R,GWS 
[13901] COMMIT_BUY,cehNQrvm7R 
[13998] DISPLAY_SUMMARY,cehNQrvm7R 
[14090] DISPLAY_SUMMARY,cehNQrvm7R 
[14386] DISPLAY_SUMMARY,cehNQrvm7R 
[14528] QUOTE,cehNQrvm7R,GHE 
[14640] SET_BUY_AMOUNT,cehNQrvm7R,JCQ,6.31 
[14675] SET_BUY_TRIGGER,cehNQrvm7R,GDO,4.03 
[14688] DISPLAY_SUMMARY,cehNQrvm7R 
[14791] SELL,cehNQrvm7R,JVT,733.81 
[14922] COMMIT_SELL,cehNQrvm7R 
[14953] DISPLAY_SUMMARY,cehNQrvm7R 
[15235] SET_BUY_TRIGGER,cehNQrvm7R,EWP,143.49 
[15550] ADD,cehNQrvm7R,54342.09 
[15590] SET_BUY_TRIGGER,cehNQrvm7R,WDJ,195.84 
[15716] DISPLAY_SUMMARY,cehNQrvm7R 
[15970] CANCEL_SELL,cehNQrvm7R 
[16008] SET_SELL_TRIGGER,cehNQrvm7R,VNO,147.86 
[16246] ADD,cehNQrvm7R,73301.06 
[16263] BUY,cehNQrvm7R,TUO,289.99 
[16271] CANCEL_SET_BUY,cehNQrvm7R,WHR 
[16315] CANCEL_SELL,cehNQrvm7R 
[16364] DISPLAY_SUMMARY,cehNQrvm7R 
[16533] ADD,cehNQrvm7R,105988.80 
[16616] COMMIT_BUY,cehNQrvm7R 
[16763] SET_BUY_TRIGGER,cehNQrvm7R,VIK,50.72 
[16768] QUOTE,cehNQrvm7R,NJB 
[16820] SET_SELL_AMOUNT,cehNQrvm7R,JRJ,283.18 
[16915] SET_SELL_TRIGGER,cehNQrvm7R,JRJ,89.22 
[17026] SELL,cehNQrvm7R,OEY,443.47 
[17064] SET_BUY_AMOUNT,cehNQrvm7R,JRJ,56.39 
[17100] CANCEL_SET_BUY,cehNQrvm7R,WAI 
[17166] DISPLAY_SUMMARY,cehNQrvm7R 
[17186] DISPLAY_SUMMARY,cehNQrvm7R 
[17345] SET_SELL_AMOUNT,cehNQrvm7R,JVT,134.08 
[17449] CANCEL_SET_SELL,cehNQrvm7R,JVT 
[17452] SELL,cehNQrvm7R,LFU,643.94 
[17615] COMMIT_SELL,cehNQrvm7R 
[17734] COMMIT_BUY,cehNQrvm7R 
[17854] DISPLAY_SUMMARY,cehNQrvm7R 
[17967] QUOTE,cehNQrvm7R,DHA 
[18003] BUY,cehNQrvm7R,FOW,550.10 
[18012] COMMIT_BUY,cehNQrvm7R 
[18128] DISPLAY_SUMMARY,cehNQrvm7R 
[18255] ADD,cehNQrvm7R,78712.23 
[18432] BUY,cehNQrvm7R,EOS,609.42 
[18443] COMMIT_SELL,cehNQrvm7R 
[18505] SET_BUY_TRIGGER,cehNQrvm7R,OEY,113.21 
[18514] SET_BUY_AMOUNT,cehNQrvm7R,QAX,625.42 
[18985] SET_BUY_TRIGGER,cehNQrvm7R,ROW,380.86 
[19023] SET_SELL_TRIGGER,cehNQrvm7R,NUV,21.15 
[19138] DISPLAY_SUMMARY,cehNQrvm7R 
[19475] QUOTE,cehNQrvm7R,GRM 
[19514] BUY,cehNQrvm7R,XFH,609.48 
[19695] COMMIT_BUY,cehNQrvm7R 
[19775] BUY,cehNQrvm7R,NXF,560.69 
[19816] CANCEL_BUY,cehNQrvm7R 
[19859] DISPLAY_SUMMARY,cehNQrvm7R 
[20051] QUOTE,cehNQrvm7R,NEV 
[20054] QUOTE,cehNQrvm7R,IHW 
[20160] BUY,cehNQrvm7R,ETB,11.38 
[20196] COMMIT_BUY,cehNQrvm7R 
[20247] SELL,cehNQrvm7R,UTV,314.59 
[20276] BUY,cehNQrvm7R,YJK,165.28 
[20380] COMMIT_BUY,cehNQrvm7R 
[20591] SELL,cehNQrvm7R,QAX,228.60 
[20661] SELL,cehNQrvm7R,KDA,692.24 
[20738] CANCEL_SELL,cehNQrvm7R 
[20800] SELL,cehNQrvm7R,JCQ,30.89 
[20850] DISPLAY_SUMMARY,cehNQrvm7R 
[20873] DISPLAY_SUMMARY,cehNQrvm7R 
[20983] ADD,cehNQrvm7R,68451.41 
[21089] QUOTE,cehNQrvm7R,BTD 
[21112] DISPLAY_SUMMARY,cehNQrvm7R 
