[59] ADD,dALWhJa374,26637.85 
[236] SELL,dALWhJa374,MXD,237.24 
[259] COMMIT_SELL,dALWhJa374 
[506] ADD,dALWhJa374,56895.87 
[668] BUY,dALWhJa374,KJM,605.52 
[696] COMMIT_BUY,dALWhJa374 
[809] ADD,dALWhJa374,82803.19 
[841] QUOTE,dALWhJa374,XEA 
[966] SET_BUY_AMOUNT,dALWhJa374,QJZ,713.92 
[998] SET_BUY_TRIGGER,dALWhJa374,KAO,644.25 
[1041] SET_SELL_TRIGGER,dALWhJa374,BDX,2.92 
[1102] ADD,dALWhJa374,55379.08 
[1341] BUY,dALWhJa374,BZX,192.69 
[1529] COMMIT_BUY,dALWhJa374 
[1608] SELL,dALWhJa374,FQP,585.67 
[1644] COMMIT_SELL,dALWhJa374 
[1700] BUY,dALWhJa374,YUR,33.47 
[1751] CANCEL_SET_SELL,dALWhJa374,SQO 
[1920] SET_SELL_TRIGGER,dALWhJa374,NUV,8.94 
[2068] SET_SELL_AMOUNT,dALWhJa374,FQP,248.21 
[2187] SET_SELL_TRIGGER,dALWhJa374,FQP,42.62 
[2294] SET_BUY_AMOUNT,dALWhJa374,FQP,45.77 
[2325] SET_BUY_TRIGGER,dALWhJa374,XFA,33.65 
[2423] SET_BUY_AMOUNT,dALWhJa374,FQP,398.66 
[2700] CANCEL_SET_BUY,dALWhJa374,RWY 
[2844] DISPLAY_SUMMARY,dALWhJa374 
[2964] SET_SELL_AMOUNT,dALWhJa374,QJZ,38.56 
[2986] SET_SELL_TRIGGER,dALWhJa374,QJZ,6.63 
[3016] SELL,dALWhJa374,FQP,636.96 
[3121] COMMIT_BUY,dALWhJa374 
[3170] ADD,dALWhJa374,56005.28 
[3185] BUY,dALWhJa374,MPP,683.46 
[3237] CANCEL_SET_SELL,dALWhJa374,EGX 
[3374] BUY,dALWhJa374,UUJ,182.13 
[3399] SET_SELL_TRIGGER,dALWhJa374,SCK,185.41 
[3587] SET_BUY_TRIGGER,dALWhJa374,HDR,93.50 
[3815] ADD,dALWhJa374,60566.04 
[3830] BUY,dALWhJa374,JVT,334.60 
[3985] COMMIT_BUY,dALWhJa374 
[4191] COMMIT_BUY,dALWhJa374 
[4273] BUY,dALWhJa374,IEQ,75.36 
[4403] COMMIT_BUY,dALWhJa374 
[4553] QUOTE,dALWhJa374,TKV 
[4676] BUY,dALWhJa374,JDO,313.82 
[4762] SET_BUY_AMOUNT,dALWhJa374,QJZ,465.55 
[4808] SET_BUY_TRIGGER,dALWhJa374,QOQ,35.18 
[4820] SET_BUY_TRIGGER,dALWhJa374,ONI,131.77 
[4874] SET_SELL_AMOUNT,dALWhJa374,KDA,473.48 
[5057] DISPLAY_SUMMARY,dALWhJa374 
[5181] SET_SELL_TRIGGER,dALWhJa374,KDA,344.88 
[5200] BUY,dALWhJa374,DBS,225.33 
[5446] QUOTE,dALWhJa374,UIE 
[5478] BUY,dALWhJa374,NOP,216.73 
[5698] COMMIT_BUY,dALWhJa374 
[5724] ADD,dALWhJa374,68653.85 
[5889] QUOTE,dALWhJa374,XBE 
[6308] BUY,dALWhJa374,DWF,670.35 
[6401] SET_SELL_TRIGGER,dALWhJa374,IRQ,153.42 
[6458] CANCEL_SET_SELL,dALWhJa374,HFS 
[6494] ADD,dALWhJa374,67499.37 
[6604] BUY,dALWhJa374,DWX,396.36 
[6703] COMMIT_BUY,dALWhJa374 
[6904] SET_SELL_AMOUNT,dALWhJa374,FQP,530.21 
[7183] SET_SELL_TRIGGER,dALWhJa374,FQP,191.68 
[7475] SELL,dALWhJa374,QJZ,69.97 
[7666] COMMIT_SELL,dALWhJa374 
