[54] ADD,e6JAmPjBmb,64837.51 
[119] SET_SELL_TRIGGER,e6JAmPjBmb,BPP,33.38 
[281] ADD,e6JAmPjBmb,96407.84 
[372] BUY,e6JAmPjBmb,GAV,428.27 
[513] CANCEL_SET_SELL,e6JAmPjBmb,SBT 
[574] DISPLAY_SUMMARY,e6JAmPjBmb 
[692] QUOTE,e6JAmPjBmb,MVY 
[804] BUY,e6JAmPjBmb,EOY,716.25 
[917] CANCEL_SET_SELL,e6JAmPjBmb,XXT 
[1027] ADD,e6JAmPjBmb,70722.61 
[1056] BUY,e6JAmPjBmb,YDD,266.33 
[1185] SET_SELL_AMOUNT,e6JAmPjBmb,WNH,238.27 
[1382] SET_SELL_TRIGGER,e6JAmPjBmb,WNH,195.58 
[1519] SET_SELL_TRIGGER,e6JAmPjBmb,WNH,19.93 
[1527] BUY,e6JAmPjBmb,CXN,568.78 
[1610] SET_BUY_TRIGGER,e6JAmPjBmb,QGL,92.25 
[1713] SET_SELL_TRIGGER,e6JAmPjBmb,NEV,84.03 
[1752] ADD,e6JAmPjBmb,52719.31 
[1782] COMMIT_SELL,e6JAmPjBmb 
[2150] DISPLAY_SUMMARY,e6JAmPjBmb 
[2223] ADD,e6JAmPjBmb,65484.83 
[2405] QUOTE,e6JAmPjBmb,GYT 
[2460] SET_BUY_AMOUNT,e6JAmPjBmb,PST,156.78 
[2528] SET_BUY_TRIGGER,e6JAmPjBmb,PST,93.36 
[2532] SET_SELL_TRIGGER,e6JAmPjBmb,SQS,95.10 
[2652] ADD,e6JAmPjBmb,79052.46 
[2702] QUOTE,e6JAmPjBmb,RRZ 
[2732] BUY,e6JAmPjBmb,PPY,639.49 
[2891] CANCEL_SET_BUY,e6JAmPjBmb,TKM 
[2999] SET_BUY_AMOUNT,e6JAmPjBmb,RRZ,561.81 
[3049] SET_BUY_TRIGGER,e6JAmPjBmb,RRZ,316.70 
[3100] COMMIT_BUY,e6JAmPjBmb 
[3193] SELL,e6JAmPjBmb,QJZ,685.64 
[3250] COMMIT_SELL,e6JAmPjBmb 
[3577] QUOTE,e6JAmPjBmb,KDA 
[3665] SET_BUY_TRIGGER,e6JAmPjBmb,ZRH,69.62 
[3813] QUOTE,e6JAmPjBmb,KQZ 
[3840] COMMIT_BUY,e6JAmPjBmb 
[3869] SET_SELL_AMOUNT,e6JAmPjBmb,QJZ,305.03 
[3934] SET_SELL_TRIGGER,e6JAmPjBmb,QJZ,157.04 
[3978] COMMIT_SELL,e6JAmPjBmb 
[4139] SET_BUY_TRIGGER,e6JAmPjBmb,JKX,98.29 
[4249] SET_SELL_TRIGGER,e6JAmPjBmb,BRZ,126.03 
[4569] BUY,e6JAmPjBmb,KAF,207.57 
[4573] COMMIT_SELL,e6JAmPjBmb 
[4653] SET_BUY_TRIGGER,e6JAmPjBmb,BMQ,85.83 
[4699] SET_BUY_AMOUNT,e6JAmPjBmb,QJZ,64.64 
[4715] CANCEL_SET_BUY,e6JAmPjBmb,DES 
[4842] QUOTE,e6JAmPjBmb,YUR 
[4960] BUY,e6JAmPjBmb,MVI,60.64 
[4998] SET_BUY_TRIGGER,e6JAmPjBmb,WAI,132.12 
[5035] DISPLAY_SUMMARY,e6JAmPjBmb 
[5164] ADD,e6JAmPjBmb,60797.58 
[5166] SET_BUY_TRIGGER,e6JAmPjBmb,QBD,30.23 
[5188] BUY,e6JAmPjBmb,CTS,584.16 
[5251] COMMIT_BUY,e6JAmPjBmb 
[5303] COMMIT_BUY,e6JAmPjBmb 
[5319] SELL,e6JAmPjBmb,QJZ,470.67 
[5407] SET_SELL_AMOUNT,e6JAmPjBmb,QJZ,637.07 
[5417] SET_SELL_TRIGGER,e6JAmPjBmb,QJZ,540.48 
[5567] ADD,e6JAmPjBmb,63344.67 
[5611] QUOTE,e6JAmPjBmb,EOS 
[6002] SELL,e6JAmPjBmb,QJZ,554.51 
[6249] COMMIT_SELL,e6JAmPjBmb 
[6294] SET_BUY_AMOUNT,e6JAmPjBmb,FQP,380.35 
[6315] SET_BUY_TRIGGER,e6JAmPjBmb,ZHB,262.63 
[6675] SET_BUY_TRIGGER,e6JAmPjBmb,IPH,43.04 
[7080] ADD,e6JAmPjBmb,79123.14 
[7143] BUY,e6JAmPjBmb,WYO,65.66 
[7212] CANCEL_SET_SELL,e6JAmPjBmb,KZQ 
[7269] ADD,e6JAmPjBmb,71433.50 
[7285] QUOTE,e6JAmPjBmb,EOY 
[7541] COMMIT_SELL,e6JAmPjBmb 
[7601] SET_BUY_TRIGGER,e6JAmPjBmb,YTT,9.34 
[7607] BUY,e6JAmPjBmb,KTU,459.20 
[7624] SET_BUY_TRIGGER,e6JAmPjBmb,JLO,67.56 
[7665] SELL,e6JAmPjBmb,QJZ,67.22 
[7691] SET_SELL_AMOUNT,e6JAmPjBmb,FQP,11.79 
[7746] SET_SELL_TRIGGER,e6JAmPjBmb,FQP,0.75 
[7789] DISPLAY_SUMMARY,e6JAmPjBmb 
[7822] SET_SELL_AMOUNT,e6JAmPjBmb,FQP,479.55 
[7894] SET_SELL_TRIGGER,e6JAmPjBmb,FQP,254.09 
[8112] SET_BUY_AMOUNT,e6JAmPjBmb,FQP,646.75 
[8174] SET_BUY_TRIGGER,e6JAmPjBmb,VWU,10.80 
[8212] SET_SELL_TRIGGER,e6JAmPjBmb,MVY,183.77 
[8379] SET_SELL_AMOUNT,e6JAmPjBmb,FQP,288.21 
[8546] SET_SELL_TRIGGER,e6JAmPjBmb,FQP,100.37 
[8562] ADD,e6JAmPjBmb,54957.34 
[8636] QUOTE,e6JAmPjBmb,FKX 
[8650] ADD,e6JAmPjBmb,61561.40 
[8699] BUY,e6JAmPjBmb,EDM,700.30 
[8849] SET_BUY_TRIGGER,e6JAmPjBmb,KDA,93.82 
[8889] QUOTE,e6JAmPjBmb,YKB 
[8967] BUY,e6JAmPjBmb,XOP,501.09 
[9189] CANCEL_SET_SELL,e6JAmPjBmb,ALG 
[9200] ADD,e6JAmPjBmb,103751.14 
[9201] BUY,e6JAmPjBmb,TYV,65.14 
[9206] COMMIT_SELL,e6JAmPjBmb 
[9612] CANCEL_SELL,e6JAmPjBmb 
[9656] SET_BUY_AMOUNT,e6JAmPjBmb,QJZ,34.62 
[9670] SET_BUY_TRIGGER,e6JAmPjBmb,MZT,13.95 
[9701] SET_BUY_TRIGGER,e6JAmPjBmb,EDM,180.00 
[9761] DISPLAY_SUMMARY,e6JAmPjBmb 
[9897] DISPLAY_SUMMARY,e6JAmPjBmb 
[9901] CANCEL_SELL,e6JAmPjBmb 
[10017] ADD,e6JAmPjBmb,82822.28 
[10035] BUY,e6JAmPjBmb,QGL,593.91 
[10389] QUOTE,e6JAmPjBmb,CTS 
[10455] BUY,e6JAmPjBmb,RRZ,378.66 
[10523] COMMIT_BUY,e6JAmPjBmb 
[10723] QUOTE,e6JAmPjBmb,HIN 
[10729] BUY,e6JAmPjBmb,DRO,538.81 
[10795] CANCEL_SET_SELL,e6JAmPjBmb,HTN 
[10882] CANCEL_SET_SELL,e6JAmPjBmb,CVK 
[10948] BUY,e6JAmPjBmb,ALV,491.86 
[10970] SET_SELL_AMOUNT,e6JAmPjBmb,KDA,350.56 
[10991] SET_SELL_TRIGGER,e6JAmPjBmb,KDA,255.42 
[11174] SET_SELL_TRIGGER,e6JAmPjBmb,ENQ,42.46 
[11200] SELL,e6JAmPjBmb,KDA,652.49 
[11220] COMMIT_SELL,e6JAmPjBmb 
[11513] DISPLAY_SUMMARY,e6JAmPjBmb 
[11595] BUY,e6JAmPjBmb,TKM,156.21 
[11612] COMMIT_BUY,e6JAmPjBmb 
[11624] DISPLAY_SUMMARY,e6JAmPjBmb 
[11643] ADD,e6JAmPjBmb,73856.65 
[11759] BUY,e6JAmPjBmb,UXP,280.96 
[11766] COMMIT_BUY,e6JAmPjBmb 
[11800] ADD,e6JAmPjBmb,47762.45 
[11808] QUOTE,e6JAmPjBmb,NAW 
[11821] QUOTE,e6JAmPjBmb,XXN 
[11835] QUOTE,e6JAmPjBmb,XLK 
[11842] COMMIT_SELL,e6JAmPjBmb 
[11915] SELL,e6JAmPjBmb,KDA,694.07 
[12016] CANCEL_BUY,e6JAmPjBmb 
[12038] ADD,e6JAmPjBmb,76591.73 
[12414] QUOTE,e6JAmPjBmb,ZTR 
[12517] COMMIT_BUY,e6JAmPjBmb 
[12552] DISPLAY_SUMMARY,e6JAmPjBmb 
[12586] QUOTE,e6JAmPjBmb,ZOT 
[12610] COMMIT_SELL,e6JAmPjBmb 
[12871] SET_BUY_TRIGGER,e6JAmPjBmb,YVX,65.71 
[12992] DISPLAY_SUMMARY,e6JAmPjBmb 
[13094] BUY,e6JAmPjBmb,DWU,686.90 
[13173] CANCEL_SELL,e6JAmPjBmb 
[13379] BUY,e6JAmPjBmb,BRZ,635.67 
[13854] COMMIT_BUY,e6JAmPjBmb 
[13894] COMMIT_SELL,e6JAmPjBmb 
[13955] DISPLAY_SUMMARY,e6JAmPjBmb 
[14061] ADD,e6JAmPjBmb,74663.76 
[14270] SELL,e6JAmPjBmb,QJZ,333.43 
[14308] COMMIT_SELL,e6JAmPjBmb 
[14632] ADD,e6JAmPjBmb,85046.73 
[14694] BUY,e6JAmPjBmb,DGA,252.47 
[14891] COMMIT_BUY,e6JAmPjBmb 
[14908] ADD,e6JAmPjBmb,74552.65 
[14991] QUOTE,e6JAmPjBmb,SFO 
[15069] ADD,e6JAmPjBmb,84460.03 
[15092] QUOTE,e6JAmPjBmb,UCG 
[15167] ADD,e6JAmPjBmb,72384.92 
[15663] BUY,e6JAmPjBmb,YOQ,266.69 
[15719] CANCEL_BUY,e6JAmPjBmb 
[15811] COMMIT_SELL,e6JAmPjBmb 
[15848] BUY,e6JAmPjBmb,WOJ,726.87 
[16081] DISPLAY_SUMMARY,e6JAmPjBmb 
[16209] BUY,e6JAmPjBmb,UDM,333.50 
[16340] BUY,e6JAmPjBmb,CUQ,127.86 
[16356] COMMIT_BUY,e6JAmPjBmb 
[16450] SET_BUY_AMOUNT,e6JAmPjBmb,QJZ,230.18 
[16514] CANCEL_SET_BUY,e6JAmPjBmb,BZH 
[16830] DISPLAY_SUMMARY,e6JAmPjBmb 
[16873] DISPLAY_SUMMARY,e6JAmPjBmb 
[16991] ADD,e6JAmPjBmb,84112.95 
[17018] QUOTE,e6JAmPjBmb,YDD 
[17031] QUOTE,e6JAmPjBmb,ZMK 
[17037] ADD,e6JAmPjBmb,70363.69 
[17072] BUY,e6JAmPjBmb,MQX,26.22 
[17073] COMMIT_BUY,e6JAmPjBmb 
[17134] DISPLAY_SUMMARY,e6JAmPjBmb 
[17174] DISPLAY_SUMMARY,e6JAmPjBmb 
[17219] ADD,e6JAmPjBmb,49574.78 
[17220] COMMIT_BUY,e6JAmPjBmb 
[17262] SET_SELL_AMOUNT,e6JAmPjBmb,GYF,344.70 
[17306] SET_SELL_TRIGGER,e6JAmPjBmb,GYF,168.93 
[17404] COMMIT_BUY,e6JAmPjBmb 
[17444] ADD,e6JAmPjBmb,79604.64 
[17506] COMMIT_BUY,e6JAmPjBmb 
[17569] SET_SELL_TRIGGER,e6JAmPjBmb,NVX,181.18 
[17608] COMMIT_SELL,e6JAmPjBmb 
[17693] CANCEL_BUY,e6JAmPjBmb 
[17777] QUOTE,e6JAmPjBmb,RLS 
[17965] ADD,e6JAmPjBmb,65923.12 
[18016] BUY,e6JAmPjBmb,WTL,137.22 
[18185] COMMIT_BUY,e6JAmPjBmb 
[18193] SET_SELL_TRIGGER,e6JAmPjBmb,OEM,45.73 
[18290] CANCEL_SET_SELL,e6JAmPjBmb,KES 
[18442] SET_BUY_TRIGGER,e6JAmPjBmb,KBN,49.22 
[18463] SET_BUY_AMOUNT,e6JAmPjBmb,JCQ,217.49 
