[17] ADD,e7Zw0RBCl6,80205.43 
[94] BUY,e7Zw0RBCl6,UXP,660.60 
[96] COMMIT_BUY,e7Zw0RBCl6 
[267] QUOTE,e7Zw0RBCl6,MIR 
[271] SELL,e7Zw0RBCl6,QJZ,57.33 
[289] DISPLAY_SUMMARY,e7Zw0RBCl6 
[781] DISPLAY_SUMMARY,e7Zw0RBCl6 
[785] DISPLAY_SUMMARY,e7Zw0RBCl6 
[792] SET_BUY_AMOUNT,e7Zw0RBCl6,QJZ,116.10 
[924] SELL,e7Zw0RBCl6,QJZ,504.01 
[952] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,555.48 
[1241] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,80.16 
[1248] SELL,e7Zw0RBCl6,QJZ,604.79 
[1278] CANCEL_SET_BUY,e7Zw0RBCl6,FMJ 
[1484] QUOTE,e7Zw0RBCl6,CUZ 
[1834] BUY,e7Zw0RBCl6,YIU,676.86 
[1840] CANCEL_BUY,e7Zw0RBCl6 
[1850] ADD,e7Zw0RBCl6,72187.42 
[2032] BUY,e7Zw0RBCl6,RDN,464.73 
[2401] SET_BUY_TRIGGER,e7Zw0RBCl6,CBQ,108.30 
[2436] DISPLAY_SUMMARY,e7Zw0RBCl6 
[2656] ADD,e7Zw0RBCl6,72236.63 
[2729] QUOTE,e7Zw0RBCl6,NFQ 
[2740] ADD,e7Zw0RBCl6,53374.33 
[2752] QUOTE,e7Zw0RBCl6,LLZ 
[2933] BUY,e7Zw0RBCl6,GQV,195.75 
[3629] ADD,e7Zw0RBCl6,67440.61 
[3656] BUY,e7Zw0RBCl6,IFQ,360.20 
[3723] COMMIT_BUY,e7Zw0RBCl6 
[4016] ADD,e7Zw0RBCl6,67312.65 
[4248] BUY,e7Zw0RBCl6,CWA,113.08 
[4377] CANCEL_BUY,e7Zw0RBCl6 
[4483] DISPLAY_SUMMARY,e7Zw0RBCl6 
[4840] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,676.89 
[4955] BUY,e7Zw0RBCl6,TTV,514.63 
[4976] QUOTE,e7Zw0RBCl6,EOS 
[5361] QUOTE,e7Zw0RBCl6,SCK 
[5438] QUOTE,e7Zw0RBCl6,KGV 
[5499] QUOTE,e7Zw0RBCl6,NEV 
[5576] BUY,e7Zw0RBCl6,QTU,373.30 
[5650] CANCEL_BUY,e7Zw0RBCl6 
[5692] ADD,e7Zw0RBCl6,58962.64 
[5825] QUOTE,e7Zw0RBCl6,FVS 
[5899] CANCEL_SET_BUY,e7Zw0RBCl6,VKP 
[6031] BUY,e7Zw0RBCl6,JGG,65.58 
[6054] COMMIT_BUY,e7Zw0RBCl6 
[6076] SET_BUY_AMOUNT,e7Zw0RBCl6,FQP,226.57 
[6119] SET_BUY_TRIGGER,e7Zw0RBCl6,PUN,16.44 
[6153] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,308.47 
[6184] SELL,e7Zw0RBCl6,FQP,195.75 
[6313] COMMIT_SELL,e7Zw0RBCl6 
[6367] QUOTE,e7Zw0RBCl6,PYB 
[6421] QUOTE,e7Zw0RBCl6,LCP 
[6507] SET_BUY_AMOUNT,e7Zw0RBCl6,QJZ,292.68 
[6660] SELL,e7Zw0RBCl6,KDA,314.13 
[6695] CANCEL_BUY,e7Zw0RBCl6 
[7020] ADD,e7Zw0RBCl6,64629.71 
[7275] BUY,e7Zw0RBCl6,MVI,136.77 
[7279] COMMIT_SELL,e7Zw0RBCl6 
[7582] QUOTE,e7Zw0RBCl6,FMJ 
[7585] BUY,e7Zw0RBCl6,QXE,384.14 
[7719] COMMIT_BUY,e7Zw0RBCl6 
[7737] SET_SELL_AMOUNT,e7Zw0RBCl6,KDA,294.25 
[7899] SET_SELL_TRIGGER,e7Zw0RBCl6,KDA,282.89 
[7911] CANCEL_SELL,e7Zw0RBCl6 
[7997] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,368.87 
[8150] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,368.75 
[8239] CANCEL_SET_BUY,e7Zw0RBCl6,SYL 
[8258] DISPLAY_SUMMARY,e7Zw0RBCl6 
[8301] SELL,e7Zw0RBCl6,QJZ,68.40 
[8395] CANCEL_SET_SELL,e7Zw0RBCl6,QID 
[8486] SET_BUY_TRIGGER,e7Zw0RBCl6,FTB,54.96 
[8509] ADD,e7Zw0RBCl6,74749.43 
[8534] BUY,e7Zw0RBCl6,QGE,591.54 
[8572] CANCEL_BUY,e7Zw0RBCl6 
[8701] ADD,e7Zw0RBCl6,54981.27 
[8808] QUOTE,e7Zw0RBCl6,DRO 
[8939] BUY,e7Zw0RBCl6,JXW,427.21 
[8968] COMMIT_BUY,e7Zw0RBCl6 
[9132] QUOTE,e7Zw0RBCl6,GAV 
[9310] BUY,e7Zw0RBCl6,SDW,285.25 
[9500] SET_SELL_AMOUNT,e7Zw0RBCl6,FQP,47.43 
[9758] SET_SELL_TRIGGER,e7Zw0RBCl6,FQP,36.62 
[9906] DISPLAY_SUMMARY,e7Zw0RBCl6 
[9979] QUOTE,e7Zw0RBCl6,YTY 
[10064] DISPLAY_SUMMARY,e7Zw0RBCl6 
[10104] ADD,e7Zw0RBCl6,81206.34 
[10162] QUOTE,e7Zw0RBCl6,HDR 
[10320] BUY,e7Zw0RBCl6,CTT,121.41 
[10358] COMMIT_BUY,e7Zw0RBCl6 
[10388] SET_BUY_AMOUNT,e7Zw0RBCl6,FQP,233.00 
[10492] SET_BUY_TRIGGER,e7Zw0RBCl6,URY,119.50 
[10496] DISPLAY_SUMMARY,e7Zw0RBCl6 
[10571] CANCEL_SET_SELL,e7Zw0RBCl6,ZGC 
[10734] DISPLAY_SUMMARY,e7Zw0RBCl6 
[10820] QUOTE,e7Zw0RBCl6,KPP 
[10829] BUY,e7Zw0RBCl6,BHH,51.65 
[10855] QUOTE,e7Zw0RBCl6,FZU 
[10869] BUY,e7Zw0RBCl6,IJO,397.30 
[11223] CANCEL_SELL,e7Zw0RBCl6 
[11268] QUOTE,e7Zw0RBCl6,CEC 
[11308] BUY,e7Zw0RBCl6,JLO,710.27 
[11389] COMMIT_BUY,e7Zw0RBCl6 
[11509] SELL,e7Zw0RBCl6,KDA,262.68 
[11526] SET_BUY_AMOUNT,e7Zw0RBCl6,FQP,355.46 
[11786] SET_BUY_TRIGGER,e7Zw0RBCl6,SCK,120.18 
[11836] ADD,e7Zw0RBCl6,66678.46 
[12031] ADD,e7Zw0RBCl6,91454.22 
[12220] QUOTE,e7Zw0RBCl6,YGK 
[12304] SET_BUY_TRIGGER,e7Zw0RBCl6,EBS,93.74 
[12336] SET_BUY_AMOUNT,e7Zw0RBCl6,OEY,477.56 
[12412] CANCEL_SET_BUY,e7Zw0RBCl6,XII 
[12432] CANCEL_SET_SELL,e7Zw0RBCl6,FUF 
[12525] DISPLAY_SUMMARY,e7Zw0RBCl6 
[12565] SELL,e7Zw0RBCl6,KES,389.91 
[12753] COMMIT_SELL,e7Zw0RBCl6 
[12830] SELL,e7Zw0RBCl6,QJZ,568.20 
[12894] SET_BUY_AMOUNT,e7Zw0RBCl6,KES,648.37 
[12965] QUOTE,e7Zw0RBCl6,AEM 
[13079] QUOTE,e7Zw0RBCl6,AVH 
[13325] BUY,e7Zw0RBCl6,SJH,87.11 
[13356] COMMIT_BUY,e7Zw0RBCl6 
[13459] DISPLAY_SUMMARY,e7Zw0RBCl6 
[13598] QUOTE,e7Zw0RBCl6,PTP 
[13633] CANCEL_BUY,e7Zw0RBCl6 
[13922] CANCEL_BUY,e7Zw0RBCl6 
[14093] ADD,e7Zw0RBCl6,78326.02 
[14243] QUOTE,e7Zw0RBCl6,JPP 
[14252] SET_BUY_AMOUNT,e7Zw0RBCl6,KDA,485.48 
[14321] CANCEL_SET_BUY,e7Zw0RBCl6,ZFJ 
[14329] DISPLAY_SUMMARY,e7Zw0RBCl6 
[14402] CANCEL_SELL,e7Zw0RBCl6 
[14450] ADD,e7Zw0RBCl6,63964.52 
[14541] BUY,e7Zw0RBCl6,ECI,109.57 
[14805] SET_BUY_AMOUNT,e7Zw0RBCl6,QJZ,226.00 
[14868] QUOTE,e7Zw0RBCl6,SQS 
[15041] QUOTE,e7Zw0RBCl6,KAO 
[15237] BUY,e7Zw0RBCl6,OXK,516.38 
[15868] COMMIT_BUY,e7Zw0RBCl6 
[15935] QUOTE,e7Zw0RBCl6,IDX 
[15987] SELL,e7Zw0RBCl6,JVT,202.75 
[15994] SET_SELL_TRIGGER,e7Zw0RBCl6,SCW,95.76 
[16020] SET_BUY_TRIGGER,e7Zw0RBCl6,BZH,129.86 
[16062] DISPLAY_SUMMARY,e7Zw0RBCl6 
[16065] QUOTE,e7Zw0RBCl6,DMS 
[16173] ADD,e7Zw0RBCl6,53529.12 
[16191] QUOTE,e7Zw0RBCl6,XZO 
[16221] QUOTE,e7Zw0RBCl6,NUL 
[16452] BUY,e7Zw0RBCl6,CTS,551.90 
[16489] SET_BUY_TRIGGER,e7Zw0RBCl6,OHS,187.80 
[16510] DISPLAY_SUMMARY,e7Zw0RBCl6 
[16792] CANCEL_SET_SELL,e7Zw0RBCl6,GGI 
[16870] SET_SELL_TRIGGER,e7Zw0RBCl6,RGH,185.41 
[16910] SET_SELL_AMOUNT,e7Zw0RBCl6,KDA,529.43 
[17001] SET_SELL_TRIGGER,e7Zw0RBCl6,KDA,414.05 
[17071] BUY,e7Zw0RBCl6,MDZ,633.78 
[17107] QUOTE,e7Zw0RBCl6,NUL 
[17118] QUOTE,e7Zw0RBCl6,PMX 
[17128] ADD,e7Zw0RBCl6,88223.68 
[17309] BUY,e7Zw0RBCl6,FXT,0.89 
[17381] DISPLAY_SUMMARY,e7Zw0RBCl6 
[17432] SET_BUY_TRIGGER,e7Zw0RBCl6,OIY,34.35 
[17707] SET_BUY_TRIGGER,e7Zw0RBCl6,PVZ,148.22 
[17791] SET_SELL_AMOUNT,e7Zw0RBCl6,KES,438.70 
[17801] SET_SELL_TRIGGER,e7Zw0RBCl6,KES,331.51 
