[24] ADD,eGGeSBtfEQ,53788.32 
[83] QUOTE,eGGeSBtfEQ,TGY 
[111] ADD,eGGeSBtfEQ,90590.05 
[202] BUY,eGGeSBtfEQ,IOM,507.80 
[270] COMMIT_BUY,eGGeSBtfEQ 
[288] SET_SELL_TRIGGER,eGGeSBtfEQ,PXX,193.53 
[487] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,193.27 
[545] SET_BUY_TRIGGER,eGGeSBtfEQ,FZB,62.40 
[580] SET_BUY_TRIGGER,eGGeSBtfEQ,IHW,15.02 
[649] BUY,eGGeSBtfEQ,PUU,21.13 
[743] CANCEL_BUY,eGGeSBtfEQ 
[940] QUOTE,eGGeSBtfEQ,LVT 
[982] QUOTE,eGGeSBtfEQ,MWM 
[1139] SET_SELL_TRIGGER,eGGeSBtfEQ,XVK,20.46 
[1143] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,545.38 
[1213] CANCEL_SET_BUY,eGGeSBtfEQ,DWK 
[1271] DISPLAY_SUMMARY,eGGeSBtfEQ 
[1287] SET_BUY_TRIGGER,eGGeSBtfEQ,TGY,38.69 
[1389] DISPLAY_SUMMARY,eGGeSBtfEQ 
[1518] BUY,eGGeSBtfEQ,XZO,522.27 
[1521] ADD,eGGeSBtfEQ,74616.26 
[1601] QUOTE,eGGeSBtfEQ,ECX 
[1807] BUY,eGGeSBtfEQ,AED,507.26 
[1956] COMMIT_BUY,eGGeSBtfEQ 
[1983] ADD,eGGeSBtfEQ,71162.29 
[2122] SET_SELL_AMOUNT,eGGeSBtfEQ,FQP,47.61 
[2247] CANCEL_SET_SELL,eGGeSBtfEQ,FQP 
[2345] ADD,eGGeSBtfEQ,72760.36 
[2379] SET_BUY_AMOUNT,eGGeSBtfEQ,FQP,98.48 
[2468] CANCEL_SET_BUY,eGGeSBtfEQ,PWK 
[2498] ADD,eGGeSBtfEQ,74686.83 
[2632] SET_SELL_AMOUNT,eGGeSBtfEQ,QJZ,553.06 
[2635] SET_SELL_TRIGGER,eGGeSBtfEQ,QJZ,231.81 
[2644] DISPLAY_SUMMARY,eGGeSBtfEQ 
[2659] SET_BUY_TRIGGER,eGGeSBtfEQ,FUF,142.79 
[2931] CANCEL_SET_SELL,eGGeSBtfEQ,WNU 
[3194] DISPLAY_SUMMARY,eGGeSBtfEQ 
[3236] SET_SELL_AMOUNT,eGGeSBtfEQ,FQP,625.16 
[3361] SET_SELL_TRIGGER,eGGeSBtfEQ,FQP,219.84 
[3423] SELL,eGGeSBtfEQ,FQP,219.26 
[3612] CANCEL_SELL,eGGeSBtfEQ 
[3683] BUY,eGGeSBtfEQ,JOJ,523.77 
[3893] BUY,eGGeSBtfEQ,BFL,458.80 
[3942] COMMIT_BUY,eGGeSBtfEQ 
[4058] SET_SELL_AMOUNT,eGGeSBtfEQ,KDA,573.83 
[4130] CANCEL_SET_SELL,eGGeSBtfEQ,KDA 
[4144] COMMIT_SELL,eGGeSBtfEQ 
[4270] BUY,eGGeSBtfEQ,TWJ,452.05 
[4422] SET_SELL_AMOUNT,eGGeSBtfEQ,QJZ,242.61 
[4463] SET_SELL_TRIGGER,eGGeSBtfEQ,QJZ,50.82 
[4525] DISPLAY_SUMMARY,eGGeSBtfEQ 
[4584] BUY,eGGeSBtfEQ,ZNW,734.76 
[4633] CANCEL_SET_BUY,eGGeSBtfEQ,ZMS 
[4634] BUY,eGGeSBtfEQ,FIC,428.59 
[4729] SELL,eGGeSBtfEQ,KDA,341.25 
[4817] COMMIT_SELL,eGGeSBtfEQ 
[4836] QUOTE,eGGeSBtfEQ,XEA 
[4956] BUY,eGGeSBtfEQ,OYS,118.21 
[5157] COMMIT_BUY,eGGeSBtfEQ 
[5162] SET_SELL_TRIGGER,eGGeSBtfEQ,JUV,131.72 
[5222] ADD,eGGeSBtfEQ,43112.83 
[5356] QUOTE,eGGeSBtfEQ,LVV 
[5384] SELL,eGGeSBtfEQ,KDA,153.93 
[5583] COMMIT_SELL,eGGeSBtfEQ 
[5704] SET_SELL_TRIGGER,eGGeSBtfEQ,OLH,26.35 
[5864] SET_SELL_AMOUNT,eGGeSBtfEQ,QJZ,550.51 
[5888] CANCEL_SET_SELL,eGGeSBtfEQ,QJZ 
[6140] SET_BUY_TRIGGER,eGGeSBtfEQ,CTI,58.01 
[6179] ADD,eGGeSBtfEQ,58911.14 
[6189] QUOTE,eGGeSBtfEQ,PYB 
[6326] SET_BUY_AMOUNT,eGGeSBtfEQ,KES,451.72 
[6338] SET_BUY_TRIGGER,eGGeSBtfEQ,GAN,302.04 
[6382] ADD,eGGeSBtfEQ,77869.16 
[6478] CANCEL_SELL,eGGeSBtfEQ 
[6540] BUY,eGGeSBtfEQ,CMD,639.01 
[6590] COMMIT_BUY,eGGeSBtfEQ 
[6607] QUOTE,eGGeSBtfEQ,FRB 
[6709] SET_BUY_TRIGGER,eGGeSBtfEQ,VWU,65.91 
[6855] QUOTE,eGGeSBtfEQ,JYV 
[6960] QUOTE,eGGeSBtfEQ,NTB 
[6965] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,575.32 
[7030] SET_BUY_TRIGGER,eGGeSBtfEQ,IIX,339.07 
[7124] ADD,eGGeSBtfEQ,69488.63 
[7199] QUOTE,eGGeSBtfEQ,ALV 
[7560] DISPLAY_SUMMARY,eGGeSBtfEQ 
[7610] DISPLAY_SUMMARY,eGGeSBtfEQ 
[7847] SET_BUY_AMOUNT,eGGeSBtfEQ,JVT,726.60 
[7901] SET_BUY_TRIGGER,eGGeSBtfEQ,LZV,660.15 
[8437] QUOTE,eGGeSBtfEQ,ZQS 
[8441] SET_BUY_TRIGGER,eGGeSBtfEQ,KHY,130.54 
[8897] ADD,eGGeSBtfEQ,78036.08 
[9281] DISPLAY_SUMMARY,eGGeSBtfEQ 
[9324] SET_BUY_TRIGGER,eGGeSBtfEQ,SAJ,55.94 
[9558] COMMIT_BUY,eGGeSBtfEQ 
[9565] SET_SELL_AMOUNT,eGGeSBtfEQ,KES,706.20 
[9574] SET_SELL_TRIGGER,eGGeSBtfEQ,KES,440.99 
[9771] SELL,eGGeSBtfEQ,JVT,15.39 
[9949] COMMIT_SELL,eGGeSBtfEQ 
[9975] SELL,eGGeSBtfEQ,QJZ,731.90 
[9983] COMMIT_SELL,eGGeSBtfEQ 
[10021] BUY,eGGeSBtfEQ,PPW,553.91 
[10147] COMMIT_SELL,eGGeSBtfEQ 
[10148] ADD,eGGeSBtfEQ,78133.31 
[10240] QUOTE,eGGeSBtfEQ,UIE 
[10323] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,742.37 
[10356] SET_BUY_TRIGGER,eGGeSBtfEQ,YGK,387.45 
[10372] ADD,eGGeSBtfEQ,71790.54 
[10403] CANCEL_SELL,eGGeSBtfEQ 
[10423] SET_SELL_AMOUNT,eGGeSBtfEQ,JVT,547.12 
[10487] CANCEL_SET_SELL,eGGeSBtfEQ,JVT 
[10514] SET_BUY_TRIGGER,eGGeSBtfEQ,LLE,189.84 
[10545] QUOTE,eGGeSBtfEQ,YAV 
[10594] BUY,eGGeSBtfEQ,KJM,684.19 
[10612] COMMIT_BUY,eGGeSBtfEQ 
[10646] BUY,eGGeSBtfEQ,NUL,30.48 
[10807] COMMIT_BUY,eGGeSBtfEQ 
[10886] ADD,eGGeSBtfEQ,54385.42 
[11243] BUY,eGGeSBtfEQ,WDC,704.42 
