[116] ADD,etWfSg2zBt,64739.62 
[121] BUY,etWfSg2zBt,OOR,692.40 
[233] COMMIT_BUY,etWfSg2zBt 
[242] SELL,etWfSg2zBt,QJZ,335.67 
[613] COMMIT_SELL,etWfSg2zBt 
[673] SET_SELL_TRIGGER,etWfSg2zBt,ZUV,66.71 
[884] BUY,etWfSg2zBt,KTU,355.29 
[1052] COMMIT_BUY,etWfSg2zBt 
[1318] BUY,etWfSg2zBt,UDN,156.56 
[1413] DISPLAY_SUMMARY,etWfSg2zBt 
[1551] DISPLAY_SUMMARY,etWfSg2zBt 
[1658] SET_BUY_AMOUNT,etWfSg2zBt,QJZ,222.93 
[1717] SET_BUY_TRIGGER,etWfSg2zBt,QPE,57.70 
[1770] DISPLAY_SUMMARY,etWfSg2zBt 
[1928] SET_SELL_AMOUNT,etWfSg2zBt,FQP,239.56 
[2070] SET_SELL_TRIGGER,etWfSg2zBt,FQP,23.64 
[2160] BUY,etWfSg2zBt,VNO,503.30 
[2161] CANCEL_BUY,etWfSg2zBt 
[2333] SET_SELL_AMOUNT,etWfSg2zBt,QJZ,594.59 
[2577] SET_SELL_TRIGGER,etWfSg2zBt,QJZ,442.76 
[2680] ADD,etWfSg2zBt,72878.94 
[2750] SET_SELL_AMOUNT,etWfSg2zBt,QJZ,272.85 
[2812] SET_SELL_TRIGGER,etWfSg2zBt,QJZ,233.19 
[2864] ADD,etWfSg2zBt,47033.63 
[3043] QUOTE,etWfSg2zBt,TKM 
[3173] QUOTE,etWfSg2zBt,KHD 
[3188] BUY,etWfSg2zBt,OZO,73.93 
[3474] COMMIT_BUY,etWfSg2zBt 
[3497] BUY,etWfSg2zBt,WZM,663.82 
[3602] COMMIT_BUY,etWfSg2zBt 
[3693] SET_BUY_AMOUNT,etWfSg2zBt,QJZ,256.40 
[4063] SET_BUY_TRIGGER,etWfSg2zBt,TSF,134.38 
[4147] ADD,etWfSg2zBt,76158.69 
[4195] SELL,etWfSg2zBt,QJZ,485.38 
[4340] DISPLAY_SUMMARY,etWfSg2zBt 
[4436] QUOTE,etWfSg2zBt,IDN 
[4566] SELL,etWfSg2zBt,QJZ,116.74 
[4581] BUY,etWfSg2zBt,IHW,318.54 
[5020] COMMIT_BUY,etWfSg2zBt 
[5346] CANCEL_BUY,etWfSg2zBt 
[5420] SET_BUY_TRIGGER,etWfSg2zBt,RDK,78.81 
[5588] SET_BUY_AMOUNT,etWfSg2zBt,JVT,722.35 
[5633] SET_BUY_TRIGGER,etWfSg2zBt,MVY,674.61 
[5634] QUOTE,etWfSg2zBt,NZS 
[5707] QUOTE,etWfSg2zBt,PFN 
[5779] SET_BUY_TRIGGER,etWfSg2zBt,NJB,162.68 
[5787] SET_SELL_TRIGGER,etWfSg2zBt,DIX,36.03 
[5965] SET_BUY_TRIGGER,etWfSg2zBt,QAA,66.05 
[6001] SELL,etWfSg2zBt,FQP,599.00 
[6035] CANCEL_SET_SELL,etWfSg2zBt,TYV 
[6225] DISPLAY_SUMMARY,etWfSg2zBt 
[6330] ADD,etWfSg2zBt,52751.50 
[6350] BUY,etWfSg2zBt,GRM,21.51 
[6439] COMMIT_BUY,etWfSg2zBt 
[6569] SET_BUY_AMOUNT,etWfSg2zBt,KES,742.97 
[6758] SET_BUY_TRIGGER,etWfSg2zBt,XFH,131.26 
[6846] ADD,etWfSg2zBt,83376.86 
[7109] BUY,etWfSg2zBt,MQH,242.23 
[7228] CANCEL_BUY,etWfSg2zBt 
[7352] DISPLAY_SUMMARY,etWfSg2zBt 
[7418] DISPLAY_SUMMARY,etWfSg2zBt 
[7516] SELL,etWfSg2zBt,OEY,662.84 
[7532] COMMIT_SELL,etWfSg2zBt 
[7580] DISPLAY_SUMMARY,etWfSg2zBt 
[7671] SELL,etWfSg2zBt,KDA,274.74 
[7811] COMMIT_SELL,etWfSg2zBt 
[7942] ADD,etWfSg2zBt,63589.79 
[7968] BUY,etWfSg2zBt,VEE,269.22 
[8165] CANCEL_SELL,etWfSg2zBt 
[8447] QUOTE,etWfSg2zBt,NGZ 
[8470] BUY,etWfSg2zBt,NLP,144.55 
[8533] COMMIT_BUY,etWfSg2zBt 
[8574] DISPLAY_SUMMARY,etWfSg2zBt 
[8983] SET_BUY_TRIGGER,etWfSg2zBt,LUT,128.87 
[9055] ADD,etWfSg2zBt,54666.09 
[9056] CANCEL_SELL,etWfSg2zBt 
[9187] SELL,etWfSg2zBt,JVT,745.28 
[9364] CANCEL_BUY,etWfSg2zBt 
[9566] SET_BUY_TRIGGER,etWfSg2zBt,HZP,59.33 
[9628] SET_BUY_AMOUNT,etWfSg2zBt,JVT,521.09 
[9700] SET_BUY_TRIGGER,etWfSg2zBt,MWM,467.04 
[9742] DISPLAY_SUMMARY,etWfSg2zBt 
[9990] DISPLAY_SUMMARY,etWfSg2zBt 
[10129] DISPLAY_SUMMARY,etWfSg2zBt 
[10204] ADD,etWfSg2zBt,59847.79 
[10229] QUOTE,etWfSg2zBt,ZCQ 
[10361] SET_SELL_TRIGGER,etWfSg2zBt,WUF,187.54 
[10397] ADD,etWfSg2zBt,90261.29 
[10454] SET_SELL_AMOUNT,etWfSg2zBt,JVT,544.54 
[10656] QUOTE,etWfSg2zBt,SJZ 
[10685] QUOTE,etWfSg2zBt,FWW 
[10713] ADD,etWfSg2zBt,79869.02 
[10772] BUY,etWfSg2zBt,YRL,79.89 
[10994] COMMIT_BUY,etWfSg2zBt 
[11169] SET_BUY_AMOUNT,etWfSg2zBt,GYF,379.47 
[11175] SET_BUY_TRIGGER,etWfSg2zBt,UEC,106.26 
[11231] BUY,etWfSg2zBt,EHF,74.01 
[11724] COMMIT_SELL,etWfSg2zBt 
[11743] SET_BUY_AMOUNT,etWfSg2zBt,FQP,480.00 
[11817] QUOTE,etWfSg2zBt,FIY 
[11819] BUY,etWfSg2zBt,ZMA,41.79 
[12355] COMMIT_BUY,etWfSg2zBt 
[12463] SET_SELL_AMOUNT,etWfSg2zBt,QJZ,134.18 
[12534] SET_SELL_TRIGGER,etWfSg2zBt,QJZ,16.31 
[12601] SET_BUY_AMOUNT,etWfSg2zBt,KDA,573.73 
[12785] SET_BUY_TRIGGER,etWfSg2zBt,ASJ,216.04 
[12897] BUY,etWfSg2zBt,ENQ,636.32 
[13141] QUOTE,etWfSg2zBt,FIY 
[13221] CANCEL_BUY,etWfSg2zBt 
[13225] ADD,etWfSg2zBt,74246.84 
[13335] SET_SELL_AMOUNT,etWfSg2zBt,JCQ,298.28 
[13364] SET_SELL_TRIGGER,etWfSg2zBt,JCQ,181.99 
