[34] ADD,g3Xh0OB6vf,68223.85 
[67] QUOTE,g3Xh0OB6vf,DPG 
[98] QUOTE,g3Xh0OB6vf,IFU 
[321] SET_BUY_TRIGGER,g3Xh0OB6vf,LJM,190.78 
[405] QUOTE,g3Xh0OB6vf,PVH 
[418] CANCEL_SELL,g3Xh0OB6vf 
[895] BUY,g3Xh0OB6vf,GIK,4.69 
[922] CANCEL_BUY,g3Xh0OB6vf 
[1079] BUY,g3Xh0OB6vf,NAW,195.02 
[1263] COMMIT_BUY,g3Xh0OB6vf 
[1381] ADD,g3Xh0OB6vf,85334.84 
[1384] BUY,g3Xh0OB6vf,DWF,379.03 
[1403] SET_BUY_TRIGGER,g3Xh0OB6vf,ILT,73.66 
[1405] SET_SELL_TRIGGER,g3Xh0OB6vf,WQC,187.94 
[1664] DISPLAY_SUMMARY,g3Xh0OB6vf 
[1775] QUOTE,g3Xh0OB6vf,VMD 
[1848] BUY,g3Xh0OB6vf,FQP,128.88 
[2038] SET_BUY_AMOUNT,g3Xh0OB6vf,QJZ,186.36 
[2069] SET_BUY_TRIGGER,g3Xh0OB6vf,NDD,8.65 
[2120] SELL,g3Xh0OB6vf,QJZ,483.88 
[2240] ADD,g3Xh0OB6vf,58800.37 
[2342] BUY,g3Xh0OB6vf,QLM,116.81 
[2859] CANCEL_BUY,g3Xh0OB6vf 
[3040] SET_BUY_AMOUNT,g3Xh0OB6vf,QJZ,457.86 
[3207] SET_BUY_TRIGGER,g3Xh0OB6vf,BPK,93.35 
[3452] CANCEL_SELL,g3Xh0OB6vf 
[3582] ADD,g3Xh0OB6vf,75697.54 
[3925] BUY,g3Xh0OB6vf,NFQ,168.77 
[3976] CANCEL_SELL,g3Xh0OB6vf 
[4482] SELL,g3Xh0OB6vf,QJZ,148.27 
[4490] CANCEL_SET_BUY,g3Xh0OB6vf,URY 
[4555] ADD,g3Xh0OB6vf,48710.24 
[4628] BUY,g3Xh0OB6vf,VNO,446.59 
[4658] COMMIT_BUY,g3Xh0OB6vf 
[4813] SET_BUY_TRIGGER,g3Xh0OB6vf,FQP,106.25 
[4973] SELL,g3Xh0OB6vf,FQP,540.66 
[4977] SET_SELL_TRIGGER,g3Xh0OB6vf,QPZ,60.92 
[5216] BUY,g3Xh0OB6vf,SHP,624.68 
[5359] SET_BUY_TRIGGER,g3Xh0OB6vf,PGV,21.37 
[5387] SET_SELL_TRIGGER,g3Xh0OB6vf,QOQ,113.89 
[5393] SET_SELL_AMOUNT,g3Xh0OB6vf,QJZ,178.28 
[5418] SET_SELL_TRIGGER,g3Xh0OB6vf,QJZ,82.56 
[5475] BUY,g3Xh0OB6vf,FPP,81.57 
[5489] COMMIT_BUY,g3Xh0OB6vf 
[5507] SET_SELL_TRIGGER,g3Xh0OB6vf,YOQ,45.31 
[5648] SET_BUY_AMOUNT,g3Xh0OB6vf,FQP,380.45 
[5736] QUOTE,g3Xh0OB6vf,VEE 
[5748] COMMIT_BUY,g3Xh0OB6vf 
[5921] DISPLAY_SUMMARY,g3Xh0OB6vf 
[6046] DISPLAY_SUMMARY,g3Xh0OB6vf 
[6253] SELL,g3Xh0OB6vf,QJZ,695.20 
[6323] COMMIT_SELL,g3Xh0OB6vf 
[6341] ADD,g3Xh0OB6vf,65257.57 
[6345] QUOTE,g3Xh0OB6vf,UFX 
[6508] CANCEL_SELL,g3Xh0OB6vf 
[6545] SELL,g3Xh0OB6vf,KDA,629.55 
[6578] CANCEL_BUY,g3Xh0OB6vf 
[6722] ADD,g3Xh0OB6vf,81538.92 
[6827] BUY,g3Xh0OB6vf,YOQ,368.85 
[6829] COMMIT_BUY,g3Xh0OB6vf 
[6941] ADD,g3Xh0OB6vf,79138.71 
[7092] BUY,g3Xh0OB6vf,YPL,595.43 
[7112] COMMIT_BUY,g3Xh0OB6vf 
[7449] ADD,g3Xh0OB6vf,78164.09 
[7591] BUY,g3Xh0OB6vf,BUL,641.86 
[7745] COMMIT_BUY,g3Xh0OB6vf 
[7824] QUOTE,g3Xh0OB6vf,LJM 
[8067] BUY,g3Xh0OB6vf,NTT,588.53 
[8083] COMMIT_BUY,g3Xh0OB6vf 
[8157] DISPLAY_SUMMARY,g3Xh0OB6vf 
[8186] ADD,g3Xh0OB6vf,53730.46 
[8187] QUOTE,g3Xh0OB6vf,QAX 
[8215] QUOTE,g3Xh0OB6vf,KES 
[8272] COMMIT_BUY,g3Xh0OB6vf 
[8479] ADD,g3Xh0OB6vf,84247.27 
[8490] QUOTE,g3Xh0OB6vf,EEG 
[8545] BUY,g3Xh0OB6vf,XZO,266.44 
[8593] COMMIT_BUY,g3Xh0OB6vf 
[8719] BUY,g3Xh0OB6vf,XRK,433.81 
[8899] COMMIT_BUY,g3Xh0OB6vf 
[9251] ADD,g3Xh0OB6vf,69859.90 
[9369] QUOTE,g3Xh0OB6vf,OOV 
[9383] BUY,g3Xh0OB6vf,SOT,205.07 
[9461] SET_BUY_TRIGGER,g3Xh0OB6vf,ECL,106.14 
[9470] ADD,g3Xh0OB6vf,79636.34 
[9672] DISPLAY_SUMMARY,g3Xh0OB6vf 
[9733] ADD,g3Xh0OB6vf,58876.59 
[9862] QUOTE,g3Xh0OB6vf,QPX 
[9895] BUY,g3Xh0OB6vf,PFN,717.60 
[10013] COMMIT_BUY,g3Xh0OB6vf 
[10014] ADD,g3Xh0OB6vf,76748.79 
[10020] QUOTE,g3Xh0OB6vf,NVX 
[10048] BUY,g3Xh0OB6vf,RDN,682.19 
[10604] COMMIT_BUY,g3Xh0OB6vf 
[10840] ADD,g3Xh0OB6vf,68430.84 
[10999] QUOTE,g3Xh0OB6vf,OEM 
[11064] SET_SELL_AMOUNT,g3Xh0OB6vf,QAX,675.73 
[11144] SET_SELL_TRIGGER,g3Xh0OB6vf,QAX,660.21 
[11240] ADD,g3Xh0OB6vf,56908.81 
[11306] QUOTE,g3Xh0OB6vf,SCW 
[11605] CANCEL_SET_SELL,g3Xh0OB6vf,COE 
[11847] SET_BUY_TRIGGER,g3Xh0OB6vf,DHA,54.98 
[11860] DISPLAY_SUMMARY,g3Xh0OB6vf 
[12111] SET_SELL_TRIGGER,g3Xh0OB6vf,YRL,163.47 
