[162] ADD,gou39c5KlQ,59853.64 
[252] QUOTE,gou39c5KlQ,IZJ 
[502] QUOTE,gou39c5KlQ,EED 
[543] BUY,gou39c5KlQ,JQJ,391.41 
[572] COMMIT_BUY,gou39c5KlQ 
[734] QUOTE,gou39c5KlQ,CNN 
[759] QUOTE,gou39c5KlQ,OYW 
[901] BUY,gou39c5KlQ,NAR,86.01 
[1109] COMMIT_BUY,gou39c5KlQ 
[1136] ADD,gou39c5KlQ,75914.93 
[1192] CANCEL_SET_BUY,gou39c5KlQ,ZPD 
[1211] SET_BUY_TRIGGER,gou39c5KlQ,SQS,148.68 
[1264] ADD,gou39c5KlQ,54368.19 
[1362] BUY,gou39c5KlQ,RQS,682.14 
[1456] COMMIT_BUY,gou39c5KlQ 
[1495] SELL,gou39c5KlQ,FQP,227.03 
[1524] COMMIT_SELL,gou39c5KlQ 
[1536] DISPLAY_SUMMARY,gou39c5KlQ 
[1548] CANCEL_SELL,gou39c5KlQ 
[1647] SELL,gou39c5KlQ,FQP,328.75 
[1714] COMMIT_SELL,gou39c5KlQ 
[1884] DISPLAY_SUMMARY,gou39c5KlQ 
[2137] SET_BUY_AMOUNT,gou39c5KlQ,FQP,130.90 
[2195] SET_BUY_TRIGGER,gou39c5KlQ,VMT,64.09 
[2208] SET_SELL_AMOUNT,gou39c5KlQ,KDA,248.92 
[2315] SET_SELL_TRIGGER,gou39c5KlQ,KDA,234.48 
[2412] CANCEL_SET_SELL,gou39c5KlQ,ZRJ 
[2437] ADD,gou39c5KlQ,81378.04 
[2451] BUY,gou39c5KlQ,NXF,183.48 
[2609] ADD,gou39c5KlQ,70833.28 
[2741] QUOTE,gou39c5KlQ,LPR 
[2822] ADD,gou39c5KlQ,71272.42 
[2826] BUY,gou39c5KlQ,FKI,95.36 
[2910] COMMIT_BUY,gou39c5KlQ 
[2973] BUY,gou39c5KlQ,VZB,635.49 
[3012] COMMIT_BUY,gou39c5KlQ 
[3029] SET_BUY_TRIGGER,gou39c5KlQ,QUT,131.37 
[3099] SELL,gou39c5KlQ,KES,27.58 
[3119] CANCEL_SET_SELL,gou39c5KlQ,HSH 
[3176] ADD,gou39c5KlQ,95085.63 
[3306] BUY,gou39c5KlQ,LRS,489.90 
[3339] DISPLAY_SUMMARY,gou39c5KlQ 
[3340] DISPLAY_SUMMARY,gou39c5KlQ 
[3403] SET_SELL_TRIGGER,gou39c5KlQ,VEX,98.34 
[3418] CANCEL_BUY,gou39c5KlQ 
[3532] SELL,gou39c5KlQ,QJZ,495.49 
[3625] CANCEL_SELL,gou39c5KlQ 
[3714] DISPLAY_SUMMARY,gou39c5KlQ 
[3739] SET_SELL_AMOUNT,gou39c5KlQ,QJZ,164.61 
[3776] SET_SELL_TRIGGER,gou39c5KlQ,QJZ,94.52 
[3803] BUY,gou39c5KlQ,TQE,615.28 
[3889] SET_BUY_TRIGGER,gou39c5KlQ,NGZ,149.22 
[4011] SET_SELL_AMOUNT,gou39c5KlQ,KDA,493.84 
[4077] SET_SELL_TRIGGER,gou39c5KlQ,KDA,319.23 
[4215] ADD,gou39c5KlQ,50321.12 
[4547] CANCEL_SELL,gou39c5KlQ 
[4604] ADD,gou39c5KlQ,65537.66 
[4716] SET_BUY_TRIGGER,gou39c5KlQ,LJM,46.78 
[4776] DISPLAY_SUMMARY,gou39c5KlQ 
[4936] SET_BUY_TRIGGER,gou39c5KlQ,SSF,156.61 
[5104] ADD,gou39c5KlQ,39984.81 
[5109] QUOTE,gou39c5KlQ,KYT 
[5141] QUOTE,gou39c5KlQ,SOA 
[5229] ADD,gou39c5KlQ,64402.67 
[5259] COMMIT_BUY,gou39c5KlQ 
[5274] SET_SELL_TRIGGER,gou39c5KlQ,MMY,75.26 
[5433] SELL,gou39c5KlQ,JVT,391.66 
[5481] SET_BUY_AMOUNT,gou39c5KlQ,OEY,169.18 
[5651] SET_BUY_TRIGGER,gou39c5KlQ,YOQ,133.89 
[5936] ADD,gou39c5KlQ,74590.67 
[6055] SET_SELL_TRIGGER,gou39c5KlQ,UDQ,91.02 
[6274] QUOTE,gou39c5KlQ,ASJ 
[6376] BUY,gou39c5KlQ,BVN,306.05 
[6409] COMMIT_BUY,gou39c5KlQ 
[6424] ADD,gou39c5KlQ,43063.49 
[6436] DISPLAY_SUMMARY,gou39c5KlQ 
[7009] SET_SELL_TRIGGER,gou39c5KlQ,FGF,85.24 
[7166] QUOTE,gou39c5KlQ,ZOZ 
[7185] SET_BUY_AMOUNT,gou39c5KlQ,KES,587.46 
[7252] SET_BUY_TRIGGER,gou39c5KlQ,QOD,282.06 
[7438] SELL,gou39c5KlQ,FQP,475.39 
[7494] SET_SELL_TRIGGER,gou39c5KlQ,RXO,9.11 
[7554] ADD,gou39c5KlQ,49535.51 
[7786] QUOTE,gou39c5KlQ,WKG 
[7992] BUY,gou39c5KlQ,RKY,298.39 
[8021] COMMIT_BUY,gou39c5KlQ 
[8061] BUY,gou39c5KlQ,KHY,707.36 
[8077] CANCEL_SET_BUY,gou39c5KlQ,BPE 
[8099] SET_BUY_AMOUNT,gou39c5KlQ,JVT,100.07 
[8185] SET_BUY_TRIGGER,gou39c5KlQ,WYR,84.96 
[8291] ADD,gou39c5KlQ,40759.73 
[8363] COMMIT_BUY,gou39c5KlQ 
[8600] DISPLAY_SUMMARY,gou39c5KlQ 
[8686] CANCEL_SELL,gou39c5KlQ 
[8813] BUY,gou39c5KlQ,UDQ,382.89 
[8816] COMMIT_BUY,gou39c5KlQ 
[8829] SELL,gou39c5KlQ,JCQ,422.68 
[8859] SET_SELL_TRIGGER,gou39c5KlQ,EDV,186.01 
[8885] SET_BUY_TRIGGER,gou39c5KlQ,ALG,195.84 
[8915] COMMIT_BUY,gou39c5KlQ 
[9025] DISPLAY_SUMMARY,gou39c5KlQ 
[9127] ADD,gou39c5KlQ,67822.95 
[9162] SET_SELL_TRIGGER,gou39c5KlQ,DJD,81.78 
[9182] ADD,gou39c5KlQ,77271.15 
[9220] COMMIT_BUY,gou39c5KlQ 
[9226] SET_BUY_TRIGGER,gou39c5KlQ,PMX,36.77 
[9563] QUOTE,gou39c5KlQ,WTD 
[9631] QUOTE,gou39c5KlQ,KRY 
[9655] BUY,gou39c5KlQ,FNY,184.92 
[9687] SET_SELL_TRIGGER,gou39c5KlQ,GUW,5.33 
[9707] QUOTE,gou39c5KlQ,NFV 
[9759] SET_BUY_TRIGGER,gou39c5KlQ,JGY,179.01 
[9881] DISPLAY_SUMMARY,gou39c5KlQ 
[9961] SELL,gou39c5KlQ,EBS,238.77 
[10011] COMMIT_SELL,gou39c5KlQ 
[10067] SET_SELL_TRIGGER,gou39c5KlQ,ZNZ,4.05 
[10112] DISPLAY_SUMMARY,gou39c5KlQ 
[10210] SET_BUY_TRIGGER,gou39c5KlQ,JYV,49.09 
[10242] SET_BUY_AMOUNT,gou39c5KlQ,OEY,195.60 
[10362] SET_BUY_TRIGGER,gou39c5KlQ,QPE,90.86 
[10494] BUY,gou39c5KlQ,PMG,703.05 
[10771] COMMIT_BUY,gou39c5KlQ 
[10805] QUOTE,gou39c5KlQ,ASJ 
[10868] BUY,gou39c5KlQ,ALM,303.58 
[10875] COMMIT_BUY,gou39c5KlQ 
[10881] DISPLAY_SUMMARY,gou39c5KlQ 
[10896] QUOTE,gou39c5KlQ,OFP 
[11017] SET_BUY_TRIGGER,gou39c5KlQ,DTG,82.71 
[11254] SET_SELL_AMOUNT,gou39c5KlQ,KDA,665.32 
[11269] CANCEL_SET_SELL,gou39c5KlQ,KDA 
[11504] DISPLAY_SUMMARY,gou39c5KlQ 
[11581] SET_SELL_AMOUNT,gou39c5KlQ,UTV,127.70 
[11825] DISPLAY_SUMMARY,gou39c5KlQ 
[11870] SET_BUY_AMOUNT,gou39c5KlQ,UTV,77.27 
[11912] SET_BUY_TRIGGER,gou39c5KlQ,JLO,69.87 
[11945] SET_SELL_AMOUNT,gou39c5KlQ,KDA,348.03 
[12060] SET_SELL_TRIGGER,gou39c5KlQ,KDA,143.83 
[12146] SET_BUY_AMOUNT,gou39c5KlQ,FQP,523.87 
[12190] SET_BUY_TRIGGER,gou39c5KlQ,SFO,417.89 
[12374] SET_SELL_TRIGGER,gou39c5KlQ,CCH,176.54 
[12404] QUOTE,gou39c5KlQ,ALM 
[12427] ADD,gou39c5KlQ,55648.06 
[12474] SELL,gou39c5KlQ,EBS,633.35 
[12557] COMMIT_SELL,gou39c5KlQ 
[12594] SET_BUY_AMOUNT,gou39c5KlQ,GYF,31.97 
[12798] SET_BUY_TRIGGER,gou39c5KlQ,NFV,4.40 
[12884] BUY,gou39c5KlQ,SMS,568.50 
[13073] ADD,gou39c5KlQ,73871.02 
[13152] CANCEL_SELL,gou39c5KlQ 
[13286] DISPLAY_SUMMARY,gou39c5KlQ 
[13302] SELL,gou39c5KlQ,OEY,150.45 
[13305] CANCEL_SET_BUY,gou39c5KlQ,LVT 
[13411] DISPLAY_SUMMARY,gou39c5KlQ 
[13522] SET_BUY_TRIGGER,gou39c5KlQ,JNO,88.71 
[13660] SELL,gou39c5KlQ,JCQ,356.88 
[13766] COMMIT_SELL,gou39c5KlQ 
[14135] ADD,gou39c5KlQ,56981.71 
[14288] BUY,gou39c5KlQ,KJD,32.29 
[14315] COMMIT_BUY,gou39c5KlQ 
[14345] BUY,gou39c5KlQ,KEV,282.12 
[14411] CANCEL_BUY,gou39c5KlQ 
[14419] SET_BUY_TRIGGER,gou39c5KlQ,LMB,51.59 
[14446] DISPLAY_SUMMARY,gou39c5KlQ 
[14472] BUY,gou39c5KlQ,OYW,702.93 
[14728] ADD,gou39c5KlQ,79004.00 
[15301] BUY,gou39c5KlQ,BHJ,609.69 
[15324] COMMIT_BUY,gou39c5KlQ 
[15421] SET_BUY_AMOUNT,gou39c5KlQ,JCQ,311.19 
[15497] CANCEL_SET_BUY,gou39c5KlQ,KLE 
[15527] QUOTE,gou39c5KlQ,MIY 
[15852] BUY,gou39c5KlQ,JII,675.85 
[16017] COMMIT_BUY,gou39c5KlQ 
[16039] DISPLAY_SUMMARY,gou39c5KlQ 
[16282] BUY,gou39c5KlQ,CTT,569.35 
[16484] COMMIT_BUY,gou39c5KlQ 
[16511] BUY,gou39c5KlQ,ZFV,568.42 
[16619] BUY,gou39c5KlQ,DED,378.88 
[16741] COMMIT_BUY,gou39c5KlQ 
[16815] DISPLAY_SUMMARY,gou39c5KlQ 
[16818] CANCEL_SELL,gou39c5KlQ 
[16828] ADD,gou39c5KlQ,68302.37 
[16897] CANCEL_SET_BUY,gou39c5KlQ,GWS 
[17097] QUOTE,gou39c5KlQ,EHF 
[17145] QUOTE,gou39c5KlQ,UTD 
[17265] BUY,gou39c5KlQ,MSV,490.84 
[17378] COMMIT_BUY,gou39c5KlQ 
[17440] ADD,gou39c5KlQ,87230.04 
[17477] QUOTE,gou39c5KlQ,NHG 
[17883] CANCEL_SET_BUY,gou39c5KlQ,OBR 
[17928] SET_BUY_TRIGGER,gou39c5KlQ,TXB,178.32 
