[11] ADD,hBEPbg75Qp,80180.01 
[41] QUOTE,hBEPbg75Qp,PJJ 
[437] COMMIT_SELL,hBEPbg75Qp 
[529] SELL,hBEPbg75Qp,MMF,204.00 
[947] SET_BUY_TRIGGER,hBEPbg75Qp,ZZD,171.99 
[1028] DISPLAY_SUMMARY,hBEPbg75Qp 
[1130] QUOTE,hBEPbg75Qp,YTY 
[1158] ADD,hBEPbg75Qp,50513.77 
[1169] BUY,hBEPbg75Qp,FUR,388.93 
[1280] SELL,hBEPbg75Qp,OYS,706.08 
[1388] COMMIT_SELL,hBEPbg75Qp 
[1447] SELL,hBEPbg75Qp,VDP,342.74 
[1493] BUY,hBEPbg75Qp,DTG,499.54 
[1498] COMMIT_BUY,hBEPbg75Qp 
[1561] DISPLAY_SUMMARY,hBEPbg75Qp 
[1567] ADD,hBEPbg75Qp,68312.69 
[1612] BUY,hBEPbg75Qp,WAI,5.15 
[1634] SET_BUY_TRIGGER,hBEPbg75Qp,FTP,191.11 
[1649] SET_SELL_AMOUNT,hBEPbg75Qp,QJZ,115.51 
[1662] SET_SELL_TRIGGER,hBEPbg75Qp,QJZ,81.43 
[1730] SET_SELL_TRIGGER,hBEPbg75Qp,WSG,102.46 
[1811] QUOTE,hBEPbg75Qp,OQW 
[1831] CANCEL_SELL,hBEPbg75Qp 
[2059] ADD,hBEPbg75Qp,60778.87 
[2129] BUY,hBEPbg75Qp,WNH,184.32 
[2268] CANCEL_BUY,hBEPbg75Qp 
[2480] BUY,hBEPbg75Qp,LCP,573.59 
[2491] COMMIT_BUY,hBEPbg75Qp 
[2688] SELL,hBEPbg75Qp,QJZ,525.41 
[2765] SET_SELL_TRIGGER,hBEPbg75Qp,EOS,38.81 
[2814] SELL,hBEPbg75Qp,QJZ,474.87 
[2881] COMMIT_SELL,hBEPbg75Qp 
[3213] SELL,hBEPbg75Qp,QJZ,101.89 
[3348] CANCEL_SET_BUY,hBEPbg75Qp,WSR 
[3566] BUY,hBEPbg75Qp,JLK,629.28 
[3733] COMMIT_BUY,hBEPbg75Qp 
